,oso_slug,grant_source,grantee,grant_date,grant_token_address,grant_amount,grant_name,grant_round,grant_type,grant_category,grant_distribution,grant_blockchain
3010,treasureproject,Arbitrum Foundation,Realm,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,300000.0,STIP,1,proactive,growth,claim,arbitrum
3521,,Arbitrum Foundation,Sanko,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,500000.0,STIP,1,proactive,growth,claim,arbitrum
3725,pendle-finance,Arbitrum Foundation,Pendle,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,2000000.0,STIP,1,proactive,growth,claim,arbitrum
3740,mux-world,Arbitrum Foundation,MUX Protocol,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,6000000.0,STIP,1,proactive,growth,claim,arbitrum
4722,rabbithole,Arbitrum Foundation,RabbitHole,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,1000000.0,STIP,1,proactive,growth,claim,arbitrum
4912,gammastrategies,Arbitrum Foundation,Gamma,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,750000.0,STIP,1,proactive,growth,claim,arbitrum
5266,withtally,Arbitrum Foundation,Tally,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,200000.0,STIP,1,proactive,growth,claim,arbitrum
5603,rysk-finance,Arbitrum Foundation,Rysk,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,500000.0,STIP,1,proactive,growth,claim,arbitrum
5770,notional-finance,Arbitrum Foundation,Notional,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,500000.0,STIP,1,proactive,growth,claim,arbitrum
6694,magpiexyz,Arbitrum Foundation,Magpie,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,1250000.0,STIP,1,proactive,growth,claim,arbitrum
6820,jones-dao,Arbitrum Foundation,JonesDAO,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,2000000.0,STIP,1,proactive,growth,claim,arbitrum
8901,angle-protocol,Arbitrum Foundation,Angle,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,700000.0,STIP,1,proactive,growth,claim,arbitrum
14320,wormhole,Arbitrum Foundation,Wormhole,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,1800000.0,STIP,1,proactive,growth,claim,arbitrum
17855,tide-protocol-fiveelementslabs,Arbitrum Foundation,Tide,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,80000.0,STIP,1,proactive,growth,claim,arbitrum
20895,galxe,Arbitrum Foundation,Galxe,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,500000.0,STIP,1,proactive,growth,claim,arbitrum
21597,dolomite-exchange,Arbitrum Foundation,Dolomite,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,1000000.0,STIP,1,proactive,growth,claim,arbitrum
23734,dinngo,Arbitrum Foundation,Furucombo,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,59500.0,STIP,1,proactive,growth,claim,arbitrum
24103,dforce-network,Arbitrum Foundation,dForce,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,1000000.0,STIP,1,proactive,growth,claim,arbitrum
34233,,Arbitrum Foundation,Tales of Elleria,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,50000.0,STIP,1,proactive,growth,claim,arbitrum
39751,openocean-finance,Arbitrum Foundation,OpenOcean,1/1/2024,0x912ce59144191c1204e64559fe8253a0e49e6548,500000.0,STIP,1,proactive,growth,claim,arbitrum
