project,head-to-head_comparisons,elo_rating,margin_of_error,rating_std_across_simulations,num_main_round_appearances,highest_unique_donor_count_in_one_round,crowd_funding_usd,match_funding_usd
revoke-cash,464,1811.973896433197,18.56953381770519,9.996788359503382,4,15545,92239.36522497333,59814.988384375
heyxyz,464,1810.7491191524052,18.56953381770519,7.703658473401558,4,21309,129979.28194335845,59814.988384375
defi-llama,343,1796.5900441561243,21.597969886241554,8.966663359612252,4,10751,78859.45213574028,87210.38136709375
idriss-crypto,358,1776.060289472125,21.1406569032676,8.130278378430557,3,10623,39758.30693345892,42153.57794810938
jedi-swap,358,1764.1842823027273,21.1406569032676,10.903478182198985,3,21132,101905.4330315901,44830.707134375
poapin-glory-lab,464,1761.2815021186898,18.56953381770519,9.778471986782067,4,2448,12403.523799638095,23236.746742875
scopelift,298,1748.0320192950003,23.171377854539692,9.84165928640067,3,6446,29775.49425236526,40586.09624101563
hypercerts,345,1747.2443036966706,21.53527608232662,9.829058338876226,3,2697,36800.33373287168,21320.725580203125
brightid,342,1739.2683013487651,21.62952281743501,11.591738227698201,4,5780,18325.81557884497,39315.100565375
rotki,346,1732.232951212739,21.504133222818815,10.203358463091575,3,511,7039.798373877289,27048.486538375
defieye,342,1729.9337551288313,21.62952281743501,7.95924901188358,4,4178,22715.178217852423,41910.33564585938
idena-network,342,1726.8428052661275,21.62952281743501,11.440489142277015,4,4118,14474.853074244455,30185.598789671876
hvax,227,1724.5895688112955,26.548932463998877,9.152559043164908,2,2993,29978.364891698242,17288.4097144375
ethereum-attestation-service,256,1721.1597135026743,25.0,12.019655163187187,2,2117,8155.210902806129,59260.38748134375
tapexyz,464,1714.1256389484133,18.56953381770519,9.418771057432835,4,8294,21737.465402373655,27931.84936628125
yokifinance,227,1713.9208089937426,26.548932463998877,9.307014107966411,2,2576,6468.548041505397,10336.546665
wevm,90,1713.6585980409589,42.16370213557839,7.048237556258852,2,807,4848.8435888738995,62501.56098065625
nomis-cc,284,1713.6298147134696,23.735633163877065,11.560954307923687,3,3134,12955.734455588234,25962.9105156875
l2beat,105,1713.325723078286,39.03600291794133,8.222285209125834,2,3547,17744.602011894207,55123.367930875
opscientia,237,1709.6909422214108,25.982792098465232,10.30259150841227,2,3701,8301.17601966614,18236.227078828124
tor-project,404,1709.5513013769066,19.900743804199784,10.32728687853974,4,2074,11285.866394213781,29750.4899403125
