,oso_project_name,oso_display_name,round_number,oso_generated_round_label,gitcoin_project_id,num_donors,crowd_funding_usd,match_funding_usd
1283,ens-redirect,ENSRedirect,18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0xaccd3542e9bec7a841dbebdb4a327d4140c0bc289f4488f25086d8ce1c6433ba,348,486.8716511902662,121.50921374999999
1284,,,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0x133a262b7ecddcc68d5182e9cdabd2fff75bc57065fb6e83135d40b8b6be5ab1,54,81.03518024794539,121.50921121875
1285,freezingmoon,FreezingMoon,20,GG-20 - 25,0x216cc27aa429f7f75f91798ebe674d61f95c17ac3ba832b87f1f5202144db72d,37,54.844714702572674,121.3378228125
1286,decentraplace,Decentraplace,20,GG-20 - 25,0xca5104de44c38c97a7e707208c2c44178ec5fc3e999ba2c0ee6aab1495678d2e,15,27.803454414010048,120.7386236875
1287,,,18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0x76b1bbde22213defc762bd2f7a873c204a11212e1a47b63e36664e868601dae4,247,525.9650467786328,120.60914550000001
1288,kiwi-news-attestate,Kiwi News,18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0xea15878c9ec7897bb2aa042229119e42bca75c1406eb6b3bcf38b3a40d1960cb,247,1046.135191604079,120.60914550000001
1289,open-cann,OpenCann,20,GG-20 - 25,0xc4ae098ab87c392a917945f829ecccd131e7da9b3cbf24d2366ecc2efc0f3b02,29,38.93754090368748,120.1394245625
1290,steamvzla,steamvzla,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0x4b5b70fe4200db23bd71d3b28868605ca944a5a5c9e64aebd24ba7d0a65dd874,40,44.59387341910042,119.759078546875
1291,venture-miner,Venture Miner Academy,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0x55d654ab1587268b6a19f7de28b946e1c87d84f314b78edc8eecb09188aeacf7,37,88.43877989705652,119.67730084375
1292,pyra-marketplace,Pyra: create share market,20,GG-20 - 25,0x2439b4230367e3132a1de86b239692e09edc1414cabbf148dc4af43abf1486d6,32,71.94171182066202,118.042227625
