project,head-to-head_comparisons,elo_rating,margin_of_error,num_main_round_appearances,highest_unique_donor_count_in_one_round,crowd_funding_usd,match_funding_usd,project_id,project_source,project_namespace,display_name,event_source,repository_count,first_created_at_date,last_updated_at_date,first_commit_date,last_commit_date,star_count,fork_count,developer_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months,comment_count_6_months,release_count_6_months,time_to_first_response_days_average_6_months,time_to_merge_days_average_6_months
otterscan,79,1490.5672202814642,45.00351603704096,3,425,3133.996468467739,22233.50356796875,Dwx7FnWfcaVm5hKf1lTvTbndelM6HSuxGPfbVXzxft4=,OSS_DIRECTORY,oso,Otterscan,GITHUB,8,2021-07-01 18:22:12+00:00,2025-01-19 18:27:54+00:00,2021-07-01 18:47:48+00:00,2025-01-19 18:27:54+00:00,1426,211,4.0,51.0,10.0,7.0,0.3804347826086957,2.0,167.0,374.0,167.0,33.0,25.0,757.0,2.0,19.134542181069964,0.0
glo-foundation,200,1486.1502690659106,28.2842712474619,4,797,3478.1886474969756,14673.109293734375,-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,OSS_DIRECTORY,oso,Glo Dollar,GITHUB,4,2023-05-04 08:54:14+00:00,2025-01-17 09:14:48+00:00,2023-05-05 11:04:46+00:00,2025-01-20 07:24:41+00:00,9,11,5.0,13.0,7.0,5.0,0.0,1.0,104.0,36.0,34.0,16.0,10.0,167.0,0.0,17.16811868686868,0.0
punk-domains,140,1481.579751988622,33.806170189140666,4,2742,4659.248816732836,8407.71293346875,ivIdvKMO5LeCxf9VpaXW81KaYdIYYAfdKqkQxylVbOQ=,OSS_DIRECTORY,oso,Punk Domains & Iggy Social,GITHUB,63,2022-02-13 15:20:01+00:00,2025-01-17 21:21:32+00:00,2022-02-17 08:54:12+00:00,2025-01-17 21:21:32+00:00,38,44,1.0,13.0,3.0,2.0,0.1956521739130435,1.0,87.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
growthepie,176,1479.9571522260358,30.15113445777636,4,733,3440.240789653019,20757.299338187502,YVD9NruuwKCsQX_FPmSMN8A6m2F53PxYxW14W1eVFLU=,OSS_DIRECTORY,oso,growthepie,GITHUB,7,2023-02-01 20:17:54+00:00,2025-01-17 17:57:05+00:00,2023-04-21 13:12:55+00:00,2025-01-20 11:15:07+00:00,41,23,7.0,10.0,8.0,1.0,1.0054347826086956,7.0,969.0,75.0,69.0,0.0,0.0,17.0,0.0,7.46875,0.0
pairwise-general-magic,200,1478.3341247106785,28.2842712474619,4,191,1694.7330753879164,13269.775824640625,cNWIkYYNllGaAe7Xslebf1OTgqitVGPpSfz5pD2B8lY=,OSS_DIRECTORY,oso,Pairwise,GITHUB,6,2022-11-08 19:29:55+00:00,2025-01-02 07:22:00+00:00,2022-11-25 14:25:49+00:00,2024-11-10 10:52:13+00:00,49,1,13.0,24.0,8.0,4.0,0.03804347826086957,4.0,133.0,70.0,66.0,26.0,5.0,172.0,0.0,6.72595486111111,0.0
zeropoolnetwork,134,1472.1623547706595,34.554737023254404,3,1112,2631.104844710877,3964.397149265625,MOzK-UqF1Dy3guYiU14nYF41KDkPGUzClizHSE7YnKk=,OSS_DIRECTORY,oso,ZeroPool,GITHUB,67,2019-08-28 09:23:32+00:00,2025-01-15 13:00:41+00:00,2019-09-01 23:59:57+00:00,2025-01-15 13:00:40+00:00,98,87,12.0,33.0,4.0,1.0,0.059782608695652176,2.0,128.0,4.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0
kiwi-news-attestate,139,1461.892947691435,33.927557187198836,3,247,1670.3452004560818,4354.7681270625,0vxdfbwEGwn4il9c4oGyjno56OLaf-q61GARCJvMK0U=,OSS_DIRECTORY,oso,Kiwi News,GITHUB,9,2021-04-08 16:10:02+00:00,2025-01-19 02:30:17+00:00,2021-05-18 12:53:43+00:00,2025-01-20 08:26:16+00:00,128,40,3.0,31.0,8.0,7.0,0.9510869565217391,1.0,381.0,5.0,2.0,8.0,7.0,12.0,0.0,0.6986111111111111,0.0
1hive,200,1445.2626337629601,28.2842712474619,4,635,1931.1556218705286,4457.678631656249,0meRIUEV48cb8Plf7X1knIWJZmcrGA3NY91bcOlUNk8=,OSS_DIRECTORY,oso,1Hive Gardens,GITHUB,169,2017-07-03 23:52:03+00:00,2025-01-06 10:57:50+00:00,2017-07-03 23:59:01+00:00,2024-11-01 18:01:54+00:00,893,931,51.0,326.0,10.0,1.0,0.0,3.0,78.0,97.0,86.0,88.0,111.0,428.0,0.0,21.725578703703707,0.0
givepraise,167,1445.1853494796842,30.952929301365472,3,224,977.1399776206958,1889.1893098125,wV2X-YoRtKKe8l64B030vCC8JLhlFQxaafqSubSsl3w=,OSS_DIRECTORY,oso,Praise,GITHUB,14,2021-12-16 07:59:30+00:00,2024-12-27 05:02:29+00:00,2021-12-18 11:32:43+00:00,2024-10-22 15:30:32+00:00,48,29,9.0,30.0,2.0,1.0,0.16847826086956522,2.0,104.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
icdevsorg,84,1438.5554638832648,43.64357804719848,3,105,5766.01918192883,396.9624155625,YeNNggNEsX7gRg3E9K2ewMHS5XoEUfwGROB6NqWl5mo=,OSS_DIRECTORY,oso,ICDevs.org,GITHUB,27,2021-10-06 14:24:53+00:00,2025-01-17 07:28:08+00:00,2021-12-22 20:41:40+00:00,2025-01-20 08:14:20+00:00,50,23,4.0,14.0,5.0,2.0,0.05434782608695652,3.0,92.0,6.0,4.0,0.0,0.0,0.0,18.0,0.0,0.0
epochprotocol,131,1434.2673480249186,34.948162266441514,3,655,1873.631865950409,2857.68326315625,OIzHC3q9B-8tDuH4gQWtDaGxiTSEZvitGXlB4X9OcLc=,OSS_DIRECTORY,oso,Epoch Protocol,GITHUB,13,2022-08-17 12:35:00+00:00,2024-11-26 16:27:08+00:00,2023-01-23 14:35:10+00:00,2024-11-26 16:27:04+00:00,2,0,3.0,3.0,2.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
luncosim,154,1433.2978226692119,32.23291856101521,3,212,1500.6296911615427,2247.427578671875,5P3Mia-MX2AXjtncTHLhkbPogP2lGrsqJZiWsc_fm_w=,OSS_DIRECTORY,oso,LunCo,GITHUB,26,2022-05-20 10:23:54+00:00,2025-01-19 16:02:06+00:00,2022-05-20 10:45:51+00:00,2025-01-12 16:14:04+00:00,92,21,5.0,15.0,4.0,3.0,0.3641304347826087,1.0,286.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
wtfacademy,167,1431.7622068182727,30.952929301365472,3,484,3418.1450176913204,1921.637724421875,9cisQw1_sA5M3a5ZsNDO0XPx_xNMXS6rKJa7GVqbfbM=,OSS_DIRECTORY,oso,WTF Academy,GITHUB,55,2022-07-09 14:44:05+00:00,2025-01-20 01:29:42+00:00,2022-07-23 08:17:11+00:00,2025-01-16 12:17:49+00:00,8268,1812,29.0,394.0,59.0,33.0,0.6195652173913043,12.0,407.0,148.0,88.0,17.0,18.0,341.0,0.0,24.977911324786323,0.0
open-cann,167,1431.4474408033802,30.952929301365472,3,207,983.7867987396262,1321.067367,zxOLnFQD-88j4UN6pzWOtLLOSJyvbdr3qpOF-0Uk6_g=,OSS_DIRECTORY,oso,OpenCann,GITHUB,14,2022-05-03 22:05:44+00:00,2024-04-16 15:51:02+00:00,2022-05-09 17:32:13+00:00,2024-03-19 01:06:53+00:00,1,2,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
likecoin,139,1429.8072482766147,33.927557187198836,3,198,872.1764520505662,729.1290307500001,T-k9VSsN3q3623fkekujI7UYdlhkhxVrk2VphEPxgos=,OSS_DIRECTORY,oso,LikeCoin,GITHUB,149,2014-04-26 09:29:43+00:00,2025-01-19 21:17:12+00:00,2016-10-27 09:53:55+00:00,2025-01-20 11:17:37+00:00,573,341,13.0,70.0,7.0,0.0,1.548913043478261,4.0,981.0,639.0,598.0,26.0,17.0,1044.0,3.0,11.403092986603623,0.0
decentraschool,139,1427.7041667291544,33.927557187198836,3,382,5315.4246897629255,603.993731,piV92wp9QVyuSuY1sRHQMvQBzuA8-Glr1MwKKefG_gQ=,OSS_DIRECTORY,oso,Decentraclasses,GITHUB,1,2023-07-03 16:52:07+00:00,2024-11-22 06:21:08+00:00,2023-07-07 16:44:50+00:00,2024-11-22 06:21:05+00:00,1,1,2.0,4.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ens-wayback-machine-blossomlabs,167,1425.7020914865147,30.952929301365472,4,364,1840.136236304194,10680.475447421877,VuLpVANsaXjwleOnnF7cEKxEOkeFjWIs6-_MYSkP3pg=,OSS_DIRECTORY,oso,ENS Wayback Machine,GITHUB,1,2023-04-02 05:48:43+00:00,2024-11-22 14:38:34+00:00,2023-04-02 22:17:09+00:00,2024-11-20 11:36:50+00:00,0,1,1.0,2.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pepemon-dao,154,1424.4593364397856,32.23291856101521,3,345,1578.433941765521,884.487629796875,X97bZ4be4-TEx3rNdNuIIsMA3PS6JGptLOfbfvH4VTs=,OSS_DIRECTORY,oso,Pepemon: Degen Battleground,GITHUB,6,2020-10-16 20:44:01+00:00,2024-12-05 10:40:00+00:00,2021-05-21 11:58:20+00:00,2024-12-05 10:39:58+00:00,11,19,7.0,36.0,7.0,1.0,0.0,3.0,115.0,22.0,15.0,2.0,1.0,12.0,0.0,26.248842592592595,0.0
militereum,200,1418.86349358604,28.2842712474619,4,204,726.0705055694356,1469.695473859375,vRKYUjaHHSwjeqMygpe48uc4GoisMECLworG9HhC7aY=,OSS_DIRECTORY,oso,Militereum,GITHUB,1,2022-11-15 20:14:10+00:00,2024-12-26 09:41:51+00:00,2022-11-15 20:19:05+00:00,2024-12-26 09:41:48+00:00,13,5,1.0,5.0,3.0,1.0,0.0,1.0,38.0,2.0,2.0,1.0,0.0,5.0,0.0,19.96527777777778,0.0
helheimlabs,131,1414.4346918995695,34.948162266441514,3,417,1137.0335963102407,1708.008612484375,XZ230TVCsZ-0OcKBePdqhGxXsIrz3WdBW4pIOMOYIpw=,OSS_DIRECTORY,oso,HelheimLabs (AutoChessia),GITHUB,6,2023-06-26 07:03:14+00:00,2024-06-13 04:12:52+00:00,2023-07-31 14:44:59+00:00,2024-04-14 06:57:50+00:00,27,17,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
datalatte-ai,200,1413.9123957320694,28.2842712474619,4,227,707.4867280288308,1467.5789174218748,VshQaFsvxyjrjJLcsWw6GxXN1Fj4rGmJl4GVn9TpBaE=,OSS_DIRECTORY,oso,datalatte,GITHUB,15,2022-06-16 16:07:46+00:00,2025-01-17 16:22:39+00:00,2022-06-16 16:08:22+00:00,2025-01-20 10:29:39+00:00,6,0,4.0,4.0,1.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
viaprize,200,1413.2700511785815,28.2842712474619,4,482,2527.644172917468,2699.38733259375,YozbJYzgVUprO7ynnw7HLNMVCpbvJpBlHBTQ0w3BZuM=,OSS_DIRECTORY,oso,viaPrize,GITHUB,9,2023-04-14 15:49:26+00:00,2024-11-07 05:21:38+00:00,2023-04-14 16:04:18+00:00,2024-10-22 06:36:01+00:00,8,10,10.0,12.0,4.0,0.0,0.0,2.0,138.0,93.0,92.0,0.0,0.0,16.0,0.0,0.0,0.0
smoothly-protocol,167,1409.9163879319087,30.952929301365472,3,375,1483.5821611053457,2233.901909109375,PvSUPcejHkJgfsKKGeLjfQwn4nS_TRP42f1qHWodr3g=,OSS_DIRECTORY,oso,Smoothly,GITHUB,5,2022-12-14 19:53:42+00:00,2024-12-23 13:49:02+00:00,2023-04-19 22:01:16+00:00,2024-12-23 13:48:59+00:00,3,0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
metagov,190,1405.614234699345,29.019050004400466,4,318,1411.4081830160576,8951.413042578124,osL3B-y8yn0ALvvF90E-K8sPXgenbqc3PCpeCC67MHE=,OSS_DIRECTORY,oso,The Metagovernance Project,GITHUB,57,2019-12-15 13:23:53+00:00,2025-01-17 09:44:58+00:00,2020-01-29 13:19:04+00:00,2025-01-20 08:37:33+00:00,296,97,29.0,77.0,20.0,10.0,0.17391304347826086,11.0,370.0,35.0,26.0,20.0,17.0,84.0,1.0,56.95451388888888,0.0
geo-web,167,1405.2582021701182,30.952929301365472,3,285,759.8875259267948,1212.2222615625,fuSE0dqAq5LOxitK-7C8rKJ4_nmZMcx2JFiVs_X4pKM=,OSS_DIRECTORY,oso,Geo Web,GITHUB,41,2020-07-10 09:47:44+00:00,2025-01-12 23:15:16+00:00,2020-07-10 10:25:46+00:00,2024-12-31 18:54:59+00:00,103,49,10.0,28.0,3.0,0.0,0.0,2.0,6.0,3.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0
