,chain_id,round_id,round_name,project_name_x,project_github,payout_address,status,total_donations_count,total_amount_donated_in_usd,unique_donors_count,project_github_org_space,project_id,artifact_namespace,project_source,project_namespace,project_name_y,display_name,event_source,repository_count,first_commit_date,last_commit_date,star_count,fork_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months
44,42161,26,Web3 Infrastructure,Louper - The Ethereum Diamond Inspector,mark3labs,0x4DBBe712CDbdc63D7B2b374Bb3Ad143BEC1EecBb,APPROVED,122,179.258,121,mark3labs,HLY6nhgAFB3-9iMOTaGdVIp5kOcsZOHACZuD0geaUAY=,mark3labs,OSS_DIRECTORY,oso,mark3labs,Louper - The Ethereum Diamond Inspector,GITHUB,13,2020-12-17 07:49:48+00:00,2024-05-21 09:43:28+00:00,122,48,40.0,3.0,1.0,1.0,1.0,196.0,9.0,10.0,9.0,2.0
45,42161,26,Web3 Infrastructure,nim-libp2p,vacp2p,0x5F1e9C43cF04477B48934EAAb43E207d46595735,APPROVED,129,273.5819,123,vacp2p,MTcsqS1crf1W9rq9M_xHJ2DfSKy_BBmRDSeKvgtD6Qg=,vacp2p,OSS_DIRECTORY,oso,vacp2p,nim-libp2p,GITHUB,55,2018-11-19 02:04:57+00:00,2024-05-21 15:07:20+00:00,703,131,123.0,43.0,15.0,0.0,16.0,385.0,234.0,157.0,41.0,26.0
46,42161,26,Web3 Infrastructure,Zerokit,vacp2p,0x5F1e9C43cF04477B48934EAAb43E207d46595735,APPROVED,321,467.67014,314,vacp2p,MTcsqS1crf1W9rq9M_xHJ2DfSKy_BBmRDSeKvgtD6Qg=,vacp2p,OSS_DIRECTORY,oso,vacp2p,nim-libp2p,GITHUB,55,2018-11-19 02:04:57+00:00,2024-05-21 15:07:20+00:00,703,131,123.0,43.0,15.0,0.0,16.0,385.0,234.0,157.0,41.0,26.0
47,42161,26,Web3 Infrastructure,Silius  - ERC-4337 bundler,silius-rs,0x7cB801446AC4f5EA8f7333EFc58ab787eB611558,APPROVED,134,410.02493,129,silius-rs,OdLhGTocrpN8R1ci1U087vLgb6iVABFEdpYnu7SGeeA=,silius-rs,OSS_DIRECTORY,oso,silius-rs,Silius  - ERC-4337 bundler,GITHUB,2,2022-10-22 20:15:01+00:00,2024-05-07 18:53:24+00:00,226,38,10.0,3.0,1.0,0.0,2.0,67.0,37.0,34.0,23.0,20.0
48,42161,26,Web3 Infrastructure,Gitcoin Grants Data Portal,datonic,0xb9ecee9a0e273d8A1857F3B8EeA30e5dD3cb6335,APPROVED,1044,2125.8696,1015,datonic,wTISQvdyzQlkF_4BDB0fomEtR_3tf77sX5mJ_YXK03s=,datonic,OSS_DIRECTORY,oso,datonic,datonic & Gitcoin Grants Data Portal,GITHUB,7,2022-03-24 10:58:40+00:00,2024-05-21 11:06:52+00:00,244,18,11.0,9.0,7.0,0.5,2.0,276.0,47.0,43.0,69.0,53.0
49,42161,26,Web3 Infrastructure,Open to the Public,opentothepublic,0xfCbCceed1eAFcA6198e23585550f4eB76838Cf4D,APPROVED,618,2021.8729,599,opentothepublic,V1zHVTbTl8RiJjwnn_SVMPDGmOK1zXu_FTIoZAVYI88=,opentothepublic,OSS_DIRECTORY,oso,opentothepublic,Open to the Public,GITHUB,4,2024-03-01 02:23:27+00:00,2024-05-19 21:14:47+00:00,5,4,4.0,4.0,4.0,0.0,3.0,96.0,13.0,11.0,1.0,1.0
50,42161,26,Web3 Infrastructure,Supermajority.info,one-three-three-seven-ethereum,0xc794Bf32661C50f9A975856589E7666519ff52d8,APPROVED,97,258.8338,97,one-three-three-seven-ethereum,XufRxx--jQVgXRU1HTBCTnvTtA7VHJgbZ2qM7dYciJQ=,one-three-three-seven-ethereum,OSS_DIRECTORY,oso,one-three-three-seven-ethereum,Supermajority.info,GITHUB,1,2024-02-01 21:08:47+00:00,2024-05-17 11:05:57+00:00,2,0,1.0,1.0,1.0,1.0,1.0,87.0,1.0,0.0,0.0,0.0
51,42161,26,Web3 Infrastructure,Dessage,ninjahome,0x87F90842A66cfdaa9Fea9169838d583B16F5Af73,APPROVED,90,131.41254,90,ninjahome,F5znc46dKfcyb3-ZGGUWq7Iokxmy6wmWfDGDDHaNowE=,ninjahome,OSS_DIRECTORY,oso,ninjahome,Dessage,GITHUB,13,2021-03-30 05:07:33+00:00,2024-05-21 12:27:31+00:00,0,2,7.0,4.0,2.0,0.5,2.0,519.0,17.0,13.0,29.0,17.0
52,42161,26,Web3 Infrastructure,NFT.Storage,nftstorage,0x8366aDcAdBc63B2C22cc3F48979c837D890054d0,APPROVED,1406,2754.4204,1382,nftstorage,fjEAHU1YIchc2UVz0akVqRbjvzQOWtZ66hZZvd4OELA=,nftstorage,OSS_DIRECTORY,oso,nftstorage,NFT.Storage,GITHUB,32,2021-03-10 20:20:06+00:00,2024-04-17 23:31:16+00:00,1022,333,619.0,120.0,112.0,0.0,4.0,46.0,45.0,38.0,118.0,335.0
53,42161,26,Web3 Infrastructure,eth.limo,ethlimo,0xB352bB4E2A4f27683435f153A259f1B207218b1b,APPROVED,671,2133.67,659,ethlimo,a13b7K1ot-Tif9VlhyzAhqU2DAkX_h5fJ2LQJVPKJEY=,ethlimo,OSS_DIRECTORY,oso,eth-limo,eth.limo,GITHUB,7,2022-09-20 23:57:41+00:00,2024-04-18 15:17:35+00:00,65,11,5.0,4.0,2.0,0.0,1.0,16.0,9.0,5.0,1.0,1.0
54,42161,24,ENS Identity,eth.limo,ethlimo,0xB352bB4E2A4f27683435f153A259f1B207218b1b,APPROVED,258,992.5148,255,ethlimo,a13b7K1ot-Tif9VlhyzAhqU2DAkX_h5fJ2LQJVPKJEY=,ethlimo,OSS_DIRECTORY,oso,eth-limo,eth.limo,GITHUB,7,2022-09-20 23:57:41+00:00,2024-04-18 15:17:35+00:00,65,11,5.0,4.0,2.0,0.0,1.0,16.0,9.0,5.0,1.0,1.0
