project,head-to-head_comparisons,elo_rating,margin_of_error,rating_std_across_simulations,num_main_round_appearances,highest_unique_donor_count_in_one_round,crowd_funding_usd,match_funding_usd
revoke-cash,464,1810.01581540303,18.56953381770519,8.102370576057456,4,15545,92239.36522497333,59814.988384375
heyxyz,464,1809.0577874327394,18.56953381770519,7.790610219358036,4,21309,129979.28194335845,59814.988384375
defi-llama,343,1792.0522481363366,21.597969886241554,7.8883628046657215,4,10751,78859.45213574028,87210.38136709375
idriss-crypto,358,1773.8717315760432,21.1406569032676,9.930240174693951,3,10623,39758.30693345892,42153.57794810938
defieye,512,1765.4015503450164,17.677669529663685,9.262636464949098,4,4178,25272.07354819463,45730.583967125
jedi-swap,358,1761.8842998694945,21.1406569032676,11.528102527391265,3,21132,101905.4330315901,44830.707134375
poapin-glory-lab,464,1756.7897519947294,18.56953381770519,8.477825097015732,4,2448,12403.523799638095,23236.746742875
etherscore,170,1751.0075569899732,30.678599553894813,8.602110096095513,2,6801,18738.834543994573,28885.50524876562
l2beat,160,1747.9420870716606,31.62277660168379,9.28498913336373,4,8021,42316.97398498455,94956.414805875
scopelift,298,1745.4502185561776,23.171377854539692,9.92975867103161,3,6446,29775.49425236526,40586.09624101563
hypercerts,345,1745.2717872211908,21.53527608232662,12.282254467745627,3,2697,36800.33373287168,21320.725580203125
rotki,373,1742.0395874588316,20.71121492313991,9.056996110064137,4,2698,10324.019568388787,37402.10380171875
giveth,485,1740.7544498944542,18.16306436745999,9.020869590074973,4,2015,8182.592811509838,33528.751305375
brightid,342,1739.5894916344312,21.62952281743501,10.599958714103925,4,5780,18325.81557884497,39315.100565375
ethstaker,160,1731.307473987609,31.62277660168379,10.733287634655799,4,5503,24491.75924579813,80639.97429334375
idena-network,342,1724.7229453709888,21.62952281743501,9.490898953754154,4,4118,14474.853074244455,30185.598789671876
fundingthecommons,322,1721.3254502905922,22.29112850301411,11.28972329987471,3,145,2740.264055225992,17892.604765781252
hvax,227,1716.7932964417635,26.548932463998877,11.604440480824742,2,2993,29978.364891698242,17288.4097144375
tapexyz,464,1714.7337441184093,18.56953381770519,9.761331952400734,4,8294,21737.465402373655,27931.84936628125
nomis-cc,284,1714.6753861588807,23.735633163877065,12.87598840035359,3,3134,12955.734455588234,25962.9105156875
ethereum-attestation-service,311,1714.397817837857,22.68191908494971,9.623726152900092,4,2770,14293.906257168486,74702.9886208625
yokifinance,227,1712.164451679097,26.548932463998877,9.258579493080454,2,2576,6468.548041505397,10336.546665
blocktrendtw,170,1712.0040093012744,30.678599553894813,11.140791056171125,2,174,7359.502602131895,6935.56067146875
banklessdao,397,1711.9569925898004,20.075424529139823,10.163340834012217,4,470,2256.64679305581,12813.29453459375
dappnode,132,1708.8339609985853,34.81553119113957,8.021667349800726,3,4771,15808.80437424338,65514.09660622812
tor-project,404,1706.9863144802016,19.900743804199784,8.73191426614668,4,2074,11285.866394213781,29750.4899403125
urbanika,170,1703.9589764059244,30.678599553894813,11.98472781496946,2,156,1687.4340269374406,8396.6337795
metamail,240,1700.1617856763544,25.819888974716108,12.177414927393032,2,3725,6522.263234726748,13862.813282187499
zaratandotworld,464,1699.6269060703864,18.56953381770519,9.205345986570988,4,2641,8079.970181843402,15987.599379906249
jobstash,397,1697.7875942982291,20.075424529139823,11.262036500766213,4,917,7860.202551430059,10036.76565653125
eth-limo,160,1694.550636268251,31.62277660168379,8.91092787381468,4,3327,10841.563816504975,57927.28938725625
ethers-io,145,1692.11673367832,33.21819194149599,10.15644874705376,4,3866,12880.423458721978,68591.4109033125
wevm,145,1690.2166479952173,33.21819194149599,11.555983484312337,4,2721,11079.75815605624,77886.76509985313
smoldapp,121,1689.2106281336037,36.36363636363637,8.416963426212291,1,1552,12051.91667658789,10579.7593505625
zkbob,119,1685.3254824212452,36.667939881128454,8.532764518303141,1,2857,4889.730580190711,11587.4786505
ethscriptions-protocol,133,1682.4732992773509,34.6843987809648,10.6242266661742,3,8878,64494.42154554899,34178.831737437504
via-protocol,119,1681.692647530102,36.667939881128454,7.952832614993925,1,9420,15953.519079239277,15001.1375
omniswap-omnibtc,118,1680.4977330188487,36.82298471593293,9.156857709276283,1,10344,17822.049558394803,14849.591509375
0xfacet,133,1679.586596498871,34.6843987809648,12.952446838801233,3,8878,64494.42154554899,34178.831737437504
opendataforweb3,407,1679.30697955201,19.827263883864386,9.303216567541815,2,4745,7153.883929256795,13900.5054445625
nftstorage,167,1678.8236109515285,30.952929301365472,11.456853583884142,2,1382,3995.871721880504,14360.838622750001
upchain-lbc-team,95,1674.8140281572194,41.03913408340617,10.01947479127616,1,37,2069.026183939539,123.279627625
blockchain-lab-um,121,1671.784045660156,36.36363636363637,10.447335295455655,1,2665,5398.248862233253,7557.698563624999
weekinethnews,170,1670.3503843206092,30.678599553894813,14.744669580207608,2,405,4099.171628384476,3593.342666671875
shapeshift,346,1668.9909890059155,21.504133222818815,10.089524620613066,3,2519,6230.55661417673,12795.948061000001
