project_id,project,txns,fees,num_stars,num_forks,first_commit,sum_commits,sum_prs_merged,sum_downloads,project_link,oso_link
0x5e3ebd6375e04ee34b04cac7105a15d158302b69c3513140eeaf02296249e9f0,0x-splits,0.0,0.0,275.0,77.0,2022-01-04 19:43:52+00:00,1481.0,48.0,79498.0,https://vote.optimism.io/retropgf/3/application/0x5e3ebd6375e04ee34b04cac7105a15d158302b69c3513140eeaf02296249e9f0,https://opensource.observer/project/0x-splits
0xf4eb9aadb3de094b78cd2af2ce146c55d83309c3e63f0880aace2ce8d0928a46,1w3,0.0,0.0,1.0,3.0,2022-12-26 17:54:35+00:00,13.0,0.0,0.0,https://vote.optimism.io/retropgf/3/application/0xf4eb9aadb3de094b78cd2af2ce146c55d83309c3e63f0880aace2ce8d0928a46,https://opensource.observer/project/1w3
0xb35269ecc1f0a00cdbd12ba986f61174ae69bc6274aaabbb8ec13eff0ea1b461,abi-to-sol-gnidan,0.0,0.0,300.0,49.0,2021-07-19 23:56:49+00:00,253.0,90.0,0.0,https://vote.optimism.io/retropgf/3/application/0xb35269ecc1f0a00cdbd12ba986f61174ae69bc6274aaabbb8ec13eff0ea1b461,https://opensource.observer/project/abi-to-sol-gnidan
0x91941c2cb8e8079a32813cfa72facb995b4803285685955ef4f4772cd525f50b,across,329967.0,3.887470721037227e+18,148.0,78.0,2021-08-20 20:06:28+00:00,2723.0,2887.0,0.0,https://vote.optimism.io/retropgf/3/application/0x91941c2cb8e8079a32813cfa72facb995b4803285685955ef4f4772cd525f50b,https://opensource.observer/project/across
0x32033fcd4dc814d1c0e903446719154dc1466ba27b1422a1e6c664ade1c8adbf,acrypto-s,50.0,194541507102128.0,21.0,20.0,2019-11-10 15:55:54+00:00,1485.0,9.0,0.0,https://vote.optimism.io/retropgf/3/application/0x32033fcd4dc814d1c0e903446719154dc1466ba27b1422a1e6c664ade1c8adbf,https://opensource.observer/project/acrypto-s
0x99ad2850c7cbda52a16676d6ab956b1434c64f4124d5f2108aa12fda5325205c,aerodrome-finance,0.0,0.0,0.0,0.0,2023-08-08 03:01:58+00:00,18.0,1.0,0.0,https://vote.optimism.io/retropgf/3/application/0x99ad2850c7cbda52a16676d6ab956b1434c64f4124d5f2108aa12fda5325205c,https://opensource.observer/project/aerodrome-finance
0x04c658f109c8c51753a72ebd727024f3ea0c6766d3b579252a805f53c5a60ace,aestus-relay,0.0,0.0,0.0,0.0,2023-02-12 22:24:53+00:00,40.0,0.0,0.0,https://vote.optimism.io/retropgf/3/application/0x04c658f109c8c51753a72ebd727024f3ea0c6766d3b579252a805f53c5a60ace,https://opensource.observer/project/aestus-relay
0xc8ccf4d7e704f62803f942679100759e72a575c8b635ed926debe850f422bbc5,agoraxyz,0.0,0.0,3142.0,360.0,2021-01-31 09:54:20+00:00,5030.0,937.0,0.0,https://vote.optimism.io/retropgf/3/application/0xc8ccf4d7e704f62803f942679100759e72a575c8b635ed926debe850f422bbc5,https://opensource.observer/project/agoraxyz
0x5cd7424c0af2cbd9795350832337c4ac0e29559cec9ba417d19aad02719fa6ee,aikipay,0.0,0.0,0.0,0.0,2023-01-26 07:19:53+00:00,58.0,23.0,0.0,https://vote.optimism.io/retropgf/3/application/0x5cd7424c0af2cbd9795350832337c4ac0e29559cec9ba417d19aad02719fa6ee,https://opensource.observer/project/aikipay
0xf3df23e97d2c4b6936cafe233e48416ed37708a2a0eecd959450a82ed3a5f730,alchemyplatform,0.0,0.0,251.0,78.0,2023-01-31 19:33:39+00:00,434.0,449.0,0.0,https://vote.optimism.io/retropgf/3/application/0xf3df23e97d2c4b6936cafe233e48416ed37708a2a0eecd959450a82ed3a5f730,https://opensource.observer/project/alchemyplatform
