Project ID,Project Name,Score,Full-time developer months (cumulative),New GitHub contributors (last 6 months),Fork count (most forked repo owned by the project),Star count (from developers in the OP community only),"NPM downloads (last 6 months, all packages)",L2 sequencer fees (OP ETH),Transactions (on OP Mainnet),High value users (on OP Mainnet)
0x1c8c4fd36918b7b75642a5fccbcc1c4404299c3aed94ab0203a18c158f7744a6,ATK,,,,,,,,,
0x60f9485a7773d0b6dfc5a250e5c724fb5bb9cc6f77ad3920204286f347f59ffc,Attest Fest,,,,,,,,,
0xda538dc56054ec05476e152009df9af3e1947505e067b8363dd568a0d89c739d,AW House/Komorebi's Hacker House,,7.0,3.0,,5.0,,0.0422952785936726,100.0,
0x1d865a703d9c84fa4b5d97f84d399b0a785f64d0ae99716a306e698035412c54,Awesome Optimism,,2.0,3.0,2.0,2.0,,,,
0xd57877d44413352f5bdc2197304056fd24dcf3eea5b6c86a17177feb838468e0,AyaHQ,,2.0,7.0,,9.0,,,,
0xe0e818d0ad170d8c2e66fbb83372463dffa9b19937a3b7b368a4adf307ffd193,AyohTunde,,,,,,,,,
0x11d02544f79918bd8af9755f8a14e0188db0aadfaab274c6cf0b97d3da295ec7,Bankless Academy,,29.0,,10.0,16.0,,,,
0xd06e2d03da9fd53c32acf2de3762498f40b4c64bc9982de571d638605e8db73e,Bankless Africa,,,,,,,,,
0x9f4fbe2f82b8c499849bfd1963f8798ab8f25f95b0631fdf44129d477a3f7b78,Bankless Bengali,,,,,,,,,
0x023ec749b1a3ad4335595edad791b6dd5523a94817f53cba336060779471c3c8,Bankless DAO,0.75,101.0,23.0,35.0,105.0,,,,
0x239e74907063bead8e62acaaab47e4d716627b78036f7046e5d5403c405fb2aa,Bankless DAO Magyar ( Hungarian ),,,,,,,,,
0xefa725b7cc2edfa6b591a2dedbfc35be2520858d4b8df32a33f731c2d1ca8be1,Bankless Japan,,,,,,,,,
0xd1fc5b5d7e7f975ce4e0b40c1f587f68ba4bb1e9ef72beb0a11128efb38c1b7b,Bankless Malayalam ,,,,,,,,,
0x9af42af0df7a417b399a5e83c3744391b0c8d0e433392f02fa819f48420ff80d,Bankless Publishing,,,,,,,,,
0x33cbedc1cd085228b82aad34354954300fa82e7de307b5508ca3145c8e0f1ab7,Banklessadria,,,,,,,,,
0xb0e0767fc71db3090cdbb71b61ca3c6837e16377e4571fd2223ce4e7aedab8f4,BanklessDAO Turkish,,,,,,,,,
0x494d0957610b0e388d1cd8746ec6d9bb2237d0ab7467a6f216c557ef7a6ac83a,BanklessUA,,,,,,,,,
0xe4023251b0538517567388cdd107415b505169fca86081402f62cda741fb7f7e,banterlytics,,,,,,,,,
0xbe242c7f7734a53649ee419283e72ff164020d8ab6b42656e7393d9db8915094,Base Punk,,0.0,3.0,,3.0,,,,
0x45f4ac02622878b9d0ff20242526729dce79ecb7b742099813cb6ef56533b377,Based Nouns,,,,,,,,,
0x91bba885bafc9e5144c7577f7159778277e17eb6073d4f6adf5acd3b31c9f1fc,BasePaint,,,,,,,,,
0x0acc8d164a8084029652743eb5a4d6e624ee9f2b18c5fe77ac3f0dcb9160b28d,Baseswap,,,,,,,,,
0x4944faa89385224a1c499f4a4f35d0d8a00331d2ab3020efd63e203793e11845,Basic course in blockchain and crypto literacy ,,,,,,,,,
0xa0498cfa249bc5a542fa793407d47f31e0d090e1edf767bd1d72f7869bbbe534,beaconcha.in,3.25,135.0,56.0,416.0,207.0,,,,
0x5fea22432b5b5a6f836e2d7f40372234e9a4e5d987b229cdc548d2057124cf4e,Beam Wallet LLC,,20.0,5.0,4.0,16.0,,0.0016128031846473,698.0,2.0
0x13b31e6d44adbf64b745db28dfac1c8a4003a6e11b244e2cbf2f105b5d98b24a,Bedrock Contracts Architecture Diagram,,,,,,,,,
0x0217ac586cd82d3e19fb6e208aaa6a2d59b3fbbe43dc594749d1425f152a177e,bh2smith,,,,,,,,,
0xf52b29dee6155d61885345fc646a2e4de3258a9a51ff96f056ce2dcae02ae530,Bio.xyz,,,,,,,,,
0x1aec42dbae707e65b8df0cb3694858b9becf180a60dba20975e5a3e710c3dbef,BitcoinAddict Thailand ,,,,,,,,,
0xaa5c01558feace0ee3dde7cca66d30b81b6f097f26405aa0a4e6fdc1885adf5b,Blobscan,,20.0,2.0,8.0,20.0,,,,
0xce24df3f2e6686742dde97adb6eac3b7ce19a18fdcce2837e167484587f05404,Blockchain na Escola,,,,,,,,,
0xa0b2b4ff3008a56ad78eec7d7c11b5deb1602a484de651c269de3fda04fad0a0,Blockchain_Space,,,,,,,,,
0xdd13ea4a8294edb99dd6c59c65c5c15eae76e12ca23fdbe8d3141f3adb18198d,BlockchainOAU,,,,,,,,,
0x884d2033ce97d63efc7524f104572d0cae1d1ca48491a3774c26ccd922a15f5b,Blockhead: track/visualize/explore all of crypto/DeFi/web3 in ONE interface!,,25.0,1.0,43.0,13.0,,,,
0x0a70938874b0558c1ce25ba50bb3cf18125b55a92b22171205d41a79a2680974,Blocknative | Web3 Onboard,4.0,115.0,100.0,416.0,345.0,,,,
0x995fc63a5a0c6388a57c586d8fa75ec8f3bb29b6bdc065fe93358ae848092f9e,Blockscout Block Explorer,4.5,286.0,421.0,1870.0,520.0,,,,
0x0b2f10e6d718c30137841f1c2017c2aa0e5a16f11f3dd5e00c23ddd37f32e5a2,Blocktorch,,,,,,,,,
0x43b75ffb6854af47b5566238d3077e593e819ec422d95156bcee4234aebb2a40,Blocktrend (區塊勢),,,,,,,,,
0x09154033133226c880b4e0dbcf22d8e6a0e19eafe9c548787b6ec6ac92b0bc7d,blst Cryptography Library,0.5,26.0,18.0,137.0,125.0,,,,
0x6eea26d2a2688f111f327806c65629f56802de7bc1078cd7618887ebf4006486,Blue Norva,,,,,,,,,
0x7ab835fe64d2895755b3bbb798cd2164884ff924485993448394a28a1f854d33,BMX by Morphex,,,,,,,,,
0xde2cdac6214cb7c5ebabfbf74f0038b416910f207f41be680680db18e477a820,Boardroom,1.25,74.0,1.0,,260.0,,,,
0x0aa530ea27323da4a3e87aa9318d26fdbc7ce40e9567a13cb8b65dbbeef4db3f,Bob,,,,,,,,,
0x7b87da7a264b179034d1d09483889d744f7a77259049ee4afe742063167151db,Bonding Curve Research Group,,2.0,3.0,,6.0,,,,
0x2839cc9328681813ec1e29293cbec14d3b835ffd5c2ab3af0abc0acf160c27db,borderless,,,,,,,,,
0x9d2d5d4f6fe9b6eb701f06c046c56f54d3ea287fc76cd237d7cb03f7f34d316b,Bored Town NFT art community,,,,,,,,,
0x55b066faef9778562ef6b74addcd11c169bfa05d4d2b00fa56ab3d003a5246d9,Bress,,,,,,,,,
0xbf60aad61fe50124510ec9c2f806bea84a2cb24d9b1f820fec6f74eaa127e4a8,Brian Kim,,,,,,,,,
0x12f8c09e2283155c61201fcc0263c628c07a522d4681242cf91cbc954c28d4cf,Brichis,,,,,,,,,
0xa9833d02614a828dbce1c5a02c8c0bfd809fa0399db60f3ab9692a8421f01307,BrightID,1.25,144.0,7.0,59.0,103.0,,,,
0xa9b16b1e8a17444d945256acaf74dccd451bc330f809757af9b310b90cefa883,Builder Protocol,,34.0,8.0,28.0,48.0,,,,
0xa38d1ea3ce71d1aec3c40e3159aa2efeede0bed790b8c809488a3db69dbbb22b,Buildooor,,1.0,1.0,,,,,,
0xec28a8a5e5c37b7ed2633d2618df0b3c2ff0e3b1ffbdd401d317a90b5c884b9a,BunnyAI,,5.0,6.0,1.0,6.0,,,,
0xb1e3145980b63c6b80adad4ff345f8424b51b2885c13a411ffa6f37fba3aeb23,Bware Labs,,4.0,3.0,2.0,18.0,,,,
0xe166384404f3f711dc62738c7ae7493865b8130bfb02d281a97c0fd3a31e9705,c2ba,,,,,,,,,
0xf28fd827c67ce04a26b1ecf1f938d109f56c0977d5a2f0a0a7ecb14eb3276122,Candide,,31.0,8.0,15.0,40.0,1193.0,,,
0xdc0face64ba51ddef44e2735f61245b27d54351a77d1a838b15d447e5ac6fcd0,Cannon,0.5,50.0,19.0,12.0,45.0,35446.0,,,
0x0318efeb0360dac86e7d00df462f98e5b43b359cf6bc4f54ef857ea79d33ff0b,Cannon-rs,,1.0,4.0,2.0,22.0,,,,
0x74fa8a40b8989bbd3e3a9bebe3b3900f377be2f2feab6dc6a3d1272bbdf45b57,Cardo,,,,,,,,,
0x3b4636b476fecc9ad6d7ba3a0843ceaf1f3202b309de16a28e4f244bed98c2a5,Carlos Melgar,,,,,,,,,
0x497b9c9c4998c8766cda59603f34d2519cd0b52269d5269f372cb6983f4a5c1c,Castle Capital,,,,,,,,,
0x704e1ae65341be6d169ba16441f8fd7089da05c54ac709671afca0d1a459fee1,Chaineye,,0.0,,19.0,10.0,,,,
0x7d1e13db1b852828f7072e10fcfc179751c624f6a93929a3b5a4a6795d5bdec4,ChainList,2.25,31.0,174.0,1185.0,137.0,,,,
0x39be80ba67dcdc408202dce1462a12ef64cf5454f3b227f750d09c01c82918f9,ChainPatrol - Real Time Security protecting the OP Collective,,8.0,3.0,2.0,3.0,,,,
0x6b71f6d6aa0190ee949d08c706f772a90e600cc55972287fdb74cbafc2ba099e,CharmVerse,0.25,93.0,2.0,16.0,17.0,,,,
0x4f900f5b3f1521b7bbb2c2d1da5ebee6975fa0739aacb003d466f655eed324ae,Chronicle Labs,,41.0,5.0,27.0,66.0,,1.921093121049e-06,18.0,
0x84ecb27cf284c8208d4e5d3900b7d82ac73d30bd6de1aa5593e66db08b999f34,Cielo,,41.0,2.0,,11.0,,,,
0x0dcf0958585d5eee6ef0de0fab32b480fff80558028f096d8cd93d812f261b86,CII,,,,,,,,,
0x0517a9d930d480d5478b6b173e54376cd03ec48d17574baadde2a6322560c7a7,Clave (formerly Opclave),,43.0,9.0,71.0,74.0,,,,
0xbc143f0bb65bd6355dbda961519e124721b88349b53ff73c699ae785a8d60411,Client Side Proofs,,,,,,,,,
0xdc7d2186884c4635d06e1ba6c63ac036abeae77eaa753df024ad7029f6b63831,Clipper,2.0,0.0,1.0,,6.0,,0.5074888711760751,1473011.0,13063.0
0xa9260589617014351c0138126f203c9dbb72d5983bfd9aa48c7e312764d85097,Clique,1.25,10.0,8.0,1.0,13.0,,0.0702479231621442,199439.0,8619.0
0xae493e2a90529953b1fe3bc0e8232042935112e1b7a6ffad6a762b84b80e341b,Coinbold,,,,,,,,,
0x2be7f3d97285899944dc774d48ae5bb1c1df672d68fdee9c77e03b6974fdcb6d,coinman,,,,,,,,,
0x8c296435286bd1a2116dfe41c1323e27361af7931b007457bc5b754cfb6fdc55,Coinpassport,,2.0,,,1.0,,2.763218579896001e-06,35.0,5.0
0x9ce4de6780a17ff4dfbab6b255157c5ee3aad755b83a7a38de5667bc6609f700,Collab.Land,,,,,,,,,
0xe3e819b9059115915280be91f45afb951f907e7ba9208cb9f979bc0d1e58a45e,Commons Stack,0.25,81.0,5.0,1.0,84.0,,,,
0x636d999fedb8bb3b3973646e85e30a63e2861700bd98a2d8125c791e7d541937,CompareNodes,,,,,,,,,
0xf6e92ff9410d269f6e6659011dfdc4f3cbd59fee6736924bf7fb948c75ca5113,Conduit,,,,,,,,,
0xad1dd3ce07f04ed555f84a28aa95421353a89a7eb14145fd4b4239d44b4aeaef,Coop Records Music,,,,,,,,,
0xcec7aea98b44a9e53c771a33664e9349c0cfd6d9bb769a40c2acb8baf1a3beb1,Coordinape,1.75,123.0,3.0,57.0,87.0,,0.4396625800629297,92876.0,1835.0
0x2f13f29404a2aa8725336f24fcda2eadd5f15ef510db6063b5b0e5b49968c40d,Copin.io,,0.0,4.0,2.0,3.0,,,,
0xc3606287e34909a0402a4d95c142bfc460cacdcff60474f514e4e33f653ede76,Covalent,0.25,86.0,5.0,44.0,40.0,,,,
0x38f7def3a807b2947526a64a1b56f99589c84ff90a3144e1628218569fd66cf2,crate crypto,,31.0,11.0,25.0,81.0,,,,
0x759e6f42422f5e660ce8359097c72c9598219be2fe5eada718100e53dd9866cf,Crew,,,,,,,,,
0x8d2746b81e20c419e84f2148ab48fe51d028ebb53377039ed37e40f135f6feac,criptomommy,,,,,,,,,
0xc769fbdc23daaddf4267c4026326106783271a78f1be761c859c9f508ebe895e,CrossAngle (“Xangle”),,,,,,,,,
0xc2618c219f978482880af2ae3995632711a3c5a24039378e805604b1c1deee27,Crowdmuse,,0.0,2.0,,1.0,,,,
0x55de5c33ffd56e471340bf62a199c25f84f0c5564e7a6f2d6e8b3a4aaabeb8f7,Crust Network,1.25,105.0,61.0,59.0,58.0,,0.0006401815225882,7.0,
0xc8c29a526ab223c3ed963b4eca6a2e462a5e7b7fa33bf443b17d17a0a60e208c,cryo,0.5,4.0,27.0,47.0,136.0,,,,
0xaf6b794c61e26bd91422684b07eeef6d23baab119cdf060a98ae209f639370e7,Crypto Commons Association,,,,,,,,,
0x1d7420159a7ae784669c6d675dd4f88acaeda9ab56d762347797b19c6422e319,Crypto Fundraising,,,,,,,,,
0x49e4327985ab88c1578c65953b88e6e492fe9a0e850678c56cca6d023f56449e,Crypto Sapiens,,,,,,,,,
0x6939fbb2f2cbf416e355659b9bd2cdbbd322c098607bdff1d0a87974c176b180,Cryptoast,,,,,,,,,
0xc84d4bc9f541cc7905a3a5b68144b3a49ec97837e3713fe989520a31bcbe6087,CryptoConexión,,,,,,,,,
0xb7325aece5b94952d12d2042d7292bcb1bb217de28d55ed2d9f779a5bd1d0d76,CryptoDuck,,,,,,,,,
0x07aba0691e21259cd522100bb6e651d69ef63c8c2c12878c392cd6d89c9d2aba,Cryptola,,,,,,,,,
0x9d192d74ebbf2326632012667abda8b9c1c993cda9ee4fa3968bcc37607a7b24,cryptolawyer,,,,,,,,,
