transaction_date,address,cnt,total_transferred,total_transferred_in_tokens,net_transferred,net_transferred_in_tokens
2024-06-01,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,75,0.0,0.0,0.0,0.0
2024-06-02,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,39,0.0,0.0,0.0,0.0
2024-06-03,0x17a7f6a839fea3b716b43f9414ffc93131878bd2,1,0.0,0.0,0.0,0.0
2024-06-03,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,65,0.0,0.0,0.0,0.0
2024-06-04,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,29,0.0,0.0,0.0,0.0
2024-06-05,0x17a7f6a839fea3b716b43f9414ffc93131878bd2,1,0.0,0.0,0.0,0.0
2024-06-05,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,58,0.0,0.0,0.0,0.0
2024-06-06,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,47,0.0,0.0,0.0,0.0
2024-06-07,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,51,0.0,0.0,0.0,0.0
2024-06-08,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,55,0.0,0.0,0.0,0.0
2024-06-09,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,45,0.0,0.0,0.0,0.0
2024-06-10,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,47,0.0,0.0,0.0,0.0
2024-06-11,0x17a7f6a839fea3b716b43f9414ffc93131878bd2,1,0.0,0.0,0.0,0.0
2024-06-11,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,45,0.0,0.0,0.0,0.0
2024-06-12,0x17a7f6a839fea3b716b43f9414ffc93131878bd2,1,0.0,0.0,0.0,0.0
2024-06-12,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,40,0.0,0.0,0.0,0.0
2024-06-13,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,47,0.0,0.0,0.0,0.0
2024-06-14,0x17a7f6a839fea3b716b43f9414ffc93131878bd2,2,0.0,0.0,0.0,0.0
2024-06-14,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,44,0.0,0.0,0.0,0.0
2024-06-15,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,27,0.0,0.0,0.0,0.0
2024-06-16,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,24,0.0,0.0,0.0,0.0
2024-06-17,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,20,0.0,0.0,0.0,0.0
2024-06-18,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,20,0.0,0.0,0.0,0.0
2024-06-19,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,27,0.0,0.0,0.0,0.0
2024-06-20,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,56,0.0,0.0,0.0,0.0
2024-06-21,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,64,0.0,0.0,0.0,0.0
2024-06-22,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,56,0.0,0.0,0.0,0.0
2024-06-23,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,57,0.0,0.0,0.0,0.0
2024-06-24,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,57,0.0,0.0,0.0,0.0
2024-06-25,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,58,0.0,0.0,0.0,0.0
2024-06-26,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,52,0.0,0.0,0.0,0.0
2024-06-27,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,64,0.0,0.0,0.0,0.0
2024-06-28,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,67,0.0,0.0,0.0,0.0
2024-06-29,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,58,0.0,0.0,0.0,0.0
2024-06-30,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,58,0.0,0.0,0.0,0.0
2024-07-01,0x17a7f6a839fea3b716b43f9414ffc93131878bd2,1,0.0,0.0,0.0,0.0
2024-07-01,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,65,0.0,0.0,0.0,0.0
2024-07-02,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,65,0.0,0.0,0.0,0.0
2024-07-03,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,67,0.0,0.0,0.0,0.0
2024-07-04,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,27,0.0,0.0,0.0,0.0
2024-07-05,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,25,0.0,0.0,0.0,0.0
2024-07-06,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,21,0.0,0.0,0.0,0.0
2024-07-07,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,27,0.0,0.0,0.0,0.0
2024-07-08,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,30,0.0,0.0,0.0,0.0
2024-07-09,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,44,0.0,0.0,0.0,0.0
2024-07-10,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,110,0.0,0.0,0.0,0.0
2024-07-11,0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae,156,0.0,0.0,0.0,0.0
