project_id,project_name,applicant_type,applicant_address,applicant_ens,award_result,median_amount_result,ballot_result,quorum_result,included_in_ballots,included_in_lists,lists_min_amount,lists_quartile_1_amount,lists_median_amount,lists_quartile_3_amount,lists_max_amount,funding_reported_total,funding_reported_usd,funding_reported_op,vc_funding,has_token,impact_category
0x60085a98f5c48d97a28d7b45d193f9a734d1704e257df91827459b09565e0e47,Gitcoin Passport,PROJECT,0x83108A0653a14EAeB8301E7b10a37CfAc39C82f6,jkd.eth,99379.28,100000,60,true,60,10,50000,150000,150000,200000,420000,23475,23475,0,,,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION
0xa771de85e1b955ba11b2cb314b940ab3d9aab65fd27900fd54c7f7011c969d46,Alchemy,PROJECT,0x72EAa8ba8726a10D5e0d8441c592451C7C6670FC,alc.eth,74534.46,75000,59,true,59,10,14959,75000,105000,175000,313043,18879,18879,0,545000000,false,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION
0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,Metagov,PROJECT,0xa12f6928972B3B3C72259C7631BC1C37aA813C2e,,99379.28,100000,58,true,59,14,10000,45506,79002.5,100000,215347.43,0,0,0,,,COLLECTIVE_GOVERNANCE
0x0bcd7e1f59a78a15a8c481244aaba93b7f690aaece04ffc6e4a55e282afa309c,ZORA,PROJECT,0x8700B87C2A053BDE8Cdc84d5078B4AE47c127FeB,tyson.eth,99379.28,100000,59,true,59,9,120000,151923,200000,660000,1000000,0,0,0,50000000,false,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION|OP_STACK
0x257a1cd3636dacb61acfaf682f07d3753453246858145ba32c5de11284bd9c5a,RadicalxChange Foundation,PROJECT,0x3945D766185E2264900C84faC10958B3619C2bD4,,52755.99,53085.5,58,true,58,7,15000,50000,56171,150000,200000,95834.1915,0,70988.29,,,COLLECTIVE_GOVERNANCE|DEVELOPER_ECOSYSTEM
0xb1af1a67d6a94f233303d850c607aa1e26365237ab1376864a81d636ec0ebe0a,Rainbow Wallet,PROJECT,0x465E764B56429788e031160F66a5F9791193B56F,rainbowretropgf.eth,76445.53,76923,58,true,58,6,50000,76923,127500,182608,300000,0,0,0,18000000,false,END_USER_EXPERIENCE_AND_ADOPTION|OP_STACK
0x8526b3343ae97a1859ff98d7f7d414ba2f47735d62a84b94f5aef514b5260aa6,Edge & Node / The Graph,PROJECT,0x9e8B73b5563c9aF1C35e5Aad588B67B6A414576b,,67081.02,67500,58,true,58,5,46744,60872,76923,119926,139852,59000000,59000000,0,272100000,true,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION|OP_STACK
0x6f845346e36b53a2fadd37486b709d088aa4278cc5b3b0e3e9488b85ff450822,Rollup.codes,PROJECT,0x7d3F21bcb6C547737812A3213Ea105192f9e151f,,46083.66,46371.5,58,true,58,7,38462,50000,75000,100000,225000,0,0,0,,,DEVELOPER_ECOSYSTEM
0x9a3872d9d2a22b3d9e0cd88a7169fbc897a3aea36159e62253be38c06cf97bb2,Small Brain Games,PROJECT,0xa4eC807A15f389A2b9aC985eCcF4b08ddDDB6f9d,,114285.18,114999,57,true,57,8,28000,43477,92500,151923,1000000,381604.5,0,282670,,,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION
0x643b377b91001dfe0b6badb91cfb0b79ef97510ccf731cbeb29166cb2d55415a,Karma,PROJECT,0x7916Dba3A610B020d77c0CCFd4Bd717ee400A5f2,mmurthy.eth,69565.5,70000,57,true,57,14,4680,53836.86,94248,170930,200000,141750,0,105000,1100000,false,COLLECTIVE_GOVERNANCE|END_USER_EXPERIENCE_AND_ADOPTION|OP_STACK
