"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x824c0c1c73454fb00b7df18a93b96ae594063c684bd09174920c0f51c752edc1","16769986","1678113887","2023-03-06 14:44:47","0x9ee457023bb3de16d51a003a247baead7fce313d","0xafe5f7a1d1c173b311047cdc93729013ad03de0c","250,000","$250,005.26","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x21a742d2eb190d75583e125caa6ccd250b63718c691d86d157823d44068326b5","16936114","1680131399","2023-03-29 23:09:59","0xafe5f7a1d1c173b311047cdc93729013ad03de0c","0x2d9d84f4d8a4254ea23fe18825193cbd1b21b749","9,077.7","$9,085.16","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x21a742d2eb190d75583e125caa6ccd250b63718c691d86d157823d44068326b5","16936114","1680131399","2023-03-29 23:09:59","0xafe5f7a1d1c173b311047cdc93729013ad03de0c","0x4d9339dd97db55e3b9bcbe65de39ff9c04d1c2cd","18,185.7","$18,200.65","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x21a742d2eb190d75583e125caa6ccd250b63718c691d86d157823d44068326b5","16936114","1680131399","2023-03-29 23:09:59","0xafe5f7a1d1c173b311047cdc93729013ad03de0c","0xbc0b437c95c7165f7d1f7c966cb2227da52a27d7","817","$817.67","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x21a742d2eb190d75583e125caa6ccd250b63718c691d86d157823d44068326b5","16936114","1680131399","2023-03-29 23:09:59","0xafe5f7a1d1c173b311047cdc93729013ad03de0c","0xdf290293c4a4d6ebe38fd7085d7721041f927e0a","3,056.2","$3,058.71","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x21a742d2eb190d75583e125caa6ccd250b63718c691d86d157823d44068326b5","16936114","1680131399","2023-03-29 23:09:59","0xafe5f7a1d1c173b311047cdc93729013ad03de0c","0x9531c059098e3d194ff87febb587ab07b30b1306","10,863","$10,871.93","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x21a742d2eb190d75583e125caa6ccd250b63718c691d86d157823d44068326b5","16936114","1680131399","2023-03-29 23:09:59","0xafe5f7a1d1c173b311047cdc93729013ad03de0c","0x0e60a1d55337179904f99052f27d5f203dfcd009","1,331.4","$1,332.49","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x21a742d2eb190d75583e125caa6ccd250b63718c691d86d157823d44068326b5","16936114","1680131399","2023-03-29 23:09:59","0xafe5f7a1d1c173b311047cdc93729013ad03de0c","0x43a0744e8a1a63c481aadd5cea12833d6976f851","7,716","$7,722.34","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x21a742d2eb190d75583e125caa6ccd250b63718c691d86d157823d44068326b5","16936114","1680131399","2023-03-29 23:09:59","0xafe5f7a1d1c173b311047cdc93729013ad03de0c","0x809c9f8dd8ca93a41c3adca4972fa234c28f7714","3,025.9","$3,028.39","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x21a742d2eb190d75583e125caa6ccd250b63718c691d86d157823d44068326b5","16936114","1680131399","2023-03-29 23:09:59","0xafe5f7a1d1c173b311047cdc93729013ad03de0c","0x4a62ec005ad047ffe3ab7828f050ad531dc86891","2,481.2","$2,483.24","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
