package_name,dependency_github_url,package_source,min_version,max_version
anstyle-lossy,https://github.com/rust-cli/anstyle,RUST,0.1.1,1.1.3
anstyle-parse,https://github.com/rust-cli/anstyle,RUST,0.0.1,0.2.6
anstyle-query,https://github.com/rust-cli/anstyle,RUST,1.0.0,1.1.2
anstyle-svg,https://github.com/rust-cli/anstyle,RUST,0.1.0,0.1.7
anstyle-wincon,https://github.com/rust-cli/anstyle,RUST,0.0.1,3.0.7
anyhow,https://github.com/dtolnay/anyhow,RUST,0.0.0,1.0.98
aquamarine,https://github.com/mersinvald/aquamarine,RUST,0.0.0,0.6.0
arbitrary,https://github.com/rust-fuzz/arbitrary,RUST,0.1.0,1.4.1
arc-swap,https://github.com/vorner/arc-swap,RUST,0.1.0,1.7.1
archery,https://github.com/orium/archery,RUST,0.0.0,1.2.1
ariadne,https://github.com/zesterer/ariadne,RUST,0.0.0,2.0.0
ark-bls12-381,https://github.com/arkworks-rs/algebra,RUST,0.5.0-alpha.0,0.5.0
ark-bn254,https://github.com/arkworks-rs/algebra,RUST,0.5.0-alpha.0,0.5.0
ark-ec,https://github.com/arkworks-rs/algebra,RUST,0.2.0,0.5.0
ark-ff,https://github.com/arkworks-rs/algebra,RUST,0.2.0,0.5.0
ark-ff-asm,https://github.com/arkworks-rs/algebra,RUST,0.2.0,0.5.0
ark-ff-macros,https://github.com/arkworks-rs/algebra,RUST,0.2.0,0.5.0
ark-poly,https://github.com/arkworks-rs/algebra,RUST,0.2.0,0.5.0
ark-r1cs-std,https://github.com/arkworks-rs/r1cs-std,RUST,0.2.0,0.5.0
ark-relations,https://github.com/arkworks-rs/snark,RUST,0.2.0,0.5.1
ark-serialize,https://github.com/arkworks-rs/algebra,RUST,0.2.0,0.5.0
ark-serialize-derive,https://github.com/arkworks-rs/algebra,RUST,0.2.0,0.5.0
ark-std,https://github.com/arkworks-rs/std,RUST,0.2.0,0.5.0
arraydeque,https://github.com/andylokandy/arraydeque,RUST,0.1.2,0.5.1
arrayref,https://github.com/droundy/arrayref,RUST,0.1.0,0.3.9
arrayvec,https://github.com/bluss/arrayvec,RUST,0.1.0,0.7.6
ascii-canvas,https://github.com/lalrpop/ascii-canvas,RUST,0.0.1,4.0.0
asn1-rs,https://github.com/rusticata/asn1-rs,RUST,0.1.0,0.8.0-beta.1
asn1-rs-derive,https://github.com/rusticata/asn1-rs,RUST,0.1.0,0.7.0
asn1-rs-impl,https://github.com/rusticata/asn1-rs,RUST,0.1.0,0.3.0
asn1_der,https://github.com/kizzycode/asn1_der-rust,RUST,0.5.0,0.7.6
assert-json-diff,https://github.com/davidpdrsn/assert-json-diff,RUST,0.1.0,2.0.2
assert_matches,https://github.com/murarth/assert_matches,RUST,1.0.0,1.5.0
async-attributes,https://github.com/async-rs/async-attributes,RUST,0.1.0,1.1.2
async-channel,https://github.com/smol-rs/async-channel,RUST,0.1.0,2.3.1
async-compat,https://github.com/smol-rs/async-compat,RUST,0.1.0,0.2.4
async-compression,https://github.com/nullus157/async-compression,RUST,0.1.0-alpha.1,0.4.23
async-executor,https://github.com/smol-rs/async-executor,RUST,0.1.0,1.13.2
async-fs,https://github.com/smol-rs/async-fs,RUST,0.0.0,2.1.2
async-global-executor,https://github.com/keruspe/async-global-executor,RUST,0.1.0,3.1.0
async-io,https://github.com/smol-rs/async-io,RUST,0.1.0,2.4.0
async-lock,https://github.com/smol-rs/async-lock,RUST,0.1.0,3.4.0
async-lsp,https://github.com/oxalica/async-lsp,RUST,0.0.1,0.2.2
async-net,https://github.com/smol-rs/async-net,RUST,0.0.0,2.0.0
