artifact_name_owner,name,githubProjectLink,OSOName,categoryHasOsoName,artifact_namespace,artifact_name,fork_count,star_count,commit_count,project_name
filcat/ribs,RIBS,https://github.com/filcat/ribs,,True,filcat,ribs,2,26,373.0,{'filcat'}
filecoin-africa/education-outreach-repository,Filecoin Africa; Empowering Africa with Decentralized Future,https://github.com/filecoin-africa/education-outreach-repository,,False,filecoin-africa,education-outreach-repository,,,,
filecoin-nigeria/education-outreach,Filecoin Nigeria Community,https://github.com/filecoin-nigeria/education-outreach,,False,filecoin-nigeria,education-outreach,,,,
filecoin-project/community/discussions/74,Network Upgrade Coordinations,https://github.com/filecoin-project/community/discussions/74,,False,filecoin-project,community,,,,
filecoin-project/curio,The CalibrationNet Stability Project,https://github.com/filecoin-project/curio,,True,filecoin-project,curio,8,23,236.0,{'filecoin-project'}
filecoin-project/curio,Curio,https://github.com/filecoin-project/curio,curio,True,filecoin-project,curio,8,23,236.0,{'filecoin-project'}
filecoin-project/fildevsummit,FIL Dev Summit,https://github.com/filecoin-project/fildevsummit,,False,filecoin-project,fildevsummit,,,,
filecoin-project/filplus-registry,allocator.tech tooling,https://github.com/filecoin-project/filplus-registry,,False,filecoin-project,filplus-registry,5,0,215.0,{'filecoin-project'}
filecoin-project/filsnap,filsnap,https://github.com/filecoin-project/filsnap,,True,filecoin-project,filsnap,9,17,266.0,{'filecoin-project'}
filecoin-project/fips,FIP Editors,https://github.com/filecoin-project/fips,,False,filecoin-project,fips,164,312,829.0,{'filecoin-project'}
filecoin-project/fips,Filecoin Protocol R&D,https://github.com/filecoin-project/fips/,,False,filecoin-project,fips,164,312,829.0,{'filecoin-project'}
filecoin-project/go-f3,F3: Fast Finality for Filecoin,https://github.com/filecoin-project/go-f3,,True,filecoin-project,go-f3,6,9,436.0,{'filecoin-project'}
filecoin-project/lotus,FEVM application & tool builder DX,https://github.com/filecoin-project/lotus,,False,filecoin-project,lotus,1262,2838,11602.0,{'filecoin-project'}
filecoin-project/lotus,Lotus Client Implementation,https://github.com/filecoin-project/lotus,https://github.com/opensource-observer/oss-directory/blob/main/data/projects/f/filecoin-project.yaml,True,filecoin-project,lotus,1262,2838,11602.0,{'filecoin-project'}
filecoin-project/on-chain-voting,Power Voting,https://github.com/filecoin-project/on-chain-voting,,False,filecoin-project,on-chain-voting,0,2,39.0,{'filecoin-project'}
filecoin-project/ref-fvm,Filecoin Virtual Machine EVM Compatibility,https://github.com/filecoin-project/ref-fvm,https://www.opensource.observer/projects/ref-fvm,True,filecoin-project,ref-fvm,137,382,876.0,{'filecoin-project'}
filecoin-project/ref-fvm,builtin-actors and ref-fvm maintenance 🔧,https://github.com/filecoin-project/ref-fvm,,True,filecoin-project,ref-fvm,137,382,876.0,{'filecoin-project'}
filecoin-project/rust-fil-proofs,Filecoin Proofs,https://github.com/filecoin-project/rust-fil-proofs,,True,filecoin-project,rust-fil-proofs,314,491,1298.0,{'filecoin-project'}
filecoin-project/venus,venus,https://github.com/filecoin-project/venus,filecoin-project-venus,True,filecoin-project,venus,462,2058,2263.0,{'filecoin-project'}
filecoin-project/venus-wallet,venus-wallet,https://github.com/filecoin-project/venus-wallet,filecoin-project-venus-wallet,True,filecoin-project,venus-wallet,16,19,164.0,{'filecoin-project'}
filecoin-south-africa-community/impact,Filecoin South Africa Community,https://github.com/filecoin-south-africa-community/impact,,False,filecoin-south-africa-community,impact,,,,
filecoin-station/spark,Filecoin Spark,https://github.com/filecoin-station/spark,,False,filecoin-station,spark,2,9,86.0,{'filecoin-station'}
filedag-project/filedag-storage,filedag-storage,https://github.com/filedag-project/filedag-storage,filedag-project-filedag-storage,True,filedag-project,filedag-storage,5,10,173.0,{'filedag-project'}
filedrive-team/filejoy,filejoy,https://github.com/filedrive-team/filejoy,filedrive-team-filejoy,True,filedrive-team,filejoy,1,3,82.0,{'filedrive-team'}
filedrive-team/go-ds-cluster,go-ds-cluster,https://github.com/filedrive-team/go-ds-cluster,filedrive-team-go-ds-cluster,True,filedrive-team,go-ds-cluster,1,18,199.0,{'filedrive-team'}
filedrive-team/go-graphsplit,go-graphsplit,https://github.com/filedrive-team/go-graphsplit,filedrive-team-go-graphsplit,True,filedrive-team,go-graphsplit,30,43,87.0,{'filedrive-team'}
filedrive-team/go-parallel-graphsync,go-parallel-graphsync,https://github.com/filedrive-team/go-parallel-graphsync,filedrive-team-go-parallel-graphsync,True,filedrive-team,go-parallel-graphsync,0,5,101.0,{'filedrive-team'}
filforge/pylotus-rpc,pylotus-rpc,https://github.com/filforge/pylotus-rpc,filforge,True,filforge,pylotus-rpc,0,1,165.0,{'filforge'}
filozone/ddo,Direct Data Onboarding,https://github.com/filozone/ddo,,False,filozone,ddo,,,,
filozone/fil-implemeter-wg/tree/main,Fil Implementers WG,https://github.com/filozone/fil-implemeter-wg/tree/main,,False,filozone,fil-implemeter-wg,,,,
filpunks/retropgf,FilPunks NFT,https://github.com/filpunks/retropgf,,False,filpunks,retropgf,,,,
filscriptions1/filscriptions,Filscriptions,https://github.com/filscriptions1/filscriptions,,False,filscriptions1,filscriptions,,,,
freedomhz/rpgf-filminerfnfo,fil-minerinfo-SafeMatrix,https://github.com/freedomhz/rpgf-filminerfnfo,fil-miner-management,True,freedomhz,rpgf-filminerfnfo,,,,
gh-efforts/distribution,distribution @gh,https://github.com/gh-efforts/distribution,distribution,True,gh-efforts,distribution,0,1,0.0,{'distribution-gh-efforts'}
gh-efforts/lotus-monitor,Lotus Monitor (Monitoring Plugin),https://github.com/gh-efforts/lotus-monitor,Lotus Monitor,True,gh-efforts,lotus-monitor,0,2,0.0,{'lotus-monitor-gh-efforts'}
gitdataai/jzfs,JZFS,https://github.com/gitdataai/jzfs,,True,gitdataai,jzfs,5,74,251.0,{'gitdataai'}
glifio/filecoin-iac,Glif Nodes & RPC API service,https://github.com/glifio/filecoin-iac,glifio,True,glifio,filecoin-iac,2,13,443.0,{'glifio'}
govxs/evaluating-voting-design-tradeoffs-for-retro-funding ,GovXS – Evaluating Retro Funding Voting Designs,https://github.com/govxs/evaluating-voting-design-tradeoffs-for-retro-funding ,,False,govxs,evaluating-voting-design-tradeoffs-for-retro-funding ,,,,
grayareaorg/dweb-curriculum,DWeb for Creators,https://github.com/grayareaorg/dweb-curriculum,,False,grayareaorg,dweb-curriculum,1,0,20.0,{'grayareaorg'}
herrehesse/datahorizon,Data Horizon,https://github.com/herrehesse/datahorizon,https://github.com/cryptowhizzard,True,herrehesse,datahorizon,,,,
hill168/filecoinhill,IPFS及Filecoin价值资讯传递（南山居士Hill）,https://github.com/hill168/filecoinhill,,False,hill168,filecoinhill,,,,
hugomrdias/filecoin,iso-filecoin,https://github.com/hugomrdias/filecoin,,True,hugomrdias,filecoin,,,,
ipfs-force-community/damocles,damocles,https://github.com/ipfs-force-community/damocles,ipfs-force-community-damocles,True,ipfs-force-community,damocles,22,21,1529.0,{'ipfs-force-community'}
ipfs-force-community/droplet,droplet,https://github.com/ipfs-force-community/droplet,ipfs-force-community-droplet,True,ipfs-force-community,droplet,20,21,621.0,{'ipfs-force-community'}
ipfs-force-community/filscan-backend,Filecoin BlockChain explorer,https://github.com/ipfs-force-community/filscan-backend,ipfs-force-community-filescan,True,ipfs-force-community,filscan-backend,1,1,21.0,{'ipfs-force-community'}
ipfs-force-community/gevulot-fil,gevulot-fil,https://github.com/ipfs-force-community/gevulot-fil,ipfs-force-community-gevulot-fil,True,ipfs-force-community,gevulot-fil,0,0,2.0,{'ipfs-force-community'}
ipfs-force-community/go-fvm-sdk,go-fvm-sdk,https://github.com/ipfs-force-community/go-fvm-sdk,ipfs-force-community-go-fvm-sdk,True,ipfs-force-community,go-fvm-sdk,4,30,127.0,{'ipfs-force-community'}
ipfs-force-community/gpuproxy,gpuproxy,https://github.com/ipfs-force-community/gpuproxy,ipfs-force-community-gpuproxy,True,ipfs-force-community,gpuproxy,6,4,85.0,{'ipfs-force-community'}
ipfs-force-community/metrics,metrics,https://github.com/ipfs-force-community/metrics,ipfs-force-community-metrics,True,ipfs-force-community,metrics,2,0,53.0,{'ipfs-force-community'}
ipfs-force-community/sophon-auth,sophon-auth,https://github.com/ipfs-force-community/sophon-auth,ipfs-force-community-sophon-auth,True,ipfs-force-community,sophon-auth,12,7,266.0,{'ipfs-force-community'}
ipfs-force-community/sophon-co,sophon-co,https://github.com/ipfs-force-community/sophon-co,ipfs-force-community-sophon-co,True,ipfs-force-community,sophon-co,7,5,230.0,{'ipfs-force-community'}
ipfs-force-community/sophon-gateway,Sophon-gateway,https://github.com/ipfs-force-community/sophon-gateway,ipfs-force-community-sophon-gateway,True,ipfs-force-community,sophon-gateway,6,6,356.0,{'ipfs-force-community'}
ipfs-force-community/sophon-messager,sophon-messager,https://github.com/ipfs-force-community/sophon-messager,ipfs-force-community-sophon-messager,True,ipfs-force-community,sophon-messager,16,13,297.0,{'ipfs-force-community'}
ipfs-force-community/sophon-miner,sophon-miner,https://github.com/ipfs-force-community/sophon-miner,ipfs-force-community-sophon-miner,True,ipfs-force-community,sophon-miner,18,20,564.0,{'ipfs-force-community'}
ipfs-force-community/venus-common-utils,venus-common-utils,https://github.com/ipfs-force-community/venus-common-utils,ipfs-force-community-venus-common-utils,True,ipfs-force-community,venus-common-utils,1,0,11.0,{'ipfs-force-community'}
ipfs-force-community/venus-hub,Venus-hub,https://github.com/ipfs-force-community/venus-hub,,False,ipfs-force-community,venus-hub,1,0,80.0,{'ipfs-force-community'}
ipfs-force-community/venus-tool,venus-tool,https://github.com/ipfs-force-community/venus-tool,ipfs-force-community-venus-tool,True,ipfs-force-community,venus-tool,0,4,115.0,{'ipfs-force-community'}
ipfs/boxo,Boxo and Kubo,https://github.com/ipfs/boxo,https://www.opensource.observer/artifacts/github/ipfs/boxo,True,ipfs,boxo,92,210,599.0,{'ipfs'}
ipfs/helia,Helia,https://github.com/ipfs/helia,https://www.opensource.observer/artifacts/github/ipfs/helia,True,ipfs,helia,105,937,374.0,{'ipfs'}
ipfs/ipfs-desktop,IPFS Desktop and IPFS Companion,https://github.com/ipfs/ipfs-desktop,,False,ipfs,ipfs-desktop,865,5994,300.0,{'ipfs'}
ipni/storetheindex,Interplanetary Network Indexers,https://github.com/ipni/storetheindex,ipni,True,ipni,storetheindex,21,78,2234.0,{'ipni'}
irmago/orbitchinarpgf,Orbit China Region,https://github.com/irmago/orbitchinarpgf,,False,irmago,orbitchinarpgf,,,,
kenada88/destor,DeStor,https://github.com/kenada88/destor,,False,kenada88,destor,,,,
kencloud-tech/prolly-tree-oracle,Prolly Tree Indexed Data Oracle for IPLD,https://github.com/kencloud-tech/prolly-tree-oracle,,True,kencloud-tech,prolly-tree-oracle,,,,
kernelogic/kfda-ts,Kernelogic Fil+ Datacap Allocator (KFDA),https://github.com/kernelogic/kfda-ts,kfda-kernelogic,True,kernelogic,kfda-ts,0,0,0.0,{'kfda-kernelogic'}
libp2p/go-libp2p,go-libp2p,https://github.com/libp2p/go-libp2p,https://www.opensource.observer/artifacts/github/libp2p/go-libp2p,True,libp2p,go-libp2p,1068,6045,2809.0,{'libp2p'}
libp2p/libp2p,libp2p Ecosystem,https://github.com/libp2p/libp2p,libpp,True,libp2p,libp2p,259,2628,58.0,{'libp2p'}
libp2p/rust-libp2p,Rust-Libp2p,https://github.com/libp2p/rust-libp2p,libp2p,True,libp2p,rust-libp2p,946,4545,3108.0,{'libp2p'}
msquarehub/retropgf-design,MSquare(RPGF Design team),https://github.com/msquarehub/retropgf-design,,False,msquarehub,retropgf-design,,,,
ndlabs-leo/rpgf2---ndlabs,NDLabs,https://github.com/ndlabs-leo/rpgf2---ndlabs,,False,ndlabs-leo,rpgf2---ndlabs,,,,
ndlabs-leo/rpgf2---ndlabs-storagestats,StorageStats Retrieve,https://github.com/ndlabs-leo/rpgf2---ndlabs-storagestats,storagestats,True,ndlabs-leo,rpgf2---ndlabs-storagestats,,,,
nftstorage/nft.storage-flagship-preservation-public-good,NFT.Storage - Long-Term Storage Flagship Product,https://github.com/nftstorage/nft.storage-flagship-preservation-public-good,https://www.opensource.observer/projects/nftstorage,True,nftstorage,nft.storage-flagship-preservation-public-good,0,2,10.0,{'nftstorage'}
nftstorage/nft.storage-flagship-preservation-public-good,NFT.Storage: Education & Outreach Initiatives,https://github.com/nftstorage/nft.storage-flagship-preservation-public-good,,False,nftstorage,nft.storage-flagship-preservation-public-good,0,2,10.0,{'nftstorage'}
nijoe1/quadb,QUADB,https://github.com/nijoe1/quadb,quadb-nijoe1,True,nijoe1,quadb,,,,
nodedao/hashking-fil,HashKing- Fil Staking,https://github.com/nodedao/hashking-fil,NodeDAO,True,nodedao,hashking-fil,,,,
opengate01/opengate-nft-marketplace,OpenGate,https://github.com/opengate01/opengate-nft-marketplace,,False,opengate01,opengate-nft-marketplace,,,,
opengatelab/fns,Filecoin Domain Name Service (FNS),https://github.com/opengatelab/fns,,False,opengatelab,fns,,,,
opensource-observer/oso,Open Source Observer,https://github.com/opensource-observer/oso,,False,opensource-observer,oso,16,71,1111.0,{'opensource-observer'}
orgs/fil-builders,FIL Builder Community,https://github.com/orgs/fil-builders,,False,orgs,fil-builders,,,,
orgs/fil-builders,Filecoin On-chain Developer Experience,https://github.com/orgs/fil-builders,fil-builders,True,orgs,fil-builders,,,,
pp1314car/wanjia-storage.git,Wanjia Storage,https://github.com/pp1314car/wanjia-storage.git,,False,pp1314car,wanjia-storage.git,,,,
probe-lab/hermes,"ProbeLab (probelab.io): building tools for P2P layer monitoring, measurements and analytics",https://github.com/probe-lab/hermes,`hermes-probe-lab` (https://github.com/opensource-observer/oss-directory/blob/main/data/projects/h/hermes-probe-lab.yaml),True,probe-lab,hermes,5,21,132.0,{'hermes-probe-lab'}
protofire/genesis-ark-ansible,Genesis Ark [Beta Test],https://github.com/protofire/genesis-ark-ansible,,False,protofire,genesis-ark-ansible,,,,
retriev-protocol/core,Retriev - Contracts for retrieval guarantees,https://github.com/retriev-protocol/core,,False,retriev-protocol,core,,,,
rpcpool/yellowstone-faithful,Old Faithful,https://github.com/rpcpool/yellowstone-faithful,,True,rpcpool,yellowstone-faithful,,,,
rpcpool/yellowstone-faithful,Solana Ledger on Filecoin,https://github.com/rpcpool/yellowstone-faithful,,True,rpcpool,yellowstone-faithful,,,,
s0nik42/lotus-farcaster,Farcaster,https://github.com/s0nik42/lotus-farcaster,,False,s0nik42,lotus-farcaster,68,98,83.0,{'lotus-farcaster-s0nik42'}
samflan875/web3forgood,Web3ForGood,https://github.com/samflan875/web3forgood,,False,samflan875,web3forgood,,,,
storswiftlabs/drand-rs,Drand-RS,https://github.com/storswiftlabs/drand-rs,,True,storswiftlabs,drand-rs,1,2,4.0,{'storswiftlabs'}
strahe/curio-dashboard,Curio Dashboard,https://github.com/strahe/curio-dashboard,curio-dashboard-strahe,True,strahe,curio-dashboard,0,0,44.0,{'curio-dashboard-strahe'}
strahe/extend,Filecoin Extend (Sector Renewal Tool),https://github.com/strahe/extend,filecoin-extend-strahe,True,strahe,extend,0,0,14.0,{'filecoin-extend-strahe'}
ttsszzyy/tdrive.git,TDrive,https://github.com/ttsszzyy/tdrive.git,,True,ttsszzyy,tdrive.git,,,,
twinquasar/green,The Green Hosting Offer,https://github.com/twinquasar/green,,True,twinquasar,green,0,2,14.0,{'twinquasar'}
vxblocks/boost,Fast Retrieval Car Files,https://github.com/vxblocks/boost,,True,vxblocks,boost,,,,
vxblocks/filecoin-utils,Vxblocks Filecoin Utils,https://github.com/vxblocks/filecoin-utils,,True,vxblocks,filecoin-utils,,,,
webtransitions/initiatives,Ed25519 in Web Browsers (WebTransitions.org),https://github.com/webtransitions/initiatives/,web-transitions,True,webtransitions,initiatives,0,0,1.0,{'webtransitions'}
womenbiz/filecoin,Womenbiz - Filecoin Impact,https://github.com/womenbiz/filecoin,,False,womenbiz,filecoin,0,0,10.0,{'womenbiz'}
xutianyi1999/commp_worker,Commp-Worker,https://github.com/xutianyi1999/commp_worker,,True,xutianyi1999,commp_worker,,,,
xutianyi1999/treed_gpu,TreeD-GPU,https://github.com/xutianyi1999/treed_gpu,,True,xutianyi1999,treed_gpu,0,6,43.0,{'treed-gpu-xutianyi1999'}
yaadyindia/yaadyindia.git,OrbitVault,https://github.com/yaadyindia/yaadyindia.git,OrbitVault,True,yaadyindia,yaadyindia.git,,,,
yhio/lotus-pilot,Lotus Pilot (Worker Switching Tool),https://github.com/yhio/lotus-pilot,,True,yhio,lotus-pilot,,,,
yhio/ltoy,Lotus LevelDB-To-YugabyteDB (Boost Migration Tool) ,https://github.com/yhio/ltoy,,True,yhio,ltoy,,,,
yhio/rbot,Rbot,https://github.com/yhio/rbot,,True,yhio,rbot,,,,
zenground0/onramp-contracts,Cross Chain Onramp POC,https://github.com/zenground0/onramp-contracts,,False,zenground0,onramp-contracts,,,,
zondax/rfpg-beryx-api,Beryx Filecoin API,https://github.com/zondax/rfpg-beryx-api,,True,zondax,rfpg-beryx-api,,,,
zondax/web-beryx-explorer,Beryx Explorer,https://github.com/zondax/web-beryx-explorer,,True,zondax,web-beryx-explorer,1,4,5.0,{'zondax'}
zondax/web-hub,Filecoin Ledger App & Installation Hub,https://github.com/zondax/web-hub,,True,zondax,web-hub,,,,
