artifact_name_owner,name,githubProjectLink,OSOName,categoryHasOsoName,artifact_namespace,artifact_name,fork_count,star_count,commit_count,project_name
  starboard-ventures/filecoin-network-health-dashboard,Network Health Dashboard,  https://github.com/starboard-ventures/filecoin-network-health-dashboard,,False,  starboard-ventures,filecoin-network-health-dashboard,,,,
ancients-research/retropgf,Ancients Research,https://github.com/ancients-research/retropgf,,False,ancients-research,retropgf,,,,
aschmahmann/filexp,filexp,https://github.com/aschmahmann/filexp,,True,aschmahmann,filexp,1,11,33.0,{'filexp-aschmahmann'}
asia-spwg/retropgf,Asia Storage Provider Working Group,https://github.com/asia-spwg/retropgf,,False,asia-spwg,retropgf,,,,
auralgenius/agcore,AuralGenius,https://github.com/auralgenius/agcore,,False,auralgenius,agcore,,,,
beck-8/filplus,FILPlus Data Calculation,https://github.com/beck-8/filplus,,True,beck-8,filplus,1,0,0.0,{'filplus-beck-8'}
celtd/builtin-actors/tree/fip0081,Consensus Pledge design flaw fix,https://github.com/celtd/builtin-actors/tree/fip0081,,False,celtd,builtin-actors,,,,
"celtd/mechafil-jax-web-levers, celtd/sp_cost_web ",Filecoin Supply Simulation,"https://github.com/celtd/mechafil-jax-web-levers, https://github.com/celtd/sp_cost_web ",,False,celtd,"mechafil-jax-web-levers, celtd",,,,
celtd/voting_mechanism_design  ,Voting Analysis for Retroactive Public Goods Funding,https://github.com/celtd/voting_mechanism_design  ,,False,celtd,voting_mechanism_design  ,,,,
chainsafe/filecoin-community-services,ChainSafe Filecoin Community Services,https://github.com/chainsafe/filecoin-community-services,,True,chainsafe,filecoin-community-services,,,,
chainsafe/forest,Forest,https://github.com/chainsafe/forest,forest-chainsafe,True,chainsafe,forest,157,637,2191.0,{'forest-chainsafe'}
chainsafe/forest,Forest Archive,https://github.com/chainsafe/forest,forest-chainsafe,True,chainsafe,forest,157,637,2191.0,{'forest-chainsafe'}
cidgravity/nextcloud-cidgravity-gateway-app,CIDgravity Nextcloud App,https://github.com/cidgravity/nextcloud-cidgravity-gateway-app,,False,cidgravity,nextcloud-cidgravity-gateway-app,0,1,8.0,{'cidgravity'}
cryptoblarabi/filecoinarabic,Filecoin Arabia,https://github.com/cryptoblarabi/filecoinarabic,,False,cryptoblarabi,filecoinarabic,,,,
cryptowhizzard/curio-oldfaithful, Old Faithful <> CURIO,https://github.com/cryptowhizzard/curio-oldfaithful,,True,cryptowhizzard,curio-oldfaithful,,,,
dannyob/orbit-fil-retropgf-2,Filecoin Orbit Ambassadors II,https://github.com/dannyob/orbit-fil-retropgf-2,,False,dannyob,orbit-fil-retropgf-2,,,,
dataseekcn/ipfs-vscode-extension,IPFS VS Code Extension,https://github.com/dataseekcn/ipfs-vscode-extension,https://www.opensource.observer/projects/dataseekcn,True,dataseekcn,ipfs-vscode-extension,1,5,26.0,{'dataseekcn'}
davidgasquez/filecoin-data-portal,Filecoin Data Portal,https://github.com/davidgasquez/filecoin-data-portal,,False,davidgasquez,filecoin-data-portal,,,,
decentraschool/decentraclasses,Decentraclasses,https://github.com/decentraschool/decentraclasses,,False,decentraschool,decentraclasses,0,1,103.0,{'decentraschool'}
dspytdao/dspyt-homepage,Dspyt,https://github.com/dspytdao/dspyt-homepage,,False,dspytdao,dspyt-homepage,0,6,338.0,{'dspytdao'}
dspytdao/evm-explorer,EVM Explorer,https://github.com/dspytdao/evm-explorer,EVM Explorer,True,dspytdao,evm-explorer,0,1,1.0,{'dspytdao'}
dukesoft/filecoin-spade-client,Spade Client,https://github.com/dukesoft/filecoin-spade-client,spade-client,True,dukesoft,filecoin-spade-client,0,0,6.0,{'spade-client-dukesoft'}
eastore-project/fildeal,Eastore,https://github.com/eastore-project/fildeal,,True,eastore-project,fildeal,1,0,6.0,{'eastore-project'}
fidlabs/filplus-dashboard-webapp,Datacapstats 2.0,https://github.com/fidlabs/filplus-dashboard-webapp,datacapstats,True,fidlabs,filplus-dashboard-webapp,,,,
