name,githubProjectLink,OSOName,categoryHasOsoName,repo_name_with_owner,repo_owner,repo_name,is_org,verified_oso_name,fork_count,star_count,created_at,updated_at,status
Fast Retrieval Car Files,https://github.com/VxBlocks/boost,,True,vxblocks/boost,vxblocks,boost,False,,,,,,4_could_not_match_to_oso
Vxblocks Filecoin Utils,https://github.com/VxBlocks/filecoin-utils,,True,vxblocks/filecoin-utils,vxblocks,filecoin-utils,False,,,,,,4_could_not_match_to_oso
Commp-Worker,https://github.com/xutianyi1999/commp_worker,,True,xutianyi1999/commp_worker,xutianyi1999,commp_worker,False,,,,,,4_could_not_match_to_oso
OrbitVault,https://github.com/Yaadyindia/Yaadyindia.git,OrbitVault,True,yaadyindia/yaadyindia,yaadyindia,yaadyindia,False,,,,,,4_could_not_match_to_oso
Lotus Pilot (Worker Switching Tool),https://github.com/yhio/lotus-pilot,,True,yhio/lotus-pilot,yhio,lotus-pilot,False,,,,,,4_could_not_match_to_oso
Lotus LevelDB-To-YugabyteDB (Boost Migration Tool) ,https://github.com/yhio/LtoY,,True,yhio/ltoy,yhio,ltoy,False,,,,,,4_could_not_match_to_oso
Rbot,https://github.com/yhio/rbot,,True,yhio/rbot,yhio,rbot,False,,,,,,4_could_not_match_to_oso
Ancients Research,https://github.com/Ancients-Research/retroPGF,,False,ancients-research/retropgf,ancients-research,retropgf,False,,,,,,5_no_oso_name
Asia Storage Provider Working Group,https://github.com/Asia-SPWG/retroPGF,,False,asia-spwg/retropgf,asia-spwg,retropgf,False,,,,,,5_no_oso_name
AuralGenius,https://github.com/auralgenius/agcore,,False,auralgenius/agcore,auralgenius,agcore,False,,,,,,5_no_oso_name
Consensus Pledge design flaw fix,https://github.com/CELtd/builtin-actors/tree/fip0081,,False,celtd/builtin-actors/tree/fip0081,celtd,builtin-actors,False,,,,,,5_no_oso_name
Filecoin Supply Simulation,https://github.com/CELtd/mechafil-jax-web-levers,,False,celtd/mechafil-jax-web-levers,celtd,mechafil-jax-web-levers,False,,,,,,5_no_oso_name
Filecoin Supply Simulation,https://github.com/CELtd/sp_cost_web,,False,celtd/sp_cost_web,celtd,sp_cost_web,False,,,,,,5_no_oso_name
Voting Analysis for Retroactive Public Goods Funding,https://github.com/celtd/voting_mechanism_design  ,,False,celtd/voting_mechanism_design,celtd,voting_mechanism_design,False,,,,,,5_no_oso_name
CrossFi,https://github.com/crossfidao,,False,crossfidao,crossfidao,,True,,,,,,5_no_oso_name
Filecoin Arabia,https://github.com/Cryptoblarabi/FilecoinArabic,,False,cryptoblarabi/filecoinarabic,cryptoblarabi,filecoinarabic,False,,,,,,5_no_oso_name
Filecoin Orbit Ambassadors II,https://github.com/dannyob/orbit-fil-retropgf-2,,False,dannyob/orbit-fil-retropgf-2,dannyob,orbit-fil-retropgf-2,False,,,,,,5_no_oso_name
Filecoin Africa; Empowering Africa with Decentralized Future,https://github.com/Filecoin-Africa/Education-Outreach-Repository,,False,filecoin-africa/education-outreach-repository,filecoin-africa,education-outreach-repository,False,,,,,,5_no_oso_name
Filecoin Nigeria Community,https://github.com/Filecoin-Nigeria/Education-Outreach,,False,filecoin-nigeria/education-outreach,filecoin-nigeria,education-outreach,False,,,,,,5_no_oso_name
Network Upgrade Coordinations,https://github.com/filecoin-project/community/discussions/74,,False,filecoin-project/community/discussions/74,filecoin-project,community,False,,,,,,5_no_oso_name
FIL Dev Summit,https://github.com/filecoin-project/fildevsummit,,False,filecoin-project/fildevsummit,filecoin-project,fildevsummit,False,,,,,,5_no_oso_name
Power Voting,https://github.com/filecoin-project/on-chain-voting,,False,filecoin-project/on-chain-voting,filecoin-project,on-chain-voting,False,,,,,,5_no_oso_name
Filecoin South Africa Community,https://github.com/Filecoin-South-Africa-Community/Impact,,False,filecoin-south-africa-community/impact,filecoin-south-africa-community,impact,False,,,,,,5_no_oso_name
Fil Implementers WG,https://github.com/FilOzone/FIL-Implemeter-WG/tree/main,,False,filozone/fil-implemeter-wg/tree/main,filozone,fil-implemeter-wg,False,,,,,,5_no_oso_name
FilPunks NFT,https://github.com/FilPunks/retroPGF,,False,filpunks/retropgf,filpunks,retropgf,False,,,,,,5_no_oso_name
Filscriptions,https://github.com/Filscriptions1/Filscriptions,,False,filscriptions1/filscriptions,filscriptions1,filscriptions,False,,,,,,5_no_oso_name
IPFS及Filecoin价值资讯传递（南山居士Hill）,https://github.com/Hill168/filecoinhill,,False,hill168/filecoinhill,hill168,filecoinhill,False,,,,,,5_no_oso_name
Filecoin Memes,https://github.com/hipiyushhere,,False,hipiyushhere,hipiyushhere,,True,,,,,,5_no_oso_name
Orbit China Region,https://github.com/irmago/OrbitChinaRPGF,,False,irmago/orbitchinarpgf,irmago,orbitchinarpgf,False,,,,,,5_no_oso_name
DeStor,https://github.com/kenada88/destor,,False,kenada88/destor,kenada88,destor,False,,,,,,5_no_oso_name
KEN Labs,https://github.com/kencloud-tech,,False,kencloud-tech,kencloud-tech,,True,,,,,,5_no_oso_name
MSquare(RPGF Design team),https://github.com/MsquareHub/RetroPGF-Design,,False,msquarehub/retropgf-design,msquarehub,retropgf-design,False,,,,,,5_no_oso_name
NDLabs,https://github.com/NDLABS-Leo/RPGF2---NDLabs,,False,ndlabs-leo/rpgf2---ndlabs,ndlabs-leo,rpgf2---ndlabs,False,,,,,,5_no_oso_name
Energy Validation Process & Green Scores Methodology,https://github.com/NovaEnergyAI,,False,novaenergyai,novaenergyai,,True,,,,,,5_no_oso_name
Open Impact Foundation,https://github.com/oif-admin,,False,oif-admin,oif-admin,,True,,,,,,5_no_oso_name
OpenGate,https://github.com/OpenGate01/OpenGate-NFT-Marketplace,,False,opengate01/opengate-nft-marketplace,opengate01,opengate-nft-marketplace,False,,,,,,5_no_oso_name
Filecoin Domain Name Service (FNS),https://github.com/OpenGateLab/FNS,,False,opengatelab/fns,opengatelab,fns,False,,,,,,5_no_oso_name
Wanjia Storage,https://github.com/pp1314car/Wanjia-Storage.git,,False,pp1314car/wanjia-storage,pp1314car,wanjia-storage,False,,,,,,5_no_oso_name
Genesis Ark [Beta Test],https://github.com/protofire/genesis-ark-ansible,,False,protofire/genesis-ark-ansible,protofire,genesis-ark-ansible,False,,,,,,5_no_oso_name
Retriev - Contracts for retrieval guarantees,https://github.com/retriev-protocol/core,,False,retriev-protocol/core,retriev-protocol,core,False,,,,,,5_no_oso_name
Web3ForGood,https://github.com/samflan875/Web3ForGood,,False,samflan875/web3forgood,samflan875,web3forgood,False,,,,,,5_no_oso_name
USDfil Stablecoin,https://github.com/usdfil,,False,usdfil,usdfil,,True,,,,,,5_no_oso_name
Filecoin Kenya Community,https://github.com/Wengi-web,,False,wengi-web,wengi-web,,True,,,,,,5_no_oso_name
Cross Chain Onramp POC,https://github.com/ZenGround0/onramp-contracts,,False,zenground0/onramp-contracts,zenground0,onramp-contracts,False,,,,,,5_no_oso_name
