date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-ether__dot__fi_vaults_protocol,forecasted_TVL_opchain-ether__dot__fi_vaults_protocol
2024-09-01 00:00:00,41.53127584874924,10.593899982373165,28.41701426004119,0.00027119272203358116,2635107082545.5527,1067.257686430615,516450145.732615,487434938.4487577
2024-09-02 00:00:00,52.61635036618007,10.314004819956757,30.789063389522042,0.0005400234086712697,1236296423127.8503,37.67392728129916,543504356.8654568,544313135.6233786
2024-09-03 00:00:00,39.28828560369168,11.529947774608786,8.607358548876336,0.0005472183348562676,1204026856576.2615,1361.6256416458596,577077625.5939612,529781275.3398791
2024-09-04 00:00:00,21.15650647836597,3.4123821729505717,16.604520683601383,0.00047689494299120726,531377560177338.4,1248.5738007877999,642694287.3303244,479714738.8452429
2024-09-05 00:00:00,25.00413986245052,15.989358036700825,24.983506407276362,0.0005478961774873064,687036617509172.9,2357.4296139491157,743432035.7869004,463393725.6961764
2024-09-06 00:00:00,34.22855659296113,16.647813832527937,14.875035491222354,0.0005853960795274802,373957685049057.06,2070.827131613124,772338553.1139773,495740461.9786733
2024-09-07 00:00:00,12.181877840103411,48.06065758410791,9.719068797249129,0.0003166727072377444,86932503191091.33,407.63215362217113,630514017.2486444,456919966.9873648
2024-09-08 00:00:00,73.6636578815967,35.56915558414269,12.548268375206684,0.00046473649700194854,65808263755435.945,338.74744140343273,587461994.5761383,491344577.4887155
2024-09-09 00:00:00,28.76576610003928,30.424178410212765,20.136185501598256,0.0006596076198653542,38173505598023.8,256.8980617586673,479777927.54337186,461001215.57802147
2024-09-10 00:00:00,25.18696902371066,22.132468560047457,18.448688895485326,0.0003463844729494622,48418536028535.48,1294.716163644571,246943289.9925973,433387007.1685708
2024-09-11 00:00:00,29.953358753651223,18.779528897192815,20.03846398291467,0.0003458459554525848,33881753569389.516,915.2183961530532,87504623.81959346,442268555.4875596
2024-09-12 00:00:00,36.38563649792668,16.922713170866253,13.817780467733817,0.0004981089169285169,40710100195707.72,1214.3976601372833,33651446.83141018,435220341.4090515
2024-09-13 00:00:00,40.419149970733535,39.53300384181282,23.689843052807745,0.00032029369951174365,128699478196515.58,1451.127281888367,19906217.80155337,423720065.0214852
2024-09-14 00:00:00,18.203657405697374,35.43403840266862,20.30479149173635,0.0003749108866311675,407065426784537.1,3453.4678820715576,26917252.685391128,451033329.1058046
2024-09-15 00:00:00,38.5082262599043,50.12608541471718,20.427428029937683,0.00047376157971990913,501950328746755.7,3896.5902895437434,95191495.21476209,460104908.73590946
2024-09-16 00:00:00,25.367602501619285,24.204122284563585,11.830310147796123,0.0006212971209097189,224500063839768.56,2855.136693348918,791512509.8188269,444511162.6101606
2024-09-17 00:00:00,32.76829362164777,29.60025866386127,29.55635513497376,0.0006801725594926225,188778637115838.62,3802.626730388528,11295069072.856585,428319551.1407258
2024-09-18 00:00:00,38.669724553599764,29.096542991317488,25.502672329800124,0.0005646813271457292,198017745842346.62,2288.441160050906,279098757457.45917,443977270.3350355
2024-09-19 00:00:00,19.909604787031377,23.292885822182544,23.078250088215512,0.00039818205896083856,22753442771563.19,2128.882452139079,12407165718907.645,418463833.57647115
2024-09-20 00:00:00,31.61010681179638,24.774629728513595,24.80297010239929,0.00033173914344656745,89291742523477.6,3864.4973013162758,669281712694483.5,429944176.69203115
2024-09-21 00:00:00,28.971951023406447,37.95166220624005,22.814272586031194,0.00037050268296596415,341175976501883.2,3939.3432499095893,3.828702361378926e+16,426120320.03071797
2024-09-22 00:00:00,29.945142984232035,26.914474572096122,17.315825937857422,0.0006329673160697324,234810012124642.9,7184.801052006273,2.406554967609977e+18,406810135.1964309
2024-09-23 00:00:00,33.51288083355269,29.94732956714163,24.921214551104782,0.0005039999063795822,233191112475661.06,6126.402814168695,2.0215471911260878e+20,460227134.2720963
2024-09-24 00:00:00,35.229515550728486,37.10920355726219,22.392305395736894,0.0006344174105935279,4573799689808088.0,8057.9897253354675,1.1920892678272453e+22,446095674.75408083
2024-09-25 00:00:00,14.115074109082855,31.44305606580871,66.95199290912845,0.00035377021581057194,43734687454252.31,5397.324050309286,2.704422653465155e+23,382236770.1077462
2024-09-26 00:00:00,28.232741933293532,29.47125543567765,23.422037683817095,0.00045907449139857023,45363080369433.14,6970.379682163998,1.6965610335328975e+24,406156461.62105554
2024-09-27 00:00:00,25.338079512577792,21.16941906363622,38.554462160893664,0.0005143533727143227,33966652233239.797,5118.205830617408,4.131794535191245e+24,392674983.85865504
2024-09-28 00:00:00,60.70840091733203,30.34423503514084,14.018423852075896,0.0005727370180710097,21553997739743.56,9537.411871898654,5.531477309470557e+24,404210564.9239703
2024-09-29 00:00:00,41.917231238942044,21.772445772354953,12.877837874539885,0.00047721242787860817,27152015653647.72,12431.722037352745,5.507725941035617e+24,422478545.23809505
2024-09-30 00:00:00,58.745594317498984,40.035206724679,22.36608180203428,0.00040252837919443397,17090548960117.633,3931.247453998469,3.987457110351188e+24,387136348.3405542
2024-10-01 00:00:00,37.194948711852646,16.198438874797777,25.02431636344773,0.0005474255892133553,288175272330.6317,9648.533615608156,1.9344336264997048e+24,418664486.4442398
2024-10-02 00:00:00,39.270084671768565,21.014441129058593,18.234531927087748,0.0003680169657004631,305686277888.1571,6515.376722081157,7.097434736150568e+23,425009142.5068146
2024-10-03 00:00:00,38.99170034515269,24.760560836663785,27.64425923260753,0.0004507313882163705,666551828271.8715,7862.364111125294,2.3395206127438686e+23,451914945.83522373
2024-10-04 00:00:00,43.02399845302573,24.71097604235524,47.288261426220544,0.00047239564424009857,11907869882919.785,6044.3640141720125,7.459289440473379e+22,437481480.62765217
2024-10-05 00:00:00,44.50074749999171,15.508897782367095,41.82607813679123,0.0006158131576858214,43979342523581.49,8464.544689889663,2.3684366810204084e+22,414588037.011245
2024-10-06 00:00:00,35.52203776155272,21.70902502760545,18.028358241213965,0.0005159064292147399,74783695714981.47,6542.4159628863135,8.540351876891772e+21,443810612.3934127
2024-10-07 00:00:00,36.16729910220932,54.56359535539487,17.702730145819356,0.00035944843961006,650903764852.0941,548.7618046108291,3.687509629513289e+21,432600273.0574505
