protocol,TVL-pvalue,TVL-percent_change,TVL-tstat,TVL_opchain-pvalue,TVL_opchain-percent_change,TVL_opchain-tstat
renzo_protocol,0.04075262278349867,-0.0935,2.052676621059263,0.0,0.8312,-16.78151147447724
frax_swap_protocol,0.0,-0.6385,24.74818005793752,0.0,2.691,-16.154833740039653
ether__dot__fi_vaults_protocol,0.0,0.9857,-9.17375224560621,0.0,5.5302,-16.681243019078916
kelp_rseth_protocol,0.0,0.5501,-10.624276808097425,1.9437099485486442e-08,0.226,-5.776489084633506
compound_v2_protocol,0.0,-0.4952,14.653967966104489,9.387593448817455e-06,0.3196,-4.483856555959306
tlx_finance_protocol,1.7463319679222877e-10,-0.5323,6.854243021859994,0.0,-0.5703,17.941232163657155
origin_protocol,4.851197698085841e-05,0.1809,-4.0678659805775705,0.0,-0.4021,14.352449918901177
extra_finance_leverage_farming_protocol,0.0,1.1712,-13.832123314151964,0.208240964074335,-0.0465,1.262270071859354
lets_get_hai_protocol,0.05397753506164782,-0.0456,1.9341835148783415,0.718912933135575,-0.0087,0.3603043378635735
derive_v2_protocol,0.0,0.7345,-9.760368318544362,0.00046282199117131384,-0.1295,3.5287988541819937
compound_v2_protocol,0.0,-0.4952,14.653967966104489,6.566447814604359e-06,0.3282,-4.562520381374319
beefy,0.0,-0.3714,17.190628407733726,2.679763305923899e-06,0.0475,-4.837151193736117
origin_protocol,4.851197698085841e-05,0.1809,-4.0678659805775705,0.0,-0.4053,14.49153916789632
contango_v1_protocol,0.0,5.522,-11.284419745678985,0.0,53.7523,-13.20236811199411
velodrome_v3_protocol,0.0,-0.5889,24.037178582962486,0.0,4.7325,-19.432523844784544
uniswap_v1_protocol,0.0,-0.4316,21.163309201247532,0.7973423018759336,0.0034,-0.2570485193776982
uniswap_v1_protocol,0.0,-0.4316,21.163309201247532,0.4965163118461833,0.0084,-0.6809360747932833
idle_protocol,0.0,-0.8318,35.48973632248422,1.1546319456101628e-14,-0.3267,8.365966281370687
dforce,0.0,-0.9684,27.570898661231652,1.2951724137622023e-09,1.4168,-6.584327748326912
ionic_protocol_protocol,0.007411666561961905,-0.1155,2.6949407854672907,0.0,-0.2712,14.067769668074472
wemix_on_kroma_protocol,0.0,-0.4346,10.908019254002953,0.9296934734452351,0.002,-0.08831506717080585
derive_v2_protocol,0.0,0.7345,-9.760368318544362,0.029145095893720274,-0.0848,2.188793923265267
balmy_protocol,0.033107541959722875,-0.0512,2.1338373593808995,0.0038152545448042474,0.0537,-2.9193066291627354
extra_finance_leverage_farming_protocol,0.0,1.1712,-13.832123314151964,0.15932422344342756,-0.0516,1.4123495196994107
resolv,3.597122599785507e-13,5.2929,-7.684867146342843,3.526068326209497e-13,5.3028,-7.688327806192518
