General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,Transaction Count,Transaction Count,Transaction Count,Transaction Count,Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Active Users,Active Users,Active Users,Active Users,Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Unique Users,Unique Users,Unique Users,Unique Users,Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Total Transferred,Total Transferred,Total Transferred,Total Transferred,Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Net Transferred,Net Transferred,Net Transferred,Net Transferred,Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),TVL,TVL,TVL,TVL,TVL (forecasted),TVL (forecasted),TVL (forecasted),TVL (forecasted),Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted)
Project Name,Round,Cycle,Grant Status,Grant Amount,Grant Recieved (to date)?,Date Funds Recieved,Balance Left (to date),Date Range,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted
Boosting LRT adoption with Compound Finance,Grants Season 6,Cycle 26,Sent,120000,False,2024-09-01 00:00:00,120000,2024-06-14 - 2025-01-22,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,-0.0125,0.0216,0.9827846688869653,0.9828,6.1867,-2.6577,0.008761542378664666,0.0088,-0.1315,3.1937,0.0016874264859541022,0.0017,0.0968,-1.4719,0.14214542137947772,0.1421,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TLX - Leveraged Tokens Protocol,Grants Season 6,Cycle 28,Passed,100000,False,2024-09-01 00:00:00,100000,2024-06-01 - 2025-01-22,,-2.7761,0.006238766079175839,0.0062,,-2.7761,0.006238766079175839,0.0062,,-2.9003,0.004317385915374228,0.0043,,-2.9003,0.004317385915374228,0.0043,,-1.0,0.3189996491678162,0.3190,,-1.0,0.3189996491678162,0.3190,,,,nan,,,,nan,,,,nan,,,,nan,-0.6422,8.936,6.661338147750939e-15,6.66e-15,-0.5191,9.0114,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OETH on OP (2 of 3),Grants Season 6,Cycle 26,Passed,29978,False,2024-09-01 00:00:00,29978,2024-04-09 - 2025-01-22,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.0951,1.9842,0.048863866199044814,0.0489,0.1804,-2.4489,0.014930554444900768,0.0149,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Extra Finance S6 Mission Application,Grants Season 6,Cycle 26,Sent,136000,False,2024-09-01 00:00:00,136000,2024-06-01 - 2025-01-22,-0.9509,4.6968,8.938644498579507e-06,8.94e-06,-0.8361,7.753,3.0664359940146824e-13,3.07e-13,-0.9496,4.6524,1.0635938069381012e-05,1.06e-05,-0.8991,12.0506,0.0,0.00e+00,-0.9559,4.4343,2.484319589335371e-05,2.48e-05,-0.8585,6.8979,3.3906433216657206e-11,3.39e-11,,,,nan,,,,nan,3.6819,-7.123,4.454880908610903e-11,4.45e-11,3.3605,-6.9964,9.020117985869547e-11,9.02e-11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Let's Get HAI,Grants Season 6,Cycle 26,Sent,115000,False,2024-09-01 00:00:00,115000,2024-06-01 - 2025-01-22,,-2.3705,0.019100171653551934,0.0191,,-2.3705,0.019100171653551934,0.0191,,-2.3705,0.019100171653551934,0.0191,,-2.3705,0.019100171653551934,0.0191,,-1.4192,0.15802130731507869,0.1580,,-1.4192,0.15802130731507869,0.1580,,,,nan,,,,nan,,,,nan,,,,nan,-0.3153,8.3579,6.8833827526759706e-15,6.88e-15,-0.0646,1.0481,0.295475496541598,0.2955,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Derive (Formerly Lyra) Chain - Intent 3B,Grants Season 6,Cycle 26,Sent,400000,False,2024-09-01 00:00:00,400000,2024-06-11 - 2025-01-22,0.3016,-0.7396,0.46029972945636377,0.4603,0.9171,-2.3533,0.01995124660491321,0.0200,0.2148,-0.5944,0.5528268810043124,0.5528,0.4941,-1.7237,0.08686732211747472,0.0869,-0.6204,0.985,0.3266431515936663,0.3266,-0.3972,0.889,0.3752324865503569,0.3752,,,,nan,,,,nan,,,,nan,,,,nan,-0.0224,0.41,0.6823739232302048,0.6824,0.2238,-2.8647,0.004544107322045798,0.0045,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OP - Besu/Hildr,Grants Season 6,Cycle 26,Team non responsive,137362,False,2024-09-01 00:00:00,137362,2024-06-06 - 2025-01-22,-0.3958,0.4492,0.6541848701987738,0.6542,0.64,-0.741,0.45986691609929475,0.4599,0.2083,-0.2208,0.8254415809953917,0.8254,1.2596,-1.1253,0.26232963135410037,0.2623,-0.3958,0.3602,0.7190306405340836,0.7190,0.9535,-0.4873,0.6267589836182377,0.6268,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Yield Bearing asset utility with Compound,Grants Season 6,Cycle 27,Sent,180000,False,2024-09-01 00:00:00,180000,2024-06-14 - 2025-01-22,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,-0.0125,0.0216,0.9827846688869653,0.9828,5.7934,-2.6328,0.009397871443120431,0.0094,-0.1315,3.1937,0.0016874264859541022,0.0017,0.0796,-1.2217,0.22284592539032455,0.2228,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beefy - mooBIFI,Grants Season 6,Cycle 27,Sent,70000,False,2024-09-01 00:00:00,70000,2024-06-01 - 2025-01-22,0.4198,-0.9652,0.335445325561881,0.3354,1.459,-2.3355,0.02090361956067799,0.0209,-0.0108,0.0369,0.9705858363412156,0.9706,0.5481,-1.9618,0.051695854233577476,0.0517,-1.0,2.3664,0.020081198602742045,0.0201,-1.0,18.6663,0.0,0.00e+00,,,,nan,,,,nan,,,,nan,,,,nan,-0.1481,4.0175,9.28676026497044e-05,9.29e-05,0.0535,-0.864,0.38831606367836047,0.3883,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Enable High-Frequency Execution Across the Superchain,Grants Season 6,Cycle 27,Passed,2500,False,2024-09-01 00:00:00,2500,2024-08-05 - 2025-01-22,-0.9736,1.9034,0.06810907574825031,0.0681,-0.8493,13.9747,0.0,0.00e+00,-0.8269,3.9546,0.0004533869572223015,0.0005,-0.7769,11.556,0.0,0.00e+00,-1.0,1.0,0.3265270222606158,0.3265,-1.0,17.5946,0.0,0.00e+00,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
