General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,Transaction Count,Transaction Count,Transaction Count,Transaction Count,Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Active Users,Active Users,Active Users,Active Users,Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Unique Users,Unique Users,Unique Users,Unique Users,Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Total Transferred,Total Transferred,Total Transferred,Total Transferred,Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Net Transferred,Net Transferred,Net Transferred,Net Transferred,Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),TVL,TVL,TVL,TVL,TVL (forecasted),TVL (forecasted),TVL (forecasted),TVL (forecasted),Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted)
Project Name,Round,Cycle,Grant Status,Grant Amount,Grant Recieved (to date)?,Date Funds Recieved,Balance Left (to date),Date Range,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted
Uniswap: LRT Grant,Grants Season 6,Cycle 28,Sent,120000,False,2024-09-01 00:00:00,120000,2024-06-01 - 2025-01-22,0.433,-2.5834,0.010392032121484318,0.0104,1.1079,-6.5892,7.075244834453542e-10,7.08e-10,0.249,-1.7526,0.08098262849320959,0.0810,1.0057,-7.188,2.851985314578087e-11,2.85e-11,0.0328,-0.2336,0.8155343717860384,0.8155,0.6369,-4.8345,3.217709537262081e-06,3.22e-06,,,,nan,,,,nan,1.2631,-10.1489,0.0,0.00e+00,1.2356,-14.3127,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mint Blockchain- grow the Superchain NFT economy,Grants Season 6,Cycle 28,Passed,250000,True,2024-11-18 00:00:00,0,2024-09-13 - 2025-01-17,0.4412,-7.2841,6.391731588450966e-11,6.39e-11,0.484,-10.073,0.0,0.00e+00,0.2692,-4.4109,3.2907834096596034e-05,3.29e-05,-0.0475,1.0691,0.28859258102687235,0.2886,0.1538,-0.4337,0.6653634663777597,0.6654,1.9337,-4.0717,0.0001371578730164913,0.0001,3.3336,-12.4881,0.0,0.00e+00,4.9189,-14.7031,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0321,-2.5406,0.012507910333124483,0.0125,0.0625,-1.8685,0.06619539783287531,0.0662,-0.0068,0.1703,0.8651807656275101,0.8652,0.13,-3.3625,0.00113962909503873,0.0011
Idle - Credit Vaults III,Grants Season 6,Cycle 28,Sent,140000,False,2024-09-01 00:00:00,140000,2024-06-01 - 2025-01-22,0.2345,-3.4578,0.0006804253294696583,0.0007,0.6109,-7.0736,4.027045363841353e-11,4.03e-11,0.0307,-0.3815,0.7032137307900208,0.7032,0.1615,-2.4275,0.016200208023469997,0.0162,-0.1157,0.8428,0.40021880267371923,0.4002,0.1281,-1.0533,0.29388175469054967,0.2939,0.6081,-1.1262,0.2612415307482241,0.2612,10.3069,-4.3963,2.1335853676696104e-05,2.13e-05,3.2543,-12.0801,0.0,0.00e+00,3.5868,-12.7552,0.0,0.00e+00,-0.6472,26.8113,0.0,0.00e+00,-0.5276,10.1716,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dForce on OP (Resubmission II),Grants Season 6,Cycle 28,Passed,70000,False,2024-09-01 00:00:00,70000,2024-06-26 - 2025-01-22,5.3976,-5.267,3.5324007474635266e-07,3.53e-07,10.9346,-6.5238,1.100776136908621e-09,1.10e-09,4.816,-6.0627,6.2681215773352505e-09,6.27e-09,8.6766,-7.6616,2.5195401320843303e-12,2.52e-12,1.8581,-2.4565,0.014998406107056272,0.0150,2.4237,-3.7353,0.0002601730191615914,0.0003,,,,nan,,,,nan,,,,nan,,,,nan,1.3873,-5.9454,2.016183398012572e-08,2.02e-08,1.4475,-5.9327,1.8870941920212658e-08,1.89e-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alchemix Grant Request,Grants Season 6,Cycle 28,Passed,50000,True,2024-12-17 00:00:00,0,2024-11-09 - 2025-01-22,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,-1.4343,0.16012407999050993,0.1601,,-1.4343,0.16012407999050993,0.1601,-0.7235,8.3313,3.750690868997708e-10,3.75e-10,0.0524,-0.1171,0.9070962312615232,0.9071,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Toros Finance,Grants Season 6,Cycle 28,Sent,50000,False,2024-09-01 00:00:00,50000,2024-11-15 - 2025-01-22,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Strands,Grants Season 6,Cycle 28,Passed,50000,False,2024-09-01 00:00:00,50000,2024-06-06 - 2025-01-22,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pyth Network: Infrastructure Subsidies,Grants Season 6,Cycle 28,Passed,70000,False,2024-09-01 00:00:00,70000,2024-06-02 - 2025-01-22,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,1.3494,-2.0343,0.04366398434746732,0.0437,-1.0,-2.1397,0.03407728313483793,0.0341,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ionic Superchain Borrow/Lend Aggregator,Grants Season 6,Cycle 28,Passed,3000,False,2024-09-01 00:00:00,3000,2024-04-09 - 2025-01-22,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.4086,10.9557,0.0,0.00e+00,-0.2103,3.7586,0.00020715061673315383,0.0002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pyth Network: Decentralized Solvers (Pyth Express Relay),Grants Season 6,Cycle 28,Passed,70000,False,2024-09-01 00:00:00,70000,2024-04-09 - 2025-01-22,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kroma Intent 3B Grants Application,Grants Season 6,Cycle 28,Passed,500000,False,2024-09-01 00:00:00,500000,2024-06-02 - 2025-01-17,0.5138,-2.2394,0.026095910174728454,0.0261,1.8657,-6.5596,7.377369826144786e-10,7.38e-10,0.6147,-2.4502,0.015030665853001945,0.0150,2.0295,-6.6879,4.3226044965649635e-10,4.32e-10,-0.7414,3.9198,0.00016865453762271443,0.0002,0.1367,-1.1452,0.25388805798015146,0.2539,-0.151,0.7386,0.4608916838372983,0.4609,0.277,-1.4973,0.13620750015915029,0.1362,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.6189,5.077,7.961958627955568e-07,7.96e-07,-0.5982,6.7951,2.0156609714661045e-10,2.02e-10,0.3259,-1.5935,0.11242794174321946,0.1124,-0.2254,2.5968,0.010106679757838632,0.0101
Derive (Formerly Lyra) Chain - Intent 3B Take 2,Grants Season 6,Cycle 28,Passed,700000,False,2024-09-01 00:00:00,700000,2024-06-02 - 2025-01-17,0.0389,-0.771,0.44151909860444527,0.4415,0.0485,-1.3148,0.18965225830375165,0.1897,0.1989,-9.7402,0.0,0.00e+00,0.1718,-6.2323,2.3231225831921165e-09,2.32e-09,-0.3153,0.8341,0.4050911544216429,0.4051,1.0983,-1.5303,0.12821913899076698,0.1282,0.7915,-1.9478,0.05266920702170985,0.0527,4697405.2354,-5.8222,3.8891401654694846e-08,3.89e-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0597,-1.0243,0.30712097370597125,0.3071,0.2818,-3.6741,0.0002994683697314926,0.0003,-0.0716,6.0251,6.724505619004617e-09,6.72e-09,-0.0313,1.2178,0.2250162345108162,0.2250,-0.1179,8.3413,6.8833827526759706e-15,6.88e-15,-0.1123,5.0261,1.1591391388954264e-06,1.16e-06
Polynomial Chain,Grants Season 6,Cycle 28,Passed,400000,False,2024-09-01 00:00:00,400000,2024-12-23 - 2025-01-22,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spearbit/Cantina for Balmy,Grants Season 6,Cycle 28,Passed,70000,False,2024-09-01 00:00:00,70000,2024-06-06 - 2025-01-22,-0.3958,0.4492,0.6541848701987738,0.6542,0.4549,-0.5927,0.5542658589018374,0.5543,0.2083,-0.2208,0.8254415809953917,0.8254,1.488,-1.2067,0.22951286633193013,0.2295,-0.3958,0.3602,0.7190306405340836,0.7190,1.3725,-0.5777,0.5643921095248259,0.5644,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Autonomint Security Grant Application,Grants Season 6,Cycle 28,Passed,49500,False,2024-09-01 00:00:00,49500,2024-06-06 - 2025-01-22,1.1146,-0.7275,0.46765856748998336,0.4677,10.7629,-1.6666,0.09777349152235737,0.0978,1.4167,-0.9089,0.3643653044117654,0.3644,16.2136,-1.9034,0.058997447374232515,0.0590,-0.3958,0.3602,0.7190306405340836,0.7190,0.1949,-0.1628,0.870879530123525,0.8709,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Extra Finance Security Grant Application,Grants Season 6,Cycle 28,Passed,28850,False,2024-09-01 00:00:00,28850,2024-06-06 - 2025-01-22,1.1146,-0.7275,0.46765856748998336,0.4677,65.3274,-1.7942,0.07489431336118502,0.0749,1.4167,-0.9089,0.3643653044117654,0.3644,20.6926,-1.9276,0.05588407462547118,0.0559,-0.3958,0.3602,0.7190306405340836,0.7190,4.8084,-0.8273,0.4094418682547709,0.4094,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Clusters.xyz,Grants Season 6,Cycle 28,Passed,35000,False,2024-09-01 00:00:00,35000,2024-06-06 - 2025-01-22,-0.3958,0.4492,0.6541848701987738,0.6542,0.6796,-0.7691,0.44309585472841384,0.4431,0.2083,-0.2208,0.8254415809953917,0.8254,1.509,-1.2135,0.22693232201497104,0.2269,-0.3958,0.3602,0.7190306405340836,0.7190,-0.1057,0.1179,0.9062749600434452,0.9063,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alchemix Audit Grant Request (Cyfrin),Grants Season 6,Cycle 28,Passed,14741,False,2024-09-01 00:00:00,14741,2024-12-13 - 2025-01-22,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Resolv Labs Security Grant Application,Grants Season 6,Cycle 28,Passed,31500,False,2024-09-01 00:00:00,31500,2024-06-06 - 2025-01-22,1.1146,-0.7275,0.46765856748998336,0.4677,3.8778,-1.4478,0.14985218993491634,0.1499,1.4167,-0.9089,0.3643653044117654,0.3644,13.5655,-1.882,0.06186549340971226,0.0619,-0.3958,0.3602,0.7190306405340836,0.7190,2.0564,-0.6715,0.5029947305404043,0.5030,,,,nan,,,,nan,,,,nan,,,,nan,0.9454,-3.5041,0.0006112265141893225,0.0006,1.4165,-4.199,4.6195565236661906e-05,4.62e-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
QuantAMM Audit Grant Request (Cyfrin),Grants Season 6,Cycle 28,Passed,49600,False,2024-09-01 00:00:00,49600,2024-12-13 - 2025-01-22,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
