date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-ether__dot__fi_liquid_protocol,forecasted_TVL_opchain-ether__dot__fi_liquid_protocol,forecasted_TVL-ether__dot__fi_stake_protocol,forecasted_TVL_opchain-ether__dot__fi_stake_protocol,forecasted_TVL-ether__dot__fi_vaults_protocol,forecasted_TVL_opchain-ether__dot__fi_vaults_protocol
2024-09-17 00:00:00,36.4846579451141,24.177619996982312,27.701591826280715,0.0002928847223495813,32061519575033.055,7536.270426616263,602302422.109869,592434841.449141,4711383442.822029,5216738120.701363,239535218674.8253,582390817.582968
2024-09-18 00:00:00,41.40637375700259,32.22077440319708,31.751635211692495,0.0003771983418745247,95108070532536.28,10340.464026211546,568596941.5202298,597092720.6304071,4781278915.002654,4766661102.67311,1274026657057.9128,552965671.5351803
2024-09-19 00:00:00,45.48855557394924,26.513117536027355,27.406112061046695,0.0005293871006531965,371452642397707.6,5689.495690826348,539128185.2466836,566874079.7589693,4555838395.456368,5167029784.442263,6343030332459.87,593578286.6071547
2024-09-20 00:00:00,50.46778769142387,30.559544018971092,26.72336884042054,0.00039161537202217196,322726991999335.3,5336.690513198559,557719508.376925,550916014.97898,4594557586.278506,4798504756.887584,28955725824556.68,474930476.7004671
2024-09-21 00:00:00,42.69020056308394,32.85745290046241,30.087521020632952,0.0005281893852344618,339664612076396.44,7605.5838500157715,652610488.7090027,549199049.1882693,4655579249.940444,5119564411.739751,118219173776427.98,469477442.88261914
2024-09-22 00:00:00,33.274206579151894,37.09555099676419,27.321115242037543,0.0009823862325348909,365791561338034.75,8173.469731796601,718245645.7412821,528486886.5263062,4879037948.5072975,4923145680.6053915,423447706847863.06,504073823.92706215
2024-09-23 00:00:00,51.57851660171112,17.086472100832673,26.072828130449572,0.0004557194535396584,254351554286256.1,10896.138656427074,677141405.1763082,564220162.5069859,4579110587.350852,5244961368.459468,1808672205291452.5,502479732.3909443
2024-09-24 00:00:00,62.73798777660102,53.39775198863023,40.256983030666284,0.0006500152315473092,318933997379056.9,9737.153199026017,732314172.2080336,538852713.2627611,4765311364.404809,5580960187.425617,6501691440828420.0,491767286.0587918
2024-09-25 00:00:00,14.756491548140913,46.80866003617472,39.95258958382211,0.00034448084543185265,95349078014531.98,6376.1114938200135,752532671.2190511,492160529.02092135,4804452648.110063,4768442769.303395,1.438303342878139e+16,435188617.2747895
2024-09-26 00:00:00,9.505058976658509,21.254730835124256,21.33844021965427,0.00027701177127339684,69090591313106.555,7410.472072850279,781428156.9269699,476077501.0305903,4726872734.281081,5871581623.521258,1.916859492344077e+16,450561700.23529154
2024-09-27 00:00:00,19.686857334361385,35.865251081900524,35.01317267109449,0.0001804312359002132,69842765829348.016,9394.534032809828,833254767.8116127,481142945.4554931,4920632170.303404,5608142386.770236,2.8464058326554164e+16,447959512.5446045
2024-09-28 00:00:00,20.807851025044418,50.83666338913782,46.05641430460654,0.0005293256823726742,255513553391.25394,8735.072056927438,827688879.0397726,481646122.3921582,5280817624.524628,5604726928.280369,5.197154092782341e+16,422415268.37592286
2024-09-29 00:00:00,39.18248003163503,49.31740412560049,20.463820036381673,0.00043068373586015337,4184373865.5445046,9415.71190486211,826591696.4088694,498735001.25818217,5605088540.257445,5132396574.6489315,1.0944268315835458e+17,449453549.72354627
2024-09-30 00:00:00,28.858255981427202,42.78396753144283,25.422165064839167,0.0005399767639663903,243625741.38190958,7191.0739573511355,966868348.1146426,476375101.2253047,4751154779.610693,5570313993.775591,2.028904511572451e+17,441137312.8986137
2024-10-01 00:00:00,26.526015590178226,24.649369377553274,20.216123388002526,0.0005650868170157828,853202993082.6923,8889.388886032202,991884876.0240277,552047377.3035663,4728521655.074311,5012466241.63702,2.9540074211118464e+17,487459199.7115145
2024-10-02 00:00:00,16.922557660537752,51.91444202746864,30.892515727366202,0.0007538287893643616,5543361518537.201,3173.5649120248013,1088016122.343184,518908005.2163756,4931937977.539834,5108330770.857123,4.219056771965442e+17,503127024.3630342
2024-10-03 00:00:00,17.184009949128583,40.663016369225836,16.702181642134875,0.00042149852874772553,711167099866605.0,5003.392392410516,1171246837.5994036,624646614.7354923,4993173767.427012,5324880851.950644,5.983918393058415e+17,527697306.7431771
2024-10-04 00:00:00,27.463152547903814,20.465219635890985,58.53683296299186,0.0005955430391860015,6763348663424.274,8980.657401878076,1154778838.385683,587711019.1712239,5305352660.923956,4615503428.802605,6.60624463351341e+17,545317311.521393
2024-10-05 00:00:00,29.38535437235465,42.365936454779124,51.32441743497513,0.0005100072892674724,9211942920420.299,3500.3831631576795,1232597242.4005814,522115799.44701135,4610105848.600197,4728617140.472631,7.256553718483602e+17,477479919.3787159
2024-10-06 00:00:00,39.281556080726624,48.720690284088896,44.818004164710594,0.0005486875487365764,4919429026047.723,6295.748279240716,1354126222.4911602,537875281.852454,5117676950.968078,5339442590.5617285,7.565792718502184e+17,456256066.3941366
2024-10-07 00:00:00,37.57704696406186,21.977454936257036,31.422337634935076,0.00043386516886309454,198591727822019.97,13362.39885019581,1386088882.3298073,510326965.9363648,5289771729.019791,5263410071.31225,5.765653573528485e+17,478523131.51327133
2024-10-08 00:00:00,26.10333188825012,6.194496392484185,26.130852523877508,0.00015727033737493963,25683955469189.883,8930.942876672238,1530893605.008398,585877426.2991612,5294864554.766093,4947230682.249293,2.6958277708987344e+17,518938768.2746584
2024-10-09 00:00:00,21.452123037350688,14.516494186813427,25.326856729165677,0.00046084918373495677,65760782304880.14,11229.766754543689,1562136014.342382,565981289.8087908,5092680599.264049,5494989407.391637,1.6217621944267267e+17,499869848.36037284
2024-10-10 00:00:00,28.42078544552232,42.17844793483988,11.741519449424011,0.0005496635879695985,100694159801534.12,6867.8034220700765,1732799500.988206,595505277.7750108,5227846816.75314,4249979124.72292,1.5695748715278605e+17,532709279.0731453
2024-10-11 00:00:00,28.60985822802871,36.29513150969657,8.773994632871592,0.00038529305864911555,90227214584221.55,2395.0640119729073,1726079258.746126,569991277.4455649,4766130143.466376,4173386944.3426046,2.1362734033460976e+17,605479333.8769032
2024-10-12 00:00:00,40.33007974292903,40.018025632459185,16.04024809170157,0.0005245769015881232,111275682227646.23,6695.0335912710325,1653826636.5167646,632565619.5061157,5315679741.181858,4743921135.421998,3.6290982999443405e+17,594624062.0243251
2024-10-13 00:00:00,35.85476287420466,35.045210624632865,26.5771861588701,0.0004356089827809169,18238110625422.258,5566.609844437766,1750496480.0151057,542501703.7968628,5537861665.196125,4722751044.376486,8.688293130667928e+17,509724523.12080425
2024-10-14 00:00:00,42.10039275106341,31.037151635303786,25.308782736104806,0.0006813673633689948,17544879986402.521,11843.908435471167,1801566008.037979,573083504.7946869,5417644195.318898,4768583379.753519,2.3279825538853105e+18,526963874.41278404
2024-10-15 00:00:00,38.50777762648027,29.230350332083503,8.19849898877716,0.0004893853176746527,17513639583111.822,11375.220266434413,1720412293.2719784,526828138.1698896,4932725318.554235,5009875942.439914,6.831256883538806e+18,466772347.3861664
2024-10-16 00:00:00,29.458393401655364,45.53431161458105,29.170288891651758,0.0006969723483801035,39202139769325.914,3973.1027660868745,1815348649.6666918,536619128.06410944,5169095739.778406,5314318844.650899,2.756982713129171e+19,503805775.60893327
2024-10-17 00:00:00,25.90144410742695,37.66237294730489,34.06072771305911,0.0005974677415305488,40230440423163.84,9629.386527316476,1769537437.0008078,481722767.3118713,4610194449.677689,5093652820.326557,9.058044918117453e+19,477406371.54716074
2024-10-18 00:00:00,35.753437385501606,42.55783097609831,29.095738994278236,0.0005872972178974082,27658698620432.477,7101.802536210191,1852199716.2623699,548745046.59761,4832587336.347811,5416813266.184667,3.849560724214368e+20,508615428.5374648
2024-10-19 00:00:00,57.320417863143184,21.835325719970083,19.967153296689528,0.0004725728201843005,615739337425575.8,5735.748189573379,1994500443.386935,537224157.9137216,4785556708.570692,5469821031.967214,3.364673292009653e+21,530415672.8876526
2024-10-20 00:00:00,32.065136148311076,19.108926020165207,20.478859402906107,0.00044228937044351826,220522987392008.94,4526.088363267071,1852497822.2012222,539539981.1148347,4895633755.181037,5155777931.613755,6.144135668464456e+22,488845341.7921691
2024-10-21 00:00:00,30.873346510824035,32.064473165216526,16.378725787034174,0.000340015036059126,122969296316763.64,7288.649108872432,1944394170.5096993,496499234.45193326,4862948297.806049,4997814477.077497,8.626483585592087e+23,465993942.5073852
2024-10-22 00:00:00,54.75477995144627,22.900057871302057,10.161479866444283,0.000636639487987434,673466445.6647164,7683.363498258502,2038389796.7070127,535192821.02408224,4602341186.374494,5099135631.353541,7.579403393418575e+24,488726962.2193013
2024-10-23 00:00:00,47.21759177237028,26.103111760345428,8.762165090629313,0.00036716072508566447,10648460152955.975,11189.798414665747,2061513539.8004465,539895891.3986815,4944765971.128191,4780204139.074119,4.566106642253916e+25,485896509.24610513
2024-10-24 00:00:00,42.74418422303241,32.03806470230915,4.620377952072194,0.00023992446802269154,225951894731.40265,9083.673672447465,2002377778.72997,570440992.241458,5246416383.084695,5251961655.516834,2.202502967521597e+26,553784305.6382508
2024-10-25 00:00:00,56.39744144595168,35.045692573032454,8.398529482205966,0.000635287333327135,6425047029875.633,4287.183805576729,1901890601.9656918,514138711.32487833,5501922982.511941,5102774106.921373,7.11080024240535e+26,555897804.3138335
2024-10-26 00:00:00,52.7282866217244,48.902632974276756,10.41151705400382,0.0004544502097104549,28858052899478.62,3068.0375783634827,1998920092.8535485,588753117.9991069,4956260452.40185,5030751396.102909,1.3276489401329446e+27,527537774.155382
2024-10-27 00:00:00,28.8911758808781,28.255925458147136,9.032732606787977,0.0005631860986138162,32323161831722.043,3663.7727255411005,2165263797.6157146,615894020.7578247,4722539780.348265,4996069322.089564,1.9326642003736182e+27,582853712.5952485
2024-10-28 00:00:00,33.781789714171566,31.039681820283075,11.727550218125335,0.00020108031948270737,38277022062137.73,6744.539627043462,1913580579.1731646,569847143.7179382,4328803806.849034,4719927742.141579,2.7130802648475246e+27,540168535.7688416
2024-10-29 00:00:00,51.431922907272,36.91669870578209,10.949861134916166,0.0004941856979917126,27370389256876.4,4004.9571785962216,2043098685.822004,573949585.6579767,4924115369.2512,5336054792.95141,4.171441872045399e+27,543547768.520742
2024-10-30 00:00:00,42.5452656552802,39.839023009432594,20.9120975626686,0.0003930644837120895,28020599429167.31,6673.870365715722,2400557100.3222847,614607679.2610408,4691938666.639517,5246779398.350955,6.362614462550682e+27,581110742.8156588
