date,token,value,readable_date
1713139200,WSTETH,852597.06912,2024-04-15 00:00:00
1713225600,OP,561149.12641,2024-04-16 00:00:00
1713225600,WETH,1449825.86971,2024-04-16 00:00:00
1713225600,WSTETH,841327.96694,2024-04-16 00:00:00
1713312000,OP,559885.81229,2024-04-17 00:00:00
1713312000,WETH,1449339.90816,2024-04-17 00:00:00
1713312000,WSTETH,841117.05043,2024-04-17 00:00:00
1713398400,OP,544722.29947,2024-04-18 00:00:00
1713398400,WETH,1405700.25291,2024-04-18 00:00:00
1713398400,WSTETH,815741.1427,2024-04-18 00:00:00
1713484800,OP,571837.31714,2024-04-19 00:00:00
1713484800,WETH,1439787.77767,2024-04-19 00:00:00
1713484800,WSTETH,851270.4287,2024-04-19 00:00:00
1713571200,OP,599087.33254,2024-04-20 00:00:00
1713571200,WETH,1455378.59279,2024-04-20 00:00:00
1713571200,WSTETH,860159.79675,2024-04-20 00:00:00
1713657600,OP,657148.65992,2024-04-21 00:00:00
1713657600,WETH,1492602.52581,2024-04-21 00:00:00
1713657600,WSTETH,875403.69687,2024-04-21 00:00:00
1713744000,OP,648024.0437,2024-04-22 00:00:00
1713744000,WETH,1493999.54832,2024-04-22 00:00:00
1713744000,WSTETH,875437.58632,2024-04-22 00:00:00
1713830400,OP,685763.88547,2024-04-23 00:00:00
1713830400,WETH,1513856.21061,2024-04-23 00:00:00
1713830400,WSTETH,890949.37229,2024-04-23 00:00:00
1713916800,OP,760346.80491,2024-04-24 00:00:00
1713916800,WETH,1522407.85397,2024-04-24 00:00:00
1713916800,WSTETH,893832.0647,2024-04-24 00:00:00
1714003200,OP,736637.10064,2024-04-25 00:00:00
1714003200,WETH,1542929.84655,2024-04-25 00:00:00
1714003200,WSTETH,916499.82745,2024-04-25 00:00:00
1714089600,OP,752937.80571,2024-04-26 00:00:00
1714089600,WETH,1556199.17135,2024-04-26 00:00:00
1714089600,WSTETH,913019.46714,2024-04-26 00:00:00
1714176000,OP,713745.45646,2024-04-27 00:00:00
1714176000,WETH,1544551.35535,2024-04-27 00:00:00
1714176000,WSTETH,907126.89491,2024-04-27 00:00:00
1714262400,OP,787264.30177,2024-04-28 00:00:00
1714262400,WETH,1599838.45998,2024-04-28 00:00:00
1714262400,WSTETH,945466.58968,2024-04-28 00:00:00
1714348800,OP,827434.21654,2024-04-29 00:00:00
1714348800,WETH,1627151.81403,2024-04-29 00:00:00
1714348800,WSTETH,964961.77923,2024-04-29 00:00:00
1714435200,OP,761844.93723,2024-04-30 00:00:00
1714435200,WETH,1633207.23475,2024-04-30 00:00:00
1714435200,WSTETH,1057620.43365,2024-04-30 00:00:00
1714521600,OP,771173.65075,2024-05-01 00:00:00
1714521600,WETH,1546569.81629,2024-05-01 00:00:00
1714521600,WSTETH,1022641.62403,2024-05-01 00:00:00
1714608000,OP,824348.01327,2024-05-02 00:00:00
1714608000,WETH,1561502.03551,2024-05-02 00:00:00
1714608000,WSTETH,1020727.72202,2024-05-02 00:00:00
1714694400,OP,899280.60682,2024-05-03 00:00:00
1714694400,WETH,1577994.43818,2024-05-03 00:00:00
1714694400,WSTETH,1035542.36721,2024-05-03 00:00:00
1714780800,OP,894717.22491,2024-05-04 00:00:00
1714780800,SNX,612.82259,2024-05-04 00:00:00
1714780800,WETH,1641754.3958,2024-05-04 00:00:00
1714780800,WSTETH,1078498.05176,2024-05-04 00:00:00
1714867200,OP,905902.00647,2024-05-05 00:00:00
1714867200,SNX,32130.57281,2024-05-05 00:00:00
1714867200,WETH,1644240.12307,2024-05-05 00:00:00
1714867200,WSTETH,1087649.05401,2024-05-05 00:00:00
1714953600,OP,926251.96398,2024-05-06 00:00:00
1714953600,SNX,32017.83396,2024-05-06 00:00:00
1714953600,WETH,1643264.2549,2024-05-06 00:00:00
1714953600,WSTETH,1092632.53325,2024-05-06 00:00:00
1715040000,OP,940683.54966,2024-05-07 00:00:00
1715040000,SNX,35768.73424,2024-05-07 00:00:00
1715040000,WETH,1618241.9482,2024-05-07 00:00:00
1715040000,WSTETH,1075191.29044,2024-05-07 00:00:00
1715126400,OP,900231.12449,2024-05-08 00:00:00
1715126400,SNX,34235.78849,2024-05-08 00:00:00
1715126400,WETH,1600679.44836,2024-05-08 00:00:00
1715126400,WSTETH,1062805.9139,2024-05-08 00:00:00
1715212800,OP,869182.29544,2024-05-09 00:00:00
1715212800,SNX,32702.84273,2024-05-09 00:00:00
1715212800,WETH,1555628.34735,2024-05-09 00:00:00
1715212800,WSTETH,1038054.33029,2024-05-09 00:00:00
1715299200,OP,888061.26409,2024-05-10 00:00:00
1715299200,SNX,33597.06109,2024-05-10 00:00:00
1715299200,WETH,1557746.13033,2024-05-10 00:00:00
1715299200,WSTETH,1062821.8729,2024-05-10 00:00:00
1715385600,OP,833113.13412,2024-05-11 00:00:00
1715385600,SNX,32830.58821,2024-05-11 00:00:00
1715385600,WETH,1500334.325,2024-05-11 00:00:00
1715385600,WSTETH,1026417.01952,2024-05-11 00:00:00
1715472000,OP,843256.18188,2024-05-12 00:00:00
1715472000,SNX,32830.58821,2024-05-12 00:00:00
1715472000,WETH,1511763.43769,2024-05-12 00:00:00
1715472000,WSTETH,1030239.59593,2024-05-12 00:00:00
1715558400,OP,850875.88492,2024-05-13 00:00:00
1715558400,SNX,32447.35177,2024-05-13 00:00:00
1715558400,WETH,1518168.09465,2024-05-13 00:00:00
1715558400,WSTETH,1011673.03551,2024-05-13 00:00:00
1715644800,OP,847251.04817,2024-05-14 00:00:00
1715644800,SNX,30680.49639,2024-05-14 00:00:00
1715644800,WETH,1523922.75393,2024-05-14 00:00:00
