"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $2368.78953203496/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x95c7efb685be4648fdcbf90b49f32847e4be2b41e74bacd15a31bbc660497f9b","19127903","1706721575","2024-01-31 17:19:35","0x15c941a44a343b8c46a28f2bb9afc7a54e255a4f","0xc64783f0be60a81a716535287539a694403183ba","","0","0","0","0.001313616432423645","3.11168085423424","2281.77","","","Batch Withdraw"
"0x79f1d81bc18ff881d97433361dd5528e3a0c7ba8236e9016eaee3ee75ff7f82d","19127922","1706721827","2024-01-31 17:23:47","0x0dd5ae26d3d2a742bc50010a486551b0f004147a","0xc64783f0be60a81a716535287539a694403183ba","","0","0","0","0.001426591919393627","3.37929600514529","2281.77","","","Batch Withdraw"
"0xd386554475753f408e87354b212889aa917f8db00a07aeefa3a34aa7a5b90640","19128153","1706724611","2024-01-31 18:10:11","0x0b7246ef74ca7b37fdc3d15be4f0b49876622f95","0xc64783f0be60a81a716535287539a694403183ba","","0","0","0","0.001360334769314814","3.22234676161612","2281.77","","","Batch Withdraw"
"0xadbcdae857e2db2805d823122c7a9f26c2d774ef6af008bd11434dbf139106f6","19129362","1706739203","2024-01-31 22:13:23","0x1078daa844cdf1edb51e5189c8b113b80a6a6957","0xc64783f0be60a81a716535287539a694403183ba","","0","0","0","0.001627647230629176","3.85555372176008","2281.77","","","Batch Withdraw"
"0x8c24aa8ce1a0c0f1b9d1b1022ebe22534224e42d72db39c2fa3947a2deeb9746","19129817","1706744735","2024-01-31 23:45:35","0x9531c059098e3d194ff87febb587ab07b30b1306","0xc64783f0be60a81a716535287539a694403183ba","","0","0","0","0.001032628205335674","2.44607888328319","2281.77","","","Batch Withdraw"
"0x0a5e4df8382188f6f567b4a1c724172e1bcee50eebce4b90ec136d6202c78aaf","19132172","1706773379","2024-02-01 07:42:59","0xebf0e04e47f726d0f44801dfec5e705adcd6694b","0xc64783f0be60a81a716535287539a694403183ba","","0","0","0","0.000868515214850652","2.05732974935132","2303.34","","","Batch Withdraw"
"0xfc9b4ca277dcfd8000830aee13f8785b15516ce55a432c0d68f1bbdc0f599a49","19132387","1706775971","2024-02-01 08:26:11","0xd1b8db70ded72db850713b2ce7e1a4ffafad95d1","0xc64783f0be60a81a716535287539a694403183ba","","0","0","0","0.000818835884130552","1.93964987078304","2303.34","","","Batch Withdraw"
"0x96219bb0b8ddd247adbcf9ec24223392e27d82d1dc5a0ea52a45dd2cce9d7634","19132828","1706781299","2024-02-01 09:54:59","0xfdd210ce1b829e837d9e034dae0f0312f176cef6","0xc64783f0be60a81a716535287539a694403183ba","","0","0","0","0.001181394195360964","2.79847420317792","2303.34","","","Batch Withdraw"
"0xfbbd13da76ce2f38f29e4d0286a1a6cee49f9e03aa4b166374baec86a977e4a5","19132991","1706783267","2024-02-01 10:27:47","0xb476ee7d610dae7b23b671ebc7bd6112e9772969","0xc64783f0be60a81a716535287539a694403183ba","","0","0","0","0.001247072912029824","2.9540532597006","2303.34","","","Batch Withdraw"
"0xcea8b5d342c7e63fe3100c843c95eea9330be2601a14e5d61231a40bf8916d94","19133498","1706789447","2024-02-01 12:10:47","0x84f0620a547a4d14a7987770c4f5c25d488d6335","0xc64783f0be60a81a716535287539a694403183ba","","0","0","0","0.00159630594185227","3.78131280498486","2303.34","","","Batch Withdraw"
"0x01a8976006a467f009396875e1437be5a688afa81480bb2d52b171b8a24fb8bb","19134923","1706806775","2024-02-01 16:59:35","0x2383a8b8cc8561a65871f1d2783b7c52e22b62c1","0xc64783f0be60a81a716535287539a694403183ba","","0","0","0","0.00270022713987858","6.39626978306108","2303.34","","","Batch Withdraw"
"0x172d22012bd1afb06382e7b1340f4681468b65730693bb1e903b2b3629b9c15f","19136786","1706829215","2024-02-01 23:13:35","0x87feed6162cb7dfe6b62f64366742349bf4d1b05","0xc64783f0be60a81a716535287539a694403183ba","","0","0","0","0.001415580103545072","3.35321133103453","2303.34","","","Batch Withdraw"
"0xd6da1f4cbf949123959e5db455e746d143fc1d3629133942b53da3c6495c6076","19142300","1706896115","2024-02-02 17:48:35","0x4aa51a723882ee676fec444d4561c5ee16c339e9","0xc64783f0be60a81a716535287539a694403183ba","","0","0","0","0.001389121762000753","3.29053708854934","2307.85","","","Batch Withdraw"
"0x7f945794e7911530e5a2d216ff8d45a9824f6b0d109f9ecee70037e3eb7ba031","19144161","1706918675","2024-02-03 00:04:35","0x731022d6de647991864203a35dfad1a192240d07","0xc64783f0be60a81a716535287539a694403183ba","","0","0","0","0.000977975747902018","2.31661871421436","2295.87","","","Batch Withdraw"
"0x068c9b3968f5d305dc09ceb51d3c7260f2d77d2f3fd4b3221f7daa611198a05a","19150712","1706998247","2024-02-03 22:10:47","0xc0891e8fcea09680bfe9170809fad1bcca10b96b","0xc64783f0be60a81a716535287539a694403183ba","","0","0","0","0.00065233456841943","1.54524329705649","2295.87","","","Batch Withdraw"
"0xc7bd122c328b8e6eb64c4f1660c0408b275519971d6abb21e60fb9dd29d64523","19165045","1707172259","2024-02-05 22:30:59","0xe126b3e5d052f1f575828f61feba4f4f2603652a","0xc64783f0be60a81a716535287539a694403183ba","","0","0","0","0.001752866339614462","4.15217143633517","2299.16","","","Batch Withdraw"
"0x7872f77959cd98b232e6b52184d20e65d3c358f42fa79a626fa884c009b83684","19165323","1707175595","2024-02-05 23:26:35","0x84b5a60df2d7e3397b3a4a3c6282f090304aca26","0xc64783f0be60a81a716535287539a694403183ba","","0","0","0","0.001244301011334562","2.94748721034982","2299.16","","","Batch Withdraw"
