,Devtool Project,Devtool URL,Onchain Builder,List of Packages Used by Project,Total Package Dependents in OSO,Total Package Dependents in RF4,Devtool Star Count,Devtool Fork Count,Devtool Created Date,Devtool Language,License
154,Paul Miller,https://github.com/paulmillr/noble-curves,Giveth,@noble/curves,1579,146,734,69,2022-12-03,JavaScript,MIT License
143,Prettier Solidity,https://github.com/prettier-solidity/prettier-plugin-solidity,Giveth,prettier-plugin-solidity,1095,117,731,75,2018-05-15,Solidity,MIT License
158,Rollup,https://github.com/rollup/rollup,Giveth,rollup,1820,108,25560,1548,2015-05-14,JavaScript,Other
144,Safe,https://github.com/safe-global/safe-apps-sdk,Giveth,"@safe-global/safe-apps-provider, @safe-global/safe-apps-sdk",767,82,279,138,2020-04-17,TypeScript,MIT License
145,Safe,https://github.com/safe-global/safe-core-sdk,Giveth,"@safe-global/api-kit, @safe-global/protocol-kit, @safe-global/safe-core-sdk-types",228,31,268,226,2021-02-10,TypeScript,MIT License
155,Solana Labs,https://github.com/solana-labs/solana-program-library,Giveth,"@solana/spl-token, @solana/spl-token-group, @solana/spl-token-metadata, @solana/spl-type-length-value",409,30,3749,2184,2020-05-29,Rust,Apache License 2.0
146,Superfluid,https://github.com/superfluid-finance/protocol-monorepo,Giveth,"@superfluid-finance/ethereum-contracts, @superfluid-finance/metadata, @superfluid-finance/sdk-core",33,2,877,239,2020-03-09,TypeScript,Other
157,UnJS,https://github.com/unjs/crossws,Giveth,crossws,646,72,439,18,2023-12-07,TypeScript,Other
147,Wallet Connect,https://github.com/walletconnect/walletconnect-monorepo,Giveth,"@walletconnect/browser-utils, @walletconnect/client, @walletconnect/core, @walletconnect/ethereum-provider, @walletconnect/http-connection, @walletconnect/iso-crypto, @walletconnect/mobile-registry, @walletconnect/qrcode-modal, @walletconnect/signer-connection, @walletconnect/socket-transport, @walletconnect/types, @walletconnect/universal-provider, @walletconnect/utils, @walletconnect/web3-provider",1365,103,1495,732,2018-08-26,TypeScript,Apache License 2.0
148,Wallet Connect,https://github.com/walletconnect/walletconnect-utils,Giveth,"@walletconnect/crypto, @walletconnect/encoding, @walletconnect/environment, @walletconnect/events, @walletconnect/heartbeat, @walletconnect/jsonrpc-http-connection, @walletconnect/jsonrpc-provider, @walletconnect/jsonrpc-types, @walletconnect/jsonrpc-utils, @walletconnect/jsonrpc-ws-connection, @walletconnect/keyvaluestorage, @walletconnect/logger, @walletconnect/randombytes, @walletconnect/relay-api, @walletconnect/relay-auth, @walletconnect/safe-json, @walletconnect/time, @walletconnect/window-getters, @walletconnect/window-metadata",1305,104,117,80,2021-07-08,TypeScript,MIT License
149,ethers.js,https://github.com/ethers-io/ethers.js,Giveth,"@ethersproject/abi, @ethersproject/abstract-provider, @ethersproject/abstract-signer, @ethersproject/address, @ethersproject/base64, @ethersproject/basex, @ethersproject/bignumber, @ethersproject/bytes, @ethersproject/constants, @ethersproject/contracts, @ethersproject/hash, @ethersproject/hdnode, @ethersproject/json-wallets, @ethersproject/keccak256, @ethersproject/logger, @ethersproject/networks, @ethersproject/pbkdf2, @ethersproject/properties, @ethersproject/providers, @ethersproject/random, @ethersproject/rlp, @ethersproject/sha2, @ethersproject/signing-key, @ethersproject/solidity, @ethersproject/strings, @ethersproject/transactions, @ethersproject/units, @ethersproject/wallet, @ethersproject/web, @ethersproject/wordlists, ethers",2552,180,8086,1925,2016-07-16,TypeScript,MIT License
150,gas-reporter,https://github.com/cgewecke/hardhat-gas-reporter,Giveth,hardhat-gas-reporter,1347,139,416,64,2019-06-20,TypeScript,MIT License
151,solidity-coverage,https://github.com/sc-forks/solidity-coverage,Giveth,solidity-coverage,1407,138,989,269,2017-05-01,JavaScript,MIT License
162,swc,https://github.com/swc-project/swc,Giveth,"@swc/core, @swc/core-darwin-arm64, @swc/core-darwin-x64, @swc/core-linux-arm-gnueabihf, @swc/core-linux-arm64-gnu, @swc/core-linux-arm64-musl, @swc/core-linux-x64-gnu, @swc/core-linux-x64-musl, @swc/core-win32-arm64-msvc, @swc/core-win32-ia32-msvc, @swc/core-win32-x64-msvc, @swc/helpers, @swc/types",1424,105,31569,1254,2017-12-22,Rust,Apache License 2.0
152,wevm,https://github.com/wevm/abitype,Giveth,abitype,1121,107,498,48,2022-08-03,TypeScript,MIT License
153,wevm,https://github.com/wevm/isows,Giveth,isows,811,94,49,5,2023-10-08,TypeScript,Other
