,Onchain Builder,Devtool Project,Devtool URL,List of Packages Used by Project,Total Package Dependents in OSO,Total Package Dependents in RF4,Devtool Star Count,Devtool Fork Count,Devtool Created Date,Devtool Language,License,Past RF Recipient,Repo Relative Star Rank,OSO Package Rank,RF4 Package Rank,RF4 Delta
0,Giveth,ethers.js,https://github.com/ethers-io/ethers.js,"['@ethersproject/transactions' '@ethersproject/units'
 '@ethersproject/abstract-signer' '@ethersproject/address'
 '@ethersproject/random' '@ethersproject/signing-key'
 '@ethersproject/strings' '@ethersproject/properties'
 '@ethersproject/wordlists' '@ethersproject/hash'
 '@ethersproject/solidity' '@ethersproject/networks' '@ethersproject/abi'
 '@ethersproject/json-wallets' '@ethersproject/base64'
 '@ethersproject/web' '@ethersproject/hdnode' '@ethersproject/keccak256'
 '@ethersproject/sha2' '@ethersproject/pbkdf2' '@ethersproject/providers'
 'ethers' '@ethersproject/constants' '@ethersproject/wallet'
 '@ethersproject/abstract-provider' '@ethersproject/bytes'
 '@ethersproject/logger' '@ethersproject/bignumber'
 '@ethersproject/contracts' '@ethersproject/basex' '@ethersproject/rlp']",2543,180,8071,1916,2016-07-16,TypeScript,MIT License,True,1.0,0.9462025316455697,0.9841772151898734,0.03797468354430378
1,Synthetix,ethers.js,https://github.com/ethers-io/ethers.js,"['@ethersproject/logger' '@ethersproject/networks'
 '@ethersproject/properties' '@ethersproject/rlp'
 '@ethersproject/keccak256' '@ethersproject/address'
 '@ethersproject/wallet' '@ethersproject/providers' '@ethersproject/hash'
 '@ethersproject/solidity' '@ethersproject/hdnode'
 '@ethersproject/bignumber' '@ethersproject/units' '@ethersproject/random'
 '@ethersproject/wordlists' '@ethersproject/bytes' '@ethersproject/sha2'
 '@ethersproject/base64' '@ethersproject/abi' '@ethersproject/signing-key'
 '@ethersproject/strings' '@ethersproject/pbkdf2'
 '@ethersproject/abstract-signer' '@ethersproject/abstract-provider'
 '@ethersproject/basex' '@ethersproject/web' '@ethersproject/contracts'
 'ethers' '@ethersproject/json-wallets' '@ethersproject/transactions'
 '@ethersproject/constants']",2543,180,8071,1916,2016-07-16,TypeScript,MIT License,True,1.0,0.9462025316455697,0.9841772151898734,0.03797468354430378
2,Sushi,ethers.js,https://github.com/ethers-io/ethers.js,"['@ethersproject/rlp' '@ethersproject/abstract-signer'
 '@ethersproject/hash' '@ethersproject/transactions' '@ethersproject/web'
 'ethers' '@ethersproject/sha2' '@ethersproject/random'
 '@ethersproject/bignumber' '@ethersproject/solidity' '@ethersproject/abi'
 '@ethersproject/units' '@ethersproject/wordlists' '@ethersproject/logger'
 '@ethersproject/hdnode' '@ethersproject/bytes' '@ethersproject/pbkdf2'
 '@ethersproject/contracts' '@ethersproject/base64'
 '@ethersproject/abstract-provider' '@ethersproject/basex'
 '@ethersproject/keccak256' '@ethersproject/constants'
 '@ethersproject/json-wallets' '@ethersproject/signing-key'
 '@ethersproject/experimental' '@ethersproject/wallet'
 '@ethersproject/address' '@ethersproject/providers'
 '@ethersproject/strings' '@ethersproject/networks'
 '@ethersproject/properties']",2543,180,8071,1916,2016-07-16,TypeScript,MIT License,True,1.0,0.9462025316455697,0.9841772151898734,0.03797468354430378
3,Across,ethers.js,https://github.com/ethers-io/ethers.js,"['ethers' '@ethersproject/contracts' '@ethersproject/experimental'
 '@ethersproject/keccak256' '@ethersproject/abi' '@ethersproject/hdnode'
 '@ethersproject/rlp' '@ethersproject/networks' '@ethersproject/solidity'
 '@ethersproject/providers' '@ethersproject/address'
 '@ethersproject/abstract-provider' '@ethersproject/web'
 '@ethersproject/sha2' '@ethersproject/constants' '@ethersproject/pbkdf2'
 '@ethersproject/transactions' '@ethersproject/hardware-wallets'
 '@ethersproject/properties' '@ethersproject/json-wallets'
 '@ethersproject/basex' '@ethersproject/hash' '@ethersproject/bytes'
 '@ethersproject/wordlists' '@ethersproject/abstract-signer'
 '@ethersproject/signing-key' '@ethersproject/base64'
 '@ethersproject/bignumber' '@ethersproject/units' '@ethersproject/wallet'
 '@ethersproject/random' '@ethersproject/logger' '@ethersproject/strings']",2543,180,8071,1916,2016-07-16,TypeScript,MIT License,True,1.0,0.9462025316455697,0.9841772151898734,0.03797468354430378
4,Smol Dapp,ethers.js,https://github.com/ethers-io/ethers.js,"['@ethersproject/networks' '@ethersproject/properties'
 '@ethersproject/abi' '@ethersproject/pbkdf2' '@ethersproject/wallet'
 '@ethersproject/bytes' '@ethersproject/hash' '@ethersproject/web'
 '@ethersproject/rlp' '@ethersproject/contracts' '@ethersproject/address'
 '@ethersproject/basex' '@ethersproject/providers'
 '@ethersproject/wordlists' '@ethersproject/base64'
 '@ethersproject/constants' '@ethersproject/abstract-signer'
 '@ethersproject/logger' '@ethersproject/strings'
 '@ethersproject/bignumber' '@ethersproject/units' '@ethersproject/hdnode'
 '@ethersproject/solidity' '@ethersproject/abstract-provider'
 '@ethersproject/keccak256' '@ethersproject/sha2' '@ethersproject/random'
 '@ethersproject/json-wallets' '@ethersproject/signing-key'
 '@ethersproject/transactions' 'ethers']",2543,180,8071,1916,2016-07-16,TypeScript,MIT License,True,1.0,0.9462025316455697,0.9841772151898734,0.03797468354430378
5,Agora,ethers.js,https://github.com/ethers-io/ethers.js,"['ethers' '@ethersproject/abstract-signer' '@ethersproject/transactions'
 '@ethersproject/hdnode' '@ethersproject/properties' '@ethersproject/hash'
 '@ethersproject/constants' '@ethersproject/rlp' '@ethersproject/sha2'
 '@ethersproject/logger' '@ethersproject/signing-key'
 '@ethersproject/strings' '@ethersproject/json-wallets'
 '@ethersproject/keccak256' '@ethersproject/wallet'
 '@ethersproject/providers' '@ethersproject/abi' '@ethersproject/address'
 '@ethersproject/networks' '@ethersproject/pbkdf2' '@ethersproject/units'
 '@ethersproject/base64' '@ethersproject/abstract-provider'
 '@ethersproject/wordlists' '@ethersproject/bytes' '@ethersproject/web'
 '@ethersproject/basex' '@ethersproject/bignumber' '@ethersproject/random'
 '@ethersproject/contracts']",2543,180,8071,1916,2016-07-16,TypeScript,MIT License,True,1.0,0.9462025316455697,0.9841772151898734,0.03797468354430378
6,Superfluid,ethers.js,https://github.com/ethers-io/ethers.js,"['@ethersproject/units' '@ethersproject/abi' '@ethersproject/signing-key'
 '@ethersproject/json-wallets' '@ethersproject/constants'
 '@ethersproject/logger' '@ethersproject/solidity'
 '@ethersproject/abstract-signer' '@ethersproject/hdnode'
 '@ethersproject/properties' '@ethersproject/hash'
 '@ethersproject/abstract-provider' '@ethersproject/networks'
 '@ethersproject/basex' '@ethersproject/sha2'
 '@ethersproject/transactions' '@ethersproject/address'
 '@ethersproject/providers' '@ethersproject/random' '@ethersproject/bytes'
 '@ethersproject/rlp' '@ethersproject/web' 'ethers'
 '@ethersproject/keccak256' '@ethersproject/bignumber'
 '@ethersproject/contracts' '@ethersproject/pbkdf2'
 '@ethersproject/wallet' '@ethersproject/strings'
 '@ethersproject/wordlists' '@ethersproject/base64']",2543,180,8071,1916,2016-07-16,TypeScript,MIT License,True,1.0,0.9462025316455697,0.9841772151898734,0.03797468354430378
7,Velodrome,ethers.js,https://github.com/ethers-io/ethers.js,"['@ethersproject/basex' 'ethers' '@ethersproject/hash'
 '@ethersproject/bignumber' '@ethersproject/pbkdf2'
 '@ethersproject/wordlists' '@ethersproject/signing-key'
 '@ethersproject/sha2' '@ethersproject/strings' '@ethersproject/web'
 '@ethersproject/constants' '@ethersproject/abi' '@ethersproject/networks'
 '@ethersproject/bytes' '@ethersproject/json-wallets'
 '@ethersproject/transactions' '@ethersproject/rlp'
 '@ethersproject/abstract-signer' '@ethersproject/contracts'
 '@ethersproject/units' '@ethersproject/providers' '@ethersproject/wallet'
 '@ethersproject/solidity' '@ethersproject/abstract-provider'
 '@ethersproject/random' '@ethersproject/base64' '@ethersproject/logger'
 '@ethersproject/keccak256' '@ethersproject/address'
 '@ethersproject/properties' '@ethersproject/hdnode']",2543,180,8071,1916,2016-07-16,TypeScript,MIT License,True,1.0,0.9462025316455697,0.9841772151898734,0.03797468354430378
8,Boost Studios,ethers.js,https://github.com/ethers-io/ethers.js,"['@ethersproject/signing-key' '@ethersproject/sha2'
 '@ethersproject/bignumber' '@ethersproject/abstract-signer'
 '@ethersproject/transactions' '@ethersproject/strings'
 '@ethersproject/abi' '@ethersproject/hash' '@ethersproject/wallet'
 '@ethersproject/bytes' '@ethersproject/constants'
 '@ethersproject/address' '@ethersproject/web' '@ethersproject/providers'
 '@ethersproject/logger' '@ethersproject/networks'
 '@ethersproject/keccak256' '@ethersproject/rlp' '@ethersproject/units'
 '@ethersproject/contracts' 'ethers' '@ethersproject/random'
 '@ethersproject/abstract-provider' '@ethersproject/pbkdf2'
 '@ethersproject/hardware-wallets' '@ethersproject/base64'
 '@ethersproject/basex' '@ethersproject/solidity'
 '@ethersproject/wordlists' '@ethersproject/json-wallets'
 '@ethersproject/hdnode' '@ethersproject/properties']",2543,180,8071,1916,2016-07-16,TypeScript,MIT License,True,1.0,0.9462025316455697,0.9841772151898734,0.03797468354430378
9,Sound.xyz,ethers.js,https://github.com/ethers-io/ethers.js,"['@ethersproject/address' '@ethersproject/abi' '@ethersproject/wordlists'
 '@ethersproject/signing-key' '@ethersproject/keccak256'
 '@ethersproject/transactions' '@ethersproject/hash'
 '@ethersproject/json-wallets' '@ethersproject/bignumber'
 '@ethersproject/abstract-signer' '@ethersproject/rlp'
 '@ethersproject/random' '@ethersproject/abstract-provider'
 '@ethersproject/providers' '@ethersproject/solidity'
 '@ethersproject/logger' '@ethersproject/strings'
 '@ethersproject/properties' '@ethersproject/units'
 '@ethersproject/contracts' '@ethersproject/sha2' '@ethersproject/hdnode'
 '@ethersproject/pbkdf2' '@ethersproject/constants'
 '@ethersproject/base64' '@ethersproject/web' '@ethersproject/networks'
 'ethers' '@ethersproject/wallet' '@ethersproject/bytes'
 '@ethersproject/basex']",2543,180,8071,1916,2016-07-16,TypeScript,MIT License,True,1.0,0.9462025316455697,0.9841772151898734,0.03797468354430378
10,Ethereum Attestation Service,ethers.js,https://github.com/ethers-io/ethers.js,"['@ethersproject/abstract-signer' '@ethersproject/networks'
 '@ethersproject/bignumber' '@ethersproject/units' '@ethersproject/hash'
 '@ethersproject/wordlists' '@ethersproject/sha2'
 '@ethersproject/properties' '@ethersproject/base64' 'ethers'
 '@ethersproject/signing-key' '@ethersproject/keccak256'
 '@ethersproject/wallet' '@ethersproject/random'
 '@ethersproject/transactions' '@ethersproject/bytes'
 '@ethersproject/contracts' '@ethersproject/providers'
 '@ethersproject/abi' '@ethersproject/abstract-provider'
 '@ethersproject/web' '@ethersproject/address' '@ethersproject/rlp'
 '@ethersproject/constants' '@ethersproject/hdnode'
 '@ethersproject/pbkdf2' '@ethersproject/json-wallets'
 '@ethersproject/strings' '@ethersproject/logger' '@ethersproject/basex'
 '@ethersproject/solidity']",2543,180,8071,1916,2016-07-16,TypeScript,MIT License,True,1.0,0.9462025316455697,0.9841772151898734,0.03797468354430378
