,Onchain Builder,Devtool Project,Devtool URL,List of Packages Used by Project,Total Package Dependents in OSO,Total Package Dependents in RF4,Devtool Star Count,Devtool Fork Count,Devtool Created Date,Devtool Language,License,Past RF Recipient,Repo Relative Star Rank,OSO Package Rank,RF4 Package Rank,RF4 Delta
17,Across,Babel,https://github.com/babel/babel,"['@babel/plugin-transform-block-scoped-functions'
 '@babel/helper-module-imports' '@babel/register'
 'babel-helper-remap-async-to-generator'
 '@babel/plugin-transform-async-generator-functions'
 '@babel/plugin-transform-regenerator' '@babel/helper-function-name'
 'babel-code-frame'
 'babel-helper-builder-binary-assignment-operator-visitor'
 '@babel/plugin-syntax-top-level-await' '@babel/preset-env'
 'babel-helper-function-name' '@babel/plugin-syntax-import-meta'
 '@babel/plugin-transform-property-literals'
 '@babel/plugin-transform-modules-umd' 'babel-cli'
 '@babel/plugin-transform-numeric-separator'
 '@babel/plugin-transform-unicode-regex'
 '@babel/plugin-transform-destructuring' '@babel/helper-string-parser'
 '@babel/plugin-syntax-logical-assignment-operators'
 '@babel/plugin-transform-exponentiation-operator'
 'babel-plugin-transform-es2015-object-super'
 '@babel/plugin-transform-dynamic-import'
 'babel-plugin-syntax-trailing-function-commas'
 '@babel/plugin-syntax-numeric-separator'
 'babel-plugin-transform-react-jsx-self'
 '@babel/plugin-syntax-optional-catch-binding'
 '@babel/plugin-syntax-bigint' 'babel-polyfill'
 '@babel/helper-plugin-utils'
 'babel-plugin-syntax-exponentiation-operator'
 'babel-plugin-transform-es2015-sticky-regex'
 'babel-helper-get-function-arity' '@babel/traverse'
 'babel-helper-define-map' '@babel/plugin-transform-classes'
 'babel-preset-es2015' 'babel-helper-call-delegate' '@babel/code-frame'
 '@babel/types' 'babel-plugin-transform-es2015-modules-commonjs'
 '@babel/helper-skip-transparent-expression-wrappers' '@babel/helpers'
 '@babel/helper-compilation-targets' '@babel/preset-flow'
 '@babel/plugin-syntax-class-static-block'
 'babel-plugin-transform-es2015-destructuring'
 '@babel/plugin-transform-named-capturing-groups-regex'
 '@babel/plugin-transform-for-of' '@babel/helper-annotate-as-pure'
 '@babel/plugin-transform-optional-catch-binding'
 '@babel/plugin-syntax-import-attributes'
 'babel-plugin-transform-react-display-name'
 '@babel/helper-member-expression-to-functions'
 '@babel/plugin-transform-modules-systemjs' '@babel/highlight'
 '@babel/plugin-transform-parameters' 'babel-helper-regex'
 '@babel/plugin-proposal-class-properties'
 '@babel/plugin-syntax-optional-chaining'
 'babel-plugin-transform-es2015-typeof-symbol' '@babel/plugin-syntax-flow'
 '@babel/plugin-transform-unicode-escapes'
 'babel-plugin-transform-es2015-block-scoping' 'babel-preset-env'
 '@babel/compat-data' '@babel/plugin-proposal-nullish-coalescing-operator'
 'babel-plugin-transform-flow-strip-types'
 '@babel/plugin-syntax-unicode-sets-regex'
 '@babel/helper-remap-async-to-generator'
 'babel-plugin-transform-es2015-block-scoped-functions'
 '@babel/plugin-transform-typescript' '@babel/preset-typescript'
 'babel-preset-flow' 'babel-runtime' '@babel/polyfill' 'babel-register'
 'babel-helper-explode-assignable-expression'
 'babel-plugin-transform-es2015-duplicate-keys'
 'babel-helper-replace-supers' '@babel/plugin-transform-optional-chaining'
 '@babel/plugin-transform-nullish-coalescing-operator'
 '@babel/plugin-syntax-dynamic-import'
 'babel-plugin-transform-react-jsx-source' '@babel/helper-wrap-function'
 '@babel/plugin-syntax-export-namespace-from'
 'babel-plugin-transform-es2015-modules-amd' '@babel/generator'
 '@babel/plugin-transform-unicode-sets-regex'
 'babel-plugin-transform-es2015-parameters'
 '@babel/helper-validator-option' '@babel/plugin-syntax-json-strings'
 '@babel/plugin-transform-object-super'
 '@babel/plugin-transform-private-methods'
 '@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression'
 '@babel/plugin-proposal-private-property-in-object'
 'babel-helper-hoist-variables' '@babel/plugin-syntax-class-properties'
 '@babel/core' '@babel/plugin-transform-literals'
 '@babel/plugin-transform-template-literals'
 '@babel/plugin-transform-spread' '@babel/helper-optimise-call-expression'
 'babel-plugin-transform-regenerator' '@babel/helper-hoist-variables'
 'babel-plugin-transform-es2015-spread' '@babel/runtime'
 '@babel/plugin-syntax-jsx' '@babel/helper-split-export-declaration'
 '@babel/template' 'babel-plugin-transform-es2015-unicode-regex'
 '@babel/plugin-transform-class-static-block'
 '@babel/plugin-syntax-nullish-coalescing-operator'
 '@babel/plugin-transform-block-scoping'
 '@babel/plugin-transform-react-jsx-self'
 '@babel/helper-builder-binary-assignment-operator-visitor'
 'babel-template' '@babel/plugin-transform-private-property-in-object'
 '@babel/plugin-transform-member-expression-literals' 'babel-preset-react'
 '@babel/helper-replace-supers'
 'babel-plugin-transform-es2015-modules-umd' 'babel-helpers'
 '@babel/helper-environment-visitor'
 '@babel/plugin-syntax-import-assertions' 'babel-types'
 '@babel/plugin-transform-runtime'
 '@babel/plugin-transform-class-properties'
 '@babel/plugin-transform-typeof-symbol' '@babel/plugin-syntax-typescript'
 'babel-plugin-transform-es2015-for-of'
 '@babel/plugin-syntax-private-property-in-object'
 'babel-plugin-syntax-jsx' 'babel-plugin-transform-es2015-function-name'
 'babel-plugin-syntax-flow' 'babel-plugin-transform-async-to-generator'
 '@babel/plugin-transform-duplicate-keys' 'babel-traverse'
 '@babel/plugin-proposal-optional-chaining'
 '@babel/helper-create-regexp-features-plugin'
 '@babel/plugin-transform-arrow-functions'
 '@babel/plugin-transform-shorthand-properties'
 '@babel/helper-validator-identifier' 'babel-plugin-transform-strict-mode'
 '@babel/plugin-transform-unicode-property-regex'
 '@babel/plugin-transform-dotall-regex'
 '@babel/plugin-transform-sticky-regex' '@babel/helper-module-transforms'
 'babel-plugin-transform-es2015-classes' 'babel-messages'
 '@babel/plugin-transform-react-jsx-source'
 'babel-plugin-transform-es2015-computed-properties'
 '@babel/plugin-transform-async-to-generator'
 '@babel/plugin-transform-export-namespace-from'
 '@babel/plugin-transform-new-target'
 'babel-plugin-transform-es2015-shorthand-properties'
 'babel-plugin-syntax-async-functions'
 '@babel/plugin-transform-function-name'
 'babel-plugin-transform-react-jsx'
 '@babel/plugin-transform-modules-commonjs'
 '@babel/plugin-transform-computed-properties'
 'babel-plugin-transform-exponentiation-operator'
 '@babel/plugin-syntax-async-generators'
 'babel-plugin-transform-es2015-modules-systemjs' '@babel/parser'
 '@babel/plugin-syntax-object-rest-spread'
 '@babel/plugin-transform-object-rest-spread'
 'babel-helper-optimise-call-expression' '@babel/helper-simple-access'
 'babel-plugin-check-es2015-constants'
 '@babel/plugin-transform-logical-assignment-operators'
 '@babel/plugin-transform-reserved-words' 'babel-generator'
 '@babel/plugin-transform-json-strings'
 '@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining'
 '@babel/plugin-transform-flow-strip-types'
 'babel-plugin-transform-es2015-template-literals'
 'babel-plugin-transform-es2015-arrow-functions' 'babel-core'
 'babel-helper-builder-react-jsx' '@babel/plugin-transform-modules-amd'
 'babel-plugin-transform-es2015-literals'
 '@babel/helper-create-class-features-plugin']",3006,168,43364,5658,2014-09-28,TypeScript,MIT License,False,1.0,0.9825949367088608,0.9161392405063291,-0.06645569620253167
18,Agora,Babel,https://github.com/babel/babel,"['@babel/plugin-proposal-optional-catch-binding'
 '@babel/plugin-proposal-object-rest-spread'
 '@babel/plugin-syntax-import-attributes'
 '@babel/plugin-syntax-dynamic-import'
 '@babel/plugin-proposal-logical-assignment-operators'
 '@babel/plugin-proposal-optional-chaining'
 '@babel/plugin-syntax-json-strings'
 '@babel/plugin-proposal-numeric-separator'
 '@babel/plugin-syntax-import-meta' '@babel/plugin-transform-literals'
 '@babel/plugin-transform-function-name' '@babel/preset-flow'
 '@babel/template' '@babel/core' '@babel/plugin-transform-spread'
 '@babel/plugin-transform-computed-properties'
 '@babel/helper-skip-transparent-expression-wrappers'
 '@babel/plugin-syntax-top-level-await'
 '@babel/plugin-proposal-class-properties'
 '@babel/plugin-transform-react-jsx-source'
 '@babel/plugin-transform-modules-commonjs'
 '@babel/helper-create-regexp-features-plugin'
 '@babel/plugin-transform-named-capturing-groups-regex'
 '@babel/plugin-syntax-class-properties'
 '@babel/helper-compilation-targets'
 '@babel/plugin-syntax-optional-chaining'
 '@babel/plugin-syntax-nullish-coalescing-operator'
 '@babel/plugin-transform-sticky-regex'
 '@babel/plugin-transform-async-to-generator'
 '@babel/plugin-syntax-logical-assignment-operators' '@babel/parser'
 '@babel/helper-environment-visitor' '@babel/helper-validator-option'
 '@babel/plugin-syntax-export-default-from'
 '@babel/plugin-syntax-async-generators'
 '@babel/plugin-transform-react-jsx-self' '@babel/runtime-corejs3'
 '@babel/plugin-transform-parameters' '@babel/traverse'
 '@babel/plugin-syntax-flow' '@babel/helper-create-class-features-plugin'
 '@babel/register' '@babel/plugin-transform-unicode-regex'
 '@babel/plugin-proposal-export-default-from'
 '@babel/helper-module-imports' '@babel/helper-string-parser'
 '@babel/helper-validator-identifier' '@babel/helpers'
 '@babel/plugin-syntax-bigint' '@babel/plugin-transform-arrow-functions'
 '@babel/plugin-proposal-async-generator-functions' '@babel/compat-data'
 '@babel/helper-replace-supers'
 '@babel/plugin-syntax-private-property-in-object'
 '@babel/helper-plugin-utils' '@babel/plugin-syntax-object-rest-spread'
 '@babel/plugin-transform-private-property-in-object'
 '@babel/plugin-transform-flow-strip-types'
 '@babel/plugin-transform-destructuring' '@babel/helper-wrap-function'
 '@babel/runtime' '@babel/plugin-transform-shorthand-properties'
 '@babel/plugin-transform-private-methods'
 '@babel/helper-optimise-call-expression'
 '@babel/plugin-transform-runtime' '@babel/preset-typescript'
 '@babel/plugin-transform-block-scoping' '@babel/plugin-syntax-jsx'
 '@babel/generator' '@babel/plugin-syntax-class-static-block'
 '@babel/plugin-transform-react-display-name'
 '@babel/plugin-syntax-numeric-separator' '@babel/helper-simple-access'
 '@babel/plugin-proposal-nullish-coalescing-operator'
 '@babel/plugin-syntax-typescript'
 '@babel/helper-remap-async-to-generator' '@babel/highlight'
 '@babel/code-frame' '@babel/types'
 '@babel/helper-member-expression-to-functions' 'babel-core'
 '@babel/helper-module-transforms' '@babel/plugin-transform-react-jsx'
 '@babel/plugin-syntax-optional-catch-binding'
 '@babel/plugin-transform-classes' '@babel/helper-annotate-as-pure'
 '@babel/plugin-transform-typescript']",3006,168,43364,5658,2014-09-28,TypeScript,MIT License,False,1.0,0.9825949367088608,0.9161392405063291,-0.06645569620253167
19,Ethereum Attestation Service,Babel,https://github.com/babel/babel,"['@babel/plugin-syntax-async-generators' '@babel/plugin-syntax-flow'
 '@babel/plugin-transform-async-generator-functions'
 '@babel/plugin-syntax-unicode-sets-regex' '@babel/core'
 '@babel/helper-module-transforms' '@babel/plugin-transform-react-jsx'
 '@babel/plugin-transform-shorthand-properties'
 '@babel/plugin-transform-logical-assignment-operators'
 '@babel/helper-annotate-as-pure' '@babel/plugin-transform-for-of'
 '@babel/plugin-transform-unicode-escapes'
 '@babel/plugin-transform-react-pure-annotations'
 '@babel/plugin-transform-new-target'
 '@babel/plugin-transform-unicode-regex'
 '@babel/plugin-transform-template-literals'
 '@babel/plugin-syntax-class-static-block'
 '@babel/plugin-transform-named-capturing-groups-regex'
 '@babel/plugin-syntax-json-strings' '@babel/plugin-transform-literals'
 '@babel/plugin-transform-duplicate-keys' '@babel/plugin-transform-spread'
 '@babel/preset-react' '@babel/plugin-transform-typescript'
 '@babel/helper-create-class-features-plugin'
 '@babel/plugin-transform-sticky-regex' '@babel/types'
 '@babel/plugin-proposal-decorators'
 '@babel/plugin-syntax-object-rest-spread'
 '@babel/plugin-transform-member-expression-literals'
 '@babel/plugin-syntax-jsx' '@babel/helper-simple-access'
 '@babel/plugin-proposal-numeric-separator' '@babel/template'
 '@babel/helper-plugin-utils' '@babel/plugin-syntax-class-properties'
 '@babel/helper-function-name' '@babel/helper-validator-option'
 '@babel/plugin-transform-unicode-property-regex' '@babel/parser'
 '@babel/helper-wrap-function' '@babel/plugin-syntax-top-level-await'
 '@babel/plugin-transform-flow-strip-types'
 '@babel/plugin-transform-reserved-words'
 '@babel/plugin-proposal-class-properties'
 '@babel/plugin-proposal-private-methods'
 '@babel/plugin-transform-modules-umd' '@babel/helper-string-parser'
 '@babel/compat-data' '@babel/plugin-transform-dynamic-import'
 '@babel/plugin-transform-private-methods' '@babel/traverse'
 '@babel/code-frame' '@babel/preset-env'
 '@babel/plugin-transform-property-literals'
 '@babel/plugin-syntax-import-meta' 'babel-plugin-syntax-jsx'
 '@babel/plugin-transform-async-to-generator'
 '@babel/plugin-syntax-decorators' '@babel/plugin-transform-runtime'
 '@babel/helper-hoist-variables'
 '@babel/helper-skip-transparent-expression-wrappers'
 '@babel/helper-replace-supers' '@babel/plugin-transform-destructuring'
 '@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression'
 '@babel/plugin-syntax-nullish-coalescing-operator'
 '@babel/preset-typescript' '@babel/highlight'
 '@babel/plugin-syntax-numeric-separator'
 '@babel/plugin-syntax-logical-assignment-operators'
 '@babel/plugin-transform-numeric-separator'
 '@babel/plugin-transform-export-namespace-from'
 '@babel/plugin-transform-block-scoping'
 '@babel/plugin-syntax-optional-catch-binding'
 '@babel/helper-split-export-declaration'
 '@babel/helper-validator-identifier'
 '@babel/plugin-syntax-export-namespace-from'
 '@babel/plugin-transform-classes'
 '@babel/plugin-transform-optional-chaining'
 '@babel/plugin-transform-function-name'
 '@babel/plugin-transform-react-display-name'
 '@babel/plugin-transform-parameters'
 '@babel/helper-create-regexp-features-plugin'
 '@babel/plugin-transform-json-strings'
 '@babel/helper-compilation-targets'
 '@babel/plugin-transform-nullish-coalescing-operator'
 '@babel/plugin-syntax-private-property-in-object'
 '@babel/plugin-transform-computed-properties'
 '@babel/plugin-transform-react-constant-elements' '@babel/helpers'
 '@babel/plugin-transform-dotall-regex'
 '@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining'
 '@babel/plugin-transform-unicode-sets-regex'
 '@babel/plugin-transform-modules-amd'
 '@babel/plugin-transform-class-static-block'
 '@babel/plugin-proposal-nullish-coalescing-operator'
 '@babel/plugin-transform-arrow-functions'
 '@babel/plugin-syntax-typescript'
 '@babel/plugin-proposal-unicode-property-regex'
 '@babel/helper-optimise-call-expression'
 '@babel/plugin-transform-typeof-symbol'
 '@babel/helper-remap-async-to-generator'
 '@babel/plugin-transform-class-properties'
 '@babel/helper-builder-binary-assignment-operator-visitor'
 '@babel/plugin-proposal-optional-chaining'
 '@babel/plugin-transform-modules-commonjs' '@babel/eslint-parser'
 '@babel/helper-environment-visitor'
 '@babel/plugin-proposal-private-property-in-object' '@babel/generator'
 '@babel/plugin-syntax-import-attributes'
 '@babel/plugin-transform-object-super' '@babel/runtime'
 '@babel/plugin-syntax-import-assertions'
 '@babel/plugin-transform-exponentiation-operator'
 '@babel/helper-module-imports' '@babel/plugin-syntax-optional-chaining'
 '@babel/plugin-syntax-dynamic-import'
 '@babel/plugin-transform-optional-catch-binding'
 '@babel/plugin-transform-block-scoped-functions'
 '@babel/plugin-transform-react-jsx-development'
 '@babel/plugin-transform-modules-systemjs'
 '@babel/helper-member-expression-to-functions'
 '@babel/plugin-syntax-bigint'
 '@babel/plugin-transform-private-property-in-object'
 '@babel/plugin-transform-regenerator'
 '@babel/plugin-transform-object-rest-spread']",3006,168,43364,5658,2014-09-28,TypeScript,MIT License,False,1.0,0.9825949367088608,0.9161392405063291,-0.06645569620253167
20,Basepaint,Babel,https://github.com/babel/babel,"['@babel/helper-validator-option' '@babel/helpers' '@babel/highlight'
 '@babel/helper-compilation-targets' '@babel/helper-annotate-as-pure'
 '@babel/plugin-transform-react-jsx-development'
 '@babel/helper-module-imports' '@babel/types'
 '@babel/helper-validator-identifier' '@babel/code-frame'
 '@babel/compat-data' '@babel/helper-plugin-utils'
 '@babel/helper-string-parser' '@babel/plugin-transform-react-jsx'
 '@babel/plugin-syntax-jsx' '@babel/parser' '@babel/template'
 '@babel/core' '@babel/generator' '@babel/traverse'
 '@babel/helper-module-transforms']",3006,168,43364,5658,2014-09-28,TypeScript,MIT License,False,1.0,0.9825949367088608,0.9161392405063291,-0.06645569620253167
21,Sound.xyz,Babel,https://github.com/babel/babel,"['@babel/highlight' '@babel/runtime' '@babel/code-frame'
 '@babel/helper-validator-identifier']",3006,168,43364,5658,2014-09-28,TypeScript,MIT License,False,1.0,0.9825949367088608,0.9161392405063291,-0.06645569620253167
22,Boost Studios,Babel,https://github.com/babel/babel,"['@babel/highlight' '@babel/runtime-corejs3'
 '@babel/helper-validator-identifier' '@babel/runtime' '@babel/code-frame']",3006,168,43364,5658,2014-09-28,TypeScript,MIT License,False,1.0,0.9825949367088608,0.9161392405063291,-0.06645569620253167
23,Agora,Multiformats,https://github.com/multiformats/js-multiaddr,['multiaddr' '@multiformats/multiaddr'],1041,74,109,64,2014-06-08,TypeScript,Other,False,2.0,0.5870253164556962,0.37816455696202533,-0.2088607594936709
24,Across,Multiformats,https://github.com/multiformats/js-multiaddr,['multiaddr'],1041,74,109,64,2014-06-08,TypeScript,Other,False,2.0,0.5870253164556962,0.37816455696202533,-0.2088607594936709
25,Superfluid,Multiformats,https://github.com/multiformats/js-multiaddr,['multiaddr'],1041,74,109,64,2014-06-08,TypeScript,Other,False,2.0,0.5870253164556962,0.37816455696202533,-0.2088607594936709
26,Sushi,Multiformats,https://github.com/multiformats/js-multiaddr,['multiaddr'],1041,74,109,64,2014-06-08,TypeScript,Other,False,2.0,0.5870253164556962,0.37816455696202533,-0.2088607594936709
27,Giveth,Multiformats,https://github.com/multiformats/js-multiaddr,['multiaddr'],1041,74,109,64,2014-06-08,TypeScript,Other,False,2.0,0.5870253164556962,0.37816455696202533,-0.2088607594936709
28,Synthetix,Multiformats,https://github.com/multiformats/js-multiaddr,['multiaddr'],1041,74,109,64,2014-06-08,TypeScript,Other,False,2.0,0.5870253164556962,0.37816455696202533,-0.2088607594936709
29,Synthetix,IPFS,https://github.com/ipfs/js-ipfs-unixfs,['ipfs-unixfs' 'ipfs-unixfs-importer'],708,48,87,35,2016-02-10,TypeScript,Other,True,1.0,0.3338607594936709,0.20094936708860758,-0.1329113924050633
30,Giveth,IPFS,https://github.com/ipfs/js-ipfs-unixfs,['ipfs-unixfs'],708,48,87,35,2016-02-10,TypeScript,Other,True,1.0,0.3338607594936709,0.20094936708860758,-0.1329113924050633
31,Sushi,IPFS,https://github.com/ipfs/js-ipfs-unixfs,['ipfs-unixfs'],708,48,87,35,2016-02-10,TypeScript,Other,True,1.0,0.3338607594936709,0.20094936708860758,-0.1329113924050633
32,Superfluid,IPFS,https://github.com/ipfs/js-ipfs-unixfs,['ipfs-unixfs'],708,48,87,35,2016-02-10,TypeScript,Other,True,1.0,0.3338607594936709,0.20094936708860758,-0.1329113924050633
33,Synthetix,ESLint,https://github.com/eslint/js,['eslint-scope' 'eslint-visitor-keys'],2718,153,2300,206,2014-12-06,JavaScript,"BSD 2-Clause ""Simplified"" License",False,2.0,0.890625,0.965625,0.07499999999999996
34,Velodrome,ESLint,https://github.com/eslint/js,['eslint-visitor-keys' 'eslint-scope'],2718,153,2300,206,2014-12-06,JavaScript,"BSD 2-Clause ""Simplified"" License",False,2.0,0.890625,0.965625,0.07499999999999996
35,Smol Dapp,ESLint,https://github.com/eslint/js,['eslint-scope' 'eslint-visitor-keys'],2718,153,2300,206,2014-12-06,JavaScript,"BSD 2-Clause ""Simplified"" License",False,2.0,0.890625,0.965625,0.07499999999999996
36,Ethereum Attestation Service,ESLint,https://github.com/eslint/js,['eslint-visitor-keys' 'eslint-scope'],2718,153,2300,206,2014-12-06,JavaScript,"BSD 2-Clause ""Simplified"" License",False,2.0,0.890625,0.965625,0.07499999999999996
37,Sound.xyz,ESLint,https://github.com/eslint/js,['eslint-scope' 'eslint-visitor-keys'],2718,153,2300,206,2014-12-06,JavaScript,"BSD 2-Clause ""Simplified"" License",False,2.0,0.890625,0.965625,0.07499999999999996
38,Superfluid,ESLint,https://github.com/eslint/js,['eslint-scope' 'eslint-visitor-keys'],2718,153,2300,206,2014-12-06,JavaScript,"BSD 2-Clause ""Simplified"" License",False,2.0,0.890625,0.965625,0.07499999999999996
39,Sushi,ESLint,https://github.com/eslint/js,['eslint-scope' 'eslint-visitor-keys'],2718,153,2300,206,2014-12-06,JavaScript,"BSD 2-Clause ""Simplified"" License",False,2.0,0.890625,0.965625,0.07499999999999996
40,Boost Studios,ESLint,https://github.com/eslint/js,['eslint-visitor-keys' 'eslint-scope'],2718,153,2300,206,2014-12-06,JavaScript,"BSD 2-Clause ""Simplified"" License",False,2.0,0.890625,0.965625,0.07499999999999996
41,Across,ESLint,https://github.com/eslint/js,['eslint-scope' 'eslint-visitor-keys'],2718,153,2300,206,2014-12-06,JavaScript,"BSD 2-Clause ""Simplified"" License",False,2.0,0.890625,0.965625,0.07499999999999996
42,Basepaint,ESLint,https://github.com/eslint/js,['eslint-scope' 'eslint-visitor-keys'],2718,153,2300,206,2014-12-06,JavaScript,"BSD 2-Clause ""Simplified"" License",False,2.0,0.890625,0.965625,0.07499999999999996
43,Giveth,ESLint,https://github.com/eslint/js,['eslint-scope' 'eslint-visitor-keys'],2718,153,2300,206,2014-12-06,JavaScript,"BSD 2-Clause ""Simplified"" License",False,2.0,0.890625,0.965625,0.07499999999999996
44,Agora,ESLint,https://github.com/eslint/js,['eslint-scope' 'eslint-visitor-keys'],2718,153,2300,206,2014-12-06,JavaScript,"BSD 2-Clause ""Simplified"" License",False,2.0,0.890625,0.965625,0.07499999999999996
45,Giveth,Safe,https://github.com/safe-global/safe-modules-deployments,['@safe-global/safe-modules-deployments'],32,3,11,22,2022-04-07,TypeScript,MIT License,True,5.0,0.030063291139240507,0.020569620253164556,-0.009493670886075951
46,Agora,Facebook Open Source,https://github.com/facebook/metro,"['metro-transform-plugins' 'metro-minify-terser' 'metro-babel-transformer'
 'metro-resolver' 'metro-core' 'metro-transform-worker' 'metro-config'
 'metro-runtime' 'metro-cache' 'metro-source-map' 'ob1' 'metro-cache-key'
 'metro-symbolicate' 'metro' 'metro-file-map']",569,55,5279,636,2016-12-14,JavaScript,MIT License,False,6.0,0.115625,0.184375,0.06875
47,Superfluid,Facebook Open Source,https://github.com/facebook/metro,"['metro-babel-transformer' 'metro-core' 'metro-cache-key' 'metro-cache'
 'metro-transform-worker' 'metro' 'metro-source-map' 'metro-symbolicate'
 'metro-config' 'metro-transform-plugins' 'ob1' 'metro-file-map'
 'metro-minify-terser' 'metro-resolver' 'metro-runtime']",569,55,5279,636,2016-12-14,JavaScript,MIT License,False,7.0,0.115625,0.184375,0.06875
48,Smol Dapp,Facebook Open Source,https://github.com/facebook/react,"['react' 'react-dom' 'scheduler' 'eslint-plugin-react-hooks'
 'use-sync-external-store' 'react-is']",2619,151,231439,47390,2013-05-24,JavaScript,MIT License,False,1.0,0.815625,0.815625,0.0
49,Synthetix,Facebook Open Source,https://github.com/facebook/react,"['react' 'react-is' 'react-refresh' 'scheduler'
 'eslint-plugin-react-hooks' 'react-dom' 'use-sync-external-store']",2619,151,231439,47390,2013-05-24,JavaScript,MIT License,False,1.0,0.815625,0.815625,0.0
50,Across,Facebook Open Source,https://github.com/facebook/react,"['scheduler' 'use-sync-external-store' 'react-dom'
 'eslint-plugin-react-hooks' 'react-is' 'react-refresh' 'react']",2619,151,231439,47390,2013-05-24,JavaScript,MIT License,False,1.0,0.815625,0.815625,0.0
51,Ethereum Attestation Service,Facebook Open Source,https://github.com/facebook/react,"['use-sync-external-store' 'eslint-plugin-react-hooks' 'react-dom'
 'react-devtools-core' 'react-is' 'react-reconciler' 'react'
 'react-refresh' 'scheduler']",2619,151,231439,47390,2013-05-24,JavaScript,MIT License,False,1.0,0.815625,0.815625,0.0
52,Basepaint,Facebook Open Source,https://github.com/facebook/react,['scheduler' 'react-reconciler' 'react'],2619,151,231439,47390,2013-05-24,JavaScript,MIT License,False,1.0,0.815625,0.815625,0.0
53,Boost Studios,Facebook Open Source,https://github.com/facebook/react,['react-is' 'react-dom' 'use-sync-external-store' 'react' 'scheduler'],2619,151,231439,47390,2013-05-24,JavaScript,MIT License,False,1.0,0.815625,0.815625,0.0
54,Sushi,Facebook Open Source,https://github.com/facebook/react,"['react-is' 'eslint-plugin-react-hooks' 'react-test-renderer' 'scheduler'
 'react-dom' 'react' 'use-sync-external-store']",2619,151,231439,47390,2013-05-24,JavaScript,MIT License,False,1.0,0.815625,0.815625,0.0
55,Agora,Facebook Open Source,https://github.com/facebook/react,"['use-sync-external-store' 'react-refresh' 'react-devtools-core'
 'react-is' 'eslint-plugin-react-hooks' 'react-reconciler' 'react-dom'
 'react' 'scheduler']",2619,151,231439,47390,2013-05-24,JavaScript,MIT License,False,1.0,0.815625,0.815625,0.0
56,Superfluid,Facebook Open Source,https://github.com/facebook/react,"['scheduler' 'react-dom' 'react' 'react-refresh'
 'eslint-plugin-react-hooks' 'use-sync-external-store' 'react-is'
 'react-devtools-core']",2619,151,231439,47390,2013-05-24,JavaScript,MIT License,False,1.0,0.815625,0.815625,0.0
57,Giveth,Facebook Open Source,https://github.com/facebook/react,"['react-refresh' 'eslint-plugin-react-hooks' 'react' 'react-dom'
 'use-subscription' 'react-is' 'scheduler' 'use-sync-external-store']",2619,151,231439,47390,2013-05-24,JavaScript,MIT License,False,1.0,0.815625,0.815625,0.0
58,Sound.xyz,Facebook Open Source,https://github.com/facebook/react,['react' 'react-dom'],2619,151,231439,47390,2013-05-24,JavaScript,MIT License,False,1.0,0.815625,0.815625,0.0
59,Velodrome,Facebook Open Source,https://github.com/facebook/react,['react-is'],2619,151,231439,47390,2013-05-24,JavaScript,MIT License,False,1.0,0.815625,0.815625,0.0
60,Sushi,EthereumJS,https://github.com/ethereumjs/ethereumjs-monorepo,"['@ethereumjs/ethash' '@nomicfoundation/ethereumjs-ethash'
 '@nomicfoundation/ethereumjs-statemanager' 'rlp' '@ethereumjs/tx'
 '@ethereumjs/blockchain' '@ethereumjs/common'
 '@nomicfoundation/ethereumjs-tx' '@nomicfoundation/ethereumjs-rlp'
 '@nomicfoundation/ethereumjs-block' '@nomicfoundation/ethereumjs-evm'
 '@ethereumjs/rlp' '@nomicfoundation/ethereumjs-util' '@ethereumjs/util'
 '@ethereumjs/vm' '@nomicfoundation/ethereumjs-trie' '@ethereumjs/block'
 '@nomicfoundation/ethereumjs-blockchain' 'merkle-patricia-tree'
 '@nomicfoundation/ethereumjs-common' 'ethereumjs-util'
 '@nomicfoundation/ethereumjs-vm']",2290,170,2622,776,2015-07-10,TypeScript,,True,1.0,0.9129746835443038,0.9509493670886076,0.03797468354430378
61,Across,EthereumJS,https://github.com/ethereumjs/ethereumjs-monorepo,"['@nomicfoundation/ethereumjs-common' '@nomicfoundation/ethereumjs-ethash'
 '@nomicfoundation/ethereumjs-util' '@ethereumjs/vm' '@ethereumjs/block'
 '@nomicfoundation/ethereumjs-evm' '@nomicfoundation/ethereumjs-vm'
 '@nomicfoundation/ethereumjs-trie' 'merkle-patricia-tree'
 '@nomicfoundation/ethereumjs-block' '@ethereumjs/tx' 'rlp'
 '@ethereumjs/util' '@ethereumjs/rlp' '@nomicfoundation/ethereumjs-rlp'
 '@nomicfoundation/ethereumjs-statemanager' '@ethereumjs/blockchain'
 '@ethereumjs/common' '@ethereumjs/ethash' 'ethereumjs-util'
 '@nomicfoundation/ethereumjs-tx' '@nomicfoundation/ethereumjs-blockchain']",2290,170,2622,776,2015-07-10,TypeScript,,True,1.0,0.9129746835443038,0.9509493670886076,0.03797468354430378
