date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-beefy,forecasted_TVL_opchain-beefy
2024-09-01 00:00:00,0.20505712361617934,0.20476909623017714,0.041786445212328854,3.370430563289142e-05,0.0,0.0,268053685.18502772,252349942.7336684
2024-09-02 00:00:00,0.16122571702152705,0.25288120071497794,0.040050378596760194,2.5633070984129555e-05,0.0,0.0,275253813.3399894,268142858.15847477
2024-09-03 00:00:00,0.28277931435593295,0.13890341604045015,0.04455426798595588,3.556722346907911e-05,0.0,0.0,271504101.2439535,274367679.2965226
2024-09-04 00:00:00,0.30535092641526995,0.23289773437086375,0.100313344262774,2.9304399728509877e-05,0.0,0.0,270267601.57466,285478970.65680736
2024-09-05 00:00:00,0.2379969563250941,0.1315678375507217,0.0847022596345623,2.2137213783511545e-05,0.0,0.0,256756034.29244202,285942414.57985663
2024-09-06 00:00:00,0.2340053792257027,0.29743927669846343,0.020041682886016956,2.5127183408904795e-05,0.0,0.0,265039768.3712272,262508758.9785008
2024-09-07 00:00:00,0.1832563719692253,0.29825341695037383,0.04023165145202585,1.6009756889378e-05,0.0,0.0,269603266.72319484,255062236.92458227
2024-09-08 00:00:00,0.2678509964842737,0.21991796201357106,0.026059280040078035,2.1478725248844876e-05,0.0,0.0,264224322.42991224,264143518.80000588
2024-09-09 00:00:00,0.40755186560848355,0.3065866225164841,0.037287442327270076,1.7051051105157022e-05,0.0,0.0,256802308.25991964,255085399.29384905
2024-09-10 00:00:00,0.29312862031721915,0.091078435625564,0.03951415848588522,2.440138268035632e-05,0.0,0.0,277199338.0472181,294986837.21079075
2024-09-11 00:00:00,0.23692952748634108,0.09025908606421812,0.04268791430819098,2.1656986675966808e-05,0.0,0.0,271269870.93976647,255555045.15757146
2024-09-12 00:00:00,0.21799384090175464,0.144568187620966,0.027622632328105797,1.5425619281349487e-05,0.0,0.0,250368425.1909305,262097181.9384596
2024-09-13 00:00:00,0.1726105133872716,0.2816550002219091,0.07700170140525205,3.038627300870521e-05,0.0,0.0,245990874.08627227,263834864.8180853
2024-09-14 00:00:00,0.2222553055167325,0.16797545353040147,0.061440424272736466,3.3252893102751035e-05,0.0,0.0,255209396.82095233,247514370.296288
2024-09-15 00:00:00,0.14037519816902155,0.14832703998856045,0.09593847875759719,3.0499522745972154e-05,0.0,0.0,261095197.90767834,237110290.29210192
2024-09-16 00:00:00,0.12365988118060302,0.18033161414228271,0.03771242902649288,1.2606110732893045e-05,0.0,0.0,258403844.7679941,258685213.5261765
2024-09-17 00:00:00,0.23872451241528722,0.16424460063466062,0.05511977272940295,1.5354817432606154e-05,0.0,0.0,277295311.3206919,267699671.0723354
2024-09-18 00:00:00,0.16005743061851468,0.31783922300670064,0.05608735856781546,2.359631498368803e-05,0.0,0.0,280240356.9207512,241309527.0258805
2024-09-19 00:00:00,0.1722827740766458,0.21951967785190651,0.06062974909390964,2.6473417915918074e-05,0.0,0.0,292125453.8289053,260747336.6437966
2024-09-20 00:00:00,0.43725370890289295,0.18699641144791554,0.07690828721010391,1.5845238237647805e-05,0.0,0.0,288520356.16229916,248089266.92926493
2024-09-21 00:00:00,0.3311467700911693,0.2561006606561416,0.0830596979321035,2.1289568082126904e-05,0.0,0.0,282221954.5229021,274734318.0188479
2024-09-22 00:00:00,0.21890304221219947,0.12608367428643077,0.0182750147030926,1.590570888033321e-05,0.0,0.0,259872748.07632518,235649196.89782828
2024-09-23 00:00:00,0.2207055219529161,0.06359160899776813,0.037420751127473284,1.8404911214028398e-05,0.0,0.0,283317226.2917406,248898559.48045278
2024-09-24 00:00:00,0.29004424012108515,0.10163979962254079,0.027619790507497476,1.5964102543927348e-05,0.0,0.0,273193716.34279734,254957719.3920774
2024-09-25 00:00:00,0.16127100266854735,0.30138513836976477,0.03518297733357949,2.0238601071922458e-05,0.0,0.0,275466001.8133805,252965581.05322856
2024-09-26 00:00:00,0.19368902553254105,0.20673773992027777,0.040453268073286336,1.4933410855883233e-05,0.0,0.0,264532225.36765638,265182689.3023961
2024-09-27 00:00:00,0.14892649349365097,0.14118359055684676,0.05006379749994064,2.3008987620580658e-05,0.0,0.0,271925375.5401807,265705168.8712471
2024-09-28 00:00:00,0.1808813943142823,0.32930405015706277,0.06328579848295068,1.4771312161994492e-05,0.0,0.0,276260475.40210384,272430281.21831506
2024-09-29 00:00:00,0.11630950347449934,0.11193706045002438,0.039217224217729864,1.8151670958192742e-05,0.0,0.0,280101249.83498085,244758317.17285144
2024-09-30 00:00:00,0.15083718098240412,0.09759863895585155,0.044380452808230136,1.599638860040377e-05,0.0,0.0,289070250.0855546,259928700.45192075
2024-10-01 00:00:00,0.16398675060587872,0.29676012049282985,0.02790088087774775,3.277238235898325e-05,0.0,0.0,262919528.52144504,277130230.2140494
2024-10-02 00:00:00,0.21987079241145957,0.1928051141248535,0.03894732702588377,1.8436040914004583e-05,0.0,0.0,282413799.0245731,273080517.52757746
2024-10-03 00:00:00,0.17879282513586475,0.11805496766926749,0.02992895710026301,2.299398242133473e-05,0.0,0.0,247298552.6604961,256694346.84855178
2024-10-04 00:00:00,0.28129914747027873,0.17483817586807943,0.06474970063478919,8.714799703461575e-06,0.0,0.0,255692885.4997044,277251247.8731381
2024-10-05 00:00:00,0.20583472845184758,0.21120902121390264,0.06896091867381904,1.5339210047157148e-05,0.0,0.0,241725861.06639427,263509275.98426688
2024-10-06 00:00:00,0.21895894731007837,0.2617142480774795,0.035465750884800466,2.5705599716108715e-05,0.0,0.0,266810419.18496484,266853983.5374807
2024-10-07 00:00:00,0.29537172010483453,0.23266158774113138,0.01642346023042616,3.1171942438236856e-05,0.0,0.0,265986256.50059745,260927143.6919123
2024-10-08 00:00:00,0.2795009353461479,0.22552949347630186,0.028174599666814664,3.7822443090858165e-05,0.0,0.0,247979742.93662837,253954307.1440567
2024-10-09 00:00:00,0.35985963841815877,0.1633621005729945,0.03224100150898498,4.532813910983571e-05,0.0,0.0,257694953.68782163,257908022.9408496
2024-10-10 00:00:00,0.21006300644179315,0.26051712526084064,0.02539816704767561,3.0400274395615567e-05,0.0,0.0,265786659.4535014,291325500.410004
