project_name,display_name,repository_count,star_count,fork_count,fulltime_developer_average_6_months,new_contributor_count_6_months,repo_rank,starred,starred_by_top_devs,forked,forked_by_top_devs,age_of_project_years
pwnfinance,PWN,15,42,12,0.0,2.0,3190.0,48.0,,22.0,,2.75
chainpatrol,ChainPatrol,10,11,5,1.0604395604395604,4.0,15719.0,10.0,,6.0,,1.75
upnodedev,Upnode,42,13,1,0.0,3.0,1081.0,15.0,7.0,1.0,1.0,1.75
scopelift,ScopeLift,11,407,41,0.0,2.0,96.0,465.0,64.0,53.0,3.0,2.75
radicalxchange,RadicalxChange Foundation,21,114,45,0.1813186813186813,6.0,1625.0,132.0,1.0,55.0,,5.75
cliqueofficial,Clique,34,39,9,0.0,4.0,2774.0,48.0,2.0,9.0,,1.75
growthepie,growthepie,5,27,16,1.60989010989011,2.0,608.0,30.0,4.0,21.0,2.0,1.333333333333485
hausdao,Public HAUS,80,400,306,0.0,4.0,1983.0,542.0,4.0,350.0,7.0,5.0
defi-wonderland,Wonderland,10,650,90,0.0,7.0,249.0,788.0,23.0,137.0,5.0,3.083333333333485
blobscan,Blobscan,13,105,45,0.5879120879120879,17.0,172.0,136.0,15.0,49.0,8.0,1.833333333333485
testinprod-io,Test in Prod,28,119,28,0.3791208791208791,17.0,2.0,146.0,45.0,32.0,5.0,2.0
beacon-chain,Beaconchain and Bitfly,4,1025,483,0.0,13.0,268.0,1288.0,20.0,530.0,8.0,4.75
vyperlang,Vyper,29,5232,878,0.8901098901098901,23.0,121.0,6583.0,79.0,1238.0,56.0,7.75
