project_name,display_name,repository_count,star_count,fork_count,fulltime_developer_average_6_months,new_contributor_count_6_months,repo_rank,starred,starred_by_top_devs,forked,forked_by_top_devs,age_of_project_years
limechain,LimeChain,251,886,265,0.15934065934065933,23.0,315.0,1117.0,27.0,328.0,3.0,6.75
libp2p,libp2p,257,24803,6372,2.5549450549450547,102.0,117.0,30057.0,131.0,8296.0,110.0,9.583333333333485
foundry,Foundry,18,11121,3114,2.9450549450549453,385.0,18.0,13899.0,288.0,3992.0,225.0,2.9166666666667425
opensource-observer,Open Source Observer,8,118,116,2.4175824175824174,74.0,95.0,128.0,14.0,134.0,7.0,1.083333333333485
l2beat,L2BEAT,12,854,404,5.225274725274725,72.0,69.0,982.0,30.0,487.0,16.0,4.25
reth-paradigmxyz,Reth,1,3622,959,4.950549450549451,210.0,11.0,4182.0,76.0,1336.0,83.0,1.6666666666667425
humpysgold,HumpysGold,10,5,1,0.0,0.0,18606.0,4.0,,,,1.0
wakeuplabs,WakeUp Labs,11,4,1,0.0,0.0,12694.0,4.0,,3.0,,2.583333333333485
radardao-xyz,RadarDAO,12,5,4,0.0,0.0,4581.0,4.0,,4.0,,2.5
defientco,6551 Studio,19,7,13,0.0,1.0,5604.0,9.0,,20.0,,1.9166666666667425
hildobby,"hildobby""s Dune dashboards",11,10,0,0.06593406593406594,1.0,31007.0,9.0,,4.0,,4.5
anotherblock,anotherblock,7,0,3,0.0,1.0,14199.0,,,3.0,,2.1666666666667425
crypto-stats,CryptoStats,20,58,17,0.0,1.0,2664.0,81.0,1.0,23.0,1.0,2.9166666666667425
bankless-academy,Bankless Academy,8,21,12,0.6318681318681318,0.0,3002.0,27.0,1.0,31.0,1.0,2.833333333333485
grappafinance,Grappa Finance,9,141,26,0.0,0.0,5129.0,176.0,9.0,34.0,,2.333333333333485
commons-stack,Commons Stack,36,129,77,0.0,0.0,3929.0,164.0,3.0,86.0,,5.4166666666667425
dasylang,Dasy,4,55,4,0.0,1.0,739.0,69.0,7.0,5.0,1.0,1.9166666666667425
synthetix-node-synthetixio,Synthetix IPFS Node,5,13,2,0.0,2.0,7224.0,13.0,1.0,13.0,,1.4166666666667425
f-o-a-m,FOAM,90,619,178,0.0,0.0,1933.0,777.0,7.0,195.0,,6.833333333333485
blockhead-darryl-yeo,Blockhead,1,117,43,0.41208791208791207,2.0,1942.0,137.0,1.0,53.0,,3.833333333333485
heno-relief-game-sweetmantech,Sweetman,2,1,1,0.0,1.0,14005.0,1.0,,9.0,,0.8333333333334849
ponder-surveys,Ponder,3,14,1,0.0,2.0,1506.0,18.0,,,,1.4166666666667425
eth-limo,eth.limo,7,72,11,0.0,2.0,5703.0,75.0,2.0,7.0,,2.0
kredeum,Kredeum NFTs Factory,22,45,25,0.0,2.0,7461.0,52.0,,41.0,,3.75
tryethernal,Ethernal,9,319,68,0.23076923076923078,4.0,537.0,367.0,4.0,85.0,,3.5
vu3th,VueDapp,7,221,65,0.21428571428571427,2.0,5981.0,285.0,,84.0,1.0,3.0
impersonator-eth,Impersonator,6,323,60,0.0,4.0,3755.0,393.0,5.0,69.0,1.0,3.0
whatsabi-shazow,WhatsABI,1,1004,69,0.0,4.0,439.0,1197.0,34.0,83.0,2.0,1.9166666666667425
poppunk-llc,Gaslite by PopPunk LLC,5,243,48,0.01098901098901099,4.0,1697.0,310.0,7.0,62.0,,0.9166666666667425
turbo-eth,TurboETH,18,482,128,0.0,7.0,681.0,569.0,4.0,191.0,2.0,2.1666666666667425
xkcp,Keccak hashing,1,577,195,0.0,4.0,611.0,646.0,8.0,237.0,,9.583333333333485
cryptozombieshq,CryptoZombies,7,3375,1586,0.0,6.0,1409.0,3954.0,6.0,1965.0,,6.583333333333485
cryo-paradigmxyz,cryo,1,1080,92,0.0,8.0,106.0,1275.0,40.0,95.0,10.0,1.083333333333485
otterscan,Otterscan,7,1347,189,0.5879120879120879,5.0,99.0,1625.0,40.0,232.0,5.0,3.083333333333485
snekmate,Snekmate,1,493,54,0.8296703296703297,6.0,228.0,607.0,22.0,77.0,10.0,2.083333333333485
hardhat-tracer-zemse,Hardhat Tracer,1,341,35,0.0,9.0,1033.0,432.0,16.0,44.0,1.0,3.5
indexsupply,Index Supply,4,144,19,0.532967032967033,8.0,4643.0,168.0,10.0,25.0,1.0,1.833333333333485
ethereum-etl-blockchain-etl,EthereumETL,1,2893,821,0.0,11.0,201.0,3456.0,27.0,973.0,7.0,6.25
frame-floating,Frame,1,1062,149,0.0,11.0,510.0,1245.0,12.0,191.0,3.0,6.4166666666667425
dethcrypto,Deth and TypeChain,14,4857,570,0.0,11.0,366.0,5763.0,69.0,705.0,18.0,6.9166666666667425
synpress-synthexio,Synpress,1,571,180,0.0,10.0,522.0,655.0,11.0,193.0,1.0,3.75
blst-supranational,blst by Supranational,1,453,173,0.0,16.0,603.0,552.0,23.0,202.0,14.0,4.1666666666667425
wighawag,Jolly Roger and Hardhat-deploy,36,1956,432,0.9010989010989011,18.0,350.0,2376.0,67.0,477.0,14.0,5.6666666666667425
ethers-io,ethers.js,30,8551,2133,0.0,99.0,250.0,10574.0,53.0,2795.0,33.0,8.25
plancker-labs,Plancker,20,27,17,0.0,1.0,7465.0,40.0,,24.0,,3.083333333333485
solidity-analyzer-parmanuxyz,solidity-analyzer,1,55,0,0.0,0.0,1134.0,58.0,8.0,,,1.083333333333485
optimism-prices,Optimism Prices Contracts,1,10,6,0.0,0.0,4846.0,10.0,,1.0,,1.5
definomics-labs,DeFinomics Labs,1,0,0,0.0,0.0,,,,,,1.75
another-world,Another World,7,3,0,0.0,0.0,30671.0,3.0,,,,1.6666666666667425
revolte-pgrandne,Revolte,4,0,1,0.0,0.0,,,,1.0,,1.583333333333485
indexed-xyz,indexed.xyz,4,39,4,0.0,0.0,4141.0,44.0,,3.0,1.0,1.5
understanding-optimism-codebase-joohhnnn,Understanding Optimism Codebase,3,68,3,0.0,0.0,254.0,89.0,6.0,1.0,,0.9166666666667425
tockable,Tockable.xyz,5,7,2,0.0,0.0,,8.0,,1.0,,0.8333333333334849
secureum-race,RACE by Secureum,1,45,16,0.0,0.0,4986.0,65.0,1.0,23.0,,2.4166666666667425
travenesia,Travenesia,2,2,0,0.0,0.0,18528.0,1.0,,,,0.75
weekinethnews,Week in Ethereum News,3,22,0,0.0,0.0,4768.0,28.0,2.0,,,3.1666666666667425
awesome-optimism-lucas-op,Awesome Optimism,1,9,3,0.0,0.0,2748.0,18.0,1.0,3.0,,1.0
op-ai-web-asharibali,Optimism AI - ChatBot,2,20,3,0.0,0.0,5855.0,24.0,,1.0,,0.8333333333334849
optinames-optimismresolver,Optinames & OptimismResolver,2,27,7,0.0,0.0,14808.0,30.0,,7.0,,1.6666666666667425
dorisprotocol,Doris Protocol,1,2,1,0.0,0.0,,2.0,,1.0,,0.8333333333334849
grateful-protocol,Grateful,3,2,0,0.0,0.0,16580.0,2.0,,,,2.1666666666667425
optimism-resource-center-govguide,Optimism Resource Center,1,1,0,0.0,0.0,4143.0,3.0,,,,0.9166666666667425
justcause-smeee23,JustCause,2,2,1,0.0,0.0,,2.0,,,,2.9166666666667425
filosofiacodigo,FilosofiaCodigo,36,61,51,0.0,0.0,6786.0,63.0,,63.0,,3.25
revoke-cash,Revoke,8,757,267,0.8626373626373627,29.0,963.0,883.0,13.0,315.0,6.0,4.833333333333485
nethermindeth,Nethermind,258,3844,1379,3.642857142857143,200.0,79.0,4677.0,116.0,1624.0,39.0,6.583333333333485
protocol-guild,Protocol Guild,304,175570,78952,14.37912087912088,901.0,23.0,219990.0,1332.0,97706.0,1187.0,9.583333333333485
