project_id,project_source,project_namespace,project_name,collection_id,collection_source,collection_namespace,collection_name,project_id_1,project_source_1,project_namespace_1,project_name_1,display_name,event_source,repository_count,first_commit_date,last_commit_date,star_count,fork_count,developer_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months
tGdTsu5yLACalu4KFRbu20JlVBicgYOI9Blc80RPi6Y=,OSS_DIRECTORY,oso,jokerace-jk-labs-inc,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation,tGdTsu5yLACalu4KFRbu20JlVBicgYOI9Blc80RPi6Y=,OSS_DIRECTORY,oso,jokerace-jk-labs-inc,Jokedao,GITHUB,1,2022-08-11 15:16:52.000000 UTC,2024-10-24 15:31:49.000000 UTC,86,47,5.0,234.0,117.0,109.0,2.6065573770491803,4.0,801.0,880.0,804.0,254.0,235.0
6BxfXGCsH-o83hx52DVL09NneutKXpQeLugD4o7mr-4=,OSS_DIRECTORY,oso,blockscout,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation,6BxfXGCsH-o83hx52DVL09NneutKXpQeLugD4o7mr-4=,OSS_DIRECTORY,oso,blockscout,Blockscout,GITHUB,37,2018-03-08 20:57:01.000000 UTC,2024-10-25 00:02:09.000000 UTC,4035,3186,51.0,2530.0,344.0,282.0,2.721311475409836,23.0,1910.0,946.0,835.0,726.0,751.0
caQkrvgdnfmHKqIoI8O1Vzxh7y1PMsP2xS2WRmfcFJw=,OSS_DIRECTORY,oso,argumentcomputer,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation,caQkrvgdnfmHKqIoI8O1Vzxh7y1PMsP2xS2WRmfcFJw=,OSS_DIRECTORY,oso,argumentcomputer,Argument,GITHUB,125,2020-03-12 07:06:10.000000 UTC,2024-10-24 22:22:31.000000 UTC,2297,400,40.0,130.0,31.0,12.0,0.55191256830601088,13.0,456.0,381.0,312.0,74.0,68.0
FZyANfBAocvep2LvoyukpWDW7ZmzfgXn35C0zqVZtg4=,OSS_DIRECTORY,oso,zondax,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation,FZyANfBAocvep2LvoyukpWDW7ZmzfgXn35C0zqVZtg4=,OSS_DIRECTORY,oso,zondax,Zondax,GITHUB,330,2018-02-11 20:40:15.000000 UTC,2024-10-24 15:30:46.000000 UTC,814,976,26.0,453.0,52.0,23.0,1.0655737704918034,13.0,1826.0,955.0,555.0,56.0,49.0
QQiMYtRyutdk0KUn943k_5NdM9wqtPBjMrB6sUtqdH0=,OSS_DIRECTORY,oso,wasmedge,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation,QQiMYtRyutdk0KUn943k_5NdM9wqtPBjMrB6sUtqdH0=,OSS_DIRECTORY,oso,wasmedge,WasmEdge-based FVM,GITHUB,44,2019-12-12 11:44:28.000000 UTC,2024-10-24 18:45:07.000000 UTC,9020,952,17.0,432.0,86.0,52.0,0.994535519125683,11.0,659.0,388.0,340.0,156.0,213.0
YkX3iSdaKOMkdkd-HTJDv5U5HaV8yEZk7FHoufS1WiM=,OSS_DIRECTORY,oso,w3b3d3v,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation,YkX3iSdaKOMkdkd-HTJDv5U5HaV8yEZk7FHoufS1WiM=,OSS_DIRECTORY,oso,w3b3d3v,Web3dev Community,GITHUB,72,2021-12-31 01:38:31.000000 UTC,2024-10-22 17:31:32.000000 UTC,301,413,22.0,91.0,27.0,10.0,0.0,10.0,267.0,98.0,53.0,414.0,247.0
5m263kxquf8y2PdvAfN4keorV1Kv7oGw7g4UtMGaJcQ=,OSS_DIRECTORY,oso,forest-chainsafe,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation,5m263kxquf8y2PdvAfN4keorV1Kv7oGw7g4UtMGaJcQ=,OSS_DIRECTORY,oso,forest-chainsafe,Forest (ChainSafe),GITHUB,2,2020-06-24 15:30:04.000000 UTC,2024-10-24 11:01:14.000000 UTC,647,162,31.0,80.0,21.0,8.0,1.1857923497267759,13.0,336.0,412.0,365.0,223.0,237.0
W4Aq4uHsvkoCrmpcjMCLhEecT5N95nCnz4Ek2s--Mvw=,OSS_DIRECTORY,oso,webrecorder,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation,W4Aq4uHsvkoCrmpcjMCLhEecT5N95nCnz4Ek2s--Mvw=,OSS_DIRECTORY,oso,webrecorder,Browser Based Web Archiving,GITHUB,69,2016-03-17 17:43:58.000000 UTC,2024-10-23 20:41:25.000000 UTC,5725,775,20.0,557.0,84.0,38.0,1.1038251366120218,8.0,627.0,460.0,421.0,291.0,336.0
Xd9gpjoGn1CMfnPlkFWywig0zF1N5J9a0jAXauk-dpw=,OSS_DIRECTORY,oso,ensdomains,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation,Xd9gpjoGn1CMfnPlkFWywig0zF1N5J9a0jAXauk-dpw=,OSS_DIRECTORY,oso,ensdomains,ENS Support for Filecoin Addresses,GITHUB,130,2016-05-29 11:49:46.000000 UTC,2024-10-24 20:24:07.000000 UTC,5068,3454,26.0,952.0,94.0,63.0,1.1038251366120218,14.0,1401.0,412.0,298.0,75.0,43.0
-A5N7DYgI4bDZZQaF_4SPw_qx6cv1BbfcoxJ7rZxig8=,OSS_DIRECTORY,oso,traderjoe-xyz,7K0msv6H9FjIQ9KuZoqqLo__pyg1g_EJfnMi_-yx2lY=,OSS_DIRECTORY,oso,arb-stip-1,-A5N7DYgI4bDZZQaF_4SPw_qx6cv1BbfcoxJ7rZxig8=,OSS_DIRECTORY,oso,traderjoe-xyz,Trader Joe,GITHUB,49,2021-06-15 06:11:01.000000 UTC,2024-10-21 14:35:33.000000 UTC,696,984,20.0,674.0,75.0,43.0,0.453551912568306,5.0,296.0,167.0,125.0,10.0,5.0
