project_id,project_source,project_namespace,project_name,collection_id,collection_source,collection_namespace,collection_name,project_id_1,project_source_1,project_namespace_1,project_name_1,display_name,event_source,days_since_first_transaction,active_contract_count_90_days,transaction_count,transaction_count_6_months,gas_fees_sum,gas_fees_sum_6_months,address_count,address_count_90_days,new_address_count_90_days,returning_address_count_90_days,high_activity_address_count_90_days,medium_activity_address_count_90_days,low_activity_address_count_90_days,multi_project_address_count_90_days
yKypccLkTH2Wfs8YKui7rKISSCs4aZwn3_nd9OB4vIk=,OSS_DIRECTORY,oso,mean-finance,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,yKypccLkTH2Wfs8YKui7rKISSCs4aZwn3_nd9OB4vIk=,OSS_DIRECTORY,oso,mean-finance,Mean Finance,ARBITRUM_ONE,878.0,1.0,49096.0,7226.0,9.3790398984836134,0.10068226393409528,32941.0,1657.0,1296.0,361.0,1.0,1.0,1653.0,1593.0
yKypccLkTH2Wfs8YKui7rKISSCs4aZwn3_nd9OB4vIk=,OSS_DIRECTORY,oso,mean-finance,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,yKypccLkTH2Wfs8YKui7rKISSCs4aZwn3_nd9OB4vIk=,OSS_DIRECTORY,oso,mean-finance,Mean Finance,BASE,445.0,0.0,20.0,0.0,0.0055800546024214973,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tB-dgPdkZ4WHHVl_DQHupA0FQvK9HnjZYKk03SX9eow=,OSS_DIRECTORY,oso,rubicon,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,tB-dgPdkZ4WHHVl_DQHupA0FQvK9HnjZYKk03SX9eow=,OSS_DIRECTORY,oso,rubicon,Rubicon,OPTIMISM,953.0,4.0,1073777.0,498.0,1.1080248140242217,0.0055824769178294525,258872.0,140.0,6.0,134.0,0.0,1.0,138.0,126.0
tB-dgPdkZ4WHHVl_DQHupA0FQvK9HnjZYKk03SX9eow=,OSS_DIRECTORY,oso,rubicon,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,tB-dgPdkZ4WHHVl_DQHupA0FQvK9HnjZYKk03SX9eow=,OSS_DIRECTORY,oso,rubicon,Rubicon,BASE,444.0,1.0,414.0,1.0,0.14239767438811166,3.609650379627e-06,26.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
tB-dgPdkZ4WHHVl_DQHupA0FQvK9HnjZYKk03SX9eow=,OSS_DIRECTORY,oso,rubicon,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,tB-dgPdkZ4WHHVl_DQHupA0FQvK9HnjZYKk03SX9eow=,OSS_DIRECTORY,oso,rubicon,Rubicon,ARBITRUM_ONE,504.0,1.0,2701.0,11.0,0.29102963008396876,0.0032904453761930007,216.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
v07WuIj23EliP8jQU6TbDYWLw0uIgUvidVdA53WGIWs=,OSS_DIRECTORY,oso,infusion-finance,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,v07WuIj23EliP8jQU6TbDYWLw0uIgUvidVdA53WGIWs=,OSS_DIRECTORY,oso,infusion-finance,Infusion,BASE,235.0,29.0,64777.0,60048.0,1.0733723691684238,0.912400231478782,12128.0,5704.0,3441.0,2263.0,12.0,401.0,5283.0,4743.0
kiqVUwRF5FElb8g1kc58326ChvGgTktCDgkZCXLgMLc=,OSS_DIRECTORY,oso,getmint-io,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,kiqVUwRF5FElb8g1kc58326ChvGgTktCDgkZCXLgMLc=,OSS_DIRECTORY,oso,getmint-io,Get Mint,BASE,323.0,2.0,80031.0,53737.0,0.46560513456050251,0.3251015652550367,29149.0,8118.0,6587.0,1531.0,0.0,204.0,7914.0,5413.0
kiqVUwRF5FElb8g1kc58326ChvGgTktCDgkZCXLgMLc=,OSS_DIRECTORY,oso,getmint-io,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,kiqVUwRF5FElb8g1kc58326ChvGgTktCDgkZCXLgMLc=,OSS_DIRECTORY,oso,getmint-io,Get Mint,OPTIMISM,323.0,2.0,24306.0,21017.0,0.14525407325113895,0.11502296199430487,9817.0,4086.0,3746.0,340.0,0.0,19.0,4067.0,1348.0
kiqVUwRF5FElb8g1kc58326ChvGgTktCDgkZCXLgMLc=,OSS_DIRECTORY,oso,getmint-io,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,kiqVUwRF5FElb8g1kc58326ChvGgTktCDgkZCXLgMLc=,OSS_DIRECTORY,oso,getmint-io,Get Mint,ZORA,323.0,1.0,4821.0,1693.0,0.1843205260949832,0.0018398046932077534,2416.0,34.0,25.0,9.0,0.0,0.0,34.0,28.0
6Zcpq92o-JOeTHsuaanfXqOkVNJwC2OREgecMdCvSQI=,OSS_DIRECTORY,oso,mochimons-mochimonsdev,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,6Zcpq92o-JOeTHsuaanfXqOkVNJwC2OREgecMdCvSQI=,OSS_DIRECTORY,oso,mochimons-mochimonsdev,Mochimons,BASE,276.0,1.0,3909.0,415.0,0.15398356613497236,0.001062776904921703,1776.0,130.0,89.0,41.0,0.0,0.0,130.0,100.0
