project_id,project_slug,project_name,repository_source,first_commit_date,last_commit_date,repositories,stars,forks,contributors,new_contributors_6_months,contributors_6_months,avg_fulltime_devs_6_months,avg_active_devs_6_months,commits_6_months,issues_opened_6_months,issues_closed_6_months,pull_requests_opened_6_months,pull_requests_merged_6_months,project_id_1,project_slug_1,project_name_1,collection_id,collection_slug,collection_name
h3w5ni5D_yQP0CrG9n_41fq8NDuANxU7nKTak_5GUv8=,dao-drops-dorgtech,DAO Drops,GITHUB,2021-12-09 00:00:00.000000 UTC,2023-03-30 00:00:00.000000 UTC,1,14,0,4,0,4,0.0,0.0,,,,,,h3w5ni5D_yQP0CrG9n_41fq8NDuANxU7nKTak_5GUv8=,dao-drops-dorgtech,DAO Drops,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,glo-foundation,Glo Dollar,GITHUB,2023-05-05 00:00:00.000000 UTC,2024-04-09 00:00:00.000000 UTC,2,3,1,8,0,8,0.0,1.0,68.0,2.0,,7.0,7.0,-lP_Uvqt9rP8pWZQDW4VejaqpQDfLuc7mG5D59wRfbs=,glo-foundation,Glo Dollar,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
wV2X-YoRtKKe8l64B030vCC8JLhlFQxaafqSubSsl3w=,givepraise,Praise,GITHUB,2021-12-18 00:00:00.000000 UTC,2023-12-15 00:00:00.000000 UTC,12,38,25,29,0,29,0.0,0.33333333333333331,26.0,,,4.0,5.0,wV2X-YoRtKKe8l64B030vCC8JLhlFQxaafqSubSsl3w=,givepraise,Praise,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
YWx14a4ELnaE2V58GdSLn7sVQxwvFBrP7GTQuXsCUd4=,clrfund,clr.fund,GITHUB,2020-02-16 00:00:00.000000 UTC,2024-04-19 00:00:00.000000 UTC,20,214,102,30,0,30,0.0,1.1666666666666667,133.0,,4.0,29.0,26.0,YWx14a4ELnaE2V58GdSLn7sVQxwvFBrP7GTQuXsCUd4=,clrfund,clr.fund,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
rqZBGkL_I2YdMzn6AsloysnvQd1P_szbw9ruZc2arQw=,commonsbuild,Token Engineering Commons,GITHUB,2020-10-12 00:00:00.000000 UTC,2024-04-12 00:00:00.000000 UTC,54,91,80,86,1,86,0.0,2.1666666666666665,140.0,22.0,6.0,4.0,4.0,rqZBGkL_I2YdMzn6AsloysnvQd1P_szbw9ruZc2arQw=,commonsbuild,Token Engineering Commons,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
iilyWmaoJCXv0vPfyPQnIGYXoWyTZDlP0oQLMNIVj54=,metagame-metafam,MetaGame,GITHUB,2019-12-02 00:00:00.000000 UTC,2024-04-16 00:00:00.000000 UTC,42,249,226,145,2,145,0.33333333333333331,3.166666666666667,294.0,35.0,58.0,82.0,67.0,iilyWmaoJCXv0vPfyPQnIGYXoWyTZDlP0oQLMNIVj54=,metagame-metafam,MetaGame,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
VhDGUKAWcJC-2T2YV_HNWy77Ptk64L5sewm6byGKR8A=,hausdao,Public HAUS,GITHUB,2019-08-30 00:00:00.000000 UTC,2024-04-23 00:00:00.000000 UTC,79,401,302,127,3,127,0.0,3.8333333333333335,321.0,18.0,15.0,109.0,107.0,VhDGUKAWcJC-2T2YV_HNWy77Ptk64L5sewm6byGKR8A=,hausdao,Public HAUS,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
8uJO7UNZda7b68AlyerXGkdWZfPsS8_DcYNhtk4afbs=,brightid,BrightID,GITHUB,2017-11-13 00:00:00.000000 UTC,2024-04-22 00:00:00.000000 UTC,47,463,141,85,5,85,0.0,0.66666666666666663,60.0,22.0,7.0,16.0,16.0,8uJO7UNZda7b68AlyerXGkdWZfPsS8_DcYNhtk4afbs=,brightid,BrightID,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
FqJlC8IuZE2E3eTvQdMA4uG39qNxQSPSgw79bRli5Hs=,shutter-network,Shutter Network,GITHUB,2021-04-12 00:00:00.000000 UTC,2024-04-22 00:00:00.000000 UTC,30,85,30,22,6,22,0.0,3.5,251.0,16.0,6.0,52.0,42.0,FqJlC8IuZE2E3eTvQdMA4uG39qNxQSPSgw79bRli5Hs=,shutter-network,Shutter Network,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
cNWIkYYNllGaAe7Xslebf1OTgqitVGPpSfz5pD2B8lY=,pairwise-general-magic,Pairwise,GITHUB,2022-11-25 00:00:00.000000 UTC,2024-04-22 00:00:00.000000 UTC,5,16,0,15,6,15,0.16666666666666666,2.1666666666666665,325.0,131.0,89.0,77.0,72.0,cNWIkYYNllGaAe7Xslebf1OTgqitVGPpSfz5pD2B8lY=,pairwise-general-magic,Pairwise,akEvQpAZWc5ptDoeBceTtywXudHCCr0nMbpCyL32MCA=,octant-02,Octant (Epoch 2)
