round,project name,eth,address,start_date,oso_slug
Octant Epoch 1,Protocol Guild,43.5192,0xF6CBDd6Ea6EC3C4359e33de0Ac823701Cc56C6c4,10/19/2023,protocol-guild
Octant Epoch 2,Protocol Guild,36.552,0xF6CBDd6Ea6EC3C4359e33de0Ac823701Cc56C6c4,1/17/2024,protocol-guild
Octant Epoch 1,Rotki,33.9164,0x9531C059098e3d194fF87FebB587aB07B30B1306,10/19/2023,rotki
Octant Epoch 1,Hypercerts,27.72,0x2DCDF80f439843D7E0aD1fEF9E7a439B7917eAc9,10/19/2023,hypercerts
Octant Epoch 1,Tor Project,26.1932,0x15c941a44a343B8c46a28F2BB9aFc7a54E255A4f,10/19/2023,tor-project
Octant Epoch 2,Drips,21.3845,0xcC7d34C76A9d08aa0109F7Bae35f29C1CE35355A,1/17/2024,drips-network
Octant Epoch 2,EthStaker,18.3456,0xD165df4296C85e780509fa1eace0150d945d49Fd,1/17/2024,ethstaker
Octant Epoch 2,Hypercerts,16.3803,0x2DCDF80f439843D7E0aD1fEF9E7a439B7917eAc9,1/17/2024,hypercerts
Octant Epoch 2,L2BEAT,16.1058,0x0cbF31Ef6545EE30f47651D1A991Bf0aeB03DF29,1/17/2024,l2beat
Octant Epoch 2,Revoke.cash,15.3098,0xe126b3E5d052f1F575828f61fEBA4f4f2603652a,1/17/2024,revoke-cash
Octant Epoch 1,Giveth,13.8307,0x6e8873085530406995170Da467010565968C7C62,10/19/2023,giveth
Octant Epoch 1,Drips,13.287,0xcC7d34C76A9d08aa0109F7Bae35f29C1CE35355A,10/19/2023,drips-network
Octant Epoch 2,Open Source Observer,12.962,0x87fEEd6162CB7dFe6B62F64366742349bF4D1B05,1/17/2024,opensource-observer
Octant Epoch 2,Funding the Commons,12.147,0x576edCed7475D8F64a5e2D5227c93Ca57d7f5d20,1/17/2024,n/a
Octant Epoch 2,MetaGame,11.39,0x3455FbB4D34C6b47999B66c83aA7BD8FDDade638,1/17/2024,metagame-metafam
Octant Epoch 2,Rotki,11.0643,0x9531C059098e3d194fF87FebB587aB07B30B1306,1/17/2024,rotki
Octant Epoch 1,OnionDAO,10.3996,0x20a1B17087482de88Fac6D7B5aE23A7175fd1395,10/19/2023,onion-dao
Octant Epoch 2,Giveth,10.2301,0x6e8873085530406995170Da467010565968C7C62,1/17/2024,giveth
Octant Epoch 2,Tor Project,8.949,0x15c941a44a343B8c46a28F2BB9aFc7a54E255A4f,1/17/2024,tor-project
Octant Epoch 1,Gitcoin,8.1771,0xde21F729137C5Af1b01d73aF1dC21eFfa2B8a0d6,10/19/2023,gitcoin
Octant Epoch 1,Ethereum Cat Herders,8.0409,0x02Cb3C150BEdca124d0aE8CcCb72fefbe705c953,10/19/2023,ethereum-cat-herders
Octant Epoch 2,Pairwise,7.9899,0xd1B8dB70Ded72dB850713b2ce7e1A4FfAfAD95d1,1/17/2024,pairwise-general-magic
Octant Epoch 1,DAO Drops,7.443,0x1c01595f9534E33d411035AE99a4317faeC4f6Fe,10/19/2023,dao-drops-dorgtech
Octant Epoch 1,Kernel,6.911,0x7DAC9Fc15C1Db4379D75A6E3f330aE849dFfcE18,10/19/2023,kernel-community
Octant Epoch 1,EthStaker,6.8226,0xD165df4296C85e780509fa1eace0150d945d49Fd,10/19/2023,ethstaker
Octant Epoch 1,BrightID,6.5221,0x78e084445C3F1006617e1f36794dd2261ecE4AE3,10/19/2023,brightid
Octant Epoch 1,Clr.fund,6.4618,0xAb6D6a37c5110d1377832c451C33e4fA16A9BA05,10/19/2023,clrfund
Octant Epoch 1,MetaGame,6.3599,0x3455FbB4D34C6b47999B66c83aA7BD8FDDade638,10/19/2023,metagame-metafam
Octant Epoch 1,PublicHAUS,6.3502,0x4A9a27d614a74Ee5524909cA27bdBcBB7eD3b315,10/19/2023,hausdao
Octant Epoch 2,Ethereum Cat Herders,6.1903,0x02Cb3C150BEdca124d0aE8CcCb72fefbe705c953,1/17/2024,ethereum-cat-herders
Octant Epoch 1,Pairwise,6.0523,0xd1B8dB70Ded72dB850713b2ce7e1A4FfAfAD95d1,10/19/2023,pairwise-general-magic
Octant Epoch 1,Praise,5.9665,0x0B7246eF74Ca7b37Fdc3D15be4f0b49876622F95,10/19/2023,givepraise
Octant Epoch 1,Glo Dollar,5.7655,0x8c89a6bf53cCF63e7B4465Cc1b1330723B4BdcB7,10/19/2023,glo-foundation
Octant Epoch 2,Gitcoin,5.6457,0xde21F729137C5Af1b01d73aF1dC21eFfa2B8a0d6,1/17/2024,gitcoin
Octant Epoch 2,Praise,5.4344,0x0B7246eF74Ca7b37Fdc3D15be4f0b49876622F95,1/17/2024,givepraise
Octant Epoch 2,Shielded Voting,5.2012,0xB476Ee7D610DAe7B23B671EBC7Bd6112E9772969,1/17/2024,shutter-network
Octant Epoch 2,Glo Dollar,5.0154,0x8c89a6bf53cCF63e7B4465Cc1b1330723B4BdcB7,1/17/2024,glo-foundation
Octant Epoch 2,DAO Drops,4.9214,0x1c01595f9534E33d411035AE99a4317faeC4f6Fe,1/17/2024,dao-drops-dorgtech
Octant Epoch 1,Good Dollar ,0.0119,0xF0652a820dd39EC956659E0018Da022132f2f40a,10/19/2023,gooddollar
Octant Epoch 1,Unitap,0.0087,0x4ADc8CC149A03F44386Bee80bab36F9e8022b195,10/19/2023,unitapapp
Octant Epoch 2,Token Engineering Commons,0.0083,0xE2f413190Bb5D6AAcB4A056F1B5E1fD5B8141045,1/17/2024,commonsbuild
Octant Epoch 2,PublicHAUS,0.007,0x4A9a27d614a74Ee5524909cA27bdBcBB7eD3b315,1/17/2024,hausdao
Octant Epoch 2,Clr.fund,0.0065,0xAb6D6a37c5110d1377832c451C33e4fA16A9BA05,1/17/2024,clrfund
Octant Epoch 1,Gravity DAO,0.0045,0xfFbD35255008F86322051F2313D4b343540e0e00,10/19/2023,gravity-dao-archive
Octant Epoch 1,Bankless DAO,0.0042,0xCf3efCE169acEC1B281C05E863F78acCF62BD944,10/19/2023,banklessdao
Octant Epoch 2,Kernel,0.0041,0x7DAC9Fc15C1Db4379D75A6E3f330aE849dFfcE18,1/17/2024,kernel-community
Octant Epoch 2,BrightID,0.0036,0x78e084445C3F1006617e1f36794dd2261ecE4AE3,1/17/2024,brightid
Octant Epoch 1,RADAR Launch,0.0018,0x149D46eC060e75AE188876AdB6b24024637003C7,10/19/2023,radardao-xyz
