"Txhash","Blockno","UnixTimestamp","DateTime (UTC)","ParentTxFrom","ParentTxFrom_PrivateTag","ParentTxTo","ParentTxTo_PrivateTag","ParentTxETH_Value","From","From_PrivateTag","TxTo","To_PrivateTag","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $2367.34549908589/Eth","Historical $Price/Eth","Status","ErrCode","Type","PrivateNote"
"0x67e10be1f43b52197ace4f9ad136e82e0e8507ac4d83e835a3364e183adaf1fb","18493383","1699036823","2023-11-03 18:40:23","0xb6091aab544ef253c23a37295953aafc9d836681","-","0x2dcdf80f439843d7e0ad1fef9e7a439b7917eac9","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0x2dcdf80f439843d7e0ad1fef9e7a439b7917eac9","-","","0","27.719993695867016269","65622.8023106","1833.71","0","","call",""
"0x471da103232ade236dc7f9d3cf87458d3c4e3232c4eeba2c6267f5397b9b6c48","18495969","1699068095","2023-11-04 03:21:35","0x84f0620a547a4d14a7987770c4f5c25d488d6335","-","0xc64783f0be60a81a716535287539a694403183ba","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0x84f0620a547a4d14a7987770c4f5c25d488d6335","-","","0","0.157473870778144706","372.795059210274","1857.23","0","","call",""
"0x39d7cec41a31233052311a4e5925cbb49d5c136525cb7cba60069844f6dbde52","18497901","1699091555","2023-11-04 09:52:35","0x5f0bd06a71e038206ef3e5090eb448e9a9773772","-","0xc64783f0be60a81a716535287539a694403183ba","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0x5f0bd06a71e038206ef3e5090eb448e9a9773772","-","","0","0.346306863895215621","819.827995544889","1857.23","0","","call",""
"0xbb310ffabbd7107b0243461c09052a5edc3dc42de734d439b00b2c5dbd590f2f","18500110","1699118291","2023-11-04 17:18:11","0x9705fe3586a7d768fee061aafe9384b1d4b8f2d8","-","0xc64783f0be60a81a716535287539a694403183ba","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0x9705fe3586a7d768fee061aafe9384b1d4b8f2d8","-","","0","0.50059490604096833","1185.08109768141","1857.23","0","","call",""
"0x4ca7029966d62d08c299991b91b728ac255d2ea519f4ce37850c827b9e754912","18520876","1699369763","2023-11-07 15:09:23","0xe8b6b71f3b1e6d2ad406d2cf36b1f2c567342df1","-","0x8c89a6bf53ccf63e7b4465cc1b1330723b4bdcb7","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0x8c89a6bf53ccf63e7b4465cc1b1330723b4bdcb7","-","","0","5.765532907878479375","13649.0083792977","1886.12","0","","call",""
"0xb3537fff1553528e4e5e1d47b0990932aeb98a4e340caf79236fff52e2df1f5c","18548270","1699700639","2023-11-11 11:03:59","0x639749b7b08aee65039c21d8a411103c6cebebf0","-","0x1c01595f9534e33d411035ae99a4317faec4f6fe","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0x1c01595f9534e33d411035ae99a4317faec4f6fe","-","","0","7.442988317584665943","17620.1248933829","2053.53","0","","call",""
"0x7f8743b2c2d6bdd3bb8f505e93815669dfccabb0ffb1801096e03e15dbfd204e","18548355","1699701671","2023-11-11 11:21:11","0xbfbeab0896e29d0db26ad60278d3ab3c482bb199","-","0xf6cbdd6ea6ec3c4359e33de0ac823701cc56c6c4","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0xf6cbdd6ea6ec3c4359e33de0ac823701cc56c6c4","-","","0","43.519189064795188125","103024.956356411","2053.53","0","","call",""
"0xa15399d9b5a16656a6de7bd1ca9247261c8ea311765ada4adb26342ae01a8d35","18550817","1699731455","2023-11-11 19:37:35","0xd1b8db70ded72db850713b2ce7e1a4ffafad95d1","-","0xc64783f0be60a81a716535287539a694403183ba","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0xd1b8db70ded72db850713b2ce7e1a4ffafad95d1","-","","0","6.052283111716440828","14327.8451837155","2053.53","0","","call",""
"0x3b51adb351c6604b636473d42efc71c371c89e3a0a75494aaef40e4ee2df900a","18601799","1700347799","2023-11-18 22:49:59","0x92b52e6441a9e2e03d080e951249d93df222f855","-","0xc64783f0be60a81a716535287539a694403183ba","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0x92b52e6441a9e2e03d080e951249d93df222f855","-","","0","0.00553316902170811","13.0989227792222","1963.67","0","","call",""
"0xf8505848bfa897794a8404282944a0d4a189f1d94b06c80efa2719f5b1f18fd8","18603377","1700366891","2023-11-19 04:08:11","0xdc0046b52e2e38aee2271b6171ebb65ccd337518","-","0x78e084445c3f1006617e1f36794dd2261ece4ae3","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0x78e084445c3f1006617e1f36794dd2261ece4ae3","-","","0","6.522092560796195007","15440.0464684224","2012.46","0","","call",""
"0xaaf13eeb2951dd11ab1ae2ed501048037b885f7375c2b45bd48ebb60a4edcf25","18670169","1701175055","2023-11-28 12:37:35","0x839395e20bbb182fa440d08f850e6c7a8f6f0780","-","0x6e8873085530406995170da467010565968c7c62","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0x6e8873085530406995170da467010565968c7c62","-","","0","13.83071374681058421","32742.0779376574","2049.10","0","","call",""
"0x1e30bb3e9fb77ab685a6209b7e227c8825d29a291218a5714bf0b1bd5612fa6e","18721854","1701799991","2023-12-05 18:13:11","0xf13e477365b0faa64130da2ff663aab20d32d929","-","0x40a2accbd92bca938b02010e17a5b8929b49130d","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0x02cb3c150bedca124d0ae8cccb72fefbe705c953","-","","0","8.040876343163509653","19035.5324196943","2293.88","0","","call",""
"0x31270e308d80c05e533021bba25b1ea3b5036d6cf9bc508b2dff05d8181169db","18739855","1702018127","2023-12-08 06:48:47","0x703705aa9d4fde9f772bd89d49a6bfd6a9d95b3b","-","0x7dac9fc15c1db4379d75a6e3f330ae849dffce18","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0x7dac9fc15c1db4379d75a6e3f330ae849dffce18","-","","0","6.910989172870095942","16360.6991126253","2358.94","0","","call",""
"0xf604935813504d0d12ff9f965d2bdb809d4a681101fe64d3f5d817a1cf6a86d3","18828842","1703096207","2023-12-20 18:16:47","0x974bbc9c9b8a1b81e92df9d1457d2df98941814e","-","0xde21f729137c5af1b01d73af1dc21effa2b8a0d6","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0xde21f729137c5af1b01d73af1dc21effa2b8a0d6","-","","0","8.177096607771361764","19358.012849998","2202.03","0","","call",""
"0x9ec3344c14f24c6b5db48895bd2d50186f9bbf744151e31c2f9f749e7e32d305","18857479","1703443379","2023-12-24 18:42:59","0xe0d8926a51f9a1dd8e089d9a3dd88f88ffb2f1dc","-","0xc64783f0be60a81a716535287539a694403183ba","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0xe0d8926a51f9a1dd8e089d9a3dd88f88ffb2f1dc","-","","0","0.026176849543277651","61.9696469465269","2265.42","0","","call",""
"0xdf6e533123b4a6dac78c86d68ecf369ca29c6124fc7e3e51cd03f765174a1d6c","19040871","1705666859","2024-01-19 12:20:59","0xaa89b5f15a77a76e94982646fecd787c1302e354","-","0xcc7d34c76a9d08aa0109f7bae35f29c1ce35355a","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0xcc7d34c76a9d08aa0109f7bae35f29c1ce35355a","-","","0","13.258662401637139471","31387.834760415","2490.05","0","","call",""
"0xe096e1c647549d80d9cb4a4410d91603c6d755d9f5c110ac505f446826304e0c","19127678","1706718875","2024-01-31 16:34:35","0x72a89d53f2fdc4edc685acb7d1014564016f6bd5","-","0xba1951df0c0a52af23857c5ab48b4c43a57e7ed1","-","0","0xba1951df0c0a52af23857c5ab48b4c43a57e7ed1","-","0xc64783f0be60a81a716535287539a694403183ba","-","","365.23309127849043458","0","864632.91475536","2281.77","0","","call",""
"0x019139e442ea1ae4bda18b08f98275250f5d8863b7e117b474fe19ab2e243a40","19127711","1706719271","2024-01-31 16:41:11","0x8d0cd1ab81eada4f92c7cb5c8dbc25c69cc296ad","-","0xc64783f0be60a81a716535287539a694403183ba","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0x8d0cd1ab81eada4f92c7cb5c8dbc25c69cc296ad","-","","0","0.009183242635054384","21.7399081191096","2281.77","0","","call",""
"0x1ad9a644c98ded0782a84973adab03541e99eca4840475ddaed94a359e7bebe0","19127722","1706719403","2024-01-31 16:43:23","0x936d69abcd9acdc89455eefaf744044ffc1ca660","-","0xc64783f0be60a81a716535287539a694403183ba","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0x936d69abcd9acdc89455eefaf744044ffc1ca660","-","","0","0.005046106397304208","11.9458772675666","2281.77","0","","call",""
"0x95c7efb685be4648fdcbf90b49f32847e4be2b41e74bacd15a31bbc660497f9b","19127903","1706721575","2024-01-31 17:19:35","0x15c941a44a343b8c46a28f2bb9afc7a54e255a4f","-","0xc64783f0be60a81a716535287539a694403183ba","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0x15c941a44a343b8c46a28f2bb9afc7a54e255a4f","-","","0","8.949039566234677187","21185.4685382672","2281.77","0","","call",""
"0x79f1d81bc18ff881d97433361dd5528e3a0c7ba8236e9016eaee3ee75ff7f82d","19127922","1706721827","2024-01-31 17:23:47","0x0dd5ae26d3d2a742bc50010a486551b0f004147a","-","0xc64783f0be60a81a716535287539a694403183ba","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0x0dd5ae26d3d2a742bc50010a486551b0f004147a","-","","0","0.003693302782334109","8.74332371852005","2281.77","0","","call",""
"0xd386554475753f408e87354b212889aa917f8db00a07aeefa3a34aa7a5b90640","19128153","1706724611","2024-01-31 18:10:11","0x0b7246ef74ca7b37fdc3d15be4f0b49876622f95","-","0xc64783f0be60a81a716535287539a694403183ba","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0x0b7246ef74ca7b37fdc3d15be4f0b49876622f95","-","","0","5.434417970837962925","12865.1449234147","2281.77","0","","call",""
"0xadbcdae857e2db2805d823122c7a9f26c2d774ef6af008bd11434dbf139106f6","19129362","1706739203","2024-01-31 22:13:23","0x1078daa844cdf1edb51e5189c8b113b80a6a6957","-","0xc64783f0be60a81a716535287539a694403183ba","-","0","0xc64783f0be60a81a716535287539a694403183ba","-","0x1078daa844cdf1edb51e5189c8b113b80a6a6957","-","","0","0.045824774820818076","108.483074418688","2281.77","0","","call",""
