,Project ID,Project Name,Applicant Type,Bio,Website,Attester Address,Payout Address,Tags,GOVERNANCE_FUND (OP),OTHER (USD),PARTNER_FUND (OP),RETROPGF_1 (USD),RETROPGF_2 (OP),REVENUE (USD)
0.0,0x82426eab338a4383b2ab55d94d41ffd46770a1f5f217f0c3fa81fbb5a0964dc4,sunce86,INDIVIDUAL,OpenEthereum client developer. Cowswap backend developer.,https://twitter.com/_sunce86,0xFA20426E6eE6072b0cC2049038c9E021d2010EB0,0xFA20426E6eE6072b0cC2049038c9E021d2010EB0,['DEVELOPER_ECOSYSTEM'],,,,,,
1.0,0xc9cf6f0c8f011f5935524d823da0ae4b50447ce084165692b931ef131c28403b,Paul Burg,INDIVIDUAL,"Environmental scientists, blockchain & space enthusiast",https://linktr.ee/paul_burg,0x50418699cB44BfDa9c9afc9B7a0b0d244d8927D2,0x50418699cB44BfDa9c9afc9B7a0b0d244d8927D2,['END_USER_EXPERIENCE_AND_ADOPTION'],0.0,0.0,0.0,0.0,0.0,0.0
2.0,0x772cd778c83db4986af453df66bd3d6f93348ec07cf134385dccef9ecb2e5780,Public Assembly ,PROJECT,Public Assembly is an onchain collective focused on creating what's missing.,https://www.public---assembly.com/about,0xFEC0Ad833FB7D20A83E373279f37c88159bAd99E,0x37bbe5b18C31d565Fc2a2129f427B19754aD70eB,['DEVELOPER_ECOSYSTEM'],0.0,0.0,0.0,0.0,0.0,44311.5
3.0,0xb8995100de67ccb37e0d12d1bec7e3b90b0c9423055c5d0f24d7265e66daefa2,KudasaiJP,PROJECT,One of largest community in Japan focusing on education. ,https://kudasai.co.jp/,0xB1b37B24045db80492eEf16dc28fB84fED210a64,0x731A4091f904D6269A3a929E2A06101B579F7c89,['END_USER_EXPERIENCE_AND_ADOPTION'],0.0,25000.0,0.0,0.0,0.0,0.0
4.0,0xd0d30ee0aaf6677230ac5acb46193af636b1888b0793cb8eb6f3c175d9f35221,Web3xplorer,PROJECT,Discover useful web3 apps and tools easily,https://www.web3xplorer.com/,0xB03E094e643a50E145E804b35787C28292E6Afe4,0x376229C26a903647B0bd0411530cbD5787AcF50d,['END_USER_EXPERIENCE_AND_ADOPTION'],18000.0,0.0,0.0,0.0,0.0,0.0
5.0,0x849e164d1b8cc2b51bd3313d007ac58acb816660492336d2498615551ec75f02,growthepie,PROJECT,"Layer 2 Analytics & Knowledge Platform. Metrics, Blockspace, Labeling and APIs.",https://growthepie.xyz,0x9438b8B447179740cD97869997a2FCc9b4AA63a2,0x700E73d289DE10b6143465E02E6931E6e6a0CA15,['END_USER_EXPERIENCE_AND_ADOPTION'],35000.0,80025.0,0.0,0.0,0.0,0.0
6.0,0x5c465f2cece28e1ba91ef5967549fec63f8b17212fba05e5e0117b442af554b8,Aestus Relay,PROJECT,A neutral non-censoring MEV-Boost relay,https://aestus.live,0x95224178293c24219c287d7bfc6ad148c99dcFdE,0xA31895c358D899030A1eB78FeAAdF28C8000CF47,['OP_STACK'],0.0,0.0,0.0,0.0,0.0,0.0
7.0,0x134cdf191a5a805f5069b74bff91a1e2f641053908d50ab9c2531de6baf03de1,Ponder,PROJECT,Social surveys for the next generation of thinkers,https://weponder.io,0x64Ff33b653B26edCb4644E27d3720F3C653F8371,0x81947aadf64cd22ce96999e4c76efb0765839bef,"['DEVELOPER_ECOSYSTEM', 'END_USER_EXPERIENCE_AND_ADOPTION']",0.0,5050.0,0.0,0.0,0.0,5735.0
8.0,0x91bba885bafc9e5144c7577f7159778277e17eb6073d4f6adf5acd3b31c9f1fc,BasePaint,PROJECT,Paint Together. Mint Daily.,https://www.basepaint.xyz,0xb48E8dA63c2aFc5633702B7acf4BDe830c1dE48b,0xEAEF19Fbd67FDd7B850E0C52CC54cDE2B78A5027,['END_USER_EXPERIENCE_AND_ADOPTION'],0.0,7950.0,0.0,0.0,0.0,23000.0
9.0,0xf48c8f1be7eecbf735c46a7d49cea0a493de50bfac64b4e1da5082a2e73bf24a,raho & tnorm,INDIVIDUAL,Analyzing Governance Fund Recipients to Increase Transparency in the Collective,https://www.raho.me/my-work,0x842bB1bb84CC8A3D6277b0ff9729d22D55E9C50B,0x842bB1bb84CC8A3D6277b0ff9729d22D55E9C50B,"['COLLECTIVE_GOVERNANCE', 'END_USER_EXPERIENCE_AND_ADOPTION']",,,,,,
10.0,0x9e1829323c35d18c3b5366b75922da2d966c39abf4472b29f763cf09e150a09d,Sassal.eth,INDIVIDUAL,"Independent Ethereum educator, investor & advisor. Founder of The Daily Gwei.",https://www.youtube.com/c/TheDailyGwei,0x648aA14e4424e0825A5cE739C8C68610e143FB79,0x648aA14e4424e0825A5cE739C8C68610e143FB79,"['END_USER_EXPERIENCE_AND_ADOPTION', 'OP_STACK']",0.0,19280.0,0.0,0.0,0.0,0.0
11.0,0xc593432238cfdcaf9bb9c5d5b87e447f2b6a42d59a91135e0119cccc0d15aa32,Wagmi / Viem,PROJECT,TypeScript Interfaces for Ethereum,https://github.com/wagmi-dev,0xd2135CfB216b74109775236E36d4b433F1DF507B,0xd2135CfB216b74109775236E36d4b433F1DF507B,"['DEVELOPER_ECOSYSTEM', 'OP_STACK']",0.0,161075.4491,0.0,0.0,156463.05,0.0
12.0,0xe51d0e1c3aab90e21468e3764fab7c9eb69645432dd5ca4a7cba91f3ed156bc4,Web3bridge,PROJECT,Grooming Web3 developer in Africa for global contribution ,https://www.web3bridge.com/,0x067ca205aaF09A8B724Cadd2f70A38f9AF2d150A,0xc34ad4a95adcd9021182fd5607ed822db738e7c4,['DEVELOPER_ECOSYSTEM'],0.0,50000.0,0.0,0.0,0.0,0.0
13.0,0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,LXDAO,PROJECT,An R&D-focused DAO dedicated to providing support for valuable Web3 public goods,https://lxdao.io/,0xC3d7F926e57Ff06e465823b100b95408e805DfA2,0xC3d7F926e57Ff06e465823b100b95408e805DfA2,"['COLLECTIVE_GOVERNANCE', 'DEVELOPER_ECOSYSTEM', 'END_USER_EXPERIENCE_AND_ADOPTION']",0.0,500000.0,0.0,0.0,0.0,0.0
14.0,0xfe2b907f252c0cb610a2625a1da0746862b02b814a0ad1a3296271725a841ec4,JEFE TOKEN,PROJECT,Mobile Web3 Gaming & VR/AR Society,https://jefetoken.com,0x3f9104a933b9CfEF0a1a0cA0e42C552b9df741c8,0xdBeA55Bad7404F00DF5cd12d30d2086151E83950,"['DEVELOPER_ECOSYSTEM', 'END_USER_EXPERIENCE_AND_ADOPTION', 'OP_STACK']",,,,,,
15.0,0x67d0c66af963dd27720330e5dc2b5ab73a522c9436fd4085aa7048f1584da54b,eth.limo,PROJECT,"Privacy-preserving ENS gateway, enabling access to Ethereum-native dApps/content",https://eth.limo/,0xB352bB4E2A4f27683435f153A259f1B207218b1b,0xB352bB4E2A4f27683435f153A259f1B207218b1b,"['END_USER_EXPERIENCE_AND_ADOPTION', 'OP_STACK']",0.0,196250.0,0.0,0.0,92200.0,0.0
