,bucket_week,network,is_incentivized,count_transactions
87,2023-10-29 00:00:00+00:00,OPTIMISM,False,1021900
88,2023-11-05 00:00:00+00:00,OPTIMISM,True,4455
89,2023-11-05 00:00:00+00:00,BASE,False,1100372
90,2023-11-05 00:00:00+00:00,ARBITRUM_ONE,False,6064577
91,2023-11-05 00:00:00+00:00,BASE,True,9952
92,2023-11-05 00:00:00+00:00,OPTIMISM,False,1357322
93,2023-11-05 00:00:00+00:00,ZORA,True,5032
94,2023-11-05 00:00:00+00:00,ZORA,False,500763
95,2023-11-05 00:00:00+00:00,ARBITRUM_ONE,True,6520
96,2023-11-12 00:00:00+00:00,ZORA,True,4772
97,2023-11-12 00:00:00+00:00,OPTIMISM,True,4359
98,2023-11-12 00:00:00+00:00,BASE,True,9038
99,2023-11-12 00:00:00+00:00,MODE,False,92523
100,2023-11-12 00:00:00+00:00,MODE,True,1
101,2023-11-12 00:00:00+00:00,ZORA,False,507580
102,2023-11-12 00:00:00+00:00,ARBITRUM_ONE,True,6668
103,2023-11-12 00:00:00+00:00,OPTIMISM,False,1453216
104,2023-11-12 00:00:00+00:00,ARBITRUM_ONE,False,6104626
105,2023-11-12 00:00:00+00:00,BASE,False,1097810
106,2023-11-19 00:00:00+00:00,MODE,False,303574
107,2023-11-19 00:00:00+00:00,ARBITRUM_ONE,True,7343
108,2023-11-19 00:00:00+00:00,OPTIMISM,True,4876
109,2023-11-19 00:00:00+00:00,ZORA,False,472242
110,2023-11-19 00:00:00+00:00,BASE,False,1321449
111,2023-11-19 00:00:00+00:00,BASE,True,7423
112,2023-11-19 00:00:00+00:00,OPTIMISM,False,1256874
113,2023-11-19 00:00:00+00:00,ZORA,True,4867
114,2023-11-19 00:00:00+00:00,MODE,True,2
115,2023-11-19 00:00:00+00:00,ARBITRUM_ONE,False,7978040
116,2023-11-26 00:00:00+00:00,ZORA,False,480030
117,2023-11-26 00:00:00+00:00,MODE,True,9
118,2023-11-26 00:00:00+00:00,MODE,False,300381
119,2023-11-26 00:00:00+00:00,ARBITRUM_ONE,False,5662277
