,bucket_week,network,is_incentivized,count_transactions
80,2023-02-19 00:00:00+00:00,ARBITRUM_ONE,True,66990
81,2023-02-19 00:00:00+00:00,ARBITRUM_ONE,False,6526892
82,2023-02-19 00:00:00+00:00,OPTIMISM,False,686589
83,2023-02-19 00:00:00+00:00,OPTIMISM,True,113927
84,2023-02-26 00:00:00+00:00,ARBITRUM_ONE,False,5856901
85,2023-02-26 00:00:00+00:00,OPTIMISM,True,91462
86,2023-02-26 00:00:00+00:00,ARBITRUM_ONE,True,51622
87,2023-02-26 00:00:00+00:00,OPTIMISM,False,548085
88,2023-03-05 00:00:00+00:00,OPTIMISM,False,485256
89,2023-03-05 00:00:00+00:00,OPTIMISM,True,73337
90,2023-03-05 00:00:00+00:00,ARBITRUM_ONE,False,5529762
91,2023-03-05 00:00:00+00:00,ARBITRUM_ONE,True,43970
92,2023-03-12 00:00:00+00:00,ARBITRUM_ONE,False,6626265
93,2023-03-12 00:00:00+00:00,OPTIMISM,False,541742
94,2023-03-12 00:00:00+00:00,ARBITRUM_ONE,True,50505
95,2023-03-12 00:00:00+00:00,OPTIMISM,True,78805
96,2023-03-19 00:00:00+00:00,ARBITRUM_ONE,False,10521480
97,2023-03-19 00:00:00+00:00,ARBITRUM_ONE,True,57954
98,2023-03-19 00:00:00+00:00,OPTIMISM,False,558227
99,2023-03-19 00:00:00+00:00,OPTIMISM,True,73560
100,2023-03-26 00:00:00+00:00,ARBITRUM_ONE,False,8303944
101,2023-03-26 00:00:00+00:00,OPTIMISM,True,91590
102,2023-03-26 00:00:00+00:00,OPTIMISM,False,665472
103,2023-03-26 00:00:00+00:00,ARBITRUM_ONE,True,48604
104,2023-04-02 00:00:00+00:00,ARBITRUM_ONE,True,35156
105,2023-04-02 00:00:00+00:00,ARBITRUM_ONE,False,7732316
106,2023-04-02 00:00:00+00:00,OPTIMISM,False,899543
107,2023-04-02 00:00:00+00:00,OPTIMISM,True,67204
108,2023-04-09 00:00:00+00:00,OPTIMISM,False,1137617
109,2023-04-09 00:00:00+00:00,ARBITRUM_ONE,False,7997231
110,2023-04-09 00:00:00+00:00,OPTIMISM,True,75499
111,2023-04-09 00:00:00+00:00,ARBITRUM_ONE,True,34774
112,2023-04-16 00:00:00+00:00,ARBITRUM_ONE,False,9947434
113,2023-04-16 00:00:00+00:00,OPTIMISM,False,641845
114,2023-04-16 00:00:00+00:00,OPTIMISM,True,55576
115,2023-04-16 00:00:00+00:00,ARBITRUM_ONE,True,29848
116,2023-04-23 00:00:00+00:00,ARBITRUM_ONE,True,24289
117,2023-04-23 00:00:00+00:00,ARBITRUM_ONE,False,8350363
118,2023-04-23 00:00:00+00:00,OPTIMISM,False,651779
119,2023-04-23 00:00:00+00:00,OPTIMISM,True,86711
120,2023-04-30 00:00:00+00:00,OPTIMISM,False,482244
121,2023-04-30 00:00:00+00:00,ARBITRUM_ONE,True,21432
122,2023-04-30 00:00:00+00:00,ARBITRUM_ONE,False,8300469
123,2023-04-30 00:00:00+00:00,OPTIMISM,True,105929
124,2023-05-07 00:00:00+00:00,ARBITRUM_ONE,True,27036
125,2023-05-07 00:00:00+00:00,ARBITRUM_ONE,False,7674726
126,2023-05-07 00:00:00+00:00,OPTIMISM,False,526498
127,2023-05-07 00:00:00+00:00,OPTIMISM,True,62024
