date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-idle_protocol,forecasted_TVL_opchain-idle_protocol
2024-09-01 00:00:00,41.97549524868473,4.938713368716158,1.2423425463696058,0.001397548767549871,5.128750811578098e+16,220132.1429528129,9798795.56173174,21746875.885032434
2024-09-02 00:00:00,78.36096086283015,5.609808727204269,1.2775014370566087,0.001285112510680783,5.620432914949572e+16,248948.95589501175,8665732.552039009,20858668.84327097
2024-09-03 00:00:00,61.749405691028166,5.08825052886643,3.4611107810881285,0.0014949787023009029,5.594102163628054e+16,179226.68938998214,8070439.933554609,20303122.531351782
2024-09-04 00:00:00,64.18668000707852,5.987886368204248,1.7200669670262434,0.0011124994636432218,9.944722635130858e+16,162113.3188798126,7174258.35905774,21433149.51827147
2024-09-05 00:00:00,76.70711689886245,3.555304821400849,2.070890879136349,0.0013407367881458309,3.933898784530142e+16,134561.49414662214,6767666.143128454,21629778.082010534
2024-09-06 00:00:00,52.28488720682312,5.5516183775605725,1.9766689138331879,0.0016326373780517613,4.616825184601365e+16,99404.07129192115,6102979.108859567,19486945.523108494
2024-09-07 00:00:00,95.46647800444242,3.1211160274927585,2.2356172036356634,0.001735108893951536,4.540186217003548e+16,135565.78487178075,5687632.211617293,21875254.411046356
2024-09-08 00:00:00,39.889842375053405,4.448814368560811,2.8801513231759417,0.0012412654555313115,4.5517396573402936e+16,136904.4263810926,5352022.221522949,21243366.525036547
2024-09-09 00:00:00,61.05024491190242,7.728297622299674,1.2706911728943189,0.0015880938031517715,6.114704269033163e+16,161812.88361983103,4350979.539084878,19477508.371240415
2024-09-10 00:00:00,72.12060773693166,7.069870479743539,2.760866715694735,0.0028290992553953857,5.238871822113298e+16,156019.49198823038,4126574.1572607,20889585.626524106
2024-09-11 00:00:00,62.271678547106674,4.149378568670892,1.662851535832002,0.003784785843417609,4.714436050340001e+16,119219.0007497904,3819805.0219566724,20235286.38969941
2024-09-12 00:00:00,20.99442669239933,4.835891740780762,2.6721627881672774,0.002221094596189415,4.2677320982308424e+16,116289.92695707685,3518064.734340693,20777478.45763897
2024-09-13 00:00:00,70.77406159806182,4.624254065937863,3.58665052612901,0.0019321742253112235,5.485498757210568e+16,126944.26516879826,3365255.1375892116,21027042.87785918
2024-09-14 00:00:00,111.0498287969665,5.465915123257659,2.130801820041357,0.001834697014319882,5.1393435092194104e+16,115170.82486022104,3155393.1451106695,21335300.22259375
2024-09-15 00:00:00,91.19808683698139,5.65015946937927,2.182119198866107,0.0015820604990355465,3.7768807546847096e+16,103611.5759512615,2730942.792972894,21160467.69320338
2024-09-16 00:00:00,35.1876303574317,3.0144155621177084,1.7738126312690987,0.001395704420194315,4.113414540649441e+16,135355.99323212428,2522903.002502018,21491908.67080891
2024-09-17 00:00:00,28.23378600782873,8.057587186211759,1.5832133748354367,0.0011425999725014446,9.367281515264464e+16,199207.52072703704,2449781.4855117537,20080011.401329104
2024-09-18 00:00:00,59.440291970781544,3.141149736733929,2.2082644641253504,0.0019002091091978085,7.639046476388894e+16,159891.4124610251,1936922.068538423,22338658.51210386
2024-09-19 00:00:00,66.6149346969578,6.6847967856696044,1.5683538877685688,0.0009441013036317501,4.284932004034361e+16,158011.08949051556,2011255.2329366934,18950664.738800947
2024-09-20 00:00:00,56.869145623114186,5.151502973790363,2.6130687464084494,0.0021058869481680514,3.059106282630071e+16,153940.52939688833,1803441.7372206156,22453173.775215372
2024-09-21 00:00:00,67.83720617687865,4.620851735955231,1.718053310264416,0.0010500991247855765,4.554116717350239e+16,156642.2209019319,1530184.0688993249,19783743.769191615
2024-09-22 00:00:00,74.34787957480874,3.714016768170831,1.161695632951582,0.0011473522059570862,5.386940801937886e+16,102102.24156253507,1571056.7124282224,20594988.519082114
2024-09-23 00:00:00,73.01569399942,6.562159046744468,2.066724266967086,0.0012079740256416265,5.342627669960165e+16,79831.8025042703,1293627.004767775,18776883.379011698
2024-09-24 00:00:00,70.77598068154357,5.250229654207765,2.176712339337983,0.0012806926727829018,5.07392799747465e+16,64187.605776965385,1207912.3730245533,21074512.613025323
2024-09-25 00:00:00,53.1125798604433,6.350776870413468,2.3505572797986507,0.0009011311371970463,6.999982322690596e+16,78570.23940926998,1054760.8293419597,20753258.957441725
2024-09-26 00:00:00,42.92803269924433,5.156689196832067,2.48630385324574,0.0010663917726149563,4.626030917789279e+16,87632.05180984929,911576.6297130159,19842657.34155326
2024-09-27 00:00:00,53.89808892220657,6.504967721045523,3.150679769883971,0.0014954331550169162,6.283852405462402e+16,115900.18643938856,992886.6071324311,21151229.145670224
2024-09-28 00:00:00,74.46920628035659,6.108389859941221,2.0323251463158143,0.0011484354890581804,3.5769782284510676e+16,77985.5037467622,817244.6282609254,20361202.991891865
2024-09-29 00:00:00,27.02093870213857,7.317221359378255,2.308607259076873,0.0014102927169486361,4.828980093629625e+16,75396.31850018117,798998.7097640476,20121513.435915645
2024-09-30 00:00:00,50.76473281586859,2.2842302543632984,1.9988966441577658,0.001172003139183287,6.4822362686510104e+16,28307.350980961426,671396.7265675642,20735790.777548246
2024-10-01 00:00:00,59.759364486710275,6.514632980231362,2.387525036495051,0.0011731310410153127,4.550650156548757e+16,82371.89303986392,703858.4215811174,21736489.84617921
2024-10-02 00:00:00,60.53357470127843,6.574793622120527,1.5536228489565433,0.0013806797544899073,3.8700096727330376e+16,40294.31906144476,506871.4311655711,20521099.678290084
