date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-renzo_protocol,forecasted_TVL_opchain-renzo_protocol
2024-11-14 00:00:00,558.9009572390404,855.1798554650136,113.844681655502,0.0007041461470794739,0.0,0.0,1590207062.9661176,1203159564.3735886
2024-11-15 00:00:00,643.6499158584224,909.7572954363554,179.29518159442216,0.0007688869966976629,0.0,0.0,1504006554.2620652,1204698264.2334611
2024-11-16 00:00:00,454.7683646756328,642.5014293863226,218.8212064562457,0.0004606015965352101,0.0,0.0,1564672118.202166,1171108605.5252414
2024-11-17 00:00:00,158.18430261235423,416.4571903881745,260.32251983946287,0.0007143517051287708,0.0,0.0,1741908698.119919,1172565742.0185297
2024-11-18 00:00:00,619.1621887076185,677.5157581738184,261.47178404216356,0.0006980684407309069,0.0,0.0,1535114763.5350847,1069959767.9113041
2024-11-19 00:00:00,518.7334586105535,586.0036100123075,370.1621628109002,0.0003477247535407436,0.0,0.0,1677771463.1495144,1186679566.749236
2024-11-20 00:00:00,885.5232628760732,320.6401386936352,250.9677160722964,0.0008061881358745438,0.0,0.0,1769075286.9182189,1069915755.4378322
2024-11-21 00:00:00,697.3150150927958,659.5004624590786,464.3020513372169,0.0006548399060206829,0.0,0.0,1912648654.5792954,1201714587.8650274
2024-11-22 00:00:00,519.4840369107895,664.9278209156855,287.4062197936654,0.00045008581198024777,0.0,0.0,1705940317.979815,1125579452.2511272
2024-11-23 00:00:00,549.4839883475794,537.9990012775402,302.7040204510771,0.0005748647606842961,0.0,0.0,1724728065.0169137,1051144687.914824
2024-11-24 00:00:00,541.3604898967441,396.6580928980675,79.29008713949582,0.0007104706971710092,0.0,0.0,1792585150.2840397,1122997538.1868174
2024-11-25 00:00:00,803.73517493002,783.3732123154148,291.7806899775096,0.0008353842159386033,0.0,0.0,1866046772.559807,1045008252.5520442
2024-11-26 00:00:00,621.9858020754267,645.5398882989891,159.63389290970343,0.0007130629863280498,0.0,0.0,1839604343.1775913,903134249.5304848
2024-11-27 00:00:00,641.9137628326575,810.0059700072383,269.5531023018288,0.0008170140970342155,0.0,0.0,1965939143.7930348,963614911.5241324
2024-11-28 00:00:00,490.69475053827153,632.4163473241061,243.55717853256198,0.0008243169958718305,0.0,0.0,2049826114.1718376,947459656.5170316
2024-11-29 00:00:00,384.17957738988923,562.8917914471324,148.98976694717874,0.0005179264992763128,0.0,0.0,2228479524.448775,770467063.692875
2024-11-30 00:00:00,676.1200466697877,495.3819387403102,139.16923918689776,0.0006391699861275008,0.0,0.0,2272432534.4252024,747048881.2821404
2024-12-01 00:00:00,419.11267713523955,339.41671660036394,277.1408629477332,0.0006517565029824036,0.0,0.0,2239555044.3026056,662676192.3373094
2024-12-02 00:00:00,364.1747086272482,430.71379933341916,191.42764530496947,0.0004346398129094606,0.0,0.0,2288328420.8428125,678080681.9673935
2024-12-03 00:00:00,363.9827829901443,434.6156378966993,191.7091878443589,0.0004386497236832943,0.0,0.0,2363629167.826374,700542496.908253
2024-12-04 00:00:00,405.92318913971025,566.7282741820585,223.90397101511468,0.0005862516024497468,0.0,0.0,2500268858.175104,797421595.4639778
2024-12-05 00:00:00,575.6430882960727,388.2141781174029,259.6255975036021,0.0005349235168271971,0.0,0.0,2683662228.100085,724930417.152203
2024-12-06 00:00:00,456.9970065181563,672.0263681686874,215.70913323084295,0.0003730260533853516,0.0,0.0,2574643753.2481017,632476026.2565475
2024-12-07 00:00:00,702.1987613993236,705.2346866752105,120.86348849655724,0.0006306963644405142,0.0,0.0,2886067607.7583227,592517880.9674714
2024-12-08 00:00:00,337.6709907181746,603.641833893531,277.7640672970655,0.0005776622530579463,0.0,0.0,3084079356.345539,572991396.4822093
2024-12-09 00:00:00,447.72498415914487,411.5665140452806,200.1108126434225,0.0008298268703041583,0.0,0.0,3305865819.0856576,638316769.2681605
2024-12-10 00:00:00,285.54118962816125,673.6316323553825,251.89078203599414,0.0007266534295621294,0.0,0.0,2744486156.0598145,856427894.1637328
2024-12-11 00:00:00,750.7933051429417,464.5935584108195,259.9002018979787,0.0006210840015270757,0.0,0.0,2960546942.250306,881362843.8083477
2024-12-12 00:00:00,278.7559794400589,384.6018951139379,258.5177701056298,0.00016929463267948688,0.0,0.0,3133089188.239851,711732236.9972245
2024-12-13 00:00:00,416.6160929046793,633.5644554939493,193.50892143612634,0.0005142450642253813,0.0,0.0,3326652025.1718383,746649053.7232407
2024-12-14 00:00:00,494.37486067202354,621.1177351012352,312.6608251807866,0.0007595977720815078,0.0,0.0,2983391932.594255,726554592.8895448
2024-12-15 00:00:00,509.50757982433373,460.47826365180975,333.29408041237,0.00038864232944118887,0.0,0.0,3121733967.038362,692567695.9574519
2024-12-16 00:00:00,579.7053237758404,768.9331729149319,152.70257628487474,0.0004208488337250881,0.0,0.0,3446048242.6402116,754537672.2153363
2024-12-17 00:00:00,543.8233171834728,321.4845749564784,185.75521702316058,0.0005739546895636916,0.0,0.0,3725161968.8796735,747844370.8298626
2024-12-18 00:00:00,629.6132741604752,283.96031432336787,231.5291094565168,0.000552494995896616,0.0,0.0,3892991795.042729,838011623.0959865
2024-12-19 00:00:00,634.8131884922724,603.1983745655772,190.29617422764568,0.0005126066536850212,0.0,0.0,3574721855.997775,883355000.2987597
2024-12-20 00:00:00,507.2865247751324,601.5681640854311,406.6420560478142,0.0004785429789332354,0.0,0.0,3699443197.7021255,943691716.2275903
2024-12-21 00:00:00,654.9131381495697,411.2425723458334,383.8976593871334,0.0005268107552210602,0.0,0.0,,860580385.0849744
2024-12-22 00:00:00,606.9871783015843,777.6068325852096,93.93251248097168,0.0004245506078404606,0.0,0.0,3702527995.4446197,1068551967.2139419
2024-12-23 00:00:00,539.6071284263476,527.7533652185343,40.2118762981488,0.0009202295369165129,0.0,0.0,4346052098.368544,998669203.0989853
2024-12-24 00:00:00,382.38247522391134,723.1771847523252,139.58075126272308,0.000751643511269683,0.0,0.0,4536277411.390464,946693523.2932817
2024-12-25 00:00:00,554.8963777086751,795.3064198525893,270.8267691493079,0.0004927949693950238,0.0,0.0,4804130571.596285,
2024-12-26 00:00:00,577.8820481841019,764.0167563069414,198.95030080895492,0.0005742715148246171,0.0,0.0,4852113096.476573,
2024-12-27 00:00:00,664.1921867109936,502.7623634025723,272.09698217268254,0.0006456387926490393,0.0,0.0,4971442030.417826,
2024-12-28 00:00:00,599.6695121511639,740.1316353070074,106.99792639906254,0.000720532157391262,0.0,0.0,5676062020.59599,
2024-12-29 00:00:00,905.0092650869336,553.4954653127337,310.6861539611174,0.000504409042431651,0.0,0.0,5264254953.475486,
