date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-compound_v2_protocol,forecasted_TVL_opchain-compound_v2_protocol
2024-09-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.10244326283765813,592047602.5376157,594284235.4253249
2024-09-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.16735739953168222,616716755.1695397,555400143.836438
2024-09-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.1391442815144674,599197446.6470399,683338189.8921437
2024-09-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.26697034921023843,618177726.3389533,555943645.9875944
2024-09-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.311634473740055,596033488.9665194,621046079.6661408
2024-09-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.1939614954058542,614243440.5781565,556533510.893449
2024-09-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.16411396462187783,618485220.6161343,535945358.1171584
2024-09-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2745810561275063,629485801.06171,618790336.8622322
2024-09-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.1540287478430658,647152305.5787694,599614014.7267704
2024-09-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.22409991882924982,674956740.9128361,637834804.2786843
2024-09-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.18532739197760334,615709758.2128212,558456740.3872705
2024-09-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2648188742986567,645379979.5478815,571235591.9342068
2024-09-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.18220884431603884,609646118.9825513,625623719.698077
2024-09-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2445640462727391,644772165.7789453,691808965.562778
2024-09-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.1635467323844689,651232388.093293,593006686.1370535
2024-09-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.22195218864610294,608247751.2644054,627278642.4715716
2024-09-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.13886604419895301,697599771.72711,561708757.3922821
2024-09-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.1821630331241113,582735350.9942894,650041264.4444032
2024-09-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.19039047045047564,696301527.3448833,635224024.644486
2024-09-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.24227768094930155,611942615.2658223,656019021.7121538
2024-09-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.13008946363356425,661212518.3758625,671326135.9756919
2024-09-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.21713694034550823,707881878.4887983,664428178.4657868
2024-09-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.16821173795231623,620050777.3591398,694484843.314884
2024-09-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.17910699624253648,665450930.4543209,681685802.3612324
2024-09-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.12665234201888412,591643697.358538,744158362.1733191
2024-09-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.22816724153307621,589209445.5182425,724908298.1720439
2024-09-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.27028807573110614,634516439.1971977,637235572.7356004
2024-09-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.18562125926544,525248251.03716224,686138667.3563553
2024-09-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.08720536872277435,653991108.3381604,685637512.7200732
2024-09-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.08470971358913515,630975179.8432627,707648649.7683982
2024-10-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.14919371625011665,644700314.0257739,705193730.5359188
2024-10-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.14764350541705862,702331527.4503013,584224365.1492925
2024-10-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0866116573661956,647659223.0476466,560273201.4054625
2024-10-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.3112482002360593,695194004.1717811,614344505.7337626
2024-10-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.47362160716248863,671104113.7365034,632899183.407402
2024-10-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.33102861075655476,658955475.8275404,650598966.0397308
2024-10-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.23360931436405388,717856486.9252671,615140023.145528
2024-10-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.17113351210498406,657077689.7095182,630113357.9812763
2024-10-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.1868011965213529,709879409.3366294,640391022.015619
2024-10-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2881508653616069,653133635.2067522,635014190.6753858
2024-10-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.18017681501129504,749435885.6131854,631145509.2971617
2024-10-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.1575817044752543,659578533.4982121,631400423.9624727
2024-10-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.29995798606316104,709262749.0617815,579178516.4780734
2024-10-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.16342243496373732,652508453.7596238,560982160.671044
2024-10-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.35633770135866755,705907901.8600842,669365384.6986241
2024-10-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.21261293839636025,726329737.0639387,634154201.6265771
