onchain_builder_repo,dependency_name
https://github.com/api3dao/airnode,@ethersproject/constants
https://github.com/socketdottech/socket-plugs,@ethersproject/base64
https://github.com/0xsequence/contracts-library,@ethersproject/constants
https://github.com/symbiosis-finance/core-contracts,@ethersproject/basex
https://github.com/lifinance/contracts,@ethersproject/random
https://github.com/maverickprotocol/router-v1,@ethersproject/bytes
https://github.com/baseswapfi/v3-core,@ethersproject/bytes
https://github.com/synfutures/oyster-sdk,@ethersproject/json-wallets
https://github.com/uncx-network/liquidity-locker-univ2-contracts,@ethersproject/wordlists
https://github.com/omnihub-xyz/blockchain,@ethersproject/hdnode
https://github.com/cryptorubic/rubic-app,@ethersproject/abi
https://github.com/wasd3rplay/synstation-staking-contract,@ethersproject/properties
https://github.com/ethereum-attestation-service/eas-sdk,@ethersproject/contracts
https://github.com/omnihub-xyz/blockchain,@ethersproject/transactions
https://github.com/beefyfinance/beefy-contracts,@ethersproject/web
https://github.com/paraswap/paraswap-sdk,wagmi
https://github.com/gainsnetwork-org/trading-sdk,@ethersproject/wallet
https://github.com/api3dao/airnode,@ethersproject/hdnode
https://github.com/woonetwork/woopoolv2,@ethersproject/hdnode
https://github.com/omnihub-xyz/blockchain,hardhat
https://github.com/aurafinance/aura-contracts,@noble/hashes
https://github.com/across-protocol/relayer,@ethersproject/abstract-signer
https://github.com/aerodrome-finance/contracts,@ethersproject/hdnode
https://github.com/gammaswap/v1-periphery,@nomicfoundation/edr-linux-arm64-gnu
https://github.com/aragon/osx,@ethersproject/wordlists
https://github.com/socketdottech/socket-plugs,@ethersproject/providers
https://github.com/pixotchi/pixotchi-contracts-misc_1_public,@nomicfoundation/hardhat-viem
https://github.com/gammaswap/v1-liquidator,@nomicfoundation/hardhat-toolbox
https://github.com/gammaswap/v1-deltaswap,hardhat-gas-reporter
https://github.com/gainsnetwork-org/sdk,@ethersproject/contracts
https://github.com/timeswap-labs/timeswap-v2-contracts,prettier-plugin-solidity
https://github.com/hyperlane-xyz/hyperlane-monorepo,@nomicfoundation/hardhat-verify
https://github.com/rmrk-team/rmrk-examples,hardhat-gas-reporter
https://github.com/symm-io/protocol-core,@ethersproject/providers
https://github.com/passportxyz/passport,@openzeppelin/merkle-tree
https://github.com/flayerlabs/flaunchgg-contracts,@ethersproject/abstract-signer
https://github.com/pcaversaccio/create2deployer,@noble/ciphers
https://github.com/symbiosis-finance/core-contracts,@ethersproject/properties
https://github.com/0xsequence/live-contracts,@ethersproject/signing-key
https://github.com/ovnstable/ovnstable-core,@ethersproject/hash
https://github.com/debridge-finance/debridge-node,@ethersproject/strings
https://github.com/backseats/chonks,ethereum-bloom-filters
https://github.com/pixotchi/pixotchi_indexer_v1_public,@noble/curves
https://github.com/eth-infinitism/account-abstraction,@nomicfoundation/edr
https://github.com/balancer/backend,@ethersproject/bytes
https://github.com/synthetixio/synthetix-v3,@ethersproject/abi
https://github.com/zeriontech/defi-sdk,hardhat
https://github.com/oasisdex/defi-position-manager-smartcontracts,@ethersproject/rlp
https://github.com/cryptorubic/multi-proxy-rubic,@ethersproject/signing-key
https://github.com/xswaplink/xswaprouter,@ethersproject/networks
https://github.com/api3dao/airnode,@ethersproject/strings
https://github.com/socketdottech/socket-plugs,@nomicfoundation/edr-win32-x64-msvc
https://github.com/symbiosis-finance/core-contracts,hardhat
https://github.com/flayerlabs/flaunchgg-contracts,@ethersproject/wallet
https://github.com/pixotchi/pixotchi-contracts-misc_2_public,@ethersproject/signing-key
https://github.com/0xproject/protocol,@ethersproject/networks
https://github.com/tokensoft/tokensoft_token,@ethersproject/web
https://github.com/symbiosis-finance/core-contracts,@ethersproject/random
https://github.com/maverickprotocol/router-v1,@ethersproject/keccak256
https://github.com/reserve-protocol/reserve-index-dtf,@ethersproject/web
https://github.com/rainbow-me/swaps,@ethersproject/solidity
https://github.com/socketdottech/socket-plugs,merkletreejs
https://github.com/pixotchi/pixotchi-contracts-misc_1_public,@nomicfoundation/edr-darwin-arm64
https://github.com/morpho-org/morpho-blue,@ethersproject/bignumber
https://github.com/poopzter/hardhat,@ethersproject/constants
https://github.com/decentxyz/decent-contracts-v3,@nomicfoundation/hardhat-network-helpers
https://github.com/sake-finance/sake-core,@ethersproject/base64
https://github.com/pixotchi/pixotchi-contracts_v1_public,ethereum-bloom-filters
https://github.com/rmrk-team/rmrk-js,wagmi
https://github.com/wagmi1337/onchain-monorepo,@nomicfoundation/edr-darwin-arm64
https://github.com/uncx-network/token-vesting-contracts,@ethersproject/solidity
https://github.com/0xsequence/live-contracts,@ethersproject/solidity
https://github.com/ourzora/zora-protocol,@wagmi/cli
https://github.com/socketdottech/bungee-contracts-public,@ethersproject/signing-key
https://github.com/gelatodigital/automate-sdk,@ethersproject/random
https://github.com/krystaldefi/krystal-core,@ethersproject/abstract-provider
https://github.com/reserve-protocol/reserve-index-dtf,@ethersproject/signing-key
https://github.com/dackieswap/dackieswap-contracts-v3,@ethersproject/abi
https://github.com/dhedge/v2-public,@ethersproject/networks
https://github.com/flayerlabs/flaunchgg-contracts,@nomicfoundation/hardhat-network-helpers
https://github.com/ethereum-attestation-service/eas-sdk,@nomicfoundation/edr-linux-x64-musl
https://github.com/uncx-network/token-vesting-contracts,@ethersproject/sha2
https://github.com/socketdottech/socket-dl,@nomicfoundation/edr-linux-x64-musl
https://github.com/maverickprotocol/maverick-v1-interfaces,@ethersproject/properties
https://github.com/coop-records/sonata,@ethersproject/constants
https://github.com/uncx-network/token-vesting-contracts,@ethersproject/abstract-provider
https://github.com/holographxyz/holograph-protocol,@ethersproject/providers
https://github.com/uncx-network/token-vesting-contracts,@ethersproject/hash
https://github.com/gammaswap/v1-liquidator,@nomicfoundation/hardhat-network-helpers
https://github.com/passportxyz/passport,datastore-core
https://github.com/decentxyz/decent-contracts-v3,@nomicfoundation/edr-darwin-x64
https://github.com/balancer/balancer-subgraph-v2,@ethersproject/constants
https://github.com/andreitr/basedbits.fun,@noble/ciphers
https://github.com/dackieswap/dackieswap-contracts,@nomicfoundation/hardhat-toolbox
https://github.com/gammaswap/v1-periphery,hardhat
https://github.com/rmrk-team/evm,@ethersproject/base64
https://github.com/ovnstable/ovnstable-core,ethereum-bloom-filters
https://github.com/layerswap/layerswapapp,@ethersproject/experimental
https://github.com/fractalvisionsnft/fractalvisionsv2,@ethersproject/hdnode
https://github.com/balancer/balancer-subgraph-v2,@ethersproject/rlp
https://github.com/decentxyz/decent-contracts-v3,solidity-coverage
https://github.com/compound-finance/comet,@ethersproject/bytes
https://github.com/galxe/galxe-contracts,@nomicfoundation/edr-win32-ia32-msvc
https://github.com/virtual-protocol/protocol-contracts,@ethersproject/address
https://github.com/hop-protocol/hop,viem
https://github.com/ethereum-attestation-service/eas-contracts,@ethersproject/providers
https://github.com/fractalvisionsnft/fractalvisionsv2,@ethersproject/signing-key
https://github.com/andreitr/basedbits.fun,@wagmi/core
https://github.com/cryptorubic/multi-proxy-rubic,@ethersproject/transactions
https://github.com/stvol-official/stvol-contract,solidity-coverage
https://github.com/pixotchi/pixotchi-contracts_v1_public,@ethersproject/wallet
