chain,date,token,value,readable_date,protocol
Optimism,1649116800,SETH,301.89727,2022-04-05 00:00:00,polynomial_earn_protocol
Optimism,1649116800,SUSD,1004931.06127,2022-04-05 00:00:00,polynomial_earn_protocol
Optimism,1649203200,SETH,301.89727,2022-04-06 00:00:00,polynomial_earn_protocol
Optimism,1649203200,SUSD,1004931.06127,2022-04-06 00:00:00,polynomial_earn_protocol
Optimism,1649289600,SETH,301.89727,2022-04-07 00:00:00,polynomial_earn_protocol
Optimism,1649289600,SUSD,1004931.06127,2022-04-07 00:00:00,polynomial_earn_protocol
Optimism,1649376000,SETH,301.89732,2022-04-08 00:00:00,polynomial_earn_protocol
Optimism,1649376000,SUSD,1004931.06127,2022-04-08 00:00:00,polynomial_earn_protocol
Optimism,1649462400,SETH,302.19921,2022-04-09 00:00:00,polynomial_earn_protocol
Optimism,1649462400,SUSD,1007280.89304,2022-04-09 00:00:00,polynomial_earn_protocol
Optimism,1649548800,SETH,302.19921,2022-04-10 00:00:00,polynomial_earn_protocol
Optimism,1649548800,SUSD,1007280.89304,2022-04-10 00:00:00,polynomial_earn_protocol
Optimism,1649635200,SETH,302.19921,2022-04-11 00:00:00,polynomial_earn_protocol
Optimism,1649635200,SUSD,1007280.89304,2022-04-11 00:00:00,polynomial_earn_protocol
Optimism,1649721600,SETH,450.98347,2022-04-12 00:00:00,polynomial_earn_protocol
Optimism,1649721600,SUSD,1505485.10702,2022-04-12 00:00:00,polynomial_earn_protocol
Optimism,1649808000,SETH,451.11475,2022-04-13 00:00:00,polynomial_earn_protocol
Optimism,1649808000,SUSD,1505485.10702,2022-04-13 00:00:00,polynomial_earn_protocol
Optimism,1649894400,SETH,451.11485,2022-04-14 00:00:00,polynomial_earn_protocol
Optimism,1649894400,SUSD,1505485.10702,2022-04-14 00:00:00,polynomial_earn_protocol
Optimism,1649980800,SETH,451.11578,2022-04-15 00:00:00,polynomial_earn_protocol
Optimism,1649980800,SUSD,1505485.15702,2022-04-15 00:00:00,polynomial_earn_protocol
Optimism,1650067200,SETH,450.97235,2022-04-16 00:00:00,polynomial_earn_protocol
Optimism,1650067200,SUSD,1500374.44923,2022-04-16 00:00:00,polynomial_earn_protocol
Optimism,1650153600,SETH,451.03214,2022-04-17 00:00:00,polynomial_earn_protocol
Optimism,1650153600,SUSD,1500374.51182,2022-04-17 00:00:00,polynomial_earn_protocol
Optimism,1650240000,SETH,451.03214,2022-04-18 00:00:00,polynomial_earn_protocol
Optimism,1650240000,SUSD,1500374.51193,2022-04-18 00:00:00,polynomial_earn_protocol
Optimism,1650326400,SETH,451.03214,2022-04-19 00:00:00,polynomial_earn_protocol
Optimism,1650326400,SUSD,1504140.25524,2022-04-19 00:00:00,polynomial_earn_protocol
Optimism,1650412800,SETH,451.03214,2022-04-20 00:00:00,polynomial_earn_protocol
Optimism,1650412800,SUSD,1504140.25524,2022-04-20 00:00:00,polynomial_earn_protocol
Optimism,1650499200,SETH,451.03214,2022-04-21 00:00:00,polynomial_earn_protocol
Optimism,1650499200,SUSD,1504140.25524,2022-04-21 00:00:00,polynomial_earn_protocol
Optimism,1650585600,SETH,451.03214,2022-04-22 00:00:00,polynomial_earn_protocol
Optimism,1650585600,SUSD,1504140.25524,2022-04-22 00:00:00,polynomial_earn_protocol
Optimism,1650672000,SETH,451.66784,2022-04-23 00:00:00,polynomial_earn_protocol
Optimism,1650672000,SUSD,1506231.42658,2022-04-23 00:00:00,polynomial_earn_protocol
Optimism,1650758400,SETH,451.66794,2022-04-24 00:00:00,polynomial_earn_protocol
Optimism,1650758400,SUSD,1506231.42658,2022-04-24 00:00:00,polynomial_earn_protocol
