General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,Transaction Count,Transaction Count,Transaction Count,Transaction Count,Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Active Users,Active Users,Active Users,Active Users,Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Unique Users,Unique Users,Unique Users,Unique Users,Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Total Transferred,Total Transferred,Total Transferred,Total Transferred,Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Net Transferred,Net Transferred,Net Transferred,Net Transferred,Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),TVL,TVL,TVL,TVL,TVL (forecasted),TVL (forecasted),TVL (forecasted),TVL (forecasted),Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted),Gas Fees,Gas Fees,Gas Fees,Gas Fees,Gas Fees (forecasted),Gas Fees (forecasted),Gas Fees (forecasted),Gas Fees (forecasted),New Delegators,New Delegators,New Delegators,New Delegators,New Delegators (forecasted),New Delegators (forecasted),New Delegators (forecasted),New Delegators (forecasted),New Voters,New Voters,New Voters,New Voters,New Voters (forecasted),New Voters (forecasted),New Voters (forecasted),New Voters (forecasted)
TLX - Leveraged Tokens Protocol,Grants Season 6,Cycle 28,Passed,100000,False,2024-09-01 00:00:00,100000,2024-01-24 - 2025-04-10,,-2.7535,0.006386087402354468,0.0064,,-2.7535,0.006386087402354468,0.0064,,-2.8743,0.004444320818911773,0.0044,,-2.8743,0.004444320818911773,0.0044,,-1.0,0.3184041585225432,0.3184,,-1.0,0.3184041585225432,0.3184,,,,nan,,,,nan,,,,nan,,,,nan,-0.436,4.2294,3.125744334431246e-05,3.13e-05,0.6057,-5.1262,5.906206985706319e-07,5.91e-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,-2.379,0.018212751702295638,0.0182,,-2.379,0.018212751702295638,0.0182,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
OETH on OP (2 of 3),Grants Season 6,Cycle 26,Passed,29978,False,2024-09-01 00:00:00,29978,2024-01-24 - 2025-04-10,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.3128,7.4776,1.0975664821444298e-12,1.10e-12,0.2683,-3.3649,0.0008673572918065364,0.0009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Extra Finance S6 Mission Application,Grants Season 6,Cycle 26,Sent,136000,False,2024-09-01 00:00:00,136000,2024-06-01 - 2025-04-10,-0.9575,4.7366,7.678552848444653e-06,7.68e-06,-0.778,4.8355,1.9753227769037096e-06,1.98e-06,-0.9564,4.693,9.115630416722809e-06,9.12e-06,-0.9271,16.8245,0.0,0.00e+00,-0.9571,4.4372,2.4509845820475107e-05,2.45e-05,-0.9238,13.9313,0.0,0.00e+00,,,,nan,,,,nan,2.4421,-6.3989,8.697005338120789e-10,8.70e-10,2.4257,-6.4259,7.767835263905454e-10,7.77e-10,-0.19,4.6322,5.781959080852772e-06,5.78e-06,0.0876,-1.4704,0.14243833908357306,0.1424,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.9994,4.269,4.808931325794852e-05,4.81e-05,-1.0008,-5.2073,5.711891233328714e-07,5.71e-07,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Let's Get HAI,Grants Season 6,Cycle 26,Sent,115000,False,2024-09-01 00:00:00,115000,2024-01-24 - 2025-04-10,,-2.3572,0.019289124320291506,0.0193,,-2.3572,0.019289124320291506,0.0193,,-2.3572,0.019289124320291506,0.0193,,-2.3572,0.019289124320291506,0.0193,,-1.4174,0.1577672758936357,0.1578,,-1.4174,0.1577672758936357,0.1578,,,,nan,,,,nan,,,,nan,,,,nan,-0.1722,2.9503,0.0033432218580453643,0.0033,0.1657,-2.418,0.016151701598452917,0.0162,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,-1.5741,0.11689716274424189,0.1169,,-1.5741,0.11689716274424189,0.1169,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Derive (Formerly Lyra) Chain - Intent 3B,Grants Season 6,Cycle 26,Sent,400000,False,2024-09-01 00:00:00,400000,2024-06-11 - 2025-04-10,-0.1909,0.5939,0.5529960799143017,0.5530,-0.3753,2.8324,0.00499794594111469,0.0050,-0.2366,0.8175,0.41429138146775646,0.4143,-0.529,5.4929,9.331560035796826e-08,9.33e-08,-0.7538,1.2646,0.20907467853358974,0.2091,-0.9388,7.3031,6.1450844413002415e-12,6.15e-12,,,,nan,,,,nan,,,,nan,,,,nan,-0.215,4.8168,2.4804040510417735e-06,2.48e-06,0.0802,-1.1728,0.2416811726599244,0.2417,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.5349,0.7577,0.450654991272311,0.4507,-0.8527,14.3031,0.0,0.00e+00,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
OP - Besu/Hildr,Grants Season 6,Cycle 26,Team non responsive,137362,False,2024-09-01 00:00:00,137362,2024-06-06 - 2025-04-10,-0.373,0.4311,0.6672885895778919,0.6673,0.3206,-0.5539,0.5801867442870892,0.5802,0.1757,-0.2004,0.8412895867402692,0.8413,2.4149,-1.7482,0.08181323180074784,0.0818,-0.6081,0.5662,0.5723878954405435,0.5724,0.5201,-0.3412,0.733242535157016,0.7332,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.9706,1.1416,0.25677766813336134,0.2568,-1.0133,-7.7191,1.071587263368201e-12,1.07e-12,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Yield Bearing asset utility with Compound,Grants Season 6,Cycle 27,Sent,180000,False,2024-09-01 00:00:00,180000,2024-01-24 - 2025-04-10,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,0.7919,-1.005,0.3154550824925426,0.3155,2.7384,-2.2375,0.02624702037779092,0.0262,-0.502,16.3295,0.0,0.00e+00,-0.111,1.5114,0.13151141425640445,0.1315,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Beefy - mooBIFI,Grants Season 6,Cycle 27,Sent,70000,False,2024-09-01 00:00:00,70000,2024-06-02 - 2025-04-10,0.0015,-0.0044,0.9965026357273024,0.9965,0.7269,-1.7496,0.08156217387620668,0.0816,-0.2915,1.1958,0.23267101454218575,0.2327,0.2156,-1.0145,0.31144038456063283,0.3114,-1.0,2.3664,0.020081198602742045,0.0201,-1.0,29.8737,0.0,0.00e+00,,,,nan,,,,nan,,,,nan,,,,nan,-0.4474,12.2388,0.0,0.00e+00,-0.2463,3.3991,0.0007470032812282312,0.0007,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2112,-0.3668,0.7140117344850698,0.7140,0.3248,-0.6734,0.5014093286326011,0.5014,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Enable High-Frequency Execution Across the Superchain,Grants Season 6,Cycle 27,Passed,2500,False,2024-09-01 00:00:00,2500,2024-08-05 - 2025-04-10,-0.9829,1.9217,0.06566338481230671,0.0657,-0.8907,19.0123,0.0,0.00e+00,-0.8877,4.3103,0.0001905811456737183,0.0002,-0.8542,18.1418,0.0,0.00e+00,-1.0,1.0,0.3265270222606158,0.3265,-1.0,33.2319,0.0,0.00e+00,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.9679,0.9877,0.33237198199581175,0.3324,-0.9706,23.6439,0.0,0.00e+00,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Swan Superchain Application,Grants Season 6,Cycle 27,Sent,250000,True,2024-12-09 00:00:00,0,2024-01-24 - 2025-04-10,-0.8287,7.5072,2.496669537777052e-12,2.50e-12,-0.7801,10.0179,0.0,0.00e+00,-0.8385,7.8132,4.531930386519889e-13,4.53e-13,-0.8047,11.3419,0.0,0.00e+00,-0.2329,0.4316,0.6664396982820802,0.6664,3.8895,-1.579,0.11692959648707757,0.1169,-0.657,4.5294,9.74980989121299e-06,9.75e-06,-0.4733,3.5736,0.00048514430659740704,0.0005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.7641,10.9355,0.0,0.00e+00,-0.8318,19.746,0.0,0.00e+00,-0.8519,9.2569,2.220446049250313e-16,2.22e-16,-0.8422,14.9029,0.0,0.00e+00,-0.845,7.7565,8.080203173221889e-13,8.08e-13,-0.8642,16.3554,0.0,0.00e+00,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Cyber,Grants Season 6,Cycle 27,Passed,375000,True,2024-10-01 00:00:00,0,2024-06-02 - 2025-04-10,-0.7868,12.5245,0.0,0.00e+00,-0.7354,25.5765,0.0,0.00e+00,-0.7881,11.8159,0.0,0.00e+00,-0.714,23.7161,0.0,0.00e+00,-0.8485,7.3958,1.922728642966831e-11,1.92e-11,-0.6419,15.7647,0.0,0.00e+00,-0.6377,3.8137,0.00019482008972149245,0.0002,-0.1914,1.3376,0.18255424281320565,0.1826,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.3876,7.1618,5.787370582766016e-12,5.79e-12,-0.3505,7.4423,1.0023093466315913e-12,1.00e-12,-0.3968,5.6176,4.300060885142898e-08,4.30e-08,-0.3687,7.6304,3.3728575488112256e-13,3.37e-13,-0.7405,8.1891,6.23945339839338e-14,6.24e-14,-0.7435,17.0496,0.0,0.00e+00,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Mode,Grants Season 6,Cycle 27,Sent,900000,False,2024-09-01 00:00:00,900000,2024-06-02 - 2025-04-10,-0.681,17.0248,0.0,0.00e+00,-0.5303,14.5882,0.0,0.00e+00,-0.7249,16.4211,0.0,0.00e+00,-0.6085,18.9005,0.0,0.00e+00,-0.7175,9.961,2.220446049250313e-16,2.22e-16,-0.58,16.4486,0.0,0.00e+00,-0.4874,4.8619,1.8488386364090559e-06,1.85e-06,-0.5134,9.4687,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.6589,20.6645,0.0,0.00e+00,-0.677,27.4067,0.0,0.00e+00,-0.5575,12.2924,0.0,0.00e+00,-0.522,15.4113,0.0,0.00e+00,-0.7217,3.1418,0.002258189156722823,0.0023,-0.6193,15.7048,0.0,0.00e+00,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Lisk - Intent 3B Grant Application,Grants Season 6,Cycle 27,Sent,500000,False,2024-09-01 00:00:00,500000,2024-06-02 - 2025-04-10,346.3235,-10.289,0.0,0.00e+00,431.6449,-10.2949,0.0,0.00e+00,193.2742,-8.8988,2.220446049250313e-16,2.22e-16,209.8324,-8.9024,2.220446049250313e-16,2.22e-16,39.9006,-8.2502,1.3988810110276972e-14,1.40e-14,55.077,-8.3125,9.547918011776346e-15,9.55e-15,48.8646,-9.9035,0.0,0.00e+00,254.3553,-10.078,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1626,-2.2413,0.025719747080587885,0.0257,0.1138,-1.7837,0.07558462630211538,0.0756,0.7784,-4.6184,5.822887214401717e-06,5.82e-06,0.6825,-4.6404,5.840247737642912e-06,5.84e-06,450.5874,-7.3522,3.752553823233029e-12,3.75e-12,405.1731,-7.3504,3.79318798593431e-12,3.79e-12,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
DelegateMatch: Governance incentives for a delegation Farcaster frame.,Grants Season 6,Cycle 28,Sent,2500,True,2024-09-14 00:00:00,0,2024-08-25 - 2025-04-10,-0.9043,0.9002,0.3790846259200231,0.3791,-0.5539,1.2226,0.22278293769938795,0.2228,-0.9043,0.9002,0.3790846259200231,0.3791,-0.7837,3.4367,0.000688326451965926,0.0007,-0.9522,0.9511,0.35346012163471174,0.3535,-0.4945,0.9499,0.3431364042172995,0.3431,-0.8177,0.8045,0.4304544122857066,0.4305,4847397707734.615,-1.0,0.31847242931279984,0.3185,-0.6947,0.4914,0.6236321568387404,0.6236,1.3169,-0.4069,0.6844944358570033,0.6845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.1152,-0.6465,0.5186075351393034,0.5186,-1.0021,-3.5682,0.0004829576613083475,0.0005,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Scout Game: onchain gamified talent referral platform,Grants Season 6,Cycle 28,Sent,20000,False,2024-11-29 00:00:00,19999,2024-01-24 - 2025-04-10,-0.0075,0.0053,0.9957460007860808,0.9957,,-1.0,0.31914014323489726,0.3191,-0.0075,0.0053,0.9957460007860808,0.9957,,-1.0,0.31914014323489726,0.3191,-0.0075,0.0093,0.992575249940163,0.9926,0.8511,-0.8005,0.4248255448999325,0.4248,-1.0,1.0,0.3191540831450206,0.3192,,-1.0,0.31914014323489726,0.3191,,-1.0,0.3191401432348975,0.3191,,-1.0,0.3191401432348975,0.3191,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.4309,-0.5444,0.5868753608850836,0.5869,,-1.0,0.3191401432348975,0.3191,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Fraxtal Application,Grants Season 6,Cycle 26,Sent,900000,False,2024-09-01 00:00:00,900000,2024-06-02 - 2025-04-10,-0.6009,4.774,6.0383427102905785e-06,6.04e-06,-0.8885,26.3392,0.0,0.00e+00,-0.6016,4.5929,1.237812684173889e-05,1.24e-05,-0.907,21.7422,0.0,0.00e+00,-0.8931,5.678,1.6191554430555755e-07,1.62e-07,-0.9682,25.4594,0.0,0.00e+00,-0.4433,4.7741,2.7833602327387297e-06,2.78e-06,-0.8547,28.3721,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.5056,17.4293,0.0,0.00e+00,-0.2349,5.0497,7.069127019310173e-07,7.07e-07,0.2038,-2.2187,0.02731765769464567,0.0273,-0.7362,23.6916,0.0,0.00e+00,0.1914,-1.562,0.1194760753551487,0.1195,-0.7658,25.1776,0.0,0.00e+00,-0.568,5.6592,1.1485199791216871e-07,1.15e-07,-0.9069,32.4851,0.0,0.00e+00,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
OETH on OP 4,Grants Season 6,Cycle 28,Passed,29978,False,2024-09-01 00:00:00,29978,2024-01-24 - 2025-04-10,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.3128,7.4776,1.0975664821444298e-12,1.10e-12,0.4966,-5.1728,4.1433750186392615e-07,4.14e-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
