General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,Transaction Count,Transaction Count,Transaction Count,Transaction Count,Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Active Users,Active Users,Active Users,Active Users,Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Unique Users,Unique Users,Unique Users,Unique Users,Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Total Transferred,Total Transferred,Total Transferred,Total Transferred,Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Net Transferred,Net Transferred,Net Transferred,Net Transferred,Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),TVL,TVL,TVL,TVL,TVL (forecasted),TVL (forecasted),TVL (forecasted),TVL (forecasted),Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted),Gas Fees,Gas Fees,Gas Fees,Gas Fees,Gas Fees (forecasted),Gas Fees (forecasted),Gas Fees (forecasted),Gas Fees (forecasted),New Delegators,New Delegators,New Delegators,New Delegators,New Delegators (forecasted),New Delegators (forecasted),New Delegators (forecasted),New Delegators (forecasted),New Voters,New Voters,New Voters,New Voters,New Voters (forecasted),New Voters (forecasted),New Voters (forecasted),New Voters (forecasted)
Project Name,Round,Cycle,Grant Status,Grant Amount,Grant Recieved (to date)?,Date Funds Recieved,Balance Left (to date),Date Range,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted
Renzo Optimism Season 6 Mission Request - Optimism as base for LRTs,Grants Season 6,Cycle 25,Sent,120000,True,2024-11-14 00:00:00,0,2024-07-14 - 2025-04-10,-0.5683,7.0437,2.983502334075183e-11,2.98e-11,-0.5692,11.4681,0.0,0.00e+00,-0.5577,7.1874,1.1149969836310447e-11,1.11e-11,-0.5389,10.6734,0.0,0.00e+00,-0.747,8.1749,1.7186252421197423e-13,1.72e-13,-0.6782,15.37,0.0,0.00e+00,,,,nan,,,,nan,,-1.744,0.0832573328259838,0.0833,,-1.744,0.0832573328259838,0.0833,-0.4104,7.1316,1.3923306951824088e-11,1.39e-11,-0.3221,3.7633,0.00021163212921182506,0.0002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.9344,6.7227,5.480311759953338e-10,5.48e-10,-0.9027,20.631,0.0,0.00e+00,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
WannaBet Weekly Tournaments,Grants Season 6,Cycle 25,Sent,35000,False,2024-09-01 00:00:00,35000,2024-01-24 - 2025-04-10,13.9324,-2.9122,0.003924901577557094,0.0039,,,,nan,10.9459,-2.8955,0.004115348408572972,0.0041,,,,nan,-0.0045,0.0032,0.9974543100572824,0.9975,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,762.4635,-1.9561,0.051707946897286305,0.0517,,,,nan,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Ether.fi OP Mainnet LRT Grant,Grants Season 6,Cycle 25,Sent,96000,False,2024-09-01 00:00:00,96000,2024-06-03 - 2025-04-10,-0.4349,1.7257,0.08764048989585693,0.0876,-0.4495,8.5533,4.440892098500626e-16,4.44e-16,-0.4768,1.7439,0.08446131492201214,0.0845,-0.5564,12.0071,0.0,0.00e+00,-0.6329,2.0825,0.040072306338271524,0.0401,-0.6102,10.4217,0.0,0.00e+00,0.3067,-0.6902,0.4905954025658976,0.4906,40.8222,-5.0593,8.779121500879228e-07,8.78e-07,1.3876,-5.0857,6.85716315951268e-07,6.86e-07,1.3014,-6.6311,2.2595081361487246e-10,2.26e-10,-0.1992,4.7079,4.209049933034947e-06,4.21e-06,-1.0,2.9487,0.0036604485753850557,0.0037,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.8963,3.3745,0.0010670317110532679,0.0011,-0.9653,31.6084,0.0,0.00e+00,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Expanding restaking on Optimism,Grants Season 6,Cycle 25,Sent,120000,False,2024-09-01 00:00:00,120000,2024-07-01 - 2025-04-10,-0.6587,1.9253,0.05669190992089046,0.0567,-0.5751,4.0228,7.700593789428112e-05,7.70e-05,-0.5856,1.7937,0.07527153245434848,0.0753,-0.6406,5.5104,8.614493141045898e-08,8.61e-08,-1.0,1.0,0.3199622084762226,0.3200,-1.0,7.2056,2.0339729900342718e-11,2.03e-11,,,,nan,,,,nan,,,,nan,,,,nan,-0.2856,5.8691,1.187116671630406e-08,1.19e-08,0.4817,-4.8571,1.9497278667124363e-06,1.95e-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.8453,2.2775,0.024780192264451495,0.0248,-2.1976,-2.6859,0.007661762576686826,0.0077,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
FrameHack #2,Grants Season 6,Cycle 25,Sent,2000,False,2024-09-01 00:00:00,2000,2024-06-01 - 2025-04-10,-0.7536,11.051,0.0,0.00e+00,-0.6053,15.4764,0.0,0.00e+00,-0.2782,4.5914,6.392567098556512e-06,6.39e-06,-0.1458,3.1427,0.0018222490228148036,0.0018,-0.9104,3.3264,0.0012636949996573943,0.0013,-0.7361,9.7436,0.0,0.00e+00,-0.8253,13.3476,0.0,0.00e+00,-0.6914,22.7145,0.0,0.00e+00,0.1197,-1.5048,0.1334206008296892,0.1334,0.1241,-1.738,0.08316578860551282,0.0832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.9835,7.5813,2.7896795984361233e-11,2.79e-11,-0.9702,20.6441,0.0,0.00e+00,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
Optimism GovQuests,Grants Season 6,Cycle 25,Sent,5000,False,2024-09-01 00:00:00,5000,2024-01-24 - 2025-04-10,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,1.0303,-0.597,0.5508005990688927,0.5508,0.3882,-0.403,0.6873469198300968,0.6873,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan,,,,nan,,,,,,,,nan,,,,
Event Horizon Public Access Voter Pool,Grants Season 6,Cycle 26,Sent,15000,False,2024-09-01 00:00:00,15000,2024-06-21 - 2025-04-10,,,,nan,,,,nan,,,,nan,,,,nan,-1.0,1.0,0.31882994100268314,0.3188,-1.0,9.8411,0.0,0.00e+00,,,,nan,,,,nan,,1.0,0.3184041585225432,0.3184,,1.0,0.3184041585225432,0.3184,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan,-0.0235,0.0792,0.9368816200972132,0.9369,,,,,,,,nan,,,,
Aragon <> RISC Zero - Joint partnership on crosschain voting,Grants Season 6,Cycle 26,Sent,1250,False,2024-09-01 00:00:00,1250,2024-01-24 - 2025-04-10,,-1.0,0.3184041585225432,0.3184,,,,nan,,-1.0,0.3184041585225432,0.3184,,,,nan,,-1.0,0.3184041585225432,0.3184,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,-1.0,0.31840415852254345,0.3184,,,,nan,,,,nan,,,,,,,,nan,,,,
Boosting LRT adoption with Compound Finance,Grants Season 6,Cycle 26,Sent,120000,False,2024-09-01 00:00:00,120000,2024-01-24 - 2025-04-10,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,0.7919,-1.005,0.3154550824925426,0.3155,2.5579,-2.1963,0.02911228660638665,0.0291,-0.502,16.3295,0.0,0.00e+00,0.3489,-3.7149,0.00023623632859970378,0.0002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,,,
