project,protocol,TVL-pvalue,TVL-percent_change,TVL-tstat,TVL_opchain-pvalue,TVL_opchain-percent_change,TVL_opchain-tstat
Renzo Optimism Season 6 Mission Request - Optimism as base for LRTs,renzo_protocol,0.0,0.4281,-12.660926392328019,7.110166593271572e-07,-0.1486,5.185694641511074
Ether.fi OP Mainnet LRT Grant,ether__dot__fi_vaults_protocol,0.0,1.3505,-16.831872731142376,0.0,1.1309,-19.309128344708483
Ether.fi OP Mainnet LRT Grant,ether__dot__fi_stake_protocol,0.0,0.2391,-8.940423697480385,6.283862319378386e-14,0.1769,-8.053936915879442
Ether.fi OP Mainnet LRT Grant,ether__dot__fi_liquid_protocol,2.036149027162537e-12,0.611,-7.684990061809242,0.49722658769688133,0.014,-0.6797013398458415
Expanding restaking on Optimism,kelp_rseth_protocol,2.912411879885113e-06,0.2587,-4.838334200952002,1.0381953075011552e-09,0.3803,-6.456339749306593
Expanding restaking on Optimism,kelp_dao,0.01822337948901187,0.1352,-2.389206279164683,1.0714235584297072e-05,0.296,-4.566551096020093
Boosting LRT adoption with Compound Finance,compound_finance,0.17358814314644744,0.0261,-1.3660848980298692,4.6273284537434733e-08,0.121,-5.694562695939786
Boosting LRT adoption with Compound Finance,compound_v1_protocol,0.0,-0.2318,9.26388520039157,5.9090030646302694e-08,-0.1585,5.618215054993628
Boosting LRT adoption with Compound Finance,compound_v2_protocol,0.0,-0.232,17.69443265171724,3.780662449770489e-10,-0.0991,6.5682650509347775
TLX - Leveraged Tokens Protocol,tlx_finance_protocol,1.7463319679222877e-10,-0.5323,6.854243021859994,1.5277112908052004e-11,-0.4384,7.1026501376626445
OETH on OP (2 of 3),origin_dollar_protocol,0.0,-0.1811,20.59096219602756,0.0,-0.2136,22.017852411526725
OETH on OP (2 of 3),origin_ether_protocol,2.886579864025407e-15,0.2973,-8.577322126168797,0.0,0.4133,-11.079309400277348
OETH on OP (2 of 3),origin_protocol,1.3200498389043247e-05,0.1605,-4.494520134312085,1.061034593519139e-08,0.2306,-6.020697287851034
Extra Finance S6 Mission Application,extra_finance_leverage_farming_protocol,0.0,0.1564,-10.831280082865495,0.0,0.2831,-17.9586419040113
Let's Get HAI,lets_get_hai_protocol,0.0013150568502207083,-0.0751,3.243768143632775,0.539044393103943,0.0159,-0.614976382669922
Derive (Formerly Lyra) Chain - Intent 3B,derive,5.995204332975845e-15,0.4646,-8.357329000420501,3.588192436509985e-07,0.1921,-5.3872858385152025
Derive (Formerly Lyra) Chain - Intent 3B,derive_v2_protocol,0.0,1.0564,-13.70361934900398,0.0,0.3947,-9.314531625358745
Derive (Formerly Lyra) Chain - Intent 3B,derive_v1_protocol,0.0,-0.0579,32.327337729379195,0.0,-0.0517,11.814898686669533
Yield Bearing asset utility with Compound,compound_finance,0.17358814314644744,0.0261,-1.3660848980298692,1.8118698741353967e-07,0.1178,-5.405813873382294
Yield Bearing asset utility with Compound,compound_v1_protocol,0.0,-0.2318,9.26388520039157,1.7005708952133602e-07,-0.1539,5.404117453238041
Yield Bearing asset utility with Compound,compound_v2_protocol,0.0,-0.232,17.69443265171724,1.9359380765138212e-10,-0.0995,6.68423748952646
Beefy - mooBIFI,beefy,2.5812585624507278e-08,0.0567,-5.815263886530191,5.14341623780723e-06,0.0457,-4.691932391253015
Fraxtal Application,frax_swap_protocol,0.0,-0.36,21.143421692444868,0.0,-0.1918,11.098368040033506
Fraxtal Application,frax_finance,0.0,-0.1902,12.450853492663812,7.933809686999638e-07,-0.0938,5.115024433624021
Fraxtal Application,frax_ether_protocol,0.0,-0.2,17.027912975152816,0.0,-0.1247,9.066480586267993
Fraxtal Application,frax_protocol,0.15380086948902139,0.0348,-1.4315452452685273,2.961925593680803e-09,0.1622,-6.264827996371976
Fraxtal Application,frax_fpi_protocol,9.710232617976544e-12,-0.236,7.156741057981984,0.0002547430232835435,0.127,-3.702496200698495
OETH on OP 4,origin_dollar_protocol,0.0,-0.1811,20.59096219602756,0.0,-0.2114,22.834025981585643
OETH on OP 4,origin_ether_protocol,2.886579864025407e-15,0.2973,-8.577322126168797,0.0,0.4124,-11.135448801104483
OETH on OP 4,origin_protocol,1.3200498389043247e-05,0.1605,-4.494520134312085,1.5235355865783617e-08,0.2274,-5.948513478093329
Contango ,contango,0.0,0.9747,-14.148964913614,0.0,0.6557,-12.910841742564507
Contango ,contango_v1_protocol,0.0,-0.1692,13.08934476728208,1.461694377669076e-05,-0.0651,4.408149373010867
Velodrome Finance,velodrome,0.0,-0.2304,10.50248017933588,0.027223699714027383,-0.0455,2.232143811915766
Velodrome Finance,velodrome_v1_protocol,0.0,-0.1617,13.313519116955499,0.008533295147453268,-0.0328,2.650721055737163
Velodrome Finance,velodrome_v2_protocol,0.0,-0.2207,13.174961493373107,0.005946228729962089,-0.0374,2.77762749961406
Velodrome Finance,velodrome_v3_protocol,0.0,-0.7502,12.357630846511928,0.027649147231965765,-0.2233,2.2227286176062293
Uniswap: YBA Grant,uniswap_v1_protocol,0.0,-0.1221,11.346162500299842,2.981204013430272e-06,-0.0568,4.764047327362137
