project,protocol,TVL-pvalue,TVL-percent_change,TVL-tstat,TVL_opchain-pvalue,TVL_opchain-percent_change,TVL_opchain-tstat
Uniswap: LRT Grant,uniswap_v1_protocol,0.0,-0.1221,11.346162500299842,1.2782957790058447e-06,-0.0581,4.945311189264875
Idle - Credit Vaults III,idle_protocol,0.0,-0.3519,9.21641277908053,0.0,-0.404,12.524798645500487
dForce on OP (Resubmission II),dforce,5.2837956232565375e-11,1.7812,-7.238981335967141,1.4947376669738333e-11,1.9608,-7.4866617884979965
Ionic Superchain Borrow/Lend Aggregator,ionic_protocol_protocol,0.0,-0.3895,16.117404945992334,0.0,-0.2712,14.067769668074472
Kroma Intent 3B Grants Application,wemix_on_kroma_protocol,2.220446049250313e-16,-0.2316,8.848548488679612,0.3737980495565738,0.0195,-0.8907334649379437
Derive (Formerly Lyra) Chain - Intent 3B Take 2,derive,5.995204332975845e-15,0.4646,-8.357329000420501,5.665375444330323e-07,0.1928,-5.255377931341825
Derive (Formerly Lyra) Chain - Intent 3B Take 2,derive_v2_protocol,0.0,1.0564,-13.70361934900398,4.440892098500626e-16,0.3887,-9.096861874465924
Derive (Formerly Lyra) Chain - Intent 3B Take 2,derive_v1_protocol,0.0,-0.0579,32.327337729379195,0.0,-0.0476,11.045351410917428
Spearbit/Cantina for Balmy,balmy_protocol,4.059525709809719e-06,-0.0792,4.6963001565534785,0.00048823920690455047,0.0591,-3.5362384881631055
Extra Finance Security Grant Application,extra_finance_leverage_farming_protocol,0.0,0.1564,-10.831280082865495,0.0,0.2759,-17.687484522259748
Resolv Labs Security Grant Application,resolv,5.268198350893982e-07,1.4063,-5.3119932663896305,1.0263234471175053e-06,1.3115,-5.160586811576069
