,Project Name,Grants Season or Mission,Status,Initial delivery date,OP Delivered,OP Total Amount,Intent,Link,Other metadata,html,oso_slug
1145,HyperArc - Make Social Graphs Great Again,Grants Season 5,Sent,2024-06-01 00:00:00,6000.0,15000.0,Intent 3,https://app.charmverse.io/op-grants/page-15106949611493015,"{""Incentive Program Launched?"": ""Growth"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/page-15106949611493015"", ""L2 Address"": ""0x6Febe9978e126d3cd18665C1d0f2378c95463C03""}",charmverse-page-15106949611493015.html,farcasterxyz
1146,Implement Farcaster social graph data into CoLinks and CoSoul onchain reputation,Grants Season 5,Sent to locked Multisig,,,50000.0,Intent 3,https://app.charmverse.io/op-grants/implement-farcaster-social-graph-data-into-colinks-and-cosoul-onchain-reputation-6222081767391467,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/implement-farcaster-social-graph-data-into-colinks-and-cosoul-onchain-reputation-6222081767391467"", ""L2 Address"": ""0x9CD4CfD632a382CdbB9ACeAf3e5c141e9b3377c8""}",charmverse-proposal-implement-farcaster-social-graph-data-into-colinks-and-cosoul-onchain-reputation-6222081767391467.html,coordinape
1147,Interested.fyi: Building new Social Graphs on Farcaster,Grants Season 5,Sent to locked Multisig,,,37500.0,Intent 3,https://app.charmverse.io/op-grants/interested-fyi-building-new-social-graphs-on-farcaster-4293677372148865,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/interested-fyi-building-new-social-graphs-on-farcaster-4293677372148865"", ""L2 Address"": ""0x049569adb8a1e8A9349E9F1111C7b7993A4612eB""}",charmverse-proposal-interested-fyi-building-new-social-graphs-on-farcaster-4293677372148865.html,farcasterxyz
1148,Noun PCs - Zynga for Farcaster,Grants Season 5,Sent,2024-06-01 00:00:00,2000.0,5000.0,Intent 3,https://app.charmverse.io/op-grants/noun-pcs-zynga-for-farcaster-7221383591291324,"{""Incentive Program Launched?"": ""Growth"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/noun-pcs-zynga-for-farcaster-7221383591291324"", ""L2 Address"": ""0xd2C99D74bE46f6d169beB4241dB2E4354e56363A""}",charmverse-proposal-noun-pcs-zynga-for-farcaster-7221383591291324.html,farcasterxyz
1149,Noun PCs - Zynga for Farcaster,Grants Season 5,Sent to locked Multisig,,,35000.0,Intent 3,https://app.charmverse.io/op-grants/noun-pcs-zynga-for-farcaster-7221383591291324,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/noun-pcs-zynga-for-farcaster-7221383591291324"", ""L2 Address"": ""0xd2C99D74bE46f6d169beB4241dB2E4354e56363A""}",charmverse-proposal-noun-pcs-zynga-for-farcaster-7221383591291324.html,farcasterxyz
1150,Ponder surveys for superchain builders,Grants Season 5,Sent to locked Multisig,,,40000.0,Intent 3,https://app.charmverse.io/op-grants/ponder-surveys-for-superchain-builders-43349586555154374,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/ponder-surveys-for-superchain-builders-43349586555154374"", ""L2 Address"": ""0x81947AAdF64Cd22cE96999E4c76eFB0765839bEf""}",charmverse-proposal-ponder-surveys-for-superchain-builders-43349586555154374.html,ponder-surveys
1151,Ponder surveys for superchain builders,Grants Season 5,Sent,2024-06-01 00:00:00,16000.0,40000.0,Intent 3,https://app.charmverse.io/op-grants/ponder-surveys-for-superchain-builders-43349586555154374,"{""Incentive Program Launched?"": ""Growth"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/ponder-surveys-for-superchain-builders-43349586555154374"", ""L2 Address"": ""0x81947AAdF64Cd22cE96999E4c76eFB0765839bEf""}",charmverse-proposal-ponder-surveys-for-superchain-builders-43349586555154374.html,ponder-surveys
1152,Speedtracer,Grants Season 5,Sent to locked Multisig,,,5000.0,Intent 3,https://app.charmverse.io/op-grants/speedtracer-5343696810950662,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/speedtracer-5343696810950662"", ""L2 Address"": ""0x0090720FeD7Fed66eD658118b7B3BB0189D3A495""}",charmverse-proposal-speedtracer-5343696810950662.html,sbauch-speedtracer
1174,Balancer LST and LRT Hub,Grants Season 5,Sent,2024-06-01 00:00:00,100000.0,100000.0,Intent 3,https://app.charmverse.io/op-grants/page-7483023484917983,"{""Incentive Program Launched?"": ""Growth"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/page-7483023484917983"", ""L2 Address"": ""0x09Df1626110803C7b3b07085Ef1E053494155089""}",charmverse-page-7483023484917983.html,balancer
1175,ETHx on OP,Grants Season 5,Sent to locked Multisig,,,50000.0,Intent 3,https://app.charmverse.io/op-grants/ethx-on-op-4676815087913837,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/ethx-on-op-4676815087913837"", ""L2 Address"": ""0x67BB8f98DDff504204B9AF8e9C00E9C6926526e2""}",charmverse-proposal-ethx-on-op-4676815087913837.html,unknown
