seed_repo_owner,seed_repo_name,package_name,package_repo_owner,package_repo_name,package_source
offchainlabs,stylus-tutorials,windows_aarch64_msvc,microsoft,windows-rs,RUST
offchainlabs,stylus-quickstart-vending-machine,windows_aarch64_msvc,microsoft,windows-rs,RUST
offchainlabs,stylus-erc721,@ethersproject/abstract-signer,ethers-io,ethers.js,NPM
fluidity-money,long.so,@emotion/memoize,emotion-js,emotion,NPM
cryptosmartnow,bitsave_stylus,crossbeam-utils,crossbeam-rs,crossbeam,RUST
offchainlabs,stylus-erc721,@ethereumjs/tx,ethereumjs,ethereumjs-monorepo,NPM
fluidity-money,long.so,pg-protocol,brianc,node-postgres,NPM
offchainlabs,stylus-workshop-counter,ctr,rustcrypto,block-modes,RUST
offchainlabs,stylus-by-example,@pandacss/token-dictionary,chakra-ui,panda,NPM
fluidity-money,long.so,babel-preset-current-node-syntax,nicolo-ribaudo,babel-preset-current-node-syntax,NPM
alt-research,nitro,github.com/fsnotify/fsnotify,fsnotify,fsnotify,GO
teeeeeo9,basket-swap-stylus,unarray,cameron1024,unarray,RUST
fluidity-money,long.so,remove-trailing-spaces,ionicabizau,remove-trailing-spaces,NPM
offchainlabs,stylus-vending-machine,sha1,rustcrypto,hashes,RUST
offchainlabs,stylus-erc20,read-pkg-up,sindresorhus,read-pkg-up,NPM
solide-project,stylide,pbkdf2,rustcrypto,password-hashes,RUST
offchainlabs,stylus-erc20,cheerio,cheeriojs,cheerio,NPM
teeeeeo9,basket-swap-stylus,parking_lot_core,amanieu,parking_lot,RUST
dsrvlabs,arbiturm-stylus-solidity-compare,parking_lot_core,amanieu,parking_lot,RUST
cryptosmartnow,bs_arbitrum_main,parking_lot_core,amanieu,parking_lot,RUST
offchainlabs,stylus-workshop-proxy-update,proptest,proptest-rs,proptest,RUST
cryptosmartnow,bitsave_stylus,tinyvec,lokathor,tinyvec,RUST
offchainlabs,stylus-workshop-basic-nft,winapi,retep998,winapi-rs,RUST
offchainlabs,stylus-vending-machine,proc-macro-crate,bkchr,proc-macro-crate,RUST
offchainlabs,stylus-quickstart-vending-machine,backtrace,rust-lang,backtrace-rs,RUST
cryptosmartnow,bitsave_stylus,lock_api,amanieu,parking_lot,RUST
fluidity-money,long.so,ts-md5,cotag,ts-md5,NPM
offchainlabs,stylus-erc721,@sentry/types,getsentry,sentry-javascript,NPM
offchainlabs,stylus-chess,zstd-safe,gyscos,zstd-rs,RUST
cryptosmartnow,stylus_bitsave,zstd-safe,gyscos,zstd-rs,RUST
alt-research,nitro-contracts-2.1.0,more-asserts,thomcc,rust-more-asserts,RUST
theblokc,arbdevbootcamp-reference,@types/semver,definitelytyped,definitelytyped,NPM
offchainlabs,stylus-workshop-counter,alloy-eips,alloy-rs,alloy,RUST
offchainlabs,stylus-by-example,httpdate,pyfisch,httpdate,RUST
offchainlabs,stylus-quickstart-vending-machine,httpdate,pyfisch,httpdate,RUST
offchainlabs,stylus-workshop-rust-solidity,const-hex,danipopes,const-hex,RUST
seabrick,seabrick-contracts,tokio-macros,tokio-rs,tokio,RUST
teeeeeo9,basket-swap-stylus,tokio-macros,tokio-rs,tokio,RUST
fluidity-money,long.so,crypto-bigint,rustcrypto,crypto-bigint,RUST
fluidity-money,long.so,bs58,cryptocoinjs,bs58,NPM
theblokc,arbdevbootcamp-reference,bs58,cryptocoinjs,bs58,NPM
fluidity-money,long.so,istanbul-lib-report,istanbuljs,istanbuljs,NPM
offchainlabs,stylus-erc721,@truffle/error,trufflesuite,truffle,NPM
solide-project,stylide,zstd,gyscos,zstd-rs,RUST
offchainlabs,stylus-tutorials,p-limit,sindresorhus,p-limit,NPM
offchainlabs,stylus-erc721,web3-core-helpers,ethereum,web3.js,NPM
offchainlabs,nitro,evm-gasometer,sorpaas,rust-evm,RUST
fluidity-money,long.so,base64-js,beatgammit,base64-js,NPM
cryptosmartnow,bitsave_stylus,parity-scale-codec-derive,paritytech,parity-scale-codec,RUST
teeeeeo9,basket-swap-stylus,parity-scale-codec-derive,paritytech,parity-scale-codec,RUST
offchainlabs,stylus-by-example,postcss-discard-duplicates,cssnano,cssnano,NPM
offchainlabs,stylus-erc20,ethereumjs-util,ethereumjs,ethereumjs-monorepo,NPM
offchainlabs,stylus-by-example,punycode,mathiasbynens,punycode.js,NPM
offchainlabs,stylus-erc20,derive_more,jeltef,derive_more,RUST
offchainlabs,stylus-quickstart-vending-machine,cipher,rustcrypto,traits,RUST
theblokc,arbdevbootcamp-reference,json5,json5,json5,NPM
blockscout,cargo-stylus-test-examples,chalk,chalk,chalk,NPM
offchainlabs,stylus-erc20-oz,crossbeam-deque,crossbeam-rs,crossbeam,RUST
offchainlabs,stylus-workshop-nft,quote,dtolnay,quote,RUST
offchainlabs,stylus-chess,quote,dtolnay,quote,RUST
fluidity-money,long.so,bowser,lancedikson,bowser,NPM
offchainlabs,stylus-workshop-counter,libc,rust-lang,libc,RUST
cryptosmartnow,stylus_bitsave,cargo-platform,rust-lang,cargo,RUST
solide-project,stylide,cargo-platform,rust-lang,cargo,RUST
offchainlabs,stylus-vending-machine,cargo-platform,rust-lang,cargo,RUST
teeeeeo9,basket-swap-stylus,ark-ff,arkworks-rs,algebra,RUST
offchainlabs,stylus-hello-world,ark-ff,arkworks-rs,algebra,RUST
offchainlabs,stylus-erc721,serialize-javascript,yahoo,serialize-javascript,NPM
offchainlabs,stylus-by-example,tracing,tokio-rs,tracing,RUST
teeeeeo9,basket-swap-stylus,tracing,tokio-rs,tracing,RUST
fracton-ventures,nitro-gacha,tracing,tokio-rs,tracing,RUST
offchainlabs,stylus-chess,tracing,tokio-rs,tracing,RUST
alt-research,nitro,github.com/cespare/xxhash/v2,cespare,xxhash,GO
offchainlabs,stylus-vending-machine,tower-service,tower-rs,tower,RUST
offchainlabs,stylus-erc721,is-number,jonschlinkert,is-number,NPM
offchainlabs,stylus-by-example,comma-separated-tokens,wooorm,comma-separated-tokens,NPM
fluidity-money,long.so,github.com/tklauser/numcpus,tklauser,numcpus,GO
theblokc,arbdevbootcamp-reference,typical,75lb,typical,NPM
offchainlabs,stylus-erc20-oz,rayon-core,rayon-rs,rayon,RUST
theblokc,arbdevbootcamp-reference,rayon-core,rayon-rs,rayon,RUST
cryptosmartnow,stylus_bitsave,sha3-asm,danipopes,keccak-asm,RUST
cryptosmartnow,stylus_bitsave,ff,zkcrypto,ff,RUST
offchainlabs,stylus-by-example,ff,zkcrypto,ff,RUST
alt-research,nitro-near,github.com/google/go-github/v62,google,go-github,GO
alt-research,nitro-contracts-2.1.0,wasm-encoder,bytecodealliance,wasm-tools,RUST
alt-research,nitro-contracts-2.1.0,blst,supranational,blst,RUST
fluidity-money,long.so,@ethersproject/providers,ethers-io,ethers.js,NPM
offchainlabs,stylus-by-example,ark-std,arkworks-rs,std,RUST
fluidity-money,long.so,ark-std,arkworks-rs,std,RUST
offchainlabs,stylus-erc721,bigint-crypto-utils,juanelas,bigint-crypto-utils,NPM
offchainlabs,stylus-by-example,glob-to-regexp,fitzgen,glob-to-regexp,NPM
offchainlabs,stylus-erc20,alloy-sol-macro-input,alloy-rs,core,RUST
offchainlabs,stylus-quickstart-vending-machine,powerfmt,jhpratt,powerfmt,RUST
offchainlabs,stylus-tutorials,v8-compile-cache-lib,cspotcode,v8-compile-cache-lib,NPM
fracton-ventures,nitro-gacha,base64ct,rustcrypto,formats,RUST
cryptosmartnow,stylus_bitsave,open-fastrlp,gakonst,open-fastrlp,RUST
offchainlabs,stylus-workshop-counter,wasmer-compiler,wasmerio,wasmer,RUST
blockscout,cargo-stylus-test-examples,raw-body,stream-utils,raw-body,NPM
fluidity-money,long.so,detect-browser,damonoehlman,detect-browser,NPM
offchainlabs,stylus-workshop-counter,alloy-consensus,alloy-rs,alloy,RUST
theblokc,arbdevbootcamp-reference,resolve-pkg-maps,privatenumber,resolve-pkg-maps,NPM
offchainlabs,stylus-erc721,find-up,sindresorhus,find-up,NPM
offchainlabs,stylus-tutorials,safe-regex-test,ljharb,safe-regex-test,NPM
offchainlabs,stylus-vending-machine,pin-project,taiki-e,pin-project,RUST
dsrvlabs,arbiturm-stylus-solidity-compare,pin-project,taiki-e,pin-project,RUST
theblokc,arbdevbootcamp-reference,pin-project,taiki-e,pin-project,RUST
fluidity-money,long.so,astral-regex,kevva,astral-regex,NPM
fluidity-money,long.so,alloy-sol-types,alloy-rs,core,RUST
offchainlabs,stylus-erc20-oz,alloy-sol-types,alloy-rs,core,RUST
offchainlabs,stylus-workshop-rust-solidity,alloy-sol-types,alloy-rs,core,RUST
theblokc,arbdevbootcamp-reference,@rollup/rollup-linux-riscv64-gnu,rollup,rollup,NPM
alt-research,nitro,github.com/aws/aws-sdk-go-v2/service/sts,aws,aws-sdk-go-v2,GO
blockscout,cargo-stylus-test-examples,cc,rust-lang,cc-rs,RUST
teeeeeo9,basket-swap-stylus,cc,rust-lang,cc-rs,RUST
cryptosmartnow,bitsave_stylus,cc,rust-lang,cc-rs,RUST
offchainlabs,stylus-english-auction,windows_x86_64_gnu,microsoft,windows-rs,RUST
cryptosmartnow,bitsave_stylus,windows_x86_64_gnu,microsoft,windows-rs,RUST
blockscout,cargo-stylus-test-examples,windows_x86_64_gnu,microsoft,windows-rs,RUST
fluidity-money,long.so,github.com/ethereum/go-ethereum,ethereum,go-ethereum,GO
theblokc,arbdevbootcamp-reference,shebang-regex,sindresorhus,shebang-regex,NPM
offchainlabs,stylus-erc721,globalthis,ljharb,system.global,NPM
fluidity-money,long.so,typed-array-byte-offset,inspect-js,typed-array-byte-offset,NPM
offchainlabs,stylus-erc721,pinkie-promise,floatdrop,pinkie-promise,NPM
offchainlabs,stylus-by-example,wasm-bindgen,rustwasm,wasm-bindgen,RUST
solide-project,stylide,wasm-bindgen,rustwasm,wasm-bindgen,RUST
alt-research,nitro-near,github.com/mitchellh/pointerstructure,mitchellh,pointerstructure,GO
offchainlabs,stylus-tutorials,eslint-plugin-react,yannickcr,eslint-plugin-react,NPM
cryptosmartnow,stylus_bitsave,fastrlp,vorot93,fastrlp,RUST
alt-research,nitro-contracts-2.1.0,github.com/lucasb-eyer/go-colorful,lucasb-eyer,go-colorful,GO
teeeeeo9,basket-swap-stylus,ark-ff-asm,arkworks-rs,algebra,RUST
blockscout,cargo-stylus-test-examples,lodash.truncate,lodash,lodash,NPM
offchainlabs,stylus-by-example,@radix-ui/react-use-escape-keydown,radix-ui,primitives,NPM
fracton-ventures,nitro-gacha,inflector,whatisinternet,inflector,RUST
solide-project,stylide,jszip,stuk,jszip,NPM
offchainlabs,stylus-erc20,acorn-jsx,acornjs,acorn-jsx,NPM
blockscout,cargo-stylus-test-examples,is-unicode-supported,sindresorhus,is-unicode-supported,NPM
teeeeeo9,basket-swap-stylus,fnv,servo,rust-fnv,RUST
fracton-ventures,nitro-gacha,fnv,servo,rust-fnv,RUST
fluidity-money,long.so,@types/react-copy-to-clipboard,definitelytyped,definitelytyped,NPM
offchainlabs,stylus-erc721,buffer-to-arraybuffer,miguelmota,buffer-to-arraybuffer,NPM
offchainlabs,stylus-erc20,multihashes,multiformats,js-multihash,NPM
offchainlabs,stylus-erc721,strip-ansi,chalk,strip-ansi,NPM
alt-research,nitro-near,arbitrary,rust-fuzz,arbitrary,RUST
alt-research,nitro-contracts-2.1.0,nom-leb128,milkey-mouse,nom-leb128,RUST
offchainlabs,stylus-hello-world,zstd-sys,gyscos,zstd-rs,RUST
theblokc,arbdevbootcamp-reference,zstd-sys,gyscos,zstd-rs,RUST
seabrick,seabrick-contracts,zstd-sys,gyscos,zstd-rs,RUST
fluidity-money,long.so,css-loader,webpack-contrib,css-loader,NPM
offchainlabs,stylus-chess,keccak,rustcrypto,sponges,RUST
offchainlabs,stylus-tutorials,object.values,es-shims,object.values,NPM
fluidity-money,long.so,@radix-ui/react-context,radix-ui,primitives,NPM
offchainlabs,stylus-erc721,@openzeppelin/upgrade-safe-transpiler,openzeppelin,openzeppelin-transpiler,NPM
offchainlabs,stylus-erc721,cookie,jshttp,cookie,NPM
alt-research,nitro-contracts-2.1.0,github.com/shopify/toxiproxy,shopify,toxiproxy,GO
offchainlabs,stylus-by-example,has-flag,sindresorhus,has-flag,NPM
theblokc,arbdevbootcamp-reference,bech32,bitcoinjs,bech32,NPM
theblokc,arbdevbootcamp-reference,@swc/counter,swc-project,pkgs,NPM
offchainlabs,nitro,itoa,dtolnay,itoa,RUST
offchainlabs,stylus-english-auction,itoa,dtolnay,itoa,RUST
offchainlabs,stylus-vending-machine,itoa,dtolnay,itoa,RUST
offchainlabs,stylus-erc721,sha3,rustcrypto,hashes,RUST
fluidity-money,long.so,sha3,rustcrypto,hashes,RUST
cryptosmartnow,bs_arbitrum_main,futures-util,rust-lang,futures-rs,RUST
fluidity-money,long.so,@graphql-codegen/typescript-operations,dotansimha,graphql-code-generator,NPM
offchainlabs,stylus-erc20,serde_derive,serde-rs,serde,RUST
alt-research,nitro-near,serde_derive,serde-rs,serde,RUST
fluidity-money,long.so,domelementtype,fb55,domelementtype,NPM
offchainlabs,stylus-erc721,extend,justmoon,node-extend,NPM
fluidity-money,long.so,@svgr/babel-plugin-replace-jsx-attribute-value,gregberge,svgr,NPM
fluidity-money,long.so,postcss-import,postcss,postcss-import,NPM
offchainlabs,stylus-erc20-oz,hyper-tls,hyperium,hyper-tls,RUST
fluidity-money,long.so,@jest/environment,jestjs,jest,NPM
alt-research,nitro,heck,withoutboats,heck,RUST
fracton-ventures,nitro-gacha,heck,withoutboats,heck,RUST
alt-research,nitro-contracts-2.1.0,github.com/prometheus/procfs,prometheus,procfs,GO
offchainlabs,stylus-hello-world,wasm-bindgen-futures,rustwasm,wasm-bindgen,RUST
cryptosmartnow,stylus_bitsave,wasm-bindgen-futures,rustwasm,wasm-bindgen,RUST
alt-research,nitro-near,nom,rust-bakery,nom,RUST
offchainlabs,stylus-erc20,upper-case-first,blakeembrey,change-case,NPM
teeeeeo9,basket-swap-stylus,ripemd,rustcrypto,hashes,RUST
offchainlabs,stylus-chess,ripemd,rustcrypto,hashes,RUST
solide-project,stylide,coins-bip39,summa-tx,coins,RUST
fracton-ventures,nitro-gacha,coins-bip39,summa-tx,coins,RUST
fluidity-money,long.so,lit-element,lit,lit,NPM
theblokc,arbdevbootcamp-reference,inflight,isaacs,inflight,NPM
offchainlabs,stylus-erc721,wrappy,npm,wrappy,NPM
alt-research,nitro-contracts-2.1.0,deranged,jhpratt,deranged,RUST
offchainlabs,nitro,iana-time-zone,strawlab,iana-time-zone,RUST
theblokc,arbdevbootcamp-reference,@adraffy/ens-normalize,adraffy,ens-normalize.js,NPM
offchainlabs,stylus-erc721,bytes,tokio-rs,bytes,RUST
alt-research,nitro-near,github.com/gballet/go-libpcsclite,gballet,go-libpcsclite,GO
offchainlabs,stylus-erc721,path-parse,jbgutierrez,path-parse,NPM
offchainlabs,stylus-erc20,is-path-inside,sindresorhus,is-path-inside,NPM
offchainlabs,stylus-erc20,css-select,fb55,css-select,NPM
theblokc,arbdevbootcamp-reference,define-properties,ljharb,define-properties,NPM
offchainlabs,stylus-erc20,define-properties,ljharb,define-properties,NPM
fluidity-money,long.so,word-wrap,jonschlinkert,word-wrap,NPM
offchainlabs,stylus-quickstart-vending-machine,uint,paritytech,parity-common,RUST
alt-research,nitro-near,uint,paritytech,parity-common,RUST
offchainlabs,stylus-quickstart-vending-machine,sha2,rustcrypto,hashes,RUST
cryptosmartnow,bitsave_stylus,sha2,rustcrypto,hashes,RUST
theblokc,arbdevbootcamp-reference,@ethersproject/base64,ethers-io,ethers.js,NPM
fluidity-money,long.so,@ethersproject/base64,ethers-io,ethers.js,NPM
fluidity-money,long.so,is-windows,jonschlinkert,is-windows,NPM
offchainlabs,stylus-workshop-rust-solidity,quick-error,tailhook,quick-error,RUST
offchainlabs,nitro,keccak-const,offchainlabs,keccak-const,RUST
offchainlabs,nitro,ethereum,rust-blockchain,ethereum,RUST
fluidity-money,long.so,sonic-boom,pinojs,sonic-boom,NPM
offchainlabs,stylus-by-example,scheduler,facebook,react,NPM
offchainlabs,stylus-tutorials,@humanwhocodes/object-schema,humanwhocodes,object-schema,NPM
solide-project,stylide,inout,rustcrypto,utils,RUST
cryptosmartnow,bitsave_stylus,inout,rustcrypto,utils,RUST
offchainlabs,stylus-erc20-oz,rustls-pemfile,rustls,pemfile,RUST
theblokc,arbdevbootcamp-reference,rlp,ethereumjs,ethereumjs-monorepo,NPM
alt-research,nitro-contracts-2.1.0,github.com/knetic/govaluate,knetic,govaluate,GO
offchainlabs,stylus-erc20,amdefine,jrburke,amdefine,NPM
offchainlabs,stylus-english-auction,thiserror-impl,dtolnay,thiserror,RUST
offchainlabs,stylus-erc20,thiserror-impl,dtolnay,thiserror,RUST
cryptosmartnow,stylus_bitsave,proc-macro2,dtolnay,proc-macro2,RUST
alt-research,nitro,proc-macro2,dtolnay,proc-macro2,RUST
blockscout,cargo-stylus-test-examples,rusty-fork,altsysrq,rusty-fork,RUST
offchainlabs,stylus-quickstart-vending-machine,rusty-fork,altsysrq,rusty-fork,RUST
alt-research,nitro-near,anstyle-query,rust-cli,anstyle,RUST
alt-research,nitro,num-complex,rust-num,num-complex,RUST
offchainlabs,stylus-erc20,@sentry/core,getsentry,sentry-javascript,NPM
blockscout,cargo-stylus-test-examples,@sentry/core,getsentry,sentry-javascript,NPM
offchainlabs,stylus-erc20,@truffle/abi-utils,trufflesuite,truffle,NPM
cryptosmartnow,bitsave_stylus,hmac,rustcrypto,macs,RUST
fluidity-money,long.so,browserslist,browserslist,browserslist,NPM
seabrick,seabrick-contracts,ethers-contract-abigen,gakonst,ethers-rs,RUST
theblokc,arbdevbootcamp-reference,@types/debug,definitelytyped,definitelytyped,NPM
offchainlabs,stylus-erc721,io-ts,gcanti,io-ts,NPM
alt-research,nitro-near,mach2,johntitor,mach2,RUST
offchainlabs,stylus-hello-world,coins-core,summa-tx,coins,RUST
fracton-ventures,nitro-gacha,tokio-util,tokio-rs,tokio,RUST
fluidity-money,long.so,@babel/highlight,babel,babel,NPM
theblokc,arbdevbootcamp-reference,@babel/highlight,babel,babel,NPM
fluidity-money,long.so,@types/d3-interpolate,definitelytyped,definitelytyped,NPM
offchainlabs,stylus-erc721,create-hmac,crypto-browserify,createhmac,NPM
offchainlabs,stylus-workshop-rust-solidity,zeroize_derive,rustcrypto,utils,RUST
fluidity-money,long.so,@opentelemetry/instrumentation-pg,open-telemetry,opentelemetry-js-contrib,NPM
alt-research,nitro-near,github.com/mitchellh/reflectwalk,mitchellh,reflectwalk,GO
fluidity-money,long.so,globby,sindresorhus,globby,NPM
offchainlabs,stylus-workshop-basic-nft,ppv-lite86,cryptocorrosion,cryptocorrosion,RUST
offchainlabs,stylus-workshop-counter,ppv-lite86,cryptocorrosion,cryptocorrosion,RUST
fluidity-money,long.so,@react-native/codegen,facebook,react-native,NPM
fluidity-money,long.so,babel-plugin-polyfill-corejs3,babel,babel-polyfills,NPM
theblokc,arbdevbootcamp-reference,safe-array-concat,ljharb,safe-array-concat,NPM
fluidity-money,long.so,js-sha3,emn178,js-sha3,NPM
seabrick,seabrick-contracts,lalrpop-util,lalrpop,lalrpop,RUST
cryptosmartnow,bitsave_stylus,lalrpop-util,lalrpop,lalrpop,RUST
offchainlabs,stylus-by-example,lalrpop-util,lalrpop,lalrpop,RUST
cryptosmartnow,bitsave_stylus,regex,rust-lang,regex,RUST
offchainlabs,stylus-workshop-counter,regex,rust-lang,regex,RUST
cryptosmartnow,bs_arbitrum_main,slab,tokio-rs,slab,RUST
alt-research,nitro,github.com/aws/aws-sdk-go-v2/feature/s3/manager,aws,aws-sdk-go-v2,GO
fracton-ventures,nitro-gacha,ethers-solc,gakonst,ethers-rs,RUST
lit-protocol,lit-precompiles,typescript,microsoft,typescript,NPM
offchainlabs,stylus-chess,wasm-bindgen-backend,rustwasm,wasm-bindgen,RUST
offchainlabs,stylus-chess,reqwest,seanmonstar,reqwest,RUST
offchainlabs,stylus-erc20,@changesets/assemble-release-plan,changesets,changesets,NPM
offchainlabs,stylus-hello-world,itertools,rust-itertools,itertools,RUST
theblokc,arbdevbootcamp-reference,itertools,rust-itertools,itertools,RUST
offchainlabs,stylus-workshop-rust-solidity,elliptic-curve,rustcrypto,traits,RUST
seabrick,seabrick-contracts,pkg-config,rust-lang,pkg-config-rs,RUST
cryptosmartnow,bitsave_stylus,pkg-config,rust-lang,pkg-config-rs,RUST
offchainlabs,stylus-workshop-rust-solidity,primitive-types,paritytech,parity-common,RUST
offchainlabs,stylus-erc20,primitive-types,paritytech,parity-common,RUST
fluidity-money,long.so,stackframe,stacktracejs,stackframe,NPM
fluidity-money,long.so,@next/env,vercel,next.js,NPM
alt-research,nitro-contracts-2.1.0,js-sys,rustwasm,wasm-bindgen,RUST
fracton-ventures,nitro-gacha,js-sys,rustwasm,wasm-bindgen,RUST
fluidity-money,long.so,possible-typed-array-names,ljharb,possible-typed-array-names,NPM
cryptosmartnow,stylus_bitsave,ws_stream_wasm,najamelan,ws_stream_wasm,RUST
dsrvlabs,arbiturm-stylus-solidity-compare,ws_stream_wasm,najamelan,ws_stream_wasm,RUST
seabrick,seabrick-contracts,ws_stream_wasm,najamelan,ws_stream_wasm,RUST
fluidity-money,long.so,@types/ws,definitelytyped,definitelytyped,NPM
offchainlabs,stylus-quickstart-vending-machine,fastrand,smol-rs,fastrand,RUST
fluidity-money,long.so,@graphql-tools/prisma-loader,ardatan,graphql-tools,NPM
cryptosmartnow,bs_arbitrum_main,futures-io,rust-lang,futures-rs,RUST
offchainlabs,stylus-tutorials,optionator,gkz,optionator,NPM
alt-research,nitro-contracts-2.1.0,indexmap,indexmap-rs,indexmap,RUST
offchainlabs,stylus-by-example,indexmap,indexmap-rs,indexmap,RUST
alt-research,nitro-near,ansi_term,ogham,rust-ansi-term,RUST
offchainlabs,stylus-by-example,estraverse,estools,estraverse,NPM
fluidity-money,long.so,@bcoe/v8-coverage,bcoe,v8-coverage,NPM
cryptosmartnow,bitsave_stylus,time-core,time-rs,time,RUST
fracton-ventures,nitro-gacha,time-core,time-rs,time,RUST
dsrvlabs,arbiturm-stylus-solidity-compare,time-core,time-rs,time,RUST
offchainlabs,stylus-erc721,es6-iterator,medikoo,es6-iterator,NPM
fluidity-money,long.so,cli-width,knownasilya,cli-width,NPM
teeeeeo9,basket-swap-stylus,petgraph,petgraph,petgraph,RUST
offchainlabs,stylus-by-example,pkg-types,unjs,pkg-types,NPM
blockscout,cargo-stylus-test-examples,hash.js,indutny,hash.js,NPM
blockscout,cargo-stylus-test-examples,ripemd160,crypto-browserify,ripemd160,NPM
fluidity-money,long.so,ejs,mde,ejs,NPM
offchainlabs,stylus-erc721,web3-core-method,ethereum,web3.js,NPM
offchainlabs,stylus-erc721,keccak,cryptocoinjs,keccak,NPM
offchainlabs,stylus-erc721,content-hash,pldespaigne,content-hash,NPM
theblokc,arbdevbootcamp-reference,locate-path,sindresorhus,locate-path,NPM
offchainlabs,stylus-erc721,locate-path,sindresorhus,locate-path,NPM
fluidity-money,long.so,once,isaacs,once,NPM
fluidity-money,long.so,slice-ansi,chalk,slice-ansi,NPM
seabrick,seabrick-contracts,string_cache,servo,string-cache,RUST
theblokc,arbdevbootcamp-reference,string_cache,servo,string-cache,RUST
offchainlabs,stylus-erc20,pify,sindresorhus,pify,NPM
offchainlabs,stylus-hello-world,winapi-x86_64-pc-windows-gnu,retep998,winapi-rs,RUST
offchainlabs,stylus-erc721,js-yaml,nodeca,js-yaml,NPM
offchainlabs,stylus-erc721,indent-string,sindresorhus,indent-string,NPM
seabrick,seabrick-contracts,camino,camino-rs,camino,RUST
alt-research,nitro-contracts-2.1.0,github.com/gdamore/encoding,gdamore,encoding,GO
theblokc,arbdevbootcamp-reference,styled-jsx,vercel,styled-jsx,NPM
offchainlabs,stylus-erc721,fast-json-stable-stringify,epoberezkin,fast-json-stable-stringify,NPM
offchainlabs,stylus-vending-machine,jsonwebtoken,keats,jsonwebtoken,RUST
teeeeeo9,basket-swap-stylus,hashbrown,rust-lang,hashbrown,RUST
offchainlabs,stylus-chess,hashbrown,rust-lang,hashbrown,RUST
theblokc,arbdevbootcamp-reference,hashbrown,rust-lang,hashbrown,RUST
offchainlabs,stylus-quickstart-vending-machine,wyz,myrrlyn,wyz,RUST
offchainlabs,stylus-hello-world,wyz,myrrlyn,wyz,RUST
offchainlabs,stylus-erc721,eslint-visitor-keys,eslint,js,NPM
theblokc,arbdevbootcamp-reference,@next/swc-darwin-x64,vercel,next.js,NPM
fluidity-money,long.so,jsx-ast-utils,jsx-eslint,jsx-ast-utils,NPM
theblokc,arbdevbootcamp-reference,@swc/core-darwin-x64,swc-project,swc,NPM
offchainlabs,stylus-erc721,on-finished,jshttp,on-finished,NPM
dsrvlabs,arbiturm-stylus-solidity-compare,parity-scale-codec,paritytech,parity-scale-codec,RUST
offchainlabs,stylus-erc20,chai,chaijs,chai,NPM
offchainlabs,stylus-by-example,estree-util-is-identifier-name,syntax-tree,estree-util-is-identifier-name,NPM
offchainlabs,stylus-english-auction,byteorder,burntsushi,byteorder,RUST
alt-research,nitro,darling_macro,teddriggs,darling,RUST
cryptosmartnow,bitsave_stylus,precomputed-hash,emilio,precomputed-hash,RUST
offchainlabs,stylus-by-example,@radix-ui/react-navigation-menu,radix-ui,primitives,NPM
fluidity-money,long.so,asap,kriskowal,asap,NPM
offchainlabs,stylus-erc20,which-typed-array,inspect-js,which-typed-array,NPM
blockscout,cargo-stylus-test-examples,base16ct,rustcrypto,formats,RUST
offchainlabs,stylus-hello-world,base16ct,rustcrypto,formats,RUST
theblokc,arbdevbootcamp-reference,form_urlencoded,servo,rust-url,RUST
seabrick,seabrick-contracts,form_urlencoded,servo,rust-url,RUST
theblokc,arbdevbootcamp-reference,sct,rustls,sct.rs,RUST
offchainlabs,nitro,enumset_derive,lymia,enumset,RUST
alt-research,nitro-contracts-2.1.0,github.com/dustin/go-humanize,dustin,go-humanize,GO
fluidity-money,long.so,escalade,lukeed,escalade,NPM
offchainlabs,stylus-erc20,normalize-url,sindresorhus,normalize-url,NPM
theblokc,arbdevbootcamp-reference,language-tags,mattcg,language-tags,NPM
fluidity-money,long.so,language-tags,mattcg,language-tags,NPM
offchainlabs,stylus-workshop-counter,signature,rustcrypto,traits,RUST
fluidity-money,long.so,signature,rustcrypto,traits,RUST
offchainlabs,stylus-by-example,signature,rustcrypto,traits,RUST
offchainlabs,stylus-quickstart-vending-machine,signature,rustcrypto,traits,RUST
offchainlabs,stylus-erc721,redent,sindresorhus,redent,NPM
offchainlabs,stylus-erc721,chokidar,paulmillr,chokidar,NPM
offchainlabs,stylus-erc721,websocket,worlize,websocket-node,NPM
offchainlabs,stylus-chess,path-slash,rhysd,path-slash,RUST
offchainlabs,stylus-chess,rustls-webpki,rustls,webpki,RUST
offchainlabs,nitro,github.com/jackpal/go-nat-pmp,jackpal,go-nat-pmp,GO
cryptosmartnow,bitsave_stylus,parking_lot,amanieu,parking_lot,RUST
offchainlabs,stylus-by-example,@esbuild/netbsd-x64,evanw,esbuild,NPM
blockscout,cargo-stylus-test-examples,obliterator,yomguithereal,obliterator,NPM
offchainlabs,stylus-erc20,der,rustcrypto,formats,RUST
offchainlabs,stylus-erc721,get-intrinsic,ljharb,get-intrinsic,NPM
offchainlabs,stylus-by-example,bit-set,contain-rs,bit-set,RUST
fluidity-money,long.so,wrap-ansi,chalk,wrap-ansi,NPM
offchainlabs,stylus-quickstart-vending-machine,strum,peternator7,strum,RUST
offchainlabs,stylus-hello-world,strum,peternator7,strum,RUST
offchainlabs,stylus-english-auction,gloo-timers,rustwasm,gloo,RUST
offchainlabs,stylus-erc20,@changesets/cli,changesets,changesets,NPM
offchainlabs,stylus-quickstart-vending-machine,smallvec,servo,rust-smallvec,RUST
