Name,Metric,Date,Value
thirdweb,GITHUB_opened_pull_requests_daily,2024-06-20,16.0
Runtime Verification,GITHUB_opened_pull_requests_daily,2024-06-20,13.0
Walnut,GITHUB_opened_pull_requests_daily,2024-06-20,3.0
Trail of Bits Security Reviews,GITHUB_opened_pull_requests_daily,2024-06-20,14.0
Open Source Observer,GITHUB_merged_pull_requests_daily,2024-06-20,3.0
Runtime Verification,GITHUB_opened_issues_daily,2024-06-20,1.0
Trail of Bits Security Reviews,GITHUB_comments_daily,2024-05-16,9.0
thirdweb,GITHUB_comments_daily,2024-05-16,90.0
Passport XYZ,GITHUB_comments_daily,2024-05-16,2.0
Trail of Bits Security Reviews,GITHUB_stars_daily,2024-05-16,17.0
Syndicate Protocol,GITHUB_commits_daily,2024-05-16,4.0
Pyth Network,GITHUB_commits_daily,2024-05-16,5.0
Syndicate Protocol,GITHUB_repositories_daily,2024-05-16,1.0
thirdweb,GITHUB_repositories_daily,2024-05-16,6.0
Pyth Network,GITHUB_repositories_daily,2024-05-16,6.0
Open Source Observer,GITHUB_contributors_daily,2024-05-16,4.0
Trail of Bits Security Reviews,GITHUB_active_developers_daily,2024-05-16,3.0
Redstone Finance,GITHUB_active_developers_daily,2024-05-16,1.0
Runtime Verification,GITHUB_opened_pull_requests_daily,2024-05-16,12.0
thirdweb,GITHUB_opened_pull_requests_daily,2024-05-16,13.0
Open Source Observer,GITHUB_opened_pull_requests_daily,2024-05-16,5.0
thirdweb,GITHUB_merged_pull_requests_daily,2024-05-16,16.0
Pyth Network,GITHUB_comments_daily,2024-08-21,22.0
Trail of Bits Security Reviews,GITHUB_comments_daily,2024-08-21,4.0
Trail of Bits Security Reviews,GITHUB_stars_daily,2024-08-21,11.0
Redstone Finance,GITHUB_stars_daily,2024-08-21,1.0
Pyth Network,GITHUB_commits_daily,2024-08-21,5.0
Pyth Network,GITHUB_releases_daily,2024-08-21,2.0
Enclave,GITHUB_repositories_daily,2024-08-21,1.0
Redstone Finance,GITHUB_repositories_daily,2024-08-21,3.0
Runtime Verification,GITHUB_repositories_daily,2024-08-21,12.0
thirdweb,GITHUB_contributors_daily,2024-08-21,12.0
Walnut,GITHUB_contributors_daily,2024-08-21,1.0
Redstone Finance,GITHUB_active_developers_daily,2024-08-21,2.0
Open Source Observer,GITHUB_active_developers_daily,2024-08-21,1.0
Trail of Bits Security Reviews,GITHUB_opened_issues_daily,2024-08-21,1.0
Pyth Network,GITHUB_opened_issues_daily,2024-08-21,2.0
Enclave,GITHUB_opened_issues_daily,2024-08-21,1.0
thirdweb,GITHUB_comments_daily,2024-04-12,65.0
Walnut,GITHUB_comments_daily,2024-04-12,1.0
Trail of Bits Security Reviews,GITHUB_comments_daily,2024-04-12,7.0
Pyth Network,GITHUB_comments_daily,2024-04-12,38.0
Trail of Bits Security Reviews,GITHUB_stars_daily,2024-04-12,9.0
thirdweb,GITHUB_commits_daily,2024-04-12,20.0
WakeUp Labs,GITHUB_commits_daily,2024-04-12,1.0
Redstone Finance,GITHUB_repositories_daily,2024-04-12,1.0
WakeUp Labs,GITHUB_contributors_daily,2024-04-12,1.0
Runtime Verification,GITHUB_contributors_daily,2024-04-12,12.0
Runtime Verification,GITHUB_active_developers_daily,2024-04-12,5.0
Pyth Network,GITHUB_active_developers_daily,2024-04-12,6.0
Walnut,GITHUB_opened_pull_requests_daily,2024-04-12,2.0
Debid - Fairblock,GITHUB_opened_pull_requests_daily,2024-04-12,1.0
Pyth Network,GITHUB_merged_pull_requests_daily,2024-04-12,10.0
Open Source Observer,GITHUB_merged_pull_requests_daily,2024-04-12,2.0
Pyth Network,GITHUB_opened_issues_daily,2024-04-12,1.0
Pyth Network,GITHUB_closed_issues_daily,2024-04-12,6.0
Runtime Verification,GITHUB_comments_daily,2024-06-22,2.0
Walnut,GITHUB_comments_daily,2024-06-22,3.0
Open Source Observer,GITHUB_comments_daily,2024-06-22,7.0
Runtime Verification,GITHUB_commits_daily,2024-06-22,1.0
Open Source Observer,GITHUB_commits_daily,2024-06-22,1.0
Redstone Finance,GITHUB_forks_daily,2024-06-22,3.0
Open Source Observer,GITHUB_repositories_daily,2024-06-22,2.0
Walnut,GITHUB_contributors_daily,2024-06-22,1.0
Pyth Network,GITHUB_contributors_daily,2024-06-22,1.0
Open Source Observer,GITHUB_contributors_daily,2024-06-22,4.0
Runtime Verification,GITHUB_active_developers_daily,2024-06-22,1.0
Pyth Network,GITHUB_opened_pull_requests_daily,2024-06-22,1.0
Open Source Observer,GITHUB_merged_pull_requests_daily,2024-06-22,1.0
Walnut,GITHUB_opened_issues_daily,2024-06-22,1.0
Open Source Observer,GITHUB_stars_daily,2024-12-26,1.0
Enclave,GITHUB_stars_daily,2024-12-26,1.0
Open Source Observer,GITHUB_contributors_daily,2024-12-26,1.0
Trail of Bits Security Reviews,GITHUB_contributors_daily,2024-12-26,8.0
Debid - Fairblock,GITHUB_contributors_daily,2024-12-26,1.0
thirdweb,GITHUB_active_developers_daily,2024-12-26,1.0
Pyth Network,GITHUB_opened_issues_daily,2024-12-26,1.0
thirdweb,GITHUB_comments_daily,2024-04-24,41.0
Syndicate Protocol,GITHUB_comments_daily,2024-04-24,2.0
Debid - Fairblock,GITHUB_commits_daily,2024-04-24,4.0
Trail of Bits Security Reviews,GITHUB_commits_daily,2024-04-24,5.0
Runtime Verification,GITHUB_commits_daily,2024-04-24,35.0
Trail of Bits Security Reviews,GITHUB_forks_daily,2024-04-24,1.0
Syndicate Protocol,GITHUB_repositories_daily,2024-04-24,1.0
Runtime Verification,GITHUB_repositories_daily,2024-04-24,7.0
Walnut,GITHUB_contributors_daily,2024-04-24,1.0
Syndicate Protocol,GITHUB_contributors_daily,2024-04-24,2.0
Pyth Network,GITHUB_opened_pull_requests_daily,2024-04-24,11.0
Walnut,GITHUB_merged_pull_requests_daily,2024-04-24,1.0
Open Source Observer,GITHUB_opened_issues_daily,2024-04-24,6.0
Open Source Observer,GITHUB_closed_issues_daily,2024-04-24,5.0
thirdweb,GITHUB_commits_daily,2024-04-28,3.0
thirdweb,GITHUB_forks_daily,2024-04-28,5.0
Open Source Observer,GITHUB_repositories_daily,2024-04-28,3.0
Open Source Observer,GITHUB_contributors_daily,2024-04-28,2.0
Open Source Observer,GITHUB_active_developers_daily,2024-04-28,1.0
Trail of Bits Security Reviews,GITHUB_opened_pull_requests_daily,2024-04-28,5.0
Runtime Verification,GITHUB_opened_pull_requests_daily,2024-04-28,1.0
Open Source Observer,GITHUB_opened_issues_daily,2024-04-28,1.0
thirdweb,GITHUB_closed_issues_daily,2024-04-28,10.0
Passport XYZ,GITHUB_comments_daily,2025-03-11,12.0
thirdweb,GITHUB_stars_daily,2025-03-11,2.0
Pyth Network,GITHUB_stars_daily,2025-03-11,2.0
Passport XYZ,GITHUB_commits_daily,2025-03-11,2.0
9Lives,GITHUB_commits_daily,2025-03-11,5.0
Pyth Network,GITHUB_repositories_daily,2025-03-11,4.0
Remix IDE plugin for Arbitrum Stylus,GITHUB_repositories_daily,2025-03-11,1.0
9Lives,GITHUB_repositories_daily,2025-03-11,1.0
Redstone Finance,GITHUB_repositories_daily,2025-03-11,5.0
CodeTracer,GITHUB_contributors_daily,2025-03-11,1.0
9Lives,GITHUB_contributors_daily,2025-03-11,1.0
Trail of Bits Security Reviews,GITHUB_contributors_daily,2025-03-11,3.0
Trail of Bits Security Reviews,GITHUB_active_developers_daily,2025-03-11,2.0
Open Source Observer,GITHUB_active_developers_daily,2025-03-11,3.0
Redstone Finance,GITHUB_opened_pull_requests_daily,2025-03-11,1.0
thirdweb,GITHUB_opened_pull_requests_daily,2025-03-11,5.0
Pyth Network,GITHUB_merged_pull_requests_daily,2025-03-11,6.0
Pyth Network,GITHUB_stars_daily,2024-07-23,2.0
Pyth Network,GITHUB_commits_daily,2024-07-23,3.0
Runtime Verification,GITHUB_forks_daily,2024-07-23,1.0
Pyth Network,GITHUB_forks_daily,2024-07-23,2.0
thirdweb,GITHUB_repositories_daily,2024-07-23,6.0
Redstone Finance,GITHUB_active_developers_daily,2024-07-23,3.0
Open Source Observer,GITHUB_active_developers_daily,2024-07-23,2.0
Passport XYZ,GITHUB_opened_pull_requests_daily,2024-07-23,6.0
Redstone Finance,GITHUB_merged_pull_requests_daily,2024-07-23,1.0
Trail of Bits Security Reviews,GITHUB_opened_issues_daily,2024-07-23,2.0
Open Source Observer,GITHUB_opened_issues_daily,2024-07-23,2.0
Runtime Verification,GITHUB_closed_issues_daily,2024-07-23,3.0
Open Source Observer,GITHUB_comments_daily,2024-10-17,12.0
Redstone Finance,GITHUB_comments_daily,2024-10-17,2.0
Runtime Verification,GITHUB_commits_daily,2024-10-17,36.0
Debid - Fairblock,GITHUB_commits_daily,2024-10-17,1.0
Pyth Network,GITHUB_commits_daily,2024-10-17,5.0
Redstone Finance,GITHUB_releases_daily,2024-10-17,1.0
Runtime Verification,GITHUB_forks_daily,2024-10-17,1.0
thirdweb,GITHUB_repositories_daily,2024-10-17,6.0
Redstone Finance,GITHUB_repositories_daily,2024-10-17,4.0
Debid - Fairblock,GITHUB_repositories_daily,2024-10-17,1.0
Runtime Verification,GITHUB_repositories_daily,2024-10-17,11.0
Trail of Bits Security Reviews,GITHUB_contributors_daily,2024-10-17,4.0
Redstone Finance,GITHUB_active_developers_daily,2024-10-17,3.0
thirdweb,GITHUB_opened_pull_requests_daily,2024-10-17,16.0
Passport XYZ,GITHUB_opened_pull_requests_daily,2024-10-17,8.0
Trail of Bits Security Reviews,GITHUB_merged_pull_requests_daily,2024-10-17,6.0
Open Source Observer,GITHUB_merged_pull_requests_daily,2024-10-17,12.0
thirdweb,GITHUB_merged_pull_requests_daily,2024-10-17,17.0
Open Source Observer,GITHUB_closed_issues_daily,2024-10-17,2.0
Remix IDE plugin for Arbitrum Stylus,GITHUB_comments_daily,2024-08-14,1.0
Passport XYZ,GITHUB_comments_daily,2024-08-14,2.0
thirdweb,GITHUB_stars_daily,2024-08-14,2.0
Open Source Observer,GITHUB_stars_daily,2024-08-14,1.0
thirdweb,GITHUB_commits_daily,2024-08-14,10.0
Open Source Observer,GITHUB_repositories_daily,2024-08-14,3.0
Runtime Verification,GITHUB_repositories_daily,2024-08-14,11.0
Open Source Observer,GITHUB_contributors_daily,2024-08-14,3.0
Runtime Verification,GITHUB_contributors_daily,2024-08-14,13.0
Passport XYZ,GITHUB_opened_pull_requests_daily,2024-08-14,4.0
thirdweb,GITHUB_closed_issues_daily,2024-08-14,1.0
Open Source Observer,GITHUB_closed_issues_daily,2024-08-14,1.0
Redstone Finance,GITHUB_stars_daily,2024-03-03,2.0
thirdweb,GITHUB_forks_daily,2024-03-03,1.0
Trail of Bits Security Reviews,GITHUB_opened_pull_requests_daily,2024-03-03,2.0
Runtime Verification,GITHUB_comments_daily,2024-06-08,3.0
Pyth Network,GITHUB_comments_daily,2024-06-08,2.0
Runtime Verification,GITHUB_releases_daily,2024-06-08,1.0
thirdweb,GITHUB_repositories_daily,2024-06-08,3.0
Open Source Observer,GITHUB_active_developers_daily,2024-06-08,1.0
thirdweb,GITHUB_active_developers_daily,2024-06-08,6.0
Trail of Bits Security Reviews,GITHUB_opened_pull_requests_daily,2024-06-08,1.0
Trail of Bits Security Reviews,GITHUB_closed_issues_daily,2024-06-08,1.0
Open Source Observer,GITHUB_closed_issues_daily,2024-06-08,1.0
Trail of Bits Security Reviews,GITHUB_stars_daily,2024-01-28,9.0
Trail of Bits Security Reviews,GITHUB_forks_daily,2024-01-28,4.0
thirdweb,GITHUB_forks_daily,2024-01-28,1.0
Open Source Observer,GITHUB_repositories_daily,2024-01-28,2.0
Runtime Verification,GITHUB_repositories_daily,2024-01-28,3.0
thirdweb,GITHUB_contributors_daily,2024-01-28,2.0
Trail of Bits Security Reviews,GITHUB_active_developers_daily,2024-01-28,2.0
thirdweb,GITHUB_merged_pull_requests_daily,2024-01-28,1.0
thirdweb,GITHUB_opened_issues_daily,2024-01-28,1.0
Runtime Verification,GITHUB_stars_daily,2024-12-19,1.0
Passport XYZ,GITHUB_commits_daily,2024-12-19,4.0
thirdweb,GITHUB_repositories_daily,2024-12-19,1.0
Passport XYZ,GITHUB_repositories_daily,2024-12-19,2.0
Passport XYZ,GITHUB_contributors_daily,2024-12-19,4.0
thirdweb,GITHUB_contributors_daily,2024-12-19,9.0
Moving Stylus,GITHUB_contributors_daily,2024-12-19,1.0
Walnut,GITHUB_contributors_daily,2024-12-19,4.0
Runtime Verification,GITHUB_contributors_daily,2024-12-19,7.0
Redstone Finance,GITHUB_active_developers_daily,2024-12-19,1.0
Open Source Observer,GITHUB_active_developers_daily,2024-12-19,3.0
Open Source Observer,GITHUB_opened_pull_requests_daily,2024-12-19,8.0
Enclave,GITHUB_opened_pull_requests_daily,2024-12-19,1.0
Enclave,GITHUB_merged_pull_requests_daily,2024-12-19,1.0
Passport XYZ,GITHUB_opened_issues_daily,2024-12-19,12.0
Passport XYZ,GITHUB_closed_issues_daily,2024-12-19,4.0
Trail of Bits Security Reviews,GITHUB_comments_daily,2024-11-17,1.0
Open Source Observer,GITHUB_comments_daily,2024-11-17,6.0
thirdweb,GITHUB_stars_daily,2024-11-17,2.0
Runtime Verification,GITHUB_stars_daily,2024-11-17,1.0
Trail of Bits Security Reviews,GITHUB_stars_daily,2024-11-17,16.0
Redstone Finance,GITHUB_commits_daily,2024-11-17,1.0
Trail of Bits Security Reviews,GITHUB_forks_daily,2024-11-17,1.0
Redstone Finance,GITHUB_repositories_daily,2024-11-17,1.0
thirdweb,GITHUB_repositories_daily,2024-11-17,2.0
Redstone Finance,GITHUB_contributors_daily,2024-11-17,1.0
Open Source Observer,GITHUB_contributors_daily,2024-11-17,1.0
Runtime Verification,GITHUB_contributors_daily,2024-11-17,2.0
Open Source Observer,GITHUB_opened_pull_requests_daily,2024-11-17,5.0
Trail of Bits Security Reviews,GITHUB_opened_issues_daily,2024-11-17,1.0
Open Source Observer,GITHUB_comments_daily,2024-12-08,3.0
Trail of Bits Security Reviews,GITHUB_stars_daily,2024-12-08,4.0
Passport XYZ,GITHUB_stars_daily,2024-12-08,10.0
thirdweb,GITHUB_stars_daily,2024-12-08,1.0
Ember,GITHUB_commits_daily,2024-12-08,22.0
Passport XYZ,GITHUB_forks_daily,2024-12-08,2.0
thirdweb,GITHUB_repositories_daily,2024-12-08,3.0
thirdweb,GITHUB_contributors_daily,2024-12-08,7.0
Runtime Verification,GITHUB_active_developers_daily,2024-12-08,1.0
Pyth Network,GITHUB_active_developers_daily,2024-12-08,1.0
thirdweb,GITHUB_merged_pull_requests_daily,2024-12-08,6.0
Pyth Network,GITHUB_merged_pull_requests_daily,2024-12-08,1.0
thirdweb,GITHUB_comments_daily,2024-04-08,97.0
Walnut,GITHUB_comments_daily,2024-04-08,4.0
Syndicate Protocol,GITHUB_stars_weekly,2024-04-08,1.0
thirdweb,GITHUB_commits_daily,2024-04-08,21.0
Runtime Verification,GITHUB_releases_weekly,2024-04-08,24.0
thirdweb,GITHUB_releases_daily,2024-04-08,3.0
Runtime Verification,GITHUB_commits_weekly,2024-04-08,147.0
Trail of Bits Security Reviews,GITHUB_comments_weekly,2024-04-08,27.0
Open Source Observer,GITHUB_comments_weekly,2024-04-08,52.0
Trail of Bits Security Reviews,GITHUB_forks_daily,2024-04-08,3.0
Trail of Bits Security Reviews,GITHUB_repositories_weekly,2024-04-08,39.0
Redstone Finance,GITHUB_repositories_weekly,2024-04-08,9.0
Open Source Observer,GITHUB_repositories_daily,2024-04-08,1.0
Walnut,GITHUB_repositories_daily,2024-04-08,3.0
Runtime Verification,GITHUB_contributors_daily,2024-04-08,9.0
thirdweb,GITHUB_contributors_daily,2024-04-08,10.0
Trail of Bits Security Reviews,GITHUB_contributors_daily,2024-04-08,12.0
thirdweb,GITHUB_active_developers_weekly,2024-04-08,15.0
Pyth Network,GITHUB_opened_pull_requests_weekly,2024-04-08,48.0
Syndicate Protocol,GITHUB_opened_pull_requests_weekly,2024-04-08,2.0
Syndicate Protocol,GITHUB_merged_pull_requests_weekly,2024-04-08,1.0
Open Source Observer,GITHUB_merged_pull_requests_daily,2024-04-08,1.0
Trail of Bits Security Reviews,GITHUB_merged_pull_requests_daily,2024-04-08,22.0
Walnut,GITHUB_opened_issues_weekly,2024-04-08,6.0
Trail of Bits Security Reviews,GITHUB_opened_issues_weekly,2024-04-08,5.0
thirdweb,GITHUB_opened_issues_daily,2024-04-08,1.0
Runtime Verification,GITHUB_opened_issues_daily,2024-04-08,2.0
Runtime Verification,GITHUB_closed_issues_weekly,2024-04-08,15.0
Open Source Observer,GITHUB_closed_issues_weekly,2024-04-08,3.0
Runtime Verification,GITHUB_closed_issues_daily,2024-04-08,4.0
Trail of Bits Security Reviews,GITHUB_closed_issues_daily,2024-04-08,2.0
Walnut,GITHUB_closed_issues_daily,2024-04-08,1.0
Trail of Bits Security Reviews,GITHUB_comments_daily,2024-05-18,1.0
Debid - Fairblock,GITHUB_stars_daily,2024-05-18,1.0
Trail of Bits Security Reviews,GITHUB_stars_daily,2024-05-18,15.0
Runtime Verification,GITHUB_releases_daily,2024-05-18,2.0
Pyth Network,GITHUB_repositories_daily,2024-05-18,1.0
Open Source Observer,GITHUB_repositories_daily,2024-05-18,1.0
Runtime Verification,GITHUB_closed_issues_daily,2024-05-18,1.0
Open Source Observer,GITHUB_comments_daily,2025-03-09,9.0
Walnut,GITHUB_comments_daily,2025-03-09,1.0
Runtime Verification,GITHUB_contributors_daily,2025-03-09,1.0
Trail of Bits Security Reviews,GITHUB_active_developers_daily,2025-03-09,1.0
Solang,GITHUB_opened_pull_requests_daily,2025-03-09,1.0
Walnut,GITHUB_opened_issues_daily,2025-03-09,2.0
Walnut,GITHUB_closed_issues_daily,2025-03-09,3.0
Runtime Verification,GITHUB_comments_daily,2024-09-07,3.0
thirdweb,GITHUB_comments_daily,2024-09-07,49.0
Pyth Network,GITHUB_comments_daily,2024-09-07,2.0
Runtime Verification,GITHUB_releases_daily,2024-09-07,2.0
Trail of Bits Security Reviews,GITHUB_repositories_daily,2024-09-07,7.0
Open Source Observer,GITHUB_repositories_daily,2024-09-07,2.0
thirdweb,GITHUB_contributors_daily,2024-09-07,6.0
Runtime Verification,GITHUB_contributors_daily,2024-09-07,2.0
Trail of Bits Security Reviews,GITHUB_contributors_daily,2024-09-07,4.0
Runtime Verification,GITHUB_active_developers_daily,2024-09-07,1.0
Trail of Bits Security Reviews,GITHUB_active_developers_daily,2024-09-07,3.0
thirdweb,GITHUB_opened_pull_requests_daily,2024-09-07,7.0
thirdweb,GITHUB_merged_pull_requests_daily,2024-09-07,7.0
Open Source Observer,GITHUB_comments_daily,2024-12-18,10.0
Trail of Bits Security Reviews,GITHUB_stars_daily,2024-12-18,12.0
Sylow,GITHUB_stars_daily,2024-12-18,1.0
Runtime Verification,GITHUB_stars_daily,2024-12-18,2.0
Trail of Bits Security Reviews,GITHUB_commits_daily,2024-12-18,39.0
Open Source Observer,GITHUB_commits_daily,2024-12-18,9.0
thirdweb,GITHUB_commits_daily,2024-12-18,7.0
Trail of Bits Security Reviews,GITHUB_releases_daily,2024-12-18,2.0
thirdweb,GITHUB_forks_daily,2024-12-18,1.0
Open Source Observer,GITHUB_repositories_daily,2024-12-18,3.0
Redstone Finance,GITHUB_repositories_daily,2024-12-18,2.0
Solang,GITHUB_repositories_daily,2024-12-18,1.0
Passport XYZ,GITHUB_contributors_daily,2024-12-18,3.0
Open Source Observer,GITHUB_active_developers_daily,2024-12-18,3.0
Redstone Finance,GITHUB_active_developers_daily,2024-12-18,2.0
thirdweb,GITHUB_opened_pull_requests_daily,2024-12-18,12.0
Runtime Verification,GITHUB_opened_pull_requests_daily,2024-12-18,3.0
Remix IDE plugin for Arbitrum Stylus,GITHUB_opened_pull_requests_daily,2024-12-18,1.0
Passport XYZ,GITHUB_merged_pull_requests_daily,2024-12-18,6.0
Runtime Verification,GITHUB_merged_pull_requests_daily,2024-12-18,5.0
thirdweb,GITHUB_opened_issues_daily,2024-12-18,3.0
Open Source Observer,GITHUB_opened_issues_daily,2024-12-18,4.0
Trail of Bits Security Reviews,GITHUB_closed_issues_daily,2024-12-18,2.0
Open Source Observer,GITHUB_comments_daily,2024-06-05,100.0
Walnut,GITHUB_comments_daily,2024-06-05,5.0
Trail of Bits Security Reviews,GITHUB_stars_daily,2024-06-05,7.0
Runtime Verification,GITHUB_releases_daily,2024-06-05,12.0
Redstone Finance,GITHUB_forks_daily,2024-06-05,2.0
thirdweb,GITHUB_forks_daily,2024-06-05,2.0
Trail of Bits Security Reviews,GITHUB_repositories_daily,2024-06-05,5.0
Pyth Network,GITHUB_repositories_daily,2024-06-05,4.0
Trail of Bits Security Reviews,GITHUB_contributors_daily,2024-06-05,4.0
thirdweb,GITHUB_contributors_daily,2024-06-05,9.0
Pyth Network,GITHUB_active_developers_daily,2024-06-05,4.0
Runtime Verification,GITHUB_opened_pull_requests_daily,2024-06-05,17.0
thirdweb,GITHUB_opened_pull_requests_daily,2024-06-05,8.0
Open Source Observer,GITHUB_opened_pull_requests_daily,2024-06-05,18.0
Open Source Observer,GITHUB_opened_issues_daily,2024-06-05,1.0
Walnut,GITHUB_opened_issues_daily,2024-06-05,7.0
Trail of Bits Security Reviews,GITHUB_comments_daily,2024-05-08,16.0
Trail of Bits Security Reviews,GITHUB_stars_daily,2024-05-08,12.0
thirdweb,GITHUB_commits_daily,2024-05-08,8.0
Walnut,GITHUB_commits_daily,2024-05-08,2.0
WakeUp Labs,GITHUB_commits_daily,2024-05-08,1.0
Runtime Verification,GITHUB_commits_daily,2024-05-08,20.0
Redstone Finance,GITHUB_commits_daily,2024-05-08,5.0
Open Source Observer,GITHUB_commits_daily,2024-05-08,4.0
Runtime Verification,GITHUB_releases_daily,2024-05-08,8.0
thirdweb,GITHUB_forks_daily,2024-05-08,1.0
Redstone Finance,GITHUB_forks_daily,2024-05-08,1.0
WakeUp Labs,GITHUB_repositories_daily,2024-05-08,1.0
thirdweb,GITHUB_repositories_daily,2024-05-08,4.0
Walnut,GITHUB_active_developers_daily,2024-05-08,1.0
Runtime Verification,GITHUB_active_developers_daily,2024-05-08,1.0
thirdweb,GITHUB_active_developers_daily,2024-05-08,5.0
Trail of Bits Security Reviews,GITHUB_contributors_daily,2024-05-08,7.0
Syndicate Protocol,GITHUB_contributors_daily,2024-05-08,1.0
Redstone Finance,GITHUB_contributors_daily,2024-05-08,2.0
Runtime Verification,GITHUB_contributors_daily,2024-05-08,12.0
Syndicate Protocol,GITHUB_opened_pull_requests_daily,2024-05-08,1.0
Trail of Bits Security Reviews,GITHUB_opened_pull_requests_daily,2024-05-08,3.0
Runtime Verification,GITHUB_merged_pull_requests_daily,2024-05-08,9.0
Open Source Observer,GITHUB_opened_issues_daily,2024-05-08,2.0
thirdweb,GITHUB_opened_issues_daily,2024-05-08,1.0
Walnut,GITHUB_closed_issues_daily,2024-05-08,1.0
Runtime Verification,GITHUB_closed_issues_daily,2024-05-08,2.0
thirdweb,GITHUB_comments_daily,2024-12-25,5.0
Pyth Network,GITHUB_forks_daily,2024-12-25,5.0
thirdweb,GITHUB_forks_daily,2024-12-25,2.0
Runtime Verification,GITHUB_repositories_daily,2024-12-25,1.0
Trail of Bits Security Reviews,GITHUB_repositories_daily,2024-12-25,8.0
Open Source Observer,GITHUB_closed_issues_daily,2024-12-25,1.0
Runtime Verification,GITHUB_comments_daily,2024-03-23,1.0
thirdweb,GITHUB_comments_daily,2024-03-23,7.0
thirdweb,GITHUB_commits_daily,2024-03-23,4.0
thirdweb,GITHUB_forks_daily,2024-03-23,1.0
thirdweb,GITHUB_repositories_daily,2024-03-23,4.0
