Name,Metric,Date,Value
thirdweb,GITHUB_forks_weekly,2024-01-08,10.0
Redstone Finance,GITHUB_forks_weekly,2024-01-08,3.0
thirdweb,GITHUB_comments_daily,2024-01-08,30.0
Runtime Verification,GITHUB_comments_daily,2024-01-08,18.0
Trail of Bits Security Reviews,GITHUB_comments_daily,2024-01-08,3.0
Open Source Observer,GITHUB_comments_daily,2024-01-08,7.0
Trail of Bits Security Reviews,GITHUB_releases_weekly,2024-01-08,3.0
Trail of Bits Security Reviews,GITHUB_stars_weekly,2024-01-08,91.0
Open Source Observer,GITHUB_commits_daily,2024-01-08,1.0
Redstone Finance,GITHUB_commits_daily,2024-01-08,6.0
Runtime Verification,GITHUB_commits_daily,2024-01-08,3.0
Arbos Foundry,GITHUB_commits_weekly,2024-01-08,20.0
thirdweb,GITHUB_commits_weekly,2024-01-08,83.0
Open Source Observer,GITHUB_commits_weekly,2024-01-08,9.0
Pyth Network,GITHUB_comments_weekly,2024-01-08,64.0
Runtime Verification,GITHUB_comments_weekly,2024-01-08,195.0
WakeUp Labs,GITHUB_comments_weekly,2024-01-08,2.0
Runtime Verification,GITHUB_commits_weekly,2024-01-08,90.0
Pyth Network,GITHUB_repositories_weekly,2024-01-08,9.0
thirdweb,GITHUB_forks_daily,2024-01-08,1.0
Pyth Network,GITHUB_forks_daily,2024-01-08,1.0
thirdweb,GITHUB_repositories_daily,2024-01-08,6.0
Pyth Network,GITHUB_repositories_daily,2024-01-08,3.0
Runtime Verification,GITHUB_repositories_daily,2024-01-08,5.0
Runtime Verification,GITHUB_contributors_weekly,2024-01-08,22.0
Debid - Fairblock,GITHUB_contributors_weekly,2024-01-08,12.0
Open Source Observer,GITHUB_active_developers_daily,2024-01-08,1.0
Runtime Verification,GITHUB_active_developers_daily,2024-01-08,2.0
Trail of Bits Security Reviews,GITHUB_contributors_daily,2024-01-08,8.0
Open Source Observer,GITHUB_contributors_daily,2024-01-08,2.0
Open Source Observer,GITHUB_opened_pull_requests_daily,2024-01-08,3.0
Pyth Network,GITHUB_opened_pull_requests_daily,2024-01-08,11.0
Debid - Fairblock,GITHUB_opened_pull_requests_weekly,2024-01-08,8.0
Runtime Verification,GITHUB_opened_pull_requests_weekly,2024-01-08,58.0
thirdweb,GITHUB_merged_pull_requests_daily,2024-01-08,7.0
Trail of Bits Security Reviews,GITHUB_merged_pull_requests_daily,2024-01-08,19.0
Pyth Network,GITHUB_merged_pull_requests_daily,2024-01-08,11.0
Trail of Bits Security Reviews,GITHUB_merged_pull_requests_weekly,2024-01-08,47.0
thirdweb,GITHUB_opened_issues_weekly,2024-01-08,6.0
thirdweb,GITHUB_opened_issues_daily,2024-01-08,2.0
Open Source Observer,GITHUB_closed_issues_daily,2024-01-08,2.0
Open Source Observer,GITHUB_commits_daily,2024-05-25,7.0
thirdweb,GITHUB_forks_daily,2024-05-25,3.0
Walnut,GITHUB_forks_daily,2024-05-25,2.0
Open Source Observer,GITHUB_repositories_daily,2024-05-25,2.0
Pyth Network,GITHUB_repositories_daily,2024-05-25,1.0
Walnut,GITHUB_repositories_daily,2024-05-25,2.0
thirdweb,GITHUB_contributors_daily,2024-05-25,5.0
Redstone Finance,GITHUB_contributors_daily,2024-05-25,1.0
Trail of Bits Security Reviews,GITHUB_merged_pull_requests_daily,2024-05-25,3.0
Runtime Verification,GITHUB_opened_issues_daily,2024-05-25,1.0
Open Source Observer,GITHUB_closed_issues_daily,2024-05-25,1.0
Runtime Verification,GITHUB_comments_daily,2024-06-20,41.0
Runtime Verification,GITHUB_stars_daily,2024-06-20,2.0
Trail of Bits Security Reviews,GITHUB_stars_daily,2024-06-20,14.0
Walnut,GITHUB_stars_daily,2024-06-20,1.0
Pyth Network,GITHUB_commits_daily,2024-06-20,19.0
Open Source Observer,GITHUB_commits_daily,2024-06-20,2.0
Walnut,GITHUB_forks_daily,2024-06-20,6.0
thirdweb,GITHUB_repositories_daily,2024-06-20,2.0
Walnut,GITHUB_repositories_daily,2024-06-20,3.0
Runtime Verification,GITHUB_repositories_daily,2024-06-20,11.0
