"project_id","project_name","event_month","merged_pr_count"
"03d97a66-4ccd-441d-8fcb-9bc3478bb348","Jolocom","2018-01-01 00:00:00+00","16"
"1180bb84-428a-4ec4-9690-541bc711ce12","Help Protect the Internet Archive","2018-01-01 00:00:00+00","55"
"1ce236ae-f08b-40be-ab6c-a44b6c1273a3","Web3j","2018-01-01 00:00:00+00","10"
"217260d7-3adf-4b6b-b77b-f3a60038a81e","The MoonMath Manual to zk-SNARKs","2018-01-01 00:00:00+00","8"
"5e733404-bdb8-416c-b158-386a2230b7fa","CryptoZombies","2018-01-01 00:00:00+00","49"
"5fc70a22-8183-402a-bbc4-6f1bfd34e96d","Nimbus","2018-01-01 00:00:00+00","203"
"71df72f6-a83b-46be-b316-2f9880ecda9d","TypeChain","2018-01-01 00:00:00+00","2"
"7a697c14-9953-4b09-8572-452fbe7e0d1c","Vyper","2018-01-01 00:00:00+00","23"
"b68373a0-48f8-403c-aad1-f124617041cc","IC3","2018-01-01 00:00:00+00","5"
"c6733946-a2ae-48df-ae0d-164717444ef5","Hyperledger Besu","2018-01-01 00:00:00+00","182"
"cc77f651-7f36-464e-bf9c-be5a92a8fff5","OpenZeppelin","2018-01-01 00:00:00+00","42"
"de43bcbb-612a-4ed7-b493-244a7c6483ff","Nethermind","2018-01-01 00:00:00+00","1"
"ea67ed7d-944e-443f-a080-a90f9187134c","Gitcoin","2018-01-01 00:00:00+00","47"
"f1c2ab5c-17f5-4de2-93d6-78daace71591","Teku","2018-01-01 00:00:00+00","29"
"f2f2e6cb-6acc-49c1-8314-8b1876ab8f89","Safe (previously Gnosis Safe)","2018-01-01 00:00:00+00","28"
"f82b1041-550f-4b62-978c-321e52c85a89","Solhint","2018-01-01 00:00:00+00","1"
"ffc69c6c-dbd1-4077-9dc7-1b8be4a7315e","Giveth","2018-01-01 00:00:00+00","11"
"03d97a66-4ccd-441d-8fcb-9bc3478bb348","Jolocom","2018-02-01 00:00:00+00","29"
"1180bb84-428a-4ec4-9690-541bc711ce12","Help Protect the Internet Archive","2018-02-01 00:00:00+00","63"
"1ce236ae-f08b-40be-ab6c-a44b6c1273a3","Web3j","2018-02-01 00:00:00+00","13"
"217260d7-3adf-4b6b-b77b-f3a60038a81e","The MoonMath Manual to zk-SNARKs","2018-02-01 00:00:00+00","10"
"25357c3b-b2da-4b50-aeb5-ef861399f995","Blockscout","2018-02-01 00:00:00+00","3"
"49265f45-467f-4e10-9ef6-8ef7532a9cec","Pocket Network","2018-02-01 00:00:00+00","18"
"5ca7682f-a844-47b9-871a-2de2d51a7c19","ethers.js","2018-02-01 00:00:00+00","2"
"5e733404-bdb8-416c-b158-386a2230b7fa","CryptoZombies","2018-02-01 00:00:00+00","61"
"5fc70a22-8183-402a-bbc4-6f1bfd34e96d","Nimbus","2018-02-01 00:00:00+00","246"
"6d262266-8094-4a33-b924-b762883b09b1","Rigoblock","2018-02-01 00:00:00+00","6"
"6d4eeaaf-ae2d-4d79-8fbd-1d868b5d21ad","beaconcha.in","2018-02-01 00:00:00+00","1"
"71df72f6-a83b-46be-b316-2f9880ecda9d","TypeChain","2018-02-01 00:00:00+00","3"
"78ccf1ea-8b05-4e61-9e64-249b11151742","Somleng - A full-stack cloud communications platform","2018-02-01 00:00:00+00","1"
"7a697c14-9953-4b09-8572-452fbe7e0d1c","Vyper","2018-02-01 00:00:00+00","16"
"b68373a0-48f8-403c-aad1-f124617041cc","IC3","2018-02-01 00:00:00+00","8"
"c6733946-a2ae-48df-ae0d-164717444ef5","Hyperledger Besu","2018-02-01 00:00:00+00","160"
"c737ce22-b45a-40ff-93b4-8e3f62e262bc","DAppNode","2018-02-01 00:00:00+00","1"
"cc77f651-7f36-464e-bf9c-be5a92a8fff5","OpenZeppelin","2018-02-01 00:00:00+00","14"
"de43bcbb-612a-4ed7-b493-244a7c6483ff","Nethermind","2018-02-01 00:00:00+00","3"
"ea67ed7d-944e-443f-a080-a90f9187134c","Gitcoin","2018-02-01 00:00:00+00","22"
"f1c2ab5c-17f5-4de2-93d6-78daace71591","Teku","2018-02-01 00:00:00+00","40"
"f2f2e6cb-6acc-49c1-8314-8b1876ab8f89","Safe (previously Gnosis Safe)","2018-02-01 00:00:00+00","19"
"ffc69c6c-dbd1-4077-9dc7-1b8be4a7315e","Giveth","2018-02-01 00:00:00+00","6"
"03d97a66-4ccd-441d-8fcb-9bc3478bb348","Jolocom","2018-03-01 00:00:00+00","19"
"1180bb84-428a-4ec4-9690-541bc711ce12","Help Protect the Internet Archive","2018-03-01 00:00:00+00","91"
"1ce236ae-f08b-40be-ab6c-a44b6c1273a3","Web3j","2018-03-01 00:00:00+00","9"
"217260d7-3adf-4b6b-b77b-f3a60038a81e","The MoonMath Manual to zk-SNARKs","2018-03-01 00:00:00+00","11"
"25357c3b-b2da-4b50-aeb5-ef861399f995","Blockscout","2018-03-01 00:00:00+00","1"
"49265f45-467f-4e10-9ef6-8ef7532a9cec","Pocket Network","2018-03-01 00:00:00+00","7"
"5ca7682f-a844-47b9-871a-2de2d51a7c19","ethers.js","2018-03-01 00:00:00+00","3"
