Project Name,Category,% of votes received,OP Received,Project Profile
Web3 Data Degens,Education,0.0966,"9,657.05",https://app.optimism.io/retropgf-discovery/0x2Ae8c972fB2E6c00ddED8986E2dc672ED190DA06
Praise,Tooling and utilities,0.0929,"9,286.72",https://app.optimism.io/retropgf-discovery/0xE2d2Ac26Cb9dE9a8BBc6d2698CC40b154fAc920d
RainbowKit Login for WordPress,Tooling and utilities,0.0923,"9,227.83",https://app.optimism.io/retropgf-discovery/0x0F9Bd2a9E0D30f121c525DB5419A07b08Fce8440
Nested,Tooling and utilities,0.0866,"8,663.52",https://app.optimism.io/retropgf-discovery/0x0BE55326919F08Af4D14A42aAfb3B68F95738355
OptiChads,Education,0.0861,"8,606.59",https://app.optimism.io/retropgf-discovery/0x10850762bAc0dc6660630c1EfFe188A7cbFDdc88
Ankr,Infrastructure,0.0860,"8,603.48",https://app.optimism.io/retropgf-discovery/0x5eEeB9F8a2050533BBEd20F87d445Dcf309a5eA7
RareSkills,Education,0.0845,"8,449.31",https://app.optimism.io/retropgf-discovery/0x4879DF2Ba195a69C178133F44E278c0f64797Ca5
LlamaFolio,Tooling and utilities,0.0825,"8,246.43",https://app.optimism.io/retropgf-discovery/0x2cd0ac587Fc0E6FBcF8A47A449971649E7dab835
Pairwise,Tooling and utilities,0.0781,"7,805.18",https://app.optimism.io/retropgf-discovery/0x4d5Dd4d81D773c05cE27AbA03e2f3E346c3F8E54
Fractal Visions,Infrastructure,0.0759,"7,588.94",https://app.optimism.io/retropgf-discovery/0xC4FC57Dedd2463314A3fD2DBadB86B4404C257e5
OP Medicine,Tooling and utilities,0.0720,"7,195.57",https://app.optimism.io/retropgf-discovery/0x8dc640a257DE18857F8d24e1Ae2645F8bBa1E034
L2planet,Education,0.0685,"6,845.28",https://app.optimism.io/retropgf-discovery/0xf23F9C10D1559885dABEE67c59c4554E6152697b
Orbiter Finance,Infrastructure,0.0670,"6,696.53",https://app.optimism.io/retropgf-discovery/0xd923CA098dBBFb0d24677a3150fa3aA97be461b5
DeFi Library,Education,0.0640,"6,403.57",https://app.optimism.io/retropgf-discovery/0x4e3D9399C28c724293dd545225Ec843Ac4c9e953
Blocktrend (區塊勢),Education,0.0636,"6,355.71",https://app.optimism.io/retropgf-discovery/0x36F322fC85B24aB13263CFE9217B28f8E2b38381
Rust-cannon-template,Tooling and utilities,0.0600,"5,995.93",https://app.optimism.io/retropgf-discovery/0xc0017405E287476443Ab1B342B86f2ea92Ef9F73
EthereansOS,Tooling and utilities,0.0599,"5,990.16",https://app.optimism.io/retropgf-discovery/0xdc0090f8aDD5DB06De0897A54e753af143668668
Optimism Prices Contracts,Tooling and utilities,0.0597,"5,973.38",https://app.optimism.io/retropgf-discovery/0x82D54397B88CE80Ea2Df9aD049213ACb47dc2523
Chaineye,Tooling and utilities,0.0568,"5,680.22",https://app.optimism.io/retropgf-discovery/0x112E372bb5EC17c1ea6b1d679EA72aFBD2A94404
jordanmmck,Education,0.0557,"5,566.61",https://app.optimism.io/retropgf-discovery/0x2B1Bfc5dCD4E21CeAA5F512e350b00c585dAE894
Scry,Tooling and utilities,0.0532,"5,324.67",https://app.optimism.io/retropgf-discovery/0x9D31e30003f253563Ff108BC60B16Fdf2c93abb5
OptimismArabia,Education,0.0532,"5,322.68",https://app.optimism.io/retropgf-discovery/0x6e4E55A49a8C8938BD8D8668E18DE95962740Fe1
Esteroids,Tooling and utilities,0.0476,"4,759.80",https://app.optimism.io/retropgf-discovery/0xc967dEdcF086b7FE1eAB492F2EB2b74F1E5947b8
Basic course in crypto literacy,Education,0.0450,"4,503.78",https://app.optimism.io/retropgf-discovery/0xff95a2f9bf8fe8019d1f705B5b1e3cb8a8F223C0
cp0x,Education,0.0438,"4,378.20",https://app.optimism.io/retropgf-discovery/0x6f9BB7e454f5B3eb2310343f0E99269dC2BB8A1d
Bored Town,Education,0.0411,"4,109.12",https://app.optimism.io/retropgf-discovery/0x6fF5723435b7dfC2371B57Fb5cB4c373E5995C78
Quark ID,Tooling and utilities,0.0403,"4,029.06",https://app.optimism.io/retropgf-discovery/0x5A930B098Ed8D58dD4590577af85a8E864A8F6fE
Launchifi,Infrastructure,0.0342,"3,424.26",https://app.optimism.io/retropgf-discovery/0x64249ED5Ef7a004d268A508092851e987482a175
MarcoV (Optimism Dashboards),Education,0.0324,"3,244.13",https://app.optimism.io/retropgf-discovery/0x283266045Ab2aB0793a62CADC21D55f685636Ae0
MetricsDAO,Education,0.0286,"2,859.89",https://app.optimism.io/retropgf-discovery/0x4c6E3610a222E4518cc7ef3d8826Ee8640995c5C
Revolte,Education,0.0280,"2,800.97",https://app.optimism.io/retropgf-discovery/0xAC4DDaf8FBfFba0f1e8c7619720335FD4f03EaCD
Big Sybil'or,Tooling and utilities,0.0280,"2,796.37",https://app.optimism.io/retropgf-discovery/0x8B93910594e2a09c30D7e97883f6d35d8772801d
Odos,Infrastructure,0.0262,"2,619.19",https://app.optimism.io/retropgf-discovery/0xF86BaD4E03D731de4d67B4f3943743f0B4C2084c
RockX,Infrastructure,0.0255,"2,552.76",https://app.optimism.io/retropgf-discovery/0x56262562506967a08Bf60a5aC5a5cEEAc02BECD2
Infinity Wallet & Web3 Browser,Tooling and utilities,0.0251,"2,508.66",https://app.optimism.io/retropgf-discovery/0xb7D6937F3aa9E09817C045b7d5b5Fb5064370671
DexKit,Tooling and utilities,0.0244,"2,436.18",https://app.optimism.io/retropgf-discovery/0x5265Bde27F57E738bE6c1F6AB3544e82cdc92a8f
BwareLabs,Infrastructure,0.0222,"2,217.50",https://app.optimism.io/retropgf-discovery/0xE0D76bDF0Dcf83685dc41570Dd4536649119D304
OAYC,Education,0.0215,"2,148.79",https://app.optimism.io/retropgf-discovery/0x81B7E9d8409B857D70aD14073E785c486945CaF4
OptimismGuru,Education,0.0214,"2,144.20",https://app.optimism.io/retropgf-discovery/0x8E72a24221517E51502f20f387415a06b27A5b51
Perpetuals Dune Abstraction,Tooling and utilities,0.0207,"2,069.04",https://app.optimism.io/retropgf-discovery/0x08290908a251119a1C75bb9C36A7A41e9BF2f1E3
raise_exception (rotate.eth),Tooling and utilities,0.0204,"2,044.08",https://app.optimism.io/retropgf-discovery/0x400aBc3DAE98Ec5aEEF2681b40D4CEd0A5aff934
Optimism Cult Merch,Education,0.0186,"1,862.82",https://app.optimism.io/retropgf-discovery/0x59E6Ca75DFb201BAFF565303CA52A3113DD6F223
Eneagon by zenbit.eth,Tooling and utilities,0.0154,"1,535.52",https://app.optimism.io/retropgf-discovery/0x04cc6b487566B1C821bEa04d7ac0d23CEDe05cC9
Layer2DAO,Education,0.0147,"1,465.75",https://app.optimism.io/retropgf-discovery/0x062a07cBf4848fdA67292A96a5E02C97E402233F
Sugar,Tooling and utilities,0.0110,"1,103.26",https://app.optimism.io/retropgf-discovery/0x892Ff98a46e5bd141E2D12618f4B2Fe6284debac
GiveStation,Tooling and utilities,0.0110,"1,101.52",https://app.optimism.io/retropgf-discovery/0x96Cd3AC1e5c2E4FB021B97dA3a6D57e8e665EDc3
Gov,Tooling and utilities,0.0108,"1,079.78",https://app.optimism.io/retropgf-discovery/0xa30189949cD8F662582b10eB6E353374419EDf67
ERC-5560: Redeemable NFTs,Tooling and utilities,0.0107,"1,072.54",https://app.optimism.io/retropgf-discovery/0x5874D5D530D1f969FD962579c445A0f3A8682D48
Questbook,Tooling and utilities,0.0101,"1,014.56",https://app.optimism.io/retropgf-discovery/0x45755F5e7d3b1cdB1AaF1Fe786c415e47Bed2f43
MUX Protocol,Infrastructure,0.0099,985.61,https://app.optimism.io/retropgf-discovery/0x7b4c5F852AA6b44Bd01F9252C3F93Ae1aa1c63e9
Rigoblock,Tooling and utilities,0.0093,927.59,https://app.optimism.io/retropgf-discovery/0x080f08076e8EAdC66006C3CbFEd28a34918A1fA6
Thumbs Up Finance,Education,0.0072,724.68,https://app.optimism.io/retropgf-discovery/0x4d85e4F760fb58E380f02657AE5Aafb8bd010601
NFTEarth,Tooling and utilities,0.0059,594.26,https://app.optimism.io/retropgf-discovery/0xD131F1BcDd547e067Af447dD3C36C99d6be9FdEB
Ospace,Tooling and utilities,0.0059,594.26,https://app.optimism.io/retropgf-discovery/0x941D8Cd7378432Bc4952bA0Dcc9e120C18C92975
