Project Name,Category,% of votes received,OP Received,Project Profile
EthereumETL,Tooling and utilities,0.3104,"31,044.49",https://app.optimism.io/retropgf-discovery/0x9FD0C742D81B6f08817F3eF11D09Cb4a9f54eE5f
Sourcify,Tooling and utilities,0.3074,"30,743.66",https://app.optimism.io/retropgf-discovery/0xAA6042aa65eb93C6439cDaeBC27B3bd09c5DFe94
Small Brain Games,Education,0.2826,"28,260.70",https://app.optimism.io/retropgf-discovery/0xc152Cc22488f1383E675f5738dF9a4244fB113a5
ChugSplash,Tooling and utilities,0.2797,"27,967.65",https://app.optimism.io/retropgf-discovery/0x4856e043a1F2CAA8aCEfd076328b4981Aca91000
Zapper,Tooling and utilities,0.2779,"27,792.68",https://app.optimism.io/retropgf-discovery/0x7f9D4208D404d86396F856C4f3db0195bB677f17
Jrocki - YouTube & Podcast,Education,0.2761,"27,607.95",https://app.optimism.io/retropgf-discovery/0xFC10A71B1E7974401D840fd15ceBf08Ed7E115Cc
BanklessDAO Projects,Education,0.2757,"27,567.62",https://app.optimism.io/retropgf-discovery/0x958c20A43F5206F186B0195cCB61Acb724b2EE1E
ITU Blockchain,Education,0.2645,"26,447.32",https://app.optimism.io/retropgf-discovery/0xBEC643BD5b7F5e9190617CA4187ef0455950C51C
Token Terminal,Infrastructure,0.2595,"25,954.85",https://app.optimism.io/retropgf-discovery/0xeB67e286faf667A047e435EC90107122b0bC2C01
Layer 2 Landscape,Education,0.2541,"25,407.48",https://app.optimism.io/retropgf-discovery/0x7a48A728d9Fd2d5a55c545c4378E5bA909349E90
H.E.R. DAO LATAM,Education,0.2488,"24,880.58",https://app.optimism.io/retropgf-discovery/0x1F9E7984eDdb135ab6D6f354E229970bB332dCC4
Optimism DAppNode Package,Infrastructure,0.2470,"24,704.11",https://app.optimism.io/retropgf-discovery/0x523d007855B3543797E0d3D462CB44B601274819
Atlantis World,Education,0.2366,"23,656.03",https://app.optimism.io/retropgf-discovery/0x036C545Ae4f68059b4C83f7E3814429d4c73c089
delegation.tools,Tooling and utilities,0.2364,"23,641.12",https://app.optimism.io/retropgf-discovery/0xA47669cBc53985333423e4d3D00188f4049fB695
Ipsilon,Infrastructure,0.2353,"23,531.25",https://app.optimism.io/retropgf-discovery/0xF96Aa4A25fDe246d9dD498B145F52Fab0eAd29f3
Solhint,Tooling and utilities,0.2297,"22,972.70",https://app.optimism.io/retropgf-discovery/0x5fC34D03cFdf145Db5f3c5B5558e39a4164AAa30
