date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Net Transferred
2024-12-01,0.0,0.0,0.0,0.0,0.0012098986244624
2024-12-02,0.0,0.0,0.0,0.0,0.0009271830954703
2024-12-03,0.0,0.0,0.0,0.0,0.0007775816340782
2024-12-04,0.0,0.0,0.0,0.0,0.0009795312365907
2024-12-05,0.0,0.0,0.0,0.0,0.0008706174080763
2024-12-06,0.0,0.0,0.0,0.0,0.0013091521620781
2024-12-07,0.0,0.0,0.0,0.0,0.0009354669715126
2024-12-08,0.0,0.0,0.0,0.0,0.0010412895616727
2024-12-09,0.0,0.0,0.0,0.0,0.0004977810966994
2024-12-10,0.0,0.0,0.0,0.0,0.0005516465327705
2024-12-11,0.0,0.0,0.0,0.0,0.0006417070990134
2024-12-12,0.0,0.0,0.0,0.0,0.0010431408124357
2024-12-13,0.0,0.0,0.0,0.0,0.0008039050191047
2024-12-14,0.0,0.0,0.0,0.0,0.0006188272016339
2024-12-15,0.0,0.0,0.0,0.0,0.0005321646031664
2024-12-16,0.0,0.0,0.0,0.0,0.0005216523690433
2024-12-17,0.0,0.0,0.0,0.0,0.0005952433505776
2024-12-18,0.0,0.0,0.0,0.0,0.0002417889674606
2024-12-19,0.0,0.0,0.0,0.0,0.0005018327056921
2024-12-20,0.0,0.0,0.0,0.0,0.0005800282463722
2024-12-21,0.0,0.0,0.0,0.0,0.0006551819230912
2024-12-22,0.0,0.0,0.0,0.0,0.0005423541118868
2024-12-23,0.0,0.0,0.0,0.0,0.0005174209676854
2024-12-24,0.0,0.0,0.0,0.0,0.0010675241265121
2024-12-25,0.0,0.0,0.0,0.0,0.0008327160440823
2024-12-26,0.0,0.0,0.0,0.0,0.0004507801687599
2024-12-27,0.0,0.0,0.0,0.0,0.0008396816947784
2024-12-28,0.0,0.0,0.0,0.0,0.0006159402887663
2024-12-29,0.0,0.0,0.0,0.0,0.0005947911150447
2024-12-30,0.0,0.0,0.0,0.0,0.0007736923803588
2024-12-31,0.0,0.0,0.0,0.0,0.0005431801045956
2025-01-01,0.0,0.0,0.0,0.0,0.0005712877010893
2025-01-02,0.0,0.0,0.0,0.0,0.0005044264500447
2025-01-03,0.0,0.0,0.0,0.0,0.0004407450137654
2025-01-04,0.0,0.0,0.0,0.0,0.0005966866439729
2025-01-05,0.0,0.0,0.0,0.0,0.0012113715313631
2025-01-06,0.0,0.0,0.0,0.0,0.0010357720114431
2025-01-07,0.0,0.0,0.0,0.0,0.0010774112987952
2025-01-08,0.0,0.0,0.0,0.0,0.0003118895389144
2025-01-09,0.0,0.0,0.0,0.0,0.0004319877403929
2025-01-10,0.0,0.0,0.0,0.0,0.0006112084333712
2025-01-11,0.0,0.0,0.0,0.0,0.0006594691633123
2025-01-12,0.0,0.0,0.0,0.0,0.0006667321102005
2025-01-13,0.0,0.0,0.0,0.0,0.0006422540163617
2025-01-14,0.0,0.0,0.0,0.0,0.0004989490465709
2025-01-15,0.0,0.0,0.0,0.0,0.0005610743496759
2025-01-16,0.0,0.0,0.0,0.0,0.0005880250722931
2025-01-17,0.0,0.0,0.0,0.0,0.0006088256301392
2025-01-18,0.0,0.0,0.0,0.0,0.0004730012754024
2025-01-19,0.0,0.0,0.0,0.0,0.0005453231552552
2025-01-20,0.0,0.0,0.0,0.0,0.0007164510774805
2025-01-21,0.0,0.0,0.0,0.0,0.0008009504779314
2025-01-22,0.0,0.0,0.0,0.0,0.0005558644900797
