,id,recipient,time,name,status,profile_name,profile_url,metadata_name,metadata_website,project_type,category,address_type,address,chain_id,chain,auto_validation,passed_auto_validation
753,0xbfbfb0f5bfac45d08fa306e65a7b232e5adc52a3419cb4f0e11f0cc0c9fdae8f,0x7792927EC34A9C46B47d1d9E883132124Ce9BCa3,1724766685,Lowit,pending,lowit,https://warpcast.com/lowit,Lowit,https://warpcast.com/lowit,Other Application,Art NFTs,mintingWallet,0x1263c01155d73c35c48c32dcab98db8e58563d86,,All Superchain,OK,True
754,0xbfc526b0a381ec8a51dbb915a6b8929773fa7c1466ce21c6ab9db52a0f31f20d,0xbe539c14b877c4Ec3D76Dd3374D9507AAF6F4a3E,1724761883,Lucky Star | 🍀⭐️✨🌈 ,pending,lucky-star,https://warpcast.com/lucky-star,Lucky Star | 🍀⭐️✨🌈 ,https://mirror.xyz/lucky-star.eth,Creator,Other Media NFTs,mintingWallet,0xbe539c14b877c4ec3d76dd3374d9507aaf6f4a3e,,All Superchain,OK,True
755,0xf2eb543edeb4a936f131cbc1a33dc9447aeb66fce4135dc3b4380a3e8c267072,0xA0DEC165d9b4441A46e7022f347C191c4e233587,1724763305,Lunchbreak,pending,bangxen,https://warpcast.com/bangxen,Lunchbreak,https://lunchbreak.com/?ref=azizsarif3,Creator,Meme Community,mintingWallet,0xa0dec165d9b4441a46e7022f347c191c4e233587,,All Superchain,Review - Applied with mintingWallet but is not in an NFT category,False
756,0x867f5f056af16f1f0268a03bea1aa8bf2cd5a06d299c9a49e42f081264cd1d28,0x0000000000000000000000000000000000000000,1724878871,Mabddin,pending,kawz,https://warpcast.com/kawz,Mabddin,Http://Mabddin.co,Other Application,Art NFTs,N/A,,,,Reject - Missing/invalid address,False
757,0x1c4226c7d5999c26666ea684d95e36304d84047e066733a8537d391ba8eb122f,0x0000000000000000000000000000000000000000,1724724583,MACH10,pending,kawz,https://warpcast.com/kawz,MACH10,https://mach10.app,App,Lending,contract,0xda14fdd72345c4d2511357214c5b89a919768e59,8453.0,Base,OK,True
758,0xc83e129b7ac1633c5db559852eeced54661911898360e67a026f9d65a870a9fa,0x7cc02d6f7f112e61c117fa10DEcF4B7C8c93316B,1724724187,Macro Sight,approved,frdysk.eth,https://warpcast.com/frdysk.eth,Macro Sight,https://zora.co/collect/base:0xe228e0273f1c678d901bf8c7c6c6f0ad694a890a,Creator,Other Media NFTs,mintingWallet,0x56c09caf7a77d5d254dae3438bb843a1ffd06aa2,,All Superchain,OK,True
759,0x5828f911afdb9047753a41aea0d97858e0dfddb9d060f58752a472d4efdcbcab,0x7cc02d6f7f112e61c117fa10DEcF4B7C8c93316B,1724724173,Macro Sight,approved,frdysk.eth,https://warpcast.com/frdysk.eth,Macro Sight,https://zora.co/collect/base:0xe228e0273f1c678d901bf8c7c6c6f0ad694a890a,Creator,Other Media NFTs,mintingWallet,0x56c09caf7a77d5d254dae3438bb843a1ffd06aa2,,All Superchain,OK,True
760,0x450b0042d0740ef32d589c76269ead5d308a80dbf925629cb5e5139dd05e1018,0x1223E03041CE5246582489cfba8fF27bea1f999a,1725284139,Maga,pending,notyourboy,https://warpcast.com/notyourboy,Maga,https://charmverse.io,Other Application,DEX,N/A,,,,Reject - Missing/invalid address,False
761,0x8e653f95ec846c3442e5ac0ea556446278abb275239516ba5e0095213f2dee08,0x1471966abfe75cF87Fdad8B76D657EAB8400f0B0,1724762685,Magical Mystical Munnar,pending,sreeranj,https://warpcast.com/sreeranj,Magical Mystical Munnar,https://www.sreeranj.com/,Creator,Art NFTs,mintingWallet,0x1471966abfe75cf87fdad8b76d657eab8400f0b0,,All Superchain,OK,True
762,0x832f864893035ed783f28f5b998d228c08678806e54607639e1823b59c5857f9,0x0000000000000000000000000000000000000000,1725403481,MagicalTux,approved,kawz,https://warpcast.com/kawz,MagicalTux,https://www.magicaltux.site/,Other Application,Meme Community,contract,0x17aabf6838a6303fc6e9c5a227dc1eb6d95c829a,10.0,OP Mainnet,OK,True
