,uuid,category,chain,address,metric_name,metric_value
0,89eb0a1c-36f6-4455-af98-c822064425bb,DEX,BASE,0xdef1c0ded9bec7f1a1670819833240f027b25eff,transactions_90D,1543115
1,89eb0a1c-36f6-4455-af98-c822064425bb,DEX,BASE,0xdef1c0ded9bec7f1a1670819833240f027b25eff,active_addresses_90D,154685
2,89eb0a1c-36f6-4455-af98-c822064425bb,DEX,BASE,0xdef1c0ded9bec7f1a1670819833240f027b25eff,daily_active_addresses_90D,3898
3,89eb0a1c-36f6-4455-af98-c822064425bb,DEX,BASE,0xdef1c0ded9bec7f1a1670819833240f027b25eff,farcaster_users_90D,9828
4,89eb0a1c-36f6-4455-af98-c822064425bb,DEX,BASE,0xdef1c0ded9bec7f1a1670819833240f027b25eff,transactions_180D,2769982
5,89eb0a1c-36f6-4455-af98-c822064425bb,DEX,BASE,0xdef1c0ded9bec7f1a1670819833240f027b25eff,active_addresses_180D,351250
6,89eb0a1c-36f6-4455-af98-c822064425bb,DEX,BASE,0xdef1c0ded9bec7f1a1670819833240f027b25eff,daily_active_addresses_180D,5165
7,89eb0a1c-36f6-4455-af98-c822064425bb,DEX,BASE,0xdef1c0ded9bec7f1a1670819833240f027b25eff,farcaster_users_180D,25332
8,9dbc583f-6672-48cd-9ddc-90d35e1a9474,Donations,BASE,0x0ce9a74dc442b8b7dc4b3edd5833cad8ac52afb9,transactions_90D,10
9,9dbc583f-6672-48cd-9ddc-90d35e1a9474,Donations,BASE,0x0ce9a74dc442b8b7dc4b3edd5833cad8ac52afb9,active_addresses_90D,8
10,9dbc583f-6672-48cd-9ddc-90d35e1a9474,Donations,BASE,0x0ce9a74dc442b8b7dc4b3edd5833cad8ac52afb9,daily_active_addresses_90D,1
11,9dbc583f-6672-48cd-9ddc-90d35e1a9474,Donations,BASE,0x0ce9a74dc442b8b7dc4b3edd5833cad8ac52afb9,farcaster_users_90D,3
12,9dbc583f-6672-48cd-9ddc-90d35e1a9474,Donations,BASE,0x0ce9a74dc442b8b7dc4b3edd5833cad8ac52afb9,transactions_180D,10
13,9dbc583f-6672-48cd-9ddc-90d35e1a9474,Donations,BASE,0x0ce9a74dc442b8b7dc4b3edd5833cad8ac52afb9,active_addresses_180D,8
14,9dbc583f-6672-48cd-9ddc-90d35e1a9474,Donations,BASE,0x0ce9a74dc442b8b7dc4b3edd5833cad8ac52afb9,daily_active_addresses_180D,1
15,9dbc583f-6672-48cd-9ddc-90d35e1a9474,Donations,BASE,0x0ce9a74dc442b8b7dc4b3edd5833cad8ac52afb9,farcaster_users_180D,3
16,bcd66f25-3e2b-4d54-8d15-547363542936,Community & Curation,BASE,0x01e86534f550c62e0908ae5aea0c933a8a0875ec,transactions_90D,17
17,bcd66f25-3e2b-4d54-8d15-547363542936,Community & Curation,BASE,0x01e86534f550c62e0908ae5aea0c933a8a0875ec,active_addresses_90D,1
18,bcd66f25-3e2b-4d54-8d15-547363542936,Community & Curation,BASE,0x01e86534f550c62e0908ae5aea0c933a8a0875ec,daily_active_addresses_90D,1
