chain_id,round_id,round_name,project_name,project_github,payout_address,status,total_donations_count,total_amount_donated_in_usd,unique_donors_count
10,9,Token Engineering QF Grants Round: Spring 2024,"Pairwise: Simplifying Choices, Amplifying Voices",GeneralMagicio,0xd1b8db70ded72db850713b2ce7e1a4ffafad95d1,APPROVED,45,122.63152,45
10,9,Token Engineering QF Grants Round: Spring 2024,Bonding Curve Research Group (BCRG),bonding-curves,0x29567BdBcC92aCF37AC6B56B69180857bB69f7D1,APPROVED,67,357.27332,66
10,9,Token Engineering QF Grants Round: Spring 2024,$EARTH - OSS,earth-coin ,0xd6b97e042d03EdBDc100Eb55fbE43Eb75f2e3036,APPROVED,32,107.82405,32
10,9,Token Engineering QF Grants Round: Spring 2024,1Hive Gardens,1Hive,0x1B8C7f06F537711A7CAf6770051A43B4F3E69A7e,APPROVED,44,146.52032,42
10,9,Token Engineering QF Grants Round: Spring 2024,SymVal,,0x97d25ce39d27fBaFc60C3Bf50f2675C0EED71b5C,APPROVED,25,61.800804,25
10,9,Token Engineering QF Grants Round: Spring 2024,Breadchain Cooperative,BreadchainCoop,0xc2fB4B3EA53E10c88D193E709A81C4dc7aEC902e,APPROVED,60,210.98097,60
10,9,Token Engineering QF Grants Round: Spring 2024,Trusted Seed: A value-driven community advancing Regen Economies,,0xb604cda24cca1838428Be7D40Fcd830451C23a0E,APPROVED,76,280.03983,68
10,9,Token Engineering QF Grants Round: Spring 2024,Turtleshell,turtleshell-xyz,0xD478230AC12b747d9796222B8Ac9989ABEDf5B00,APPROVED,31,242.55363,31
10,9,Token Engineering QF Grants Round: Spring 2024,ProtocolGuard：AI-Driven Exploring Potential Malicious Strategies in PAMMs & SAMMs,,0x2744d3088e3C2c273D3E845FC96C875fbAC0C052,APPROVED,32,110.0884,32
10,9,Token Engineering QF Grants Round: Spring 2024,Metrics Garden Labs,Metrics-Garden-Labs,0xc8C3a753eb4ebea74b724d6509c30e419b6B0f23,APPROVED,73,316.43576,70
10,9,Token Engineering QF Grants Round: Spring 2024,Casually Looped,,0x6b37dA5Ed689C74c57E245A911d6bAd8565188d7,APPROVED,28,65.464325,28
10,9,Token Engineering QF Grants Round: Spring 2024,Armitage,armitage-labs,0xB5E5559C6b85e8e867405bFFf3D15f59693eBE2f,APPROVED,39,125.93256,37
10,9,Token Engineering QF Grants Round: Spring 2024,EVMcrispr,EVMcrispr,0x0035cC37599241D007D0AbA1Fb931C5FA757f7A1,APPROVED,36,150.64047,34
10,9,Token Engineering QF Grants Round: Spring 2024,Commons Stack,commons-stack,0x8110d1D04ac316fdCACe8f24fD60C86b810AB15A,APPROVED,100,350.22495,100
10,9,Token Engineering QF Grants Round: Spring 2024,Token Engineering Dialogues,,0x539Bf564BFA8bBf73a0C5bF130746149986eacA1,APPROVED,48,187.1648,47
10,9,Token Engineering QF Grants Round: Spring 2024,Network of Trust,,0x0922c198e06365936D5b564c84ED1FEC61aFeb45,APPROVED,63,261.31375,60
10,9,Token Engineering QF Grants Round: Spring 2024,Moos Modular Money Framework ,Moos-Garden,0x533fb569aa9f442F7acb4756e4Fb69E4Da9e71A4,APPROVED,35,141.38206,35
10,9,Token Engineering QF Grants Round: Spring 2024,NERD DAO: Decentralized Science and Web3 Innovation,NERDDAO,0x11de816f60cB82Af2c1BEa5AA7507c8cEcE0B3F1,APPROVED,25,60.05118,25
10,9,Token Engineering QF Grants Round: Spring 2024,Index Wallets,optionhq,0x4BD87f86824a1577e705489780376DA5AD309180,APPROVED,32,135.13728,31
10,9,Token Engineering QF Grants Round: Spring 2024,Super DCA: Innovating Decentralized Finance with Time-Weighted Average Market Making,Super-DCA-Tech,0xC07E21c78d6Ad0917cfCBDe8931325C392958892,APPROVED,173,1899.9188,169
10,9,Token Engineering QF Grants Round: Spring 2024,Lived experience-based Weighted Voting Mechanism Design,,0xa1F01E5cC9562ed061B0e3ddDd3e82Ef69A1CebD,APPROVED,30,273.47064,30
10,9,Token Engineering QF Grants Round: Spring 2024,Streaming Quadratic Funding,streaming-funding,0xB3f2b4a0b5F2f99e6B6bfc71D5E18a59B92D5606,APPROVED,62,473.8906,61
10,9,Token Engineering QF Grants Round: Spring 2024,DeFinomics Labs,Definomics-Labs,0xE351625D4E07D185880fdcc3a8FA6E2558d2F470,APPROVED,48,411.31943,47
10,9,Token Engineering QF Grants Round: Spring 2024,Gobying,,0x67abc3840d030cbe6efd3616177089bE52bF9Be0,APPROVED,60,754.4408,57
10,9,Token Engineering QF Grants Round: Spring 2024,HonorCode,HonorCodeDAO,0x97a4abcFC3C99E42fb621Da62153bE5eCDf16677,APPROVED,15,27.02637,15
10,9,Token Engineering QF Grants Round: Spring 2024,Change Code,change-code-io,0x831F4ED6c49557318f06Bfb7Bce8488090cd9eCC,APPROVED,33,541.7757,32
10,9,Token Engineering QF Grants Round: Spring 2024,"C–ATTS, Composite Attestations",c-atts,0xdC81d807F0e1A638DDd5CBF37f1320D86D0dE30C,APPROVED,29,124.49327,29
10,9,Token Engineering QF Grants Round: Spring 2024,Kairos Research,KairosResearch,0x13257e783dc8ded7e227a28edb0428c42d31202e,APPROVED,76,503.62335,73
10,9,Token Engineering QF Grants Round: Spring 2024,The cadCAD Foundation,cadCAD-org,0x5041A1C1DCC760337e99B03DB60FeAF5f6f6c802,APPROVED,86,291.04688,85
10,9,Token Engineering QF Grants Round: Spring 2024,$REGEN Tokenomics DAO,,0x96EDE46D5302E53DE4BA9bD2dea1BA4546410eF7,APPROVED,51,195.05736,49
10,9,Token Engineering QF Grants Round: Spring 2024,Crypto Commons Association,,0xb013701563Fe41358c9308C3020B8DDD71225CB8,APPROVED,50,325.85754,49
10,9,Token Engineering QF Grants Round: Spring 2024,Tokenization for Inflation-Alleviation,,0xE8082fFf7d65EFB95b97a3B42b7e8A0C2D218cC1,APPROVED,15,109.754295,15
42161,26,Web3 Infrastructure,Rantom,rantomdotapp,0x254b42CaCf7290e72e2C84c0337E36E645784Ce1,APPROVED,248,415.38327,246
42161,26,Web3 Infrastructure,eth-wizard: An Ethereum validator installation wizard,stake-house,0xdbB16c68aA373229Db9f37D85087264361691AB9,APPROVED,198,542.4717,193
42161,26,Web3 Infrastructure,beaconcha.in,gobitfly,0x9d4E94dB689Bc471E45b0a18B7BdA36FcCeC9c3b,APPROVED,1099,3522.48,1072
42161,26,Web3 Infrastructure,EthStaker,eth-educators,0xa83a92297B3d80A70cC396bf74424971A9890704,APPROVED,3718,7928.7217,3639
42161,26,Web3 Infrastructure,Proof of Philanthropy: A Verifiable Giving Pledge for the Modern Age,lifespanio,0xb927D6cddc3E545Fc5ed3cB9d2dd9Ac52Addde17,APPROVED,237,555.43494,232
42161,26,Web3 Infrastructure,DefiLlama,DefiLlama,0x08a3c2A819E3de7ACa384c798269B3Ce1CD0e437,APPROVED,6707,28235.666,6541
42161,26,Web3 Infrastructure,Lakat 📜,Lakat-OS,0x458e250303B030B2d2E4f84025B53731415B0124,APPROVED,132,196.8478,125
42161,26,Web3 Infrastructure,NiceNode,NiceNode,0x9cce47E9cF12C6147c9844adBB81fE85880c4df4,APPROVED,241,871.3065,236
42161,26,Web3 Infrastructure,IPC Explorer,cronian-tech,0x59A56819A33B63A6e4331206204c2B4411B54eF6,APPROVED,96,117.68849,95
42161,26,Web3 Infrastructure,Proof of passport,zk-passport,0x46cD811EE975510e51Ba197FD7D83e87be1Dd09d,APPROVED,810,2197.2563,788
42161,26,Web3 Infrastructure,ZKT Network,ZKTLabs,0xBB80eADb6Ccc27484125f92a6ceb16fBDdc23851,APPROVED,1621,2843.589,1588
42161,26,Web3 Infrastructure,Circuitscan,circuitscan,0xa48c718AE6dE6599c5A46Fd6caBff54Def39473a,APPROVED,311,514.9753,304
42161,26,Web3 Infrastructure,quic-go,quic-go,0x713A213708104FC9a9dfA4f9A26A1da288e5e59b,APPROVED,150,648.05206,148
42161,26,Web3 Infrastructure,The Tor Project,torproject,0xe3d34daC159f88Fd2CD38b1380B998000a9C0880,APPROVED,699,2809.7368,681
42161,26,Web3 Infrastructure,FileMarket,Filemarket-xyz,0xB61AF010Af20e22493773157A3D0e5FB35031281,APPROVED,262,378.53888,258
42161,26,Web3 Infrastructure,MiniBridge,DeFiEye,0xE6D7b9Fb31B93E542f57c7B6bfa0a5a48EfC9D0f,APPROVED,4044,8093.2827,3949
42161,26,Web3 Infrastructure,Abundance Protocol,AbundanceProtocol,0xc6FD734790E83820e311211B6d9A682BCa4ac97b,APPROVED,138,277.1834,135
42161,26,Web3 Infrastructure,Ethereum on ARM,EOA-Blockchain-Labs,0x1bCDB2226ee2b023e3886Dd2027c4eE95457699f,APPROVED,337,1334.5039,328
42161,26,Web3 Infrastructure,IDENA,idena-network,0x8917418aBe36E6E788068E96EF5A47d7484C06b1,APPROVED,2339,4249.4077,2282
42161,26,Web3 Infrastructure,Ethereum Staking Guides by CoinCashew,coincashewcom,0xCF83d0c22dd54475cC0C52721B0ef07d9756E8C0,APPROVED,215,801.9604,211
42161,26,Web3 Infrastructure,eth-pkg,eth-pkg,0x1304c00FddAb442B1A6862De159914f20450dbAB,APPROVED,140,247.82605,139
42161,26,Web3 Infrastructure,EIP-7265 Alliance - securing the future of ethereum,ikigai-labs-xyz,0xD478230AC12b747d9796222B8Ac9989ABEDf5B00,APPROVED,135,262.0287,130
42161,26,Web3 Infrastructure,Lodestar,chainsafe,0xc8F9f8C913d6fF031c65e3bF7c7a51Ad1f3a86E5,APPROVED,296,805.1681,288
42161,26,Web3 Infrastructure,Node Crawler - Ethernets.io,angaz,0x1da1A606f1EE536D501a6B731e43e318DbC71368,APPROVED,125,235.22057,123
42161,26,Web3 Infrastructure,ETHPaymaster,AAStarCommunity,0x1A236bA5f90CC02B735eB7a4591937cF9137357A,APPROVED,493,1159.5981,478
42161,26,Web3 Infrastructure,Ethereum Attestation Service (EAS),ethereum-attestation-service,0x532Ff53DCf3740832Dc6D0AdE9084Fa2deDd1269,APPROVED,2167,6007.459,2118
42161,26,Web3 Infrastructure,Epoch Protocol,epochprotocol,0xe223Af979BFf3397Ce02b6741B5D43566B2f3F38,APPROVED,189,326.85403,186
42161,26,Web3 Infrastructure,Ephemery Testnet,ephemery-testnet,0x8d3809951C7F1D18227251B0Cb047735dbf8f8fC,APPROVED,288,494.05792,281
42161,26,Web3 Infrastructure,Candide,candidelabs,0xc52FbF3769056cA421656b9C98b14A453A251a28,APPROVED,333,694.69037,326
42161,26,Web3 Infrastructure,Commons Stack,commons-stack,0x8110d1D04ac316fdCACe8f24fD60C86b810AB15A,APPROVED,268,492.79025,260
42161,26,Web3 Infrastructure,Dappnode,dappnode,0x53390590476dC98860316e4B46Bb9842AF55efc4,APPROVED,2757,7260.028,2690
42161,26,Web3 Infrastructure,AuditDB,auditdbio,0x9069f28B797eCA9D6a75BB3Fad9EC4F2a701Cf49,APPROVED,121,206.99937,119
42161,26,Web3 Infrastructure,Ethscriptions,ethscriptions-protocol,0xC2172a6315c1D7f6855768F843c420EbB36eDa97,APPROVED,9080,51078.76,8881
