,project_slug,quarter,full-time,part-time
0,4everland,2021Q2,0,2
1,4everland,2021Q3,2,4
2,4everland,2021Q4,1,4
3,4everland,2022Q1,0,6
4,4everland,2022Q2,2,4
5,4everland,2022Q3,1,6
6,4everland,2022Q4,2,5
7,4everland,2023Q1,1,5
8,4everland,2023Q2,1,5
9,4everland,2023Q3,1,4
10,4everland,2023Q4,1,9
11,astralprotocol,2020Q3,0,5
12,astralprotocol,2020Q4,0,2
13,astralprotocol,2021Q1,2,2
14,astralprotocol,2021Q2,0,3
15,astralprotocol,2022Q1,0,2
16,astralprotocol,2022Q3,0,1
17,astralprotocol,2022Q4,0,1
18,astralprotocol,2023Q1,0,2
19,astralprotocol,2023Q4,0,1
20,banklessdao,2021Q2,1,11
21,banklessdao,2021Q3,3,14
22,banklessdao,2021Q4,1,26
23,banklessdao,2022Q1,3,18
24,banklessdao,2022Q2,2,11
25,banklessdao,2022Q3,0,10
26,banklessdao,2022Q4,1,11
27,banklessdao,2023Q1,1,12
28,banklessdao,2023Q2,1,14
29,banklessdao,2023Q3,0,14
30,banklessdao,2023Q4,0,13
31,beacon-chain,2019Q4,1,5
32,beacon-chain,2020Q1,2,2
33,beacon-chain,2020Q2,2,8
34,beacon-chain,2020Q3,3,17
35,beacon-chain,2020Q4,5,30
36,beacon-chain,2021Q1,2,17
37,beacon-chain,2021Q2,4,16
38,beacon-chain,2021Q3,2,19
39,beacon-chain,2021Q4,1,12
40,beacon-chain,2022Q1,1,18
41,beacon-chain,2022Q2,1,19
42,beacon-chain,2022Q3,1,40
43,beacon-chain,2022Q4,3,34
44,beacon-chain,2023Q1,6,21
45,beacon-chain,2023Q2,5,29
46,beacon-chain,2023Q3,3,13
47,beacon-chain,2023Q4,4,21
48,blockhead-darryl-yeo,2020Q4,0,1
49,blockhead-darryl-yeo,2021Q2,0,1
50,blockhead-darryl-yeo,2021Q3,0,1
51,blockhead-darryl-yeo,2021Q4,0,2
52,blockhead-darryl-yeo,2022Q2,0,2
53,blockhead-darryl-yeo,2022Q3,0,1
54,blockhead-darryl-yeo,2022Q4,0,1
55,blockhead-darryl-yeo,2023Q1,1,1
56,blockhead-darryl-yeo,2023Q2,0,1
57,blockhead-darryl-yeo,2023Q3,0,1
58,blockhead-darryl-yeo,2023Q4,1,14
59,blockscout,2018Q1,0,3
60,blockscout,2018Q2,2,15
61,blockscout,2018Q3,5,23
62,blockscout,2018Q4,6,26
63,blockscout,2019Q1,4,29
64,blockscout,2019Q2,6,26
65,blockscout,2019Q3,6,18
66,blockscout,2019Q4,3,20
67,blockscout,2020Q1,1,15
68,blockscout,2020Q2,2,19
69,blockscout,2020Q3,2,20
70,blockscout,2020Q4,2,29
71,blockscout,2021Q1,1,44
72,blockscout,2021Q2,2,186
73,blockscout,2021Q3,3,54
74,blockscout,2021Q4,2,69
75,blockscout,2022Q1,2,67
76,blockscout,2022Q2,5,52
77,blockscout,2022Q3,6,68
78,blockscout,2022Q4,5,54
79,blockscout,2023Q1,6,71
80,blockscout,2023Q2,6,93
81,blockscout,2023Q3,7,105
82,blockscout,2023Q4,8,58
83,bloomnetwork,2020Q4,0,1
84,bloomnetwork,2023Q2,0,1
85,bloomnetwork,2023Q3,0,1
86,brightid,2017Q4,1,2
87,brightid,2018Q1,1,1
88,brightid,2018Q2,1,4
89,brightid,2018Q3,1,3
90,brightid,2018Q4,2,3
91,brightid,2019Q1,0,5
92,brightid,2019Q2,0,4
93,brightid,2019Q3,0,3
94,brightid,2019Q4,2,4
95,brightid,2020Q1,2,5
96,brightid,2020Q2,3,7
97,brightid,2020Q3,5,7
98,brightid,2020Q4,3,7
99,brightid,2021Q1,3,8
100,brightid,2021Q2,1,8
101,brightid,2021Q3,0,26
102,brightid,2021Q4,2,8
103,brightid,2022Q1,2,11
104,brightid,2022Q2,2,6
105,brightid,2022Q3,0,9
106,brightid,2022Q4,1,10
107,brightid,2023Q1,0,6
108,brightid,2023Q2,0,3
109,brightid,2023Q3,0,6
110,brightid,2023Q4,0,3
111,buidlguidl,2018Q3,0,1
112,buidlguidl,2020Q2,1,7
113,buidlguidl,2020Q3,2,9
114,buidlguidl,2020Q4,0,8
115,buidlguidl,2021Q1,1,23
116,buidlguidl,2021Q2,1,20
117,buidlguidl,2021Q3,5,49
118,buidlguidl,2021Q4,4,44
119,buidlguidl,2022Q1,4,54
120,buidlguidl,2022Q2,2,49
121,buidlguidl,2022Q3,3,100
122,buidlguidl,2022Q4,3,46
