,project_slug,quarter,full-time,part-time
123,buidlguidl,2023Q1,4,32
124,buidlguidl,2023Q2,3,32
125,buidlguidl,2023Q3,6,40
126,buidlguidl,2023Q4,6,39
127,clrfund,2020Q1,0,2
128,clrfund,2020Q2,1,6
129,clrfund,2020Q3,1,4
130,clrfund,2020Q4,1,3
131,clrfund,2021Q1,1,5
132,clrfund,2021Q2,1,6
133,clrfund,2021Q3,0,5
134,clrfund,2021Q4,0,6
135,clrfund,2022Q1,0,5
136,clrfund,2022Q2,2,5
137,clrfund,2022Q3,1,4
138,clrfund,2022Q4,1,4
139,clrfund,2023Q1,1,3
140,clrfund,2023Q2,1,3
141,clrfund,2023Q3,0,3
142,clrfund,2023Q4,0,1
143,commons-stack,2019Q1,0,1
144,commons-stack,2019Q2,1,9
145,commons-stack,2019Q3,0,7
146,commons-stack,2019Q4,0,9
147,commons-stack,2020Q1,0,8
148,commons-stack,2020Q2,0,8
149,commons-stack,2020Q3,2,11
150,commons-stack,2020Q4,2,22
151,commons-stack,2021Q1,8,18
152,commons-stack,2021Q2,2,13
153,commons-stack,2021Q3,0,14
154,commons-stack,2021Q4,1,11
155,commons-stack,2022Q1,1,11
156,commons-stack,2022Q2,2,10
157,commons-stack,2022Q3,0,8
158,commons-stack,2022Q4,0,8
159,commons-stack,2023Q1,0,3
160,commons-stack,2023Q2,0,1
161,commons-stack,2023Q3,0,2
162,commons-stack,2023Q4,1,5
163,crypto-fees-dmihal,2020Q3,0,1
164,crypto-fees-dmihal,2020Q4,0,3
165,crypto-fees-dmihal,2021Q1,0,7
166,crypto-fees-dmihal,2021Q2,1,6
167,crypto-fees-dmihal,2021Q3,0,8
168,crypto-fees-dmihal,2021Q4,0,2
169,crypto-fees-dmihal,2022Q1,0,1
170,crypto-fees-dmihal,2022Q2,0,1
171,crypto-fees-dmihal,2022Q3,0,3
172,crypto-fees-dmihal,2022Q4,0,2
173,crypto-fees-dmihal,2023Q1,0,1
174,dapp-learning-dao,2021Q2,0,6
175,dapp-learning-dao,2021Q3,4,47
176,dapp-learning-dao,2021Q4,5,38
177,dapp-learning-dao,2022Q1,3,22
178,dapp-learning-dao,2022Q2,5,20
179,dapp-learning-dao,2022Q3,0,13
180,dapp-learning-dao,2022Q4,0,12
181,dapp-learning-dao,2023Q1,0,12
182,dapp-learning-dao,2023Q2,0,10
183,dapp-learning-dao,2023Q3,0,7
184,dapp-learning-dao,2023Q4,1,7
185,dappnode,2018Q1,1,3
186,dappnode,2018Q2,2,7
187,dappnode,2018Q3,2,4
188,dappnode,2018Q4,4,10
189,dappnode,2019Q1,4,6
190,dappnode,2019Q2,3,9
191,dappnode,2019Q3,2,5
192,dappnode,2019Q4,3,6
193,dappnode,2020Q1,1,9
194,dappnode,2020Q2,3,14
195,dappnode,2020Q3,1,13
196,dappnode,2020Q4,3,34
197,dappnode,2021Q1,4,18
198,dappnode,2021Q2,4,10
199,dappnode,2021Q3,3,21
200,dappnode,2021Q4,3,21
201,dappnode,2022Q1,3,24
202,dappnode,2022Q2,2,19
203,dappnode,2022Q3,4,24
204,dappnode,2022Q4,4,24
205,dappnode,2023Q1,4,19
206,dappnode,2023Q2,6,29
207,dappnode,2023Q3,4,24
208,dappnode,2023Q4,3,21
209,dataverse-os,2023Q1,1,1
210,dataverse-os,2023Q2,1,4
211,dataverse-os,2023Q3,1,3
212,dataverse-os,2023Q4,0,2
213,defi-llama,2020Q4,1,8
214,defi-llama,2021Q1,2,30
215,defi-llama,2021Q2,3,48
216,defi-llama,2021Q3,4,111
217,defi-llama,2021Q4,8,153
218,defi-llama,2022Q1,8,176
219,defi-llama,2022Q2,9,201
220,defi-llama,2022Q3,15,230
221,defi-llama,2022Q4,13,212
222,defi-llama,2023Q1,13,269
223,defi-llama,2023Q2,11,314
224,defi-llama,2023Q3,9,305
225,defi-llama,2023Q4,9,293
226,defieye,2022Q1,0,1
227,defieye,2022Q2,0,2
228,defieye,2022Q3,0,3
229,defieye,2022Q4,0,3
230,defieye,2023Q1,0,2
231,defieye,2023Q2,0,1
232,defieye,2023Q3,0,1
233,defieye,2023Q4,0,2
234,dna-seq,2019Q2,0,1
235,dna-seq,2019Q4,0,1
236,dna-seq,2020Q1,0,1
237,dna-seq,2020Q2,1,0
238,dna-seq,2020Q3,0,1
239,dna-seq,2020Q4,0,1
240,dna-seq,2021Q1,0,2
241,dna-seq,2021Q2,0,2
242,dna-seq,2021Q4,0,3
243,dna-seq,2022Q1,0,3
244,dna-seq,2022Q2,0,4
245,dna-seq,2022Q3,0,6
246,dna-seq,2022Q4,1,4
247,dna-seq,2023Q1,0,4
248,dna-seq,2023Q2,0,4
249,dna-seq,2023Q3,0,2
250,dna-seq,2023Q4,0,2
251,edendao,2021Q2,0,1
252,edendao,2021Q4,0,1
253,edendao,2022Q1,0,1
254,edendao,2022Q2,1,1
255,edendao,2022Q3,1,3
256,edendao,2022Q4,0,1
257,edendao,2023Q1,0,2
258,edendao,2023Q2,0,1
259,edendao,2023Q3,0,1
260,eth-limo,2022Q3,0,1
261,eth-limo,2023Q2,0,1
262,eth-limo,2023Q3,0,1
263,ethers-io,2016Q2,0,1
264,ethers-io,2016Q3,0,3
265,ethers-io,2016Q4,0,3
266,ethers-io,2017Q1,0,4
267,ethers-io,2017Q2,1,7
268,ethers-io,2017Q3,0,6
269,ethers-io,2017Q4,1,17
270,ethers-io,2018Q1,1,25
271,ethers-io,2018Q2,1,25
272,ethers-io,2018Q3,1,25
273,ethers-io,2018Q4,1,30
274,ethers-io,2019Q1,1,36
275,ethers-io,2019Q2,0,25
276,ethers-io,2019Q3,0,23
277,ethers-io,2019Q4,0,28
278,ethers-io,2020Q1,0,28
279,ethers-io,2020Q2,1,43
280,ethers-io,2020Q3,1,42
281,ethers-io,2020Q4,0,48
282,ethers-io,2021Q1,1,49
283,ethers-io,2021Q2,1,52
284,ethers-io,2021Q3,1,52
285,ethers-io,2021Q4,0,55
286,ethers-io,2022Q1,0,59
287,ethers-io,2022Q2,1,46
288,ethers-io,2022Q3,0,54
289,ethers-io,2022Q4,0,42
290,ethers-io,2023Q1,1,73
291,ethers-io,2023Q2,1,53
292,ethers-io,2023Q3,1,53
293,ethers-io,2023Q4,0,38
294,ethhub-io,2018Q3,0,9
295,ethhub-io,2018Q4,4,34
296,ethhub-io,2019Q1,2,21
297,ethhub-io,2019Q2,1,15
298,ethhub-io,2019Q3,0,19
299,ethhub-io,2019Q4,1,12
300,ethhub-io,2020Q1,0,10
301,ethhub-io,2020Q2,0,11
302,ethhub-io,2020Q3,0,10
303,ethhub-io,2020Q4,0,6
304,ethhub-io,2021Q1,0,6
305,ethhub-io,2021Q2,0,4
306,ethhub-io,2021Q3,0,5
307,ethhub-io,2021Q4,0,4
308,ethhub-io,2022Q1,0,4
309,ethhub-io,2022Q2,0,4
310,ethhub-io,2022Q3,0,2
311,ethhub-io,2022Q4,0,3
312,ethhub-io,2023Q1,0,1
313,ethhub-io,2023Q2,0,1
314,ethstaker,2020Q3,1,0
315,ethstaker,2020Q4,1,11
316,ethstaker,2021Q1,1,7
317,ethstaker,2021Q2,1,5
318,ethstaker,2021Q3,0,7
319,ethstaker,2021Q4,1,5
320,ethstaker,2022Q1,1,14
321,ethstaker,2022Q2,1,9
322,ethstaker,2022Q3,2,22
323,ethstaker,2022Q4,2,16
324,ethstaker,2023Q1,1,17
325,ethstaker,2023Q2,1,25
326,ethstaker,2023Q3,2,13
327,ethstaker,2023Q4,1,14
328,fileverse,2022Q1,0,3
329,fileverse,2022Q2,1,3
330,fileverse,2022Q3,0,3
331,fileverse,2022Q4,0,2
332,fileverse,2023Q1,1,4
333,fileverse,2023Q2,0,4
334,fileverse,2023Q3,0,3
335,fileverse,2023Q4,1,5
336,frame-floating,2018Q1,0,7
337,frame-floating,2018Q2,1,2
338,frame-floating,2018Q3,1,2
339,frame-floating,2018Q4,0,2
340,frame-floating,2019Q1,0,6
341,frame-floating,2019Q2,0,5
342,frame-floating,2019Q3,1,8
343,frame-floating,2019Q4,1,11
344,frame-floating,2020Q1,0,4
345,frame-floating,2020Q2,0,4
346,frame-floating,2020Q3,0,5
347,frame-floating,2020Q4,0,5
348,frame-floating,2021Q1,0,4
349,frame-floating,2021Q2,1,4
350,frame-floating,2021Q3,2,10
351,frame-floating,2021Q4,2,9
352,frame-floating,2022Q1,2,8
353,frame-floating,2022Q2,2,14
354,frame-floating,2022Q3,3,12
355,frame-floating,2022Q4,4,8
356,frame-floating,2023Q1,3,8
357,frame-floating,2023Q2,1,12
358,frame-floating,2023Q3,1,12
359,frame-floating,2023Q4,0,6
360,freedom-of-the-press-foundation,2015Q1,3,8
361,freedom-of-the-press-foundation,2015Q2,2,8
362,freedom-of-the-press-foundation,2015Q3,2,10
363,freedom-of-the-press-foundation,2015Q4,2,17
364,freedom-of-the-press-foundation,2016Q1,1,9
365,freedom-of-the-press-foundation,2016Q2,3,9
366,freedom-of-the-press-foundation,2016Q3,2,11
367,freedom-of-the-press-foundation,2016Q4,3,11
368,freedom-of-the-press-foundation,2017Q1,3,17
369,freedom-of-the-press-foundation,2017Q2,6,8
370,freedom-of-the-press-foundation,2017Q3,5,15
371,freedom-of-the-press-foundation,2017Q4,6,23
372,freedom-of-the-press-foundation,2018Q1,7,22
373,freedom-of-the-press-foundation,2018Q2,7,24
374,freedom-of-the-press-foundation,2018Q3,5,21
375,freedom-of-the-press-foundation,2018Q4,7,19
376,freedom-of-the-press-foundation,2019Q1,9,17
377,freedom-of-the-press-foundation,2019Q2,7,23
378,freedom-of-the-press-foundation,2019Q3,9,14
379,freedom-of-the-press-foundation,2019Q4,8,15
380,freedom-of-the-press-foundation,2020Q1,10,30
381,freedom-of-the-press-foundation,2020Q2,8,17
382,freedom-of-the-press-foundation,2020Q3,10,19
383,freedom-of-the-press-foundation,2020Q4,10,27
384,freedom-of-the-press-foundation,2021Q1,9,18
385,freedom-of-the-press-foundation,2021Q2,8,19
386,freedom-of-the-press-foundation,2021Q3,9,19
387,freedom-of-the-press-foundation,2021Q4,8,19
388,freedom-of-the-press-foundation,2022Q1,9,19
389,freedom-of-the-press-foundation,2022Q2,8,22
390,freedom-of-the-press-foundation,2022Q3,8,29
391,freedom-of-the-press-foundation,2022Q4,7,31
392,freedom-of-the-press-foundation,2023Q1,8,27
393,freedom-of-the-press-foundation,2023Q2,9,21
394,freedom-of-the-press-foundation,2023Q3,10,18
395,freedom-of-the-press-foundation,2023Q4,10,24
396,gaia-os,2023Q1,0,4
397,gaia-os,2023Q2,0,4
398,gaia-os,2023Q3,0,1
399,gainforest,2017Q4,0,2
400,gainforest,2022Q3,0,1
401,geo-web,2020Q3,0,4
402,geo-web,2020Q4,1,2
403,geo-web,2021Q1,1,2
404,geo-web,2021Q2,3,3
405,geo-web,2021Q3,2,2
406,geo-web,2021Q4,1,2
407,geo-web,2022Q1,2,5
408,geo-web,2022Q2,2,5
409,geo-web,2022Q3,2,6
410,geo-web,2022Q4,3,3
411,geo-web,2023Q1,3,4
412,geo-web,2023Q2,1,3
413,geo-web,2023Q3,1,4
414,geo-web,2023Q4,1,2
415,gitcoin,2017Q3,0,4
416,gitcoin,2017Q4,3,35
417,gitcoin,2018Q1,5,40
418,gitcoin,2018Q2,8,38
419,gitcoin,2018Q3,10,39
420,gitcoin,2018Q4,10,46
421,gitcoin,2019Q1,10,60
422,gitcoin,2019Q2,9,70
423,gitcoin,2019Q3,7,48
424,gitcoin,2019Q4,9,47
425,gitcoin,2020Q1,9,94
426,gitcoin,2020Q2,8,120
427,gitcoin,2020Q3,6,108
428,gitcoin,2020Q4,7,116
429,gitcoin,2021Q1,6,114
430,gitcoin,2021Q2,6,124
431,gitcoin,2021Q3,7,65
432,gitcoin,2021Q4,11,64
433,gitcoin,2022Q1,11,48
434,gitcoin,2022Q2,10,32
435,gitcoin,2022Q3,12,41
436,gitcoin,2022Q4,14,33
437,gitcoin,2023Q1,13,39
438,gitcoin,2023Q2,16,36
439,gitcoin,2023Q3,17,34
440,gitcoin,2023Q4,14,35
441,giveth,2016Q4,1,4
442,giveth,2017Q1,3,4
443,giveth,2017Q2,2,9
444,giveth,2017Q3,2,16
445,giveth,2017Q4,8,20
446,giveth,2018Q1,2,15
447,giveth,2018Q2,3,21
448,giveth,2018Q3,4,17
449,giveth,2018Q4,4,19
450,giveth,2019Q1,3,18
451,giveth,2019Q2,1,18
452,giveth,2019Q3,3,12
453,giveth,2019Q4,2,9
454,giveth,2020Q1,2,7
455,giveth,2020Q2,2,10
456,giveth,2020Q3,3,12
457,giveth,2020Q4,5,14
458,giveth,2021Q1,7,22
459,giveth,2021Q2,10,20
460,giveth,2021Q3,6,15
461,giveth,2021Q4,12,17
462,giveth,2022Q1,11,26
463,giveth,2022Q2,10,32
464,giveth,2022Q3,9,27
465,giveth,2022Q4,10,25
466,giveth,2023Q1,10,17
467,giveth,2023Q2,10,21
468,giveth,2023Q3,10,21
469,giveth,2023Q4,9,21
470,hardhat-nomicfoundation,2018Q2,0,3
471,hardhat-nomicfoundation,2018Q3,0,3
472,hardhat-nomicfoundation,2018Q4,2,3
473,hardhat-nomicfoundation,2019Q1,1,3
474,hardhat-nomicfoundation,2019Q2,1,4
475,hardhat-nomicfoundation,2019Q3,0,4
476,hardhat-nomicfoundation,2019Q4,0,7
477,hardhat-nomicfoundation,2020Q1,1,11
478,hardhat-nomicfoundation,2020Q2,1,25
479,hardhat-nomicfoundation,2020Q3,2,27
480,hardhat-nomicfoundation,2020Q4,3,41
481,hardhat-nomicfoundation,2021Q1,2,50
482,hardhat-nomicfoundation,2021Q2,3,44
483,hardhat-nomicfoundation,2021Q3,3,49
484,hardhat-nomicfoundation,2021Q4,2,62
485,hardhat-nomicfoundation,2022Q1,3,84
486,hardhat-nomicfoundation,2022Q2,3,89
487,hardhat-nomicfoundation,2022Q3,6,73
488,hardhat-nomicfoundation,2022Q4,2,64
489,hardhat-nomicfoundation,2023Q1,2,67
490,hardhat-nomicfoundation,2023Q2,2,53
491,hardhat-nomicfoundation,2023Q3,5,48
492,hardhat-nomicfoundation,2023Q4,3,40
493,idena-network,2019Q2,3,5
494,idena-network,2019Q3,5,3
495,idena-network,2019Q4,5,5
496,idena-network,2020Q1,4,21
497,idena-network,2020Q2,3,28
498,idena-network,2020Q3,1,27
499,idena-network,2020Q4,1,13
500,idena-network,2021Q1,1,21
501,idena-network,2021Q2,4,19
502,idena-network,2021Q3,3,20
503,idena-network,2021Q4,3,17
504,idena-network,2022Q1,0,19
505,idena-network,2022Q2,3,11
506,idena-network,2022Q3,2,10
507,idena-network,2022Q4,0,13
508,idena-network,2023Q1,2,14
509,idena-network,2023Q2,0,13
510,idena-network,2023Q3,0,8
511,idena-network,2023Q4,0,2
512,jedi-swap,2022Q2,1,3
513,jedi-swap,2022Q3,1,6
514,jedi-swap,2022Q4,1,5
515,jedi-swap,2023Q1,2,6
516,jedi-swap,2023Q2,1,7
517,jedi-swap,2023Q3,1,11
518,jedi-swap,2023Q4,1,13
519,krebitdao,2022Q1,0,2
520,krebitdao,2022Q2,0,2
521,krebitdao,2022Q3,2,2
522,krebitdao,2022Q4,2,2
523,krebitdao,2023Q1,1,3
524,krebitdao,2023Q2,0,2
525,kredeum,2020Q4,0,1
526,kredeum,2021Q1,1,3
527,kredeum,2021Q2,0,3
528,kredeum,2021Q4,1,3
529,kredeum,2022Q1,1,4
530,kredeum,2022Q2,1,3
531,kredeum,2022Q3,1,2
532,kredeum,2022Q4,1,2
533,kredeum,2023Q1,0,2
534,kredeum,2023Q2,2,2
535,kredeum,2023Q3,0,2
536,kredeum,2023Q4,0,1
537,l2beat,2020Q2,1,3
538,l2beat,2020Q3,0,2
539,l2beat,2020Q4,1,4
540,l2beat,2021Q1,0,3
541,l2beat,2021Q2,1,9
542,l2beat,2021Q3,1,18
543,l2beat,2021Q4,1,12
544,l2beat,2022Q1,3,12
545,l2beat,2022Q2,3,8
546,l2beat,2022Q3,5,11
547,l2beat,2022Q4,6,13
548,l2beat,2023Q1,5,25
549,l2beat,2023Q2,4,17
550,l2beat,2023Q3,8,19
551,l2beat,2023Q4,9,30
552,leastauthority,2015Q1,1,3
553,leastauthority,2015Q2,0,4
554,leastauthority,2015Q3,0,2
555,leastauthority,2015Q4,0,2
556,leastauthority,2016Q1,0,2
557,leastauthority,2016Q2,0,2
558,leastauthority,2016Q3,0,3
559,leastauthority,2016Q4,1,4
560,leastauthority,2017Q1,1,2
561,leastauthority,2017Q2,2,10
562,leastauthority,2017Q3,1,6
563,leastauthority,2017Q4,1,5
564,leastauthority,2018Q1,0,5
565,leastauthority,2018Q2,1,4
566,leastauthority,2018Q3,2,3
567,leastauthority,2018Q4,1,3
568,leastauthority,2019Q1,0,2
569,leastauthority,2019Q2,0,3
570,leastauthority,2019Q3,0,3
571,leastauthority,2019Q4,0,2
572,leastauthority,2020Q1,0,4
573,leastauthority,2020Q2,0,3
574,leastauthority,2020Q3,0,3
575,leastauthority,2020Q4,0,2
576,leastauthority,2021Q1,0,5
577,leastauthority,2021Q2,0,4
578,leastauthority,2021Q3,1,5
579,leastauthority,2021Q4,2,6
580,leastauthority,2022Q1,2,6
581,leastauthority,2022Q2,1,6
582,leastauthority,2022Q3,5,9
583,leastauthority,2022Q4,2,11
584,leastauthority,2023Q1,2,12
585,leastauthority,2023Q2,1,8
586,leastauthority,2023Q3,0,8
587,leastauthority,2023Q4,0,21
588,lexdao,2019Q4,1,1
589,lexdao,2020Q1,0,3
590,lexdao,2020Q2,2,7
591,lexdao,2020Q3,2,5
592,lexdao,2020Q4,1,3
593,lexdao,2021Q1,1,3
594,lexdao,2021Q2,0,2
595,lexdao,2021Q3,0,3
596,lexdao,2021Q4,3,11
597,lexdao,2022Q1,4,10
598,lexdao,2022Q2,3,5
599,lexdao,2022Q3,3,9
600,lexdao,2022Q4,3,5
601,lexdao,2023Q1,2,6
602,lexdao,2023Q2,0,4
603,lexdao,2023Q3,0,3
604,lexdao,2023Q4,1,6
605,lifinance,2021Q3,1,9
606,lifinance,2021Q4,3,8
607,lifinance,2022Q1,3,6
608,lifinance,2022Q2,2,8
609,lifinance,2022Q3,4,6
610,lifinance,2022Q4,3,13
611,lifinance,2023Q1,5,14
612,lifinance,2023Q2,4,23
613,lifinance,2023Q3,4,16
614,lifinance,2023Q4,3,19
615,lighthouse-sigp,2018Q3,1,4
616,lighthouse-sigp,2018Q4,1,7
617,lighthouse-sigp,2019Q1,2,12
618,lighthouse-sigp,2019Q2,1,9
619,lighthouse-sigp,2019Q3,1,15
620,lighthouse-sigp,2019Q4,3,17
621,lighthouse-sigp,2020Q1,2,13
622,lighthouse-sigp,2020Q2,5,22
623,lighthouse-sigp,2020Q3,5,30
624,lighthouse-sigp,2020Q4,4,47
625,lighthouse-sigp,2021Q1,2,18
626,lighthouse-sigp,2021Q2,2,13
627,lighthouse-sigp,2021Q3,3,17
628,lighthouse-sigp,2021Q4,2,18
629,lighthouse-sigp,2022Q1,2,25
630,lighthouse-sigp,2022Q2,3,17
631,lighthouse-sigp,2022Q3,3,39
632,lighthouse-sigp,2022Q4,3,24
633,lighthouse-sigp,2023Q1,4,30
634,lighthouse-sigp,2023Q2,3,32
635,lighthouse-sigp,2023Q3,3,32
636,lighthouse-sigp,2023Q4,3,28
637,loanshark,2023Q1,0,2
638,loanshark,2023Q2,0,3
639,loanshark,2023Q3,0,3
640,loanshark,2023Q4,0,4
641,metamail,2022Q1,0,1
642,metamail,2022Q3,0,3
643,metamail,2022Q4,0,3
644,metamail,2023Q2,1,4
645,metamail,2023Q3,1,2
646,metamail,2023Q4,0,2
647,minerva-wallet-lab10-coop,2018Q2,0,4
648,minerva-wallet-lab10-coop,2018Q4,0,4
649,minerva-wallet-lab10-coop,2019Q1,2,6
650,minerva-wallet-lab10-coop,2019Q2,0,4
651,minerva-wallet-lab10-coop,2019Q3,1,3
652,minerva-wallet-lab10-coop,2019Q4,0,4
653,minerva-wallet-lab10-coop,2020Q1,0,2
654,minerva-wallet-lab10-coop,2020Q2,0,3
655,minerva-wallet-lab10-coop,2020Q3,0,2
656,minerva-wallet-lab10-coop,2020Q4,0,2
657,minerva-wallet-lab10-coop,2021Q1,0,3
658,minerva-wallet-lab10-coop,2021Q2,0,1
659,minerva-wallet-lab10-coop,2021Q3,0,3
660,minerva-wallet-lab10-coop,2021Q4,1,2
661,minerva-wallet-lab10-coop,2022Q1,2,3
662,minerva-wallet-lab10-coop,2022Q2,1,2
663,minerva-wallet-lab10-coop,2022Q3,2,2
664,minerva-wallet-lab10-coop,2022Q4,1,2
665,minerva-wallet-lab10-coop,2023Q1,1,3
666,minerva-wallet-lab10-coop,2023Q2,0,2
667,minerva-wallet-lab10-coop,2023Q3,0,2
668,minerva-wallet-lab10-coop,2023Q4,0,2
669,nethermindeth,2018Q1,1,1
670,nethermindeth,2018Q2,1,1
671,nethermindeth,2018Q3,1,4
672,nethermindeth,2018Q4,2,6
673,nethermindeth,2019Q1,1,6
674,nethermindeth,2019Q2,3,8
675,nethermindeth,2019Q3,2,8
676,nethermindeth,2019Q4,3,9
677,nethermindeth,2020Q1,4,8
678,nethermindeth,2020Q2,3,13
679,nethermindeth,2020Q3,4,10
680,nethermindeth,2020Q4,4,13
681,nethermindeth,2021Q1,5,14
682,nethermindeth,2021Q2,5,18
683,nethermindeth,2021Q3,8,32
684,nethermindeth,2021Q4,5,33
685,nethermindeth,2022Q1,9,51
686,nethermindeth,2022Q2,19,62
687,nethermindeth,2022Q3,16,70
688,nethermindeth,2022Q4,13,58
689,nethermindeth,2023Q1,15,67
690,nethermindeth,2023Q2,16,65
691,nethermindeth,2023Q3,15,80
692,nethermindeth,2023Q4,15,80
693,nft-pricefloor,2021Q1,0,1
694,nicenode,2022Q2,1,4
695,nicenode,2022Q3,0,3
696,nicenode,2022Q4,1,2
697,nicenode,2023Q1,1,3
698,nicenode,2023Q2,0,1
699,nicenode,2023Q3,0,2
700,nicenode,2023Q4,2,5
701,optinames-optimismresolver,2022Q4,0,1
702,optinames-optimismresolver,2023Q1,0,1
703,optinames-optimismresolver,2023Q2,0,1
704,pepemon-dao,2021Q2,0,1
705,pepemon-dao,2021Q3,0,1
706,pepemon-dao,2021Q4,0,2
707,pepemon-dao,2022Q1,0,1
708,pepemon-dao,2022Q2,2,1
709,pepemon-dao,2022Q3,0,3
710,pepemon-dao,2022Q4,0,2
711,pepemon-dao,2023Q1,0,5
712,pepemon-dao,2023Q2,0,21
713,pepemon-dao,2023Q3,0,6
714,pepemon-dao,2023Q4,0,2
715,poapin-glory-lab,2022Q3,1,2
716,poapin-glory-lab,2022Q4,0,1
717,poapin-glory-lab,2023Q1,0,1
718,poapin-glory-lab,2023Q2,0,1
719,poapin-glory-lab,2023Q3,0,1
720,poapin-glory-lab,2023Q4,0,1
721,proof-of-humanity,2019Q4,0,1
722,proof-of-humanity,2020Q1,0,2
723,proof-of-humanity,2020Q2,0,1
724,proof-of-humanity,2020Q3,1,2
725,proof-of-humanity,2020Q4,1,7
726,proof-of-humanity,2021Q1,3,18
727,proof-of-humanity,2021Q2,2,36
728,proof-of-humanity,2021Q3,0,9
729,proof-of-humanity,2021Q4,0,20
730,proof-of-humanity,2022Q1,0,12
731,proof-of-humanity,2022Q2,0,6
