project_id,project_name,project_github,oso_github_slug,grant_address,oso_address_slug,round_id,round_name,chain_id,program_address,round_date,amount_usd,match_usd
0xe0f08b3b36137e01398e52e0db42d175732fede1624f364ffd3109acba81bef0,Crypto Sapiens,,,0x01999e431752136372a3d485f527907a6b02a1d1,,0x2871742b184633f8dc8546c6301cbc209945033e,Web3 Community and Education ,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,197.88915105,598.9297445010092
0xe0f08b3b36137e01398e52e0db42d175732fede1624f364ffd3109acba81bef0,Crypto Sapiens,,,0x624e05d9a8deff331d2685ef3d789b25f9bec80f,,0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,Web3 Community and Education,424,0xe13da583181b19dace7c021f57774659edc1f901,2023-11-29 18:59:00,153.54447146,611.1309078485058
0x646d41be0fbbe228c01a54aecfde54250c0ae01d3de2221ce80971e8ff542a50,NFT Price Floor,nft-pricefloor,nft-pricefloor,0x31856e11ddaabc67e3b7b5de50dd0efce86e361e,,0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,Web3 Community and Education,424,0xe13da583181b19dace7c021f57774659edc1f901,2023-11-29 18:59:00,307.36977455,424.7736803938349
0x8427d56c001d898a2afc097dfffbe471b26dfcc4bf8a9fac386266a5ed1ef37b,Ethereum News Podcast,ethdailyhub,,0xeb40a065854bd90126a4e697aea0976ba51b2ee7,,0x2871742b184633f8dc8546c6301cbc209945033e,Web3 Community and Education ,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,248.08765993,668.553915930966
0x8427d56c001d898a2afc097dfffbe471b26dfcc4bf8a9fac386266a5ed1ef37b,Ethereum News Podcast,ethdailyhub,,0xeb40a065854bd90126a4e697aea0976ba51b2ee7,,0x59d79b22595b17af659ce9b03907615f53742c57,"The Education, community growth & events Round",42161,0xce06ebb79f95943ca9125b85ca0294c302e846b5,2023-09-30 19:59:00,195.74063426,1269.179637913933
0x8427d56c001d898a2afc097dfffbe471b26dfcc4bf8a9fac386266a5ed1ef37b,Ethereum News Podcast,ethdailyhub,,0xeb40a065854bd90126a4e697aea0976ba51b2ee7,,0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,Web3 Community and Education,424,0xe13da583181b19dace7c021f57774659edc1f901,2023-11-29 18:59:00,744.4160035,791.6482221869752
0x3532b7116e113d629a3d0a0364840f52c9d93f6b81b2ecc61b2cb228c39ee9fb,IZAR,izar-bridge,,0x56bb0402b550bc1083e227982fcc1ff90354f628,privx-exchange,0x222ea76664ed77d18d4416d2b2e77937b76f0a35,Ethereum Infrastructure,424,0x413d934a627fbd26fcb7ae52c2c4f40022470289,2023-08-17 08:00:00,1115.00557584,
0xa7421049dfb7dcacaa3c423aaa31fbfeae4e091825a8c937423a7e3b3fd79888,eth.limo,ethlimo,eth-limo,0xb352bb4e2a4f27683435f153a259f1b207218b1b,eth-limo,0x222ea76664ed77d18d4416d2b2e77937b76f0a35,Ethereum Infrastructure,424,0x413d934a627fbd26fcb7ae52c2c4f40022470289,2023-08-17 08:00:00,5933.56693539,12142.58149830277
0xa7421049dfb7dcacaa3c423aaa31fbfeae4e091825a8c937423a7e3b3fd79888,eth.limo,ethlimo,eth-limo,0xb352bb4e2a4f27683435f153a259f1b207218b1b,eth-limo,0x9331fde4db7b9d9d1498c09d30149929f24cf9d5,Web3 Social,10,0xf3b99793874b9f36bd6977f45300686224b72750,2023-08-29 08:00:00,398.53434926,999.8326422805436
0xa7421049dfb7dcacaa3c423aaa31fbfeae4e091825a8c937423a7e3b3fd79888,eth.limo,ethlimo,eth-limo,0xb352bb4e2a4f27683435f153a259f1b207218b1b,eth-limo,0xa1d52f9b5339792651861329a046dd912761e9a9,"Ethereum Core Infrastructure, Research, and Development",137,0xd04d5b0257a9f2068a4f4ebd88748b2bb47da4ca,2023-11-29 18:59:00,1493.93095958,6641.25770952
0xa7421049dfb7dcacaa3c423aaa31fbfeae4e091825a8c937423a7e3b3fd79888,eth.limo,ethlimo,eth-limo,0xb352bb4e2a4f27683435f153a259f1b207218b1b,eth-limo,0xc34745b3852df32d5958be88df2bee0a83474001,Web3 Social,10,0xf3b99793874b9f36bd6977f45300686224b72750,2023-11-29 18:59:00,1518.65259863,899.5502798051601
0xa7421049dfb7dcacaa3c423aaa31fbfeae4e091825a8c937423a7e3b3fd79888,eth.limo,ethlimo,eth-limo,0xb352bb4e2a4f27683435f153a259f1b207218b1b,eth-limo,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-29 18:59:00,3223.19068261,
0x2875da5022e135ae21ea52225fa91ab676525fcc7c1b478a064370a789407be9,The PASS,the-pass,,0xf43f7d19a81087de6fbf1c5d33e4b946202d9a15,,0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,Web3 Community and Education,424,0xe13da583181b19dace7c021f57774659edc1f901,2023-11-29 18:59:00,87.87481883,323.6051855366282
0x447862670113d11b49d4af58debc0f5e99489c6789143d9c1de6fec7b8070fc8,hiromiouchi.eth,,,0x6733c60e6e02f9c8fa221db1aea018d80d949861,,0x2871742b184633f8dc8546c6301cbc209945033e,Web3 Community and Education ,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,183.3071084,719.9327175229345
0x00065ad5b4ac5b42ac82c60ac9e939505f7996e95b6181919a5353fc50e6b664,Ether Alpha,etheralpha,etheralpha,0x0194325bf525be0d4fbb0856894ced74da3b8356,etheralpha,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-29 18:59:00,534.6762553,804.9397013294554
0xcedfb9ec17d6bb6a62026f04cd86b71ff3c5b0985fbfd501a27f78676402ab8e,Ethereum Attestation Service,ethereum-attestation-service,ethereum-attestation-service,0xcabf67f2c6ef266d68e4206d0a78e035121730bd,,0x222ea76664ed77d18d4416d2b2e77937b76f0a35,Ethereum Infrastructure,424,0x413d934a627fbd26fcb7ae52c2c4f40022470289,2023-08-17 08:00:00,3989.64858617,6875.539653584427
0xb205bb4c4084ee326905a21f6b6acf5977471b4ad29641c931ef98217cca886c,Topia Shared DA,topianetwork,topianetwork,0x934d46ae4ae4b131bfa095ca971a8cbcd3b30ea8,topianetwork,0x222ea76664ed77d18d4416d2b2e77937b76f0a35,Ethereum Infrastructure,424,0x413d934a627fbd26fcb7ae52c2c4f40022470289,2023-08-17 08:00:00,3122.80827882,1040.792699854523
0xb205bb4c4084ee326905a21f6b6acf5977471b4ad29641c931ef98217cca886c,Topia Shared DA,topianetwork,topianetwork,0x934d46ae4ae4b131bfa095ca971a8cbcd3b30ea8,topianetwork,0x8de918f0163b2021839a8d84954dd7e8e151326d,Web3 Open Source Software,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,3.00862401,
0xb965779deedb4e9c97878be6d8270712a796ccc507157845917ade8e2dd51a10,L2BEAT,l2beat,l2beat,0x41626ba92c0c2a1ad38fc83920300434082b1870,l2beat,0x222ea76664ed77d18d4416d2b2e77937b76f0a35,Ethereum Infrastructure,424,0x413d934a627fbd26fcb7ae52c2c4f40022470289,2023-08-17 08:00:00,13269.53030975,16857.68782037099
