,slug,# GitHub Repos,Date First Commit,Total Stars,Total Forks,Total Contributors,Commits Last 90 Days,PRs Created Last 90 Days,PRs Merged Last 90 Days,Issues Created Last 90 Days,Issues Closed Last 90 Days,Contributors Last 90 Days,Commits Last 90 Days,PRs Created Last 90 Days,PRs Merged Last 90 Days,Issues Created Last 90 Days,Issues Closed Last 90 Days
47,buidlguidl,69,2018-08-14 00:15:15+00:00,8915.0,4129.0,350,6079.0,1233.0,919.0,502.0,408.0,81,248.0,224.0,180.0,102.0,97.0
48,cadcad-org,18,2018-09-10 20:17:50+00:00,501.0,274.0,86,1904.0,345.0,268.0,208.0,108.0,7,24.0,31.0,25.0,34.0,18.0
49,cambiatus,14,2018-04-20 00:56:48+00:00,20.0,18.0,44,1036.0,681.0,628.0,619.0,540.0,0,,,,,
50,candide-labs,15,2020-03-12 04:33:01+00:00,65.0,15.0,19,1125.0,198.0,178.0,35.0,23.0,4,50.0,9.0,7.0,,1.0
51,carmineoptions,22,2022-04-28 12:30:49+00:00,27.0,10.0,19,2393.0,479.0,422.0,2.0,,10,360.0,73.0,60.0,1.0,
52,cash4pr,3,2023-06-08 06:07:42+00:00,,,3,17.0,5.0,4.0,,,0,,,,,
53,chaineresearch,6,2017-10-26 08:44:50+00:00,,,5,209.0,,,,,1,1.0,,,,
54,changeth,1,2023-04-25 12:50:54+00:00,,,1,2.0,,,,,0,,,,,
55,citizenwallet,16,2022-12-09 10:58:32+00:00,6.0,1.0,8,875.0,97.0,95.0,34.0,21.0,4,122.0,23.0,21.0,10.0,9.0
56,clrfund,13,2020-02-15 21:26:27+00:00,177.0,99.0,37,3481.0,476.0,392.0,370.0,287.0,1,38.0,7.0,8.0,,
57,co-vo-co,2,2023-03-30 06:13:24+00:00,,,1,18.0,3.0,3.0,,,0,,,,,
58,coin-cashew,21,2020-04-22 01:38:36+00:00,72.0,130.0,110,1814.0,154.0,131.0,61.0,60.0,7,43.0,6.0,8.0,5.0,5.0
59,coinpassport,6,2022-05-08 15:18:13+00:00,,1.0,2,69.0,,,1.0,1.0,1,34.0,,,,
60,commons-stack,26,2019-03-15 12:54:45+00:00,32.0,5.0,109,3176.0,324.0,187.0,2060.0,2325.0,5,22.0,1.0,3.0,3.0,8.0
61,commonsbuild,38,2020-10-21 09:47:23+00:00,10.0,11.0,98,2288.0,460.0,384.0,2762.0,2275.0,5,14.0,1.0,1.0,10.0,1.0
62,cosmosforhumanity,3,2022-07-19 21:30:55+00:00,,1.0,1,3.0,,,,,1,1.0,,,,
63,cpa-protocol,2,2023-08-07 16:51:17+00:00,1.0,1.0,2,130.0,9.0,8.0,6.0,2.0,1,3.0,1.0,1.0,,
64,creatordao-project,4,2022-04-18 11:37:47+00:00,,,3,46.0,1.0,1.0,,,0,,,,,
65,crossbell-box,35,2021-10-03 17:57:32+00:00,1716.0,188.0,192,14062.0,2214.0,1399.0,242.0,197.0,32,1173.0,312.0,192.0,15.0,23.0
66,crowdfundedcures,1,,,,0,,,,,,0,,,,,
67,crowdmuse,1,2023-06-16 11:41:10+00:00,1.0,,2,12.0,5.0,4.0,,,1,1.0,,,,
68,crunchdao,24,2021-02-21 00:55:24+00:00,45.0,19.0,34,2178.0,842.0,372.0,174.0,135.0,4,74.0,22.0,22.0,3.0,5.0
69,cruzocards,1,2021-10-09 01:04:26+00:00,,6.0,6,224.0,38.0,28.0,,,0,,,,,
70,crypto-jobs-crawler,2,2023-04-19 10:15:45+00:00,4.0,1.0,4,704.0,3.0,1.0,2.0,2.0,1,184.0,,,,
71,crypto-stats,19,2021-07-01 22:32:36+00:00,14.0,7.0,15,1228.0,54.0,48.0,36.0,12.0,1,,,,1.0,
72,cryptocuriouspr,2,2022-02-28 14:53:08+00:00,,,1,9.0,,,,,0,,,,,
73,culture-blocks,1,2023-08-05 15:28:01+00:00,,,1,12.0,,,,,0,,,,,
74,dagora-playground,6,2022-11-04 18:46:25+00:00,6.0,1.0,8,81.0,8.0,8.0,1.0,,0,,,,,
75,dandelion-collective,1,2021-12-16 15:09:54+00:00,9.0,3.0,3,1718.0,32.0,,4.0,3.0,1,143.0,,,,2.0
76,dapp-learning-dao,14,2021-04-16 02:14:15+00:00,4396.0,1168.0,244,4746.0,1384.0,1089.0,110.0,58.0,17,417.0,136.0,129.0,8.0,
77,dapplet,3,2023-02-19 10:33:15+00:00,,,1,27.0,,,,,0,,,,,
78,dappnode,201,2015-12-14 20:09:04+00:00,549.0,110.0,414,21720.0,8744.0,5432.0,2564.0,2003.0,39,759.0,792.0,479.0,88.0,57.0
79,dappreader,2,2022-08-14 15:06:07+00:00,99.0,10.0,3,221.0,1.0,1.0,5.0,5.0,1,4.0,,,,
80,data4builders,1,2023-07-22 10:30:31+00:00,1.0,1.0,3,51.0,6.0,3.0,,,0,,,,,
81,datalatte-ai,8,2022-06-16 16:07:46+00:00,,,4,56.0,,,2.0,,1,8.0,,,,
82,dataverse-os,11,2023-03-13 03:49:58+00:00,16.0,5.0,15,722.0,114.0,87.0,,,7,108.0,30.0,23.0,,
83,db3-dbpunk-labs,1,2022-03-25 04:15:35+00:00,332.0,41.0,16,385.0,473.0,305.0,163.0,159.0,3,4.0,21.0,5.0,1.0,
84,decartography,7,2022-11-30 02:29:31+00:00,2.0,1.0,6,232.0,5.0,5.0,4.0,7.0,1,62.0,1.0,1.0,,5.0
85,decentragora,13,2021-07-20 17:02:57+00:00,3.0,,9,231.0,2.0,2.0,,,1,17.0,,,,
86,decentraschool,0,,,,0,,,,,,0,,,,,
87,decentri-fi,16,2021-09-15 12:53:53+00:00,10.0,7.0,13,2071.0,32.0,30.0,160.0,102.0,2,167.0,,,7.0,1.0
88,defi-llama,48,2020-11-14 00:42:10+00:00,735.0,4007.0,3313,60950.0,19988.0,17899.0,330.0,282.0,608,5271.0,2323.0,2100.0,37.0,28.0
89,defieye,3,2022-02-02 15:13:13+00:00,46.0,19.0,7,71.0,11.0,9.0,,,2,14.0,,,,
90,defilab-xyz,5,2021-07-05 08:45:52+00:00,47.0,24.0,6,125.0,2.0,2.0,4.0,1.0,0,,,,,
