,slug,# GitHub Repos,Date First Commit,Total Stars,Total Forks,Total Contributors,Commits Last 90 Days,PRs Created Last 90 Days,PRs Merged Last 90 Days,Issues Created Last 90 Days,Issues Closed Last 90 Days,Contributors Last 90 Days,Commits Last 90 Days,PRs Created Last 90 Days,PRs Merged Last 90 Days,Issues Created Last 90 Days,Issues Closed Last 90 Days
205,l2beat,11,2020-05-05 20:03:59+00:00,421.0,299.0,238,3434.0,3472.0,3211.0,273.0,248.0,68,536.0,608.0,579.0,13.0,12.0
206,l2planet,4,2022-07-08 10:37:56+00:00,1.0,1.0,9,1769.0,,,,,0,,,,,
207,labrys-group,6,2021-04-12 01:15:45+00:00,1.0,,16,347.0,188.0,79.0,4.0,,3,9.0,4.0,4.0,1.0,
208,learnweb3dao,84,2021-12-13 00:20:24+00:00,171.0,93.0,230,1323.0,573.0,352.0,49.0,28.0,8,22.0,4.0,1.0,3.0,
209,lenstags,3,2023-02-11 21:18:07+00:00,1.0,,2,11.0,1.0,1.0,7.0,,0,,,,,
210,lensterxyz,0,,,,0,,,,,,0,,,,,
211,lenstube-xyz,3,2022-05-22 10:34:47+00:00,4256.0,320.0,26,3237.0,17.0,16.0,,,3,416.0,,,,
212,lexdao,101,2019-10-15 18:55:04+00:00,180.0,43.0,77,6638.0,674.0,479.0,461.0,328.0,4,41.0,1.0,,,3.0
213,libree,6,2023-05-12 17:30:21+00:00,1.0,,4,825.0,282.0,274.0,106.0,104.0,0,,,,,1.0
214,lighthouse-sigp,1,2018-07-06 07:54:07+00:00,2618.0,672.0,523,5222.0,3285.0,1190.0,1745.0,1489.0,52,,138.0,103.0,70.0,63.0
215,likecoin,67,2014-04-25 18:34:56+00:00,105.0,27.0,107,20768.0,7063.0,5688.0,724.0,471.0,11,468.0,381.0,346.0,4.0,
216,loanshark,5,2023-02-19 12:46:22+00:00,,2.0,6,273.0,2.0,1.0,1.0,1.0,4,11.0,1.0,,,
217,lodestar-chainsafe,1,2018-06-22 14:42:08+00:00,1010.0,269.0,194,9491.0,3961.0,3516.0,2329.0,2225.0,31,147.0,171.0,157.0,71.0,89.0
218,longevity-genie,12,2023-04-28 19:31:10+00:00,5.0,2.0,6,280.0,9.0,7.0,1.0,,4,97.0,2.0,2.0,,
219,lume-web,133,2013-03-03 20:05:01+00:00,3.0,1.0,66,11022.0,298.0,2.0,,,3,98.0,,,,
220,lumi-labs,3,2023-01-07 03:10:26+00:00,,,8,92.0,,,,,0,,,,,
221,luncosim,18,2021-05-16 09:58:54+00:00,39.0,9.0,18,851.0,24.0,23.0,33.0,3.0,3,24.0,,,,
222,lxdao-official,59,2021-11-21 13:11:02+00:00,275.0,131.0,75,3844.0,420.0,379.0,49.0,26.0,19,365.0,58.0,53.0,15.0,5.0
223,m3tering,10,2023-06-09 19:50:17+00:00,1.0,2.0,2,121.0,5.0,5.0,,,1,16.0,,,,
224,magmaprotocol,0,,,,0,,,,,,0,,,,,
225,makewaterorg,1,2021-02-09 21:54:44+00:00,,,1,1.0,,,,,0,,,,,
226,me3-eth,9,2021-12-03 17:39:23+00:00,2.0,,2,193.0,10.0,10.0,,,0,,,,,
227,mechanism-institute,1,2023-07-03 20:16:54+00:00,2.0,,1,20.0,,,,,0,,,,,
228,mesoreefdao,1,2023-12-05 07:13:36+00:00,,,1,5.0,,,,,1,5.0,,,,
229,metacrypt,1,2023-04-16 02:29:05+00:00,,,1,3.0,,,,,0,,,,,
230,metadock-blocksecteam,1,2022-12-07 05:07:06+00:00,221.0,33.0,16,61.0,7.0,3.0,8.0,6.0,5,9.0,2.0,1.0,1.0,1.0
231,metagame-metafam,30,2010-03-22 15:20:50+00:00,125.0,79.0,175,5858.0,1938.0,1185.0,686.0,600.0,13,213.0,48.0,38.0,33.0,50.0
232,metagov,38,2019-03-19 10:04:39+00:00,72.0,18.0,78,2052.0,508.0,331.0,233.0,119.0,10,116.0,29.0,26.0,15.0,14.0
233,metamail,3,2022-01-27 11:59:20+00:00,23.0,7.0,15,514.0,99.0,89.0,1.0,,3,80.0,31.0,31.0,1.0,
234,mevboost-pics-nerolation,1,2022-10-06 06:44:12+00:00,81.0,12.0,2,38.0,,,1.0,1.0,0,,,,,
235,mevboostaa,3,2023-03-23 02:37:11+00:00,12.0,,2,88.0,1.0,1.0,1.0,1.0,0,,,,,
236,migalabs,13,2020-12-14 15:47:19+00:00,27.0,11.0,24,2923.0,330.0,300.0,46.0,37.0,9,77.0,35.0,31.0,9.0,12.0
237,militereum,1,2022-11-15 20:14:11+00:00,10.0,4.0,4,261.0,8.0,7.0,1.0,1.0,2,43.0,2.0,2.0,1.0,1.0
238,minerva-wallet-lab10-coop,44,2014-12-03 03:05:19+00:00,16.0,5.0,78,7901.0,145.0,26.0,23.0,11.0,5,93.0,,,,
239,mirror-zaratandotworld,1,2020-01-02 03:26:28+00:00,6.0,,4,536.0,59.0,56.0,80.0,76.0,3,74.0,13.0,12.0,13.0,15.0
240,mutualsupply,4,2023-01-22 22:10:23+00:00,2.0,1.0,5,218.0,150.0,36.0,2.0,1.0,2,19.0,57.0,6.0,,
241,nacion-bankless,1,2023-08-14 19:04:06+00:00,1.0,,1,1.0,,,,,0,,,,,
242,namesys-eth,29,2022-04-24 11:20:49+00:00,4.0,3.0,6,770.0,93.0,88.0,28.0,27.0,4,324.0,11.0,11.0,13.0,14.0
243,nativesintech,26,2018-01-14 01:00:55+00:00,38.0,45.0,87,4214.0,550.0,385.0,125.0,89.0,3,776.0,3.0,3.0,,
244,neume-network,17,2022-01-26 13:14:05+00:00,29.0,11.0,32,9591.0,168.0,127.0,564.0,392.0,0,,,,,
245,newzchain,5,2022-04-18 06:53:42+00:00,,,7,32.0,2.0,2.0,,,1,2.0,,,,
246,nicenode,10,2022-03-24 23:26:45+00:00,149.0,22.0,25,965.0,433.0,319.0,68.0,54.0,8,124.0,69.0,56.0,15.0,11.0
247,nomis-cc,2,2023-05-21 11:11:12+00:00,,,1,9.0,1.0,1.0,,,0,,,,,
248,official-moondao,18,2021-02-03 18:20:01+00:00,13.0,16.0,67,1611.0,207.0,156.0,20.0,17.0,6,167.0,25.0,20.0,,
249,omnibtc,21,2022-05-31 06:33:02+00:00,64.0,18.0,15,1288.0,378.0,350.0,10.0,6.0,8,60.0,20.0,22.0,2.0,
250,onlyfun-on2023,2,2023-01-29 01:44:52+00:00,1.0,2.0,25,34.0,,,110.0,97.0,1,,,,8.0,13.0
251,open-cann,8,2022-05-03 22:05:45+00:00,1.0,1.0,5,200.0,55.0,3.0,,,0,,,,,
252,open-data-community-web3,11,2022-10-16 22:36:59+00:00,37.0,17.0,32,705.0,142.0,114.0,202.0,118.0,3,8.0,1.0,,2.0,1.0
253,open-spellbook,3,2020-09-07 11:42:05+00:00,,,74,268.0,,,,,0,,,,,
254,open-web-academy,20,2022-04-08 20:38:27+00:00,2.0,4.0,18,416.0,10.0,7.0,,,2,15.0,,,,
255,opensensepw,3,2023-04-19 18:37:50+00:00,6.0,3.0,5,31.0,4.0,3.0,3.0,3.0,0,,,,,
256,opml-labs,1,2023-07-04 04:07:26+00:00,4.0,,2,4.0,,,1.0,,1,,,,1.0,
257,opscientia,28,2020-09-23 23:59:36+00:00,20.0,5.0,32,1215.0,95.0,63.0,13.0,4.0,0,,,,,
258,optinames-optimismresolver,4,2022-06-30 20:07:45+00:00,25.0,4.0,1,30.0,,,,,0,,,,,
259,otterscan,6,2021-07-01 18:20:39+00:00,1118.0,159.0,44,2177.0,1537.0,738.0,175.0,108.0,9,153.0,243.0,148.0,29.0,27.0
260,oxcart,4,2013-06-19 13:38:18+00:00,,,63,550.0,,,,,0,,,,,
261,paideia-ai,2,2023-09-03 03:06:25+00:00,,,1,4.0,,,,,0,,,,,
262,pairwise-general-magic,4,2022-11-21 21:58:17+00:00,6.0,,14,837.0,133.0,130.0,173.0,116.0,12,278.0,78.0,78.0,101.0,92.0
263,peerwork,2,2023-09-02 20:38:33+00:00,,,2,14.0,,,,,0,,,,,
264,pentaclexyz,14,2021-05-16 01:55:57+00:00,6.0,3.0,23,661.0,95.0,65.0,42.0,2.0,0,,,,,
265,pepemon-dao,4,2020-10-16 22:21:22+00:00,4.0,9.0,45,554.0,144.0,121.0,52.0,42.0,3,,1.0,,2.0,
266,permetsystems,2,2022-04-05 07:43:02+00:00,1.0,,2,112.0,1.0,1.0,,,1,1.0,,,,
267,pharoacm,4,2021-04-15 13:39:46+00:00,1.0,,2,7.0,,,,,0,,,,,
268,piethereum-hardware,1,2022-09-10 05:55:55+00:00,,,1,78.0,,,,,0,,,,,
269,pin-save-dpytdao,2,2021-11-05 20:23:49+00:00,15.0,13.0,7,1543.0,677.0,489.0,11.0,11.0,2,112.0,,,,
270,plancker-labs,17,2021-06-21 07:06:29+00:00,11.0,6.0,21,503.0,52.0,48.0,54.0,38.0,2,5.0,,,,
271,planetable,13,2022-02-23 16:53:59+00:00,1287.0,58.0,29,2960.0,168.0,163.0,165.0,98.0,4,289.0,7.0,7.0,10.0,3.0
272,planetarycouncil,2,2021-07-01 16:56:59+00:00,,,2,58.0,,,,,0,,,,,
273,plants-and-pillars,5,2022-08-23 11:10:42+00:00,1.0,1.0,3,81.0,16.0,3.0,,,0,,,,,
274,plebbit,21,2021-09-13 09:17:44+00:00,152.0,7.0,27,8757.0,592.0,578.0,361.0,284.0,5,955.0,132.0,131.0,67.0,22.0
275,plume-sig,1,2022-07-18 05:07:52+00:00,106.0,17.0,16,196.0,54.0,44.0,29.0,15.0,4,4.0,10.0,7.0,2.0,5.0
276,poapathon,0,,,,0,,,,,,0,,,,,
277,poapin-glory-lab,1,2022-08-07 17:03:05+00:00,25.0,5.0,6,145.0,40.0,18.0,34.0,23.0,0,,,,,
278,poolfish-xyz,1,2021-07-25 05:13:06+00:00,197.0,64.0,27,500.0,10.0,9.0,29.0,17.0,1,,,,1.0,
279,positiveblockchain,3,2019-11-01 21:08:26+00:00,1.0,,5,138.0,36.0,1.0,1.0,,0,,,,,
280,povp-help-grow,1,2023-02-19 13:28:27+00:00,,3.0,8,122.0,,,,,0,,,,,
281,prettier-solidity,3,2018-05-15 15:12:03+00:00,709.0,75.0,117,798.0,760.0,658.0,220.0,221.0,7,43.0,35.0,36.0,3.0,9.0
282,privx-exchange,3,2023-05-16 05:15:16+00:00,1.0,1.0,7,85.0,19.0,15.0,1.0,,0,,,,,
283,project-lion,3,2022-07-20 03:33:05+00:00,4.0,1.0,3,34.0,3.0,3.0,,,0,,,,,
284,project-vinyl,4,2023-07-25 20:11:52+00:00,17.0,1.0,7,270.0,36.0,32.0,26.0,13.0,4,37.0,,,,
285,proof-of-humanity,15,2019-12-18 14:37:06+00:00,169.0,42.0,161,1346.0,470.0,296.0,339.0,289.0,5,42.0,28.0,5.0,1.0,1.0
286,proof-of-innocence-chainway,1,2022-11-17 12:42:09+00:00,49.0,6.0,5,30.0,3.0,1.0,,,0,,,,,
287,proots-foundation,7,2022-09-03 04:21:35+00:00,1.0,,5,32.0,,,,,0,,,,,
288,protocol-guild,278,2013-12-19 18:38:09+00:00,44645.0,19822.0,16509,230877.0,70664.0,57615.0,39651.0,33601.0,822,3188.0,1796.0,1473.0,680.0,637.0
289,proveuswrong,6,2021-10-13 17:21:09+00:00,5.0,2.0,10,1512.0,220.0,189.0,135.0,93.0,1,2.0,,1.0,,2.0
290,proxifydao,1,,,,0,,,,,,0,,,,,
291,psydao,2,2022-05-19 16:10:16+00:00,5.0,1.0,5,157.0,2.0,2.0,,,0,,,,,
292,public-assembly,30,2022-09-03 01:11:52+00:00,27.0,6.0,21,3061.0,56.0,36.0,15.0,17.0,4,20.0,5.0,5.0,1.0,1.0
293,pulsarswap,4,2021-11-07 02:27:30+00:00,2.0,,3,320.0,,,,,0,,,,,
294,punk-domains,54,2022-01-03 14:30:20+00:00,12.0,10.0,8,1935.0,8.0,6.0,2.0,1.0,1,181.0,,2.0,,
295,quantum-oracle-notarizedscreenshot,5,2022-07-06 12:54:38+00:00,3.0,1.0,11,486.0,93.0,77.0,148.0,113.0,0,,,,,
296,quark-id,1,2022-09-29 17:10:30+00:00,4.0,1.0,1,2.0,,,,,0,,,,,
297,quest-chains,7,2022-04-08 16:06:17+00:00,5.0,2.0,10,974.0,175.0,168.0,126.0,84.0,3,25.0,17.0,17.0,3.0,3.0
298,radicalxchange,16,2014-07-28 03:03:54+00:00,38.0,12.0,79,1708.0,193.0,167.0,91.0,55.0,4,18.0,3.0,3.0,1.0,
299,relinkd,6,2023-02-21 12:31:58+00:00,,4.0,6,125.0,2.0,1.0,,,2,6.0,,,,
300,replica-io,3,2023-03-07 14:48:58+00:00,19.0,1.0,1,42.0,8.0,8.0,41.0,23.0,1,,,,1.0,1.0
301,replicare-desci,2,2023-02-23 18:01:27+00:00,1.0,1.0,2,203.0,70.0,59.0,,,0,,,,,
302,revoke-cash,6,2019-10-11 02:07:17+00:00,593.0,214.0,144,1376.0,93.0,78.0,213.0,135.0,35,156.0,13.0,9.0,45.0,13.0
303,robo-labs,17,2023-03-06 00:00:03+00:00,3.0,1.0,5,357.0,14.0,12.0,,,2,21.0,,,,
304,robots-txt-legato-labs,2,2023-01-16 07:54:23+00:00,,,4,101.0,3.0,2.0,,,0,,,,,
305,rotki,20,2017-05-09 08:31:48+00:00,2485.0,479.0,490,16738.0,5410.0,5161.0,2556.0,2253.0,44,828.0,557.0,556.0,113.0,100.0
306,rouge-ticket,4,2017-07-30 17:33:17+00:00,2.0,1.0,8,304.0,19.0,8.0,,,1,19.0,,,,
307,sadaiv-ci,10,2022-12-02 21:08:30+00:00,5.0,,2,57.0,4.0,1.0,,,1,8.0,,,,
308,science-commons-initiative,7,2022-07-21 18:17:46+00:00,13.0,5.0,10,137.0,4.0,3.0,58.0,37.0,2,6.0,,,,1.0
309,scope-lift,37,2019-02-04 14:06:20+00:00,321.0,79.0,63,2593.0,920.0,805.0,770.0,604.0,6,95.0,87.0,86.0,43.0,88.0
310,scryprotocol,7,2021-06-22 11:03:55+00:00,1.0,10.0,3,180.0,22.0,19.0,,,1,24.0,1.0,1.0,,
311,seedle-finance,1,2021-05-09 11:53:16+00:00,41.0,16.0,10,642.0,31.0,28.0,4.0,3.0,0,,,,,
312,shambadynamic,14,2021-12-11 18:11:35+00:00,3.0,,4,121.0,10.0,2.0,,,0,,,,,
313,shapeshift,32,2017-11-30 07:43:43+00:00,202.0,193.0,303,21226.0,6905.0,6018.0,2605.0,2533.0,19,409.0,410.0,400.0,166.0,180.0
314,share-xyz,0,,,,0,,,,,,0,,,,,
315,shivarthu-democracy,1,2021-03-20 15:35:50+00:00,,,2,216.0,33.0,,,,1,21.0,,,,
316,show-karma,17,2021-05-28 20:19:02+00:00,14.0,5.0,14,3024.0,693.0,645.0,3.0,2.0,6,152.0,55.0,44.0,,
317,signless-ux,1,2023-03-13 16:01:24+00:00,4.0,1.0,1,18.0,,,,,0,,,,,
318,slipstream,0,,,,0,,,,,,0,,,,,
319,smart-invoice-xyz,5,2020-10-12 16:41:07+00:00,31.0,19.0,16,559.0,141.0,116.0,31.0,22.0,4,4.0,17.0,14.0,1.0,14.0
320,smoothly-protocol,4,2022-12-14 19:54:49+00:00,1.0,,5,354.0,3.0,2.0,,,4,25.0,2.0,2.0,,
321,solhint-protofire,2,2017-09-11 19:29:43+00:00,2492.0,513.0,208,1252.0,306.0,258.0,263.0,245.0,7,55.0,22.0,21.0,6.0,9.0
322,solidity-guild,2,2021-09-28 20:57:17+00:00,3.0,,7,33.0,9.0,8.0,1.0,1.0,0,,,,,
323,solve3-org,8,2022-08-12 09:29:28+00:00,,,3,96.0,6.0,6.0,,,2,21.0,,,,
324,someresatguides,1,2020-05-16 15:37:55+00:00,,,2,246.0,,,,,0,,,,,
325,somos-colledge,12,2019-08-22 21:49:05+00:00,,1.0,12,327.0,2.0,1.0,,,1,42.0,,,,
326,soulcial-discoverselab,0,,,,0,,,,,,0,,,,,
327,spacemarketplace,1,2023-06-13 15:34:32+00:00,,,1,20.0,,,,,0,,,,,
328,spect-ai,13,2022-02-03 17:58:53+00:00,8.0,3.0,13,2942.0,246.0,223.0,1.0,1.0,0,,,,,
329,splash-org,3,2022-11-05 13:05:21+00:00,,,3,48.0,,,,,0,,,,,
330,sprintcheckout,3,2023-02-10 20:52:29+00:00,,,4,70.0,,,,,0,,,,,
331,stableunit,20,2018-02-27 08:10:03+00:00,14.0,3.0,29,1275.0,84.0,63.0,3.0,3.0,2,45.0,4.0,5.0,,
332,stakegarden,2,2023-07-21 16:49:29+00:00,2.0,2.0,4,94.0,15.0,15.0,,,0,,,,,
333,starksheet,1,2022-06-28 11:09:59+00:00,42.0,9.0,5,256.0,76.0,73.0,11.0,11.0,1,4.0,4.0,4.0,,
334,stateless-art,4,2021-05-12 08:01:40+00:00,2.0,,4,39.0,,,,,2,9.0,,,,
335,statwig,3,2020-02-26 20:09:10+00:00,,,65,7463.0,164.0,144.0,,,0,,,,,
336,stereum-dev,17,2020-09-30 09:29:34+00:00,88.0,32.0,54,3610.0,1773.0,1706.0,635.0,546.0,11,102.0,107.0,104.0,29.0,23.0
337,streamethorg,4,2022-03-16 13:17:32+00:00,51.0,10.0,20,2157.0,307.0,285.0,93.0,73.0,15,1189.0,178.0,171.0,50.0,46.0
338,switch-electric,33,2021-02-09 01:16:00+00:00,18.0,1.0,11,543.0,13.0,13.0,2.0,2.0,3,10.0,1.0,1.0,,
339,synthetix,127,2015-10-26 14:10:14+00:00,1157.0,615.0,553,35424.0,11036.0,9290.0,1878.0,1254.0,42,713.0,542.0,481.0,5.0,3.0
340,taho-wallet,9,2021-02-13 04:09:59+00:00,3060.0,422.0,170,13447.0,2434.0,2154.0,2462.0,2141.0,25,495.0,246.0,232.0,129.0,175.0
341,talent-dao,10,2022-05-02 13:37:15+00:00,4.0,3.0,11,233.0,155.0,63.0,77.0,30.0,2,,14.0,,,
342,talentlayer-labs,9,2022-10-28 16:08:59+00:00,15.0,16.0,27,1146.0,168.0,107.0,2.0,2.0,7,4.0,9.0,3.0,,
343,taterdao,1,2022-03-15 14:52:06+00:00,3.0,,1,170.0,33.0,31.0,12.0,10.0,0,,,,,
344,techstationspace,13,2019-12-01 10:25:09+00:00,3.0,,31,294.0,48.0,31.0,84.0,14.0,0,,,,,
345,the-stack-report,6,2021-11-07 08:05:37+00:00,,,9,190.0,,,1.0,1.0,0,,,,,
346,thebadge,9,2022-07-26 08:14:21+00:00,3.0,3.0,13,1574.0,655.0,593.0,132.0,42.0,8,314.0,194.0,181.0,10.0,3.0
347,theforus,1,2023-04-29 19:12:24+00:00,1.0,3.0,4,206.0,28.0,24.0,,,2,23.0,4.0,4.0,,
348,theredguild,5,2023-03-29 19:07:36+00:00,13.0,3.0,2,21.0,1.0,,,,1,1.0,,,,
349,threefoldfoundation,82,2017-08-01 13:30:08+00:00,6.0,9.0,174,16012.0,911.0,770.0,3176.0,3093.0,18,346.0,15.0,9.0,67.0,47.0
350,thunder-chat-app,1,2023-04-14 12:50:24+00:00,,1.0,1,14.0,,,,,0,,,,,
351,tkn-tickerdao,8,2022-04-03 19:32:42+00:00,3.0,4.0,9,239.0,4.0,,2.0,,3,25.0,1.0,,,
352,tokenengineeringcommunity,13,2019-09-30 10:57:21+00:00,53.0,29.0,53,901.0,117.0,71.0,62.0,31.0,0,,,,,
353,topianetwork,6,2021-12-09 03:45:45+00:00,6.0,2.0,13,649.0,125.0,118.0,,,1,2.0,,,,
354,tor-project,35,2007-12-31 20:38:23+00:00,4225.0,962.0,1084,62737.0,3590.0,1949.0,852.0,713.0,45,232.0,4.0,1.0,8.0,4.0
355,tproof,2,2022-10-24 13:03:22+00:00,2.0,,1,23.0,,,,,0,,,,,
356,tradao-xyz,5,2023-10-13 08:05:04+00:00,,,2,92.0,6.0,6.0,,,2,39.0,,,,
357,treejer,6,2020-01-22 17:39:02+00:00,23.0,7.0,20,2838.0,193.0,85.0,8.0,3.0,0,,,,,
358,tropykus,6,2020-09-25 21:49:14+00:00,6.0,3.0,30,524.0,17.0,16.0,3.0,2.0,1,5.0,,,,
359,trueblocks,34,2016-08-14 18:51:32+00:00,988.0,195.0,182,13494.0,1418.0,1184.0,2819.0,3060.0,11,254.0,100.0,89.0,49.0,108.0
360,truquest,1,2022-11-11 02:48:53+00:00,,,1,309.0,,,,,1,54.0,,,,
361,trusted-seed,4,2022-02-15 09:08:01+00:00,9.0,2.0,21,535.0,100.0,89.0,227.0,142.0,2,4.0,5.0,3.0,3.0,5.0
362,turbo-eth,15,2022-06-19 01:30:41+00:00,271.0,73.0,32,820.0,208.0,160.0,49.0,21.0,3,18.0,12.0,10.0,,1.0
363,unchain-tech,38,2020-08-18 16:17:11+00:00,45.0,508.0,116,3638.0,680.0,621.0,233.0,187.0,12,92.0,28.0,26.0,15.0,10.0
364,unit-blocktree-toknowwhy,18,2021-04-23 06:42:22+00:00,1.0,1.0,7,782.0,2.0,2.0,68.0,52.0,6,80.0,,,,
365,unitapapp,8,2011-05-18 01:24:05+00:00,22.0,4.0,122,4569.0,344.0,328.0,5.0,4.0,5,116.0,133.0,140.0,,
366,upala-digital-identity,17,2019-03-06 10:11:22+00:00,22.0,8.0,10,731.0,83.0,23.0,2.0,,0,,,,,
367,upchain-lbc-team,17,2016-07-04 08:52:59+00:00,383.0,140.0,81,1020.0,141.0,92.0,278.0,166.0,5,9.0,3.0,2.0,24.0,11.0
368,upto3xyz,1,2023-08-02 08:07:59+00:00,,,1,3.0,,,,,0,,,,,
369,urbanika,3,2022-05-30 16:50:16+00:00,2.0,,3,42.0,,,,,1,10.0,,,,
370,us3r-network,5,2023-02-15 06:46:29+00:00,25.0,5.0,13,2022.0,904.0,881.0,2.0,2.0,9,592.0,306.0,299.0,1.0,1.0
371,useweb3,3,2021-09-18 14:23:17+00:00,473.0,148.0,106,729.0,141.0,119.0,42.0,34.0,16,232.0,19.0,17.0,6.0,6.0
372,ustakingio,1,2022-11-28 10:47:57+00:00,,,1,8.0,,,,,0,,,,,
373,venture-miner,6,2023-03-29 19:51:27+00:00,,,6,574.0,106.0,105.0,,,2,22.0,3.0,4.0,,
374,via-protocol,11,2021-11-30 11:17:43+00:00,130.0,67.0,34,952.0,133.0,113.0,4.0,,2,1.0,,,1.0,
375,viaprize,8,2023-01-12 04:25:53+00:00,5.0,9.0,15,1037.0,241.0,231.0,64.0,46.0,6,461.0,159.0,154.0,2.0,20.0
376,vu3th,3,2021-08-20 14:27:49+00:00,184.0,47.0,42,364.0,62.0,54.0,91.0,91.0,2,89.0,8.0,9.0,,12.0
377,w3-space-laborigin,6,2022-08-17 07:34:47+00:00,,,4,67.0,,,,,0,,,,,
378,w3projecthub,1,2023-08-14 01:30:00+00:00,,,1,1.0,,,4.0,,0,,,,,
379,wagmi-dev,14,2021-11-23 03:11:29+00:00,5269.0,786.0,1262,3182.0,2690.0,2306.0,1250.0,1231.0,246,668.0,342.0,327.0,172.0,185.0
380,wagmifund,1,2022-12-07 18:30:44+00:00,1.0,1.0,3,100.0,36.0,33.0,,,0,,,,,
381,web3afrika,4,2021-09-04 03:35:26+00:00,7.0,3.0,56,583.0,28.0,24.0,,,0,,,,,
382,web3arabs,18,2023-04-19 20:19:14+00:00,4.0,3.0,1,60.0,15.0,15.0,,,1,7.0,4.0,4.0,,
383,weekinethnews,3,2021-06-01 09:50:22+00:00,15.0,,1,54.0,,,,,1,13.0,,,,
384,whal3s-xyz,13,2022-11-15 17:02:44+00:00,3.0,1.0,5,111.0,601.0,1.0,,,2,,115.0,,,
385,white-hat-dao,9,2022-01-22 16:48:36+00:00,2.0,3.0,12,483.0,80.0,72.0,20.0,19.0,1,1.0,,,,
386,wighawag,5,2020-03-24 17:44:31+00:00,1128.0,262.0,294,1170.0,157.0,95.0,351.0,230.0,13,40.0,5.0,3.0,10.0,3.0
387,wireshape,3,2022-03-27 14:52:04+00:00,784.0,6.0,5,191.0,17.0,17.0,1.0,,1,1.0,,,,
388,wise-crowds-liberating-structures,3,2022-03-31 09:10:07+00:00,,,1,6.0,,,,,0,,,,,
389,word-block-fat-garage,2,2022-07-19 10:50:19+00:00,18.0,1.0,9,66.0,1.0,1.0,,,0,,,,,
390,wtfacademy,40,2022-07-23 05:12:33+00:00,2336.0,395.0,275,3077.0,767.0,683.0,145.0,114.0,44,518.0,98.0,90.0,9.0,4.0
391,zenbit-eth,29,2020-10-10 17:02:46+00:00,3.0,4.0,34,2591.0,268.0,249.0,101.0,68.0,1,13.0,1.0,1.0,,
392,zerodao,12,2021-04-15 09:17:27+00:00,27.0,5.0,4,528.0,56.0,38.0,2.0,,2,47.0,10.0,3.0,2.0,
393,zeroknowledgefm,5,2018-11-07 13:07:22+00:00,22.0,6.0,6,43.0,6.0,5.0,,,0,,,,,
394,zeropoolnetwork,45,2019-09-06 22:43:29+00:00,23.0,9.0,43,3349.0,515.0,199.0,208.0,201.0,5,30.0,6.0,3.0,5.0,5.0
395,zk-block-elefria-labs,5,2022-03-05 07:44:48+00:00,64.0,19.0,7,235.0,80.0,75.0,5.0,3.0,2,58.0,24.0,21.0,,1.0
396,zkbob,27,2015-12-24 09:58:38+00:00,71.0,27.0,45,2223.0,312.0,270.0,317.0,278.0,7,23.0,10.0,2.0,19.0,3.0
397,zkemail,22,2022-03-27 08:55:02+00:00,237.0,51.0,55,2759.0,235.0,177.0,125.0,39.0,29,667.0,97.0,73.0,39.0,17.0
398,zkp2p,6,2023-04-01 09:01:57+00:00,197.0,21.0,10,723.0,314.0,285.0,8.0,6.0,9,307.0,141.0,132.0,5.0,5.0
399,zkpodai,2,2023-05-25 11:26:08+00:00,2.0,,2,13.0,,,,,0,,,,,
400,zkrepl-0x-parc,1,2021-12-07 11:59:07+00:00,126.0,18.0,13,93.0,8.0,6.0,12.0,7.0,5,1.0,1.0,1.0,3.0,2.0
401,zuzalu-housing,1,2023-04-15 15:38:01+00:00,1.0,,1,9.0,,,,,0,,,,,
402,zuzapp,1,2023-08-15 14:16:11+00:00,,,1,3.0,,,,,0,,,,,
