chain_id,round_id,round_name,project_name,project_github,payout_address,status
42161,26,Web3 Infrastructure,quic-go,quic-go,0x713A213708104FC9a9dfA4f9A26A1da288e5e59b,APPROVED
42161,26,Web3 Infrastructure,The Tor Project,torproject,0xe3d34daC159f88Fd2CD38b1380B998000a9C0880,APPROVED
42161,26,Web3 Infrastructure,FileMarket,Filemarket-xyz,0xB61AF010Af20e22493773157A3D0e5FB35031281,APPROVED
42161,26,Web3 Infrastructure,MiniBridge,DeFiEye,0xE6D7b9Fb31B93E542f57c7B6bfa0a5a48EfC9D0f,APPROVED
42161,26,Web3 Infrastructure,ICDevs.org,icdevsorg,0x4A7C969110f7358bF334b49A2FF1a2585ac372B8,APPROVED
42161,26,Web3 Infrastructure,Bonding Curve Research Group (BCRG),bonding-curves,0x29567BdBcC92aCF37AC6B56B69180857bB69f7D1,APPROVED
42161,26,Web3 Infrastructure,Abundance Protocol,AbundanceProtocol,0xc6FD734790E83820e311211B6d9A682BCa4ac97b,APPROVED
42161,26,Web3 Infrastructure,Ethereum on ARM,EOA-Blockchain-Labs,0x1bCDB2226ee2b023e3886Dd2027c4eE95457699f,APPROVED
42161,26,Web3 Infrastructure,IDENA,idena-network,0x8917418aBe36E6E788068E96EF5A47d7484C06b1,APPROVED
42161,26,Web3 Infrastructure,Ethereum Staking Guides by CoinCashew,coincashewcom,0xCF83d0c22dd54475cC0C52721B0ef07d9756E8C0,APPROVED
42161,26,Web3 Infrastructure,eth-pkg,eth-pkg,0x1304c00FddAb442B1A6862De159914f20450dbAB,APPROVED
42161,26,Web3 Infrastructure,EIP-7265 Alliance - securing the future of ethereum,ikigai-labs-xyz,0xD478230AC12b747d9796222B8Ac9989ABEDf5B00,APPROVED
42161,26,Web3 Infrastructure,Lodestar,chainsafe,0xc8F9f8C913d6fF031c65e3bF7c7a51Ad1f3a86E5,APPROVED
42161,26,Web3 Infrastructure,Node Crawler - Ethernets.io,angaz,0x1da1A606f1EE536D501a6B731e43e318DbC71368,APPROVED
42161,26,Web3 Infrastructure,ETHPaymaster,AAStarCommunity,0x1A236bA5f90CC02B735eB7a4591937cF9137357A,APPROVED
