,project_name,project_github,oso_github_slug,grant_address,oso_address_slug,round_id,round_name,chain_id,program_address,round_date,amount_usd,match_usd,total_usd,oso_slug
4585,"Minerva Wallet (the mobile Metamask alternative, Panvala League)",lab10-coop,minerva-wallet-lab10-coop,0x9fc13b4e1c4206970a1c4520d2f77336cd5d0e0a,minerva-wallet-lab10-coop,7,['gitcoin-main'],,,2020-09-14T00:00:00Z,2461.85,1722.34,4184.19,minerva-wallet-lab10-coop
4601,Nethermind,,,0xbc11295936aa79d594139de1b2e12629414f3bdb,nethermindeth,7,['gitcoin-main'],,,2020-09-14T00:00:00Z,4254.73,5054.18,9308.91,nethermindeth
4603,🎨 nifty.ink,buidlguidl,buidlguidl,0x4985ad3d7d81c9e9a4cb2cc080f0c6baa55d8f74,,7,['gitcoin-main'],,,2020-09-14T00:00:00Z,242.88,572.55,815.43,buidlguidl
4634,Proof of Humanity,proof-of-humanity,proof-of-humanity,0x99126d641ba3924c8af4dca4e3b2c33a41718913,,7,['gitcoin-main'],,,2020-09-14T00:00:00Z,401.72,729.62,1131.3400000000001,proof-of-humanity
4635,Prysm by Prysmatic Labs,prysmaticlabs,prysmaticlabs,0x9b984d5a03980d8dc0a24506c968465424c81dbe,,7,['gitcoin-main'],,,2020-09-14T00:00:00Z,4199.81,1708.41,5908.22,prysmaticlabs
4646,Rotki - The portfolio tracker and accounting tool that protects your privacy,rotki,rotki,0x9531c059098e3d194ff87febb587ab07b30b1306,rotki,7,['gitcoin-main'],,,2020-09-14T00:00:00Z,6828.81,21721.23,28550.04,rotki
4666,Snapshot,snapshot-labs,snapshot-labs,0x8c28cf33d9fd3d0293f963b1cd27e3ff422b425c,,7,['gitcoin-main'],,,2020-09-14T00:00:00Z,6297.77,11055.63,17353.4,snapshot-labs
4688,The Daily Gwei by Anthony Sassano (sassal0x),,,0x648aa14e4424e0825a5ce739c8c68610e143fb79,ethhub-io,7,['gitcoin-main'],,,2020-09-14T00:00:00Z,1319.88,2868.78,4188.66,ethhub-io
4697,The MoonMath Manual to zk-SNARKs,leastauthority,leastauthority,0xa8a4912938549d50ef3e7c698c890e18d73408ee,,7,['gitcoin-main'],,,2020-09-14T00:00:00Z,526.23,609.03,1135.26,leastauthority
4714,Treejer: A Climate Action Protocol,treejer,treejer,0x81c776d0d7f7d9d3699851993ecaa88a46187f11,treejer,7,[],,,2020-09-14T00:00:00Z,4.75,0.0,4.75,treejer
4718,TrueBlocks - Indexing any EVM-Based Chain,trueblocks,trueblocks,0xf503017d7baf7fbc0fff7492b751025c6a78179b,trueblocks,7,['gitcoin-main'],,,2020-09-14T00:00:00Z,1059.88,1992.08,3051.96,trueblocks
4721,Umbra:  Privacy Preserving Stealth Payments,scopelift,"umbra, scope-lift",0x57ea12a3a8e441f5fe7b1f3af1121097b7d3b6a8,scope-lift,7,['gitcoin-main'],,,2020-09-14T00:00:00Z,1257.76,3075.24,4333.0,scope-lift
4739,WalletConnect,walletconnect,walletconnect,0xcbec15583a21c3ddad5fab658be5b4fe85df730b,,7,['gitcoin-main'],,,2020-09-14T00:00:00Z,6356.34,13313.78,19670.120000000003,walletconnect
4746,Week in Ethereum News,weekinethnews,weekinethnews,0x13ebd3443fa5575f0eb173e323d8419f7452cfb1,weekinethnews,7,['gitcoin-main'],,,2020-09-14T00:00:00Z,2953.27,20152.19,23105.46,weekinethnews
4767,ZeroPool - Scaling anonymous transactions for blockchains,zeropoolnetwork,zeropoolnetwork,0x947f8a49640b4770a8c7fe3c1e69ffc974295448,zeropoolnetwork,7,['gitcoin-main'],,,2020-09-14T00:00:00Z,116.45,17.18,133.63,zeropoolnetwork
4801,✨ Astral — Spatial data on the decentralized web,astralprotocol,astralprotocol,0x41dde2dc7f718d5f764fc97e8d122864587642d4,astralprotocol,8,['gitcoin-main'],,,2020-12-02T00:00:00Z,35.51,246.98,282.49,astralprotocol
4813,beaconcha.in - Open source Eth2 blockchain explorer,gobitfly,"beacon-chain, gobitfly",0x9d4e94db689bc471e45b0a18b7bda36fccec9c3b,beacon-chain,8,['gitcoin-main'],,,2020-12-02T00:00:00Z,3867.46,9805.61,13673.07,beacon-chain
4832,Bloom Network,bloomnetwork,bloomnetwork,0xf64bbc221f89cc882fba507908bbe4ae3ad2f470,bloomnetwork,8,['gitcoin-main'],,,2020-12-02T00:00:00Z,236.63,65.99,302.62,bloomnetwork
4835,BrightID 🔆 Universal Proof of Uniqueness (Panvala League),brightid,brightid,0x4b8810b079eb22ecf2d1f75e08e0abbd6fd87dbf,brightid,8,['gitcoin-main'],,,2020-12-02T00:00:00Z,1125.95,5417.93,6543.88,brightid
4841,BuidlGuidl,austintgriffith,,0x97843608a00e2bbc75ab0c1911387e002565dede,buidlguidl,8,['gitcoin-main'],,,2020-12-02T00:00:00Z,1149.55,1364.43,2513.98,buidlguidl
4861,clr.fund,clrfund,clrfund,0xfcc41c4614bd464ba28ad96f93aadaa7ba6c8680,clrfund,8,['gitcoin-main'],,,2020-12-02T00:00:00Z,1226.97,4487.81,5714.780000000001,clrfund
4867,Commons Simulator: Level Up,commons-stack,commons-stack,0xa0527ba80d811cd45d452481caf902dfd6f5b8c2,,8,['gitcoin-main'],,,2020-12-02T00:00:00Z,1100.68,405.81,1506.49,commons-stack
4868,Commons Stack,commons-stack,commons-stack,0x8110d1d04ac316fdcace8f24fd60c86b810ab15a,commons-stack,8,['gitcoin-main'],,,2020-12-02T00:00:00Z,3298.45,10654.94,13953.39,commons-stack
4869,Commons Stack Community Fund - Panvala League,commons-stack,commons-stack,0x1251a94b6d800979d2d933b8bd5914b892772ac6,,8,['gitcoin-main'],,,2020-12-02T00:00:00Z,2705.11,1427.39,4132.5,commons-stack
4895,CryptoStats/CryptoFees.info,dmihal,crypto-fees-dmihal,0x392acfd0792c32222edf31c20dd0cc51528bb9ea,,8,['gitcoin-main'],,,2020-12-02T00:00:00Z,25.35,2.16,27.51,crypto-fees-dmihal
4903,DAO Internal Dispute Resolution Open Handbook by LexDAO (Panvala League),lexdao,lexdao,0x24801de57f065d95d741dff0f419dc5004777c87,,8,['gitcoin-main'],,,2020-12-02T00:00:00Z,174.91,12.48,187.39,lexdao
4907,DAppNode  - Panvala League,dappnode,dappnode,0x53390590476dc98860316e4b46bb9842af55efc4,dappnode,8,['gitcoin-main'],,,2020-12-02T00:00:00Z,4668.02,11362.94,16030.960000000001,dappnode
4968,Ethereum Staking Guides (Ubuntu),someresat,,0x32b74b90407309f6637245292cd90347de658a37,someresatguides,8,['gitcoin-main'],,,2020-12-02T00:00:00Z,1349.08,3471.65,4820.73,someresatguides
4970,"ethers.js - Complete, Simple and Tiny",ethers-io,ethers-io,0x8ba1f109551bd432803012645ac136ddd64dba72,ethers-io,8,['gitcoin-main'],,,2020-12-02T00:00:00Z,4850.31,5390.35,10240.66,ethers-io
4982,ethstaker,superphiz,,0xd165df4296c85e780509fa1eace0150d945d49fd,ethstaker,8,['gitcoin-main'],,,2020-12-02T00:00:00Z,3741.95,4157.43,7899.38,ethstaker
