,project_name,project_github,oso_github_slug,grant_address,oso_address_slug,round_id,round_name,chain_id,program_address,round_date,amount_usd,match_usd,total_usd,oso_slug
2,NFT Price Floor,nft-pricefloor,nft-pricefloor,0x31856e11ddaabc67e3b7b5de50dd0efce86e361e,,0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,Web3 Community and Education,424,0xe13da583181b19dace7c021f57774659edc1f901,2023-11-29 18:59:00,307.36977455,424.7736803938349,732.143454943835,nft-pricefloor
7,eth.limo,ethlimo,eth-limo,0xb352bb4e2a4f27683435f153a259f1b207218b1b,eth-limo,0x222ea76664ed77d18d4416d2b2e77937b76f0a35,Ethereum Infrastructure,424,0x413d934a627fbd26fcb7ae52c2c4f40022470289,2023-08-17 08:00:00,5933.56693539,12142.58149830277,18076.14843369277,eth-limo
8,eth.limo,ethlimo,eth-limo,0xb352bb4e2a4f27683435f153a259f1b207218b1b,eth-limo,0x9331fde4db7b9d9d1498c09d30149929f24cf9d5,Web3 Social,10,0xf3b99793874b9f36bd6977f45300686224b72750,2023-08-29 08:00:00,398.53434926,999.8326422805436,1398.3669915405435,eth-limo
9,eth.limo,ethlimo,eth-limo,0xb352bb4e2a4f27683435f153a259f1b207218b1b,eth-limo,0xa1d52f9b5339792651861329a046dd912761e9a9,"Ethereum Core Infrastructure, Research, and Development",137,0xd04d5b0257a9f2068a4f4ebd88748b2bb47da4ca,2023-11-29 18:59:00,1493.93095958,6641.25770952,8135.1886691,eth-limo
10,eth.limo,ethlimo,eth-limo,0xb352bb4e2a4f27683435f153a259f1b207218b1b,eth-limo,0xc34745b3852df32d5958be88df2bee0a83474001,Web3 Social,10,0xf3b99793874b9f36bd6977f45300686224b72750,2023-11-29 18:59:00,1518.65259863,899.5502798051601,2418.20287843516,eth-limo
11,eth.limo,ethlimo,eth-limo,0xb352bb4e2a4f27683435f153a259f1b207218b1b,eth-limo,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-29 18:59:00,3223.19068261,,,eth-limo
18,L2BEAT,l2beat,l2beat,0x41626ba92c0c2a1ad38fc83920300434082b1870,l2beat,0x222ea76664ed77d18d4416d2b2e77937b76f0a35,Ethereum Infrastructure,424,0x413d934a627fbd26fcb7ae52c2c4f40022470289,2023-08-17 08:00:00,13269.53030975,16857.68782037099,30127.21813012099,l2beat
19,L2BEAT,l2beat,l2beat,0x41626ba92c0c2a1ad38fc83920300434082b1870,l2beat,0x2871742b184633f8dc8546c6301cbc209945033e,Web3 Community and Education ,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,6.2361634,,,l2beat
20,L2BEAT,l2beat,l2beat,0x41626ba92c0c2a1ad38fc83920300434082b1870,l2beat,0x8de918f0163b2021839a8d84954dd7e8e151326d,Web3 Open Source Software,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,1.04153416,,,l2beat
28,Scaffold-ETH 2,scaffold-eth,buidlguidl,0x97843608a00e2bbc75ab0c1911387e002565dede,buidlguidl,0x8de918f0163b2021839a8d84954dd7e8e151326d,Web3 Open Source Software,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,106.00390261,,,buidlguidl
107,Revoke.cash,revokecash,"revokecash, revoke-cash",0xe126b3e5d052f1f575828f61feba4f4f2603652a,revoke-cash,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-29 18:59:00,25994.73854546,14827.4684934946,40822.2070389546,revoke-cash
130,Jolly-Roger,jolly-roger-eth,wighawag,0xaddbc936ab952b6dc5c5fe090c55269a1174d173,wighawag,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-29 18:59:00,352.64057102,450.8689459359459,803.5095169559459,wighawag
138,"Mini Bridge: ""0"" rate Cross-L2 protocol  by Chaineye",defieye,defieye,0xd250018939931691ef30fae31b3cbfdffaa14091,defieye,0x6726fe9c89fb04eaef388c11cf55be6aa0a62fb9,Global Chinese Community Round at GG19,10,0x052091ea05d8d5c2d68ff866eaf8340b56deb0f1,2023-11-22 18:59:00,613.61568008,2997.594364970591,3611.210045050591,defieye
139,"Mini Bridge: ""0"" rate Cross-L2 protocol  by Chaineye",defieye,defieye,0xe6d7b9fb31b93e542f57c7b6bfa0a5a48efc9d0f,defieye,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-29 18:59:00,7487.08179748,6635.841686396206,14122.923483876206,defieye
179,Commons Stack,commons-stack,commons-stack,0x8110d1d04ac316fdcace8f24fd60c86b810ab15a,commons-stack,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-29 18:59:00,853.37637596,1155.443471377832,2008.819847337832,commons-stack
240,Urbanika and the Self-Management Neighborhood Course,urbanika,urbanika,0x0442a9abbc93058a873c371f21cc366338254a88,urbanika,0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,Web3 Community and Education,424,0xe13da583181b19dace7c021f57774659edc1f901,2023-11-29 18:59:00,535.9018088,1134.72311806135,1670.62492686135,urbanika
246,Dapp-Learning,dapp-learning-dao,dapp-learning-dao,0x1f7b953113f4dfcbf56a1688529cc812865840e1,dapp-learning-dao,0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,Web3 Community and Education,424,0xe13da583181b19dace7c021f57774659edc1f901,2023-11-29 18:59:00,102.71525448999999,417.0437953958493,519.7590498858493,dapp-learning-dao
247,Dapp-Learning,dapp-learning-dao,dapp-learning-dao,0x1f7b953113f4dfcbf56a1688529cc812865840e1,dapp-learning-dao,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-29 18:59:00,185.48772969,,,dapp-learning-dao
248,ZeroPool,zeropoolnetwork,zeropoolnetwork,0x947f8a49640b4770a8c7fe3c1e69ffc974295448,zeropoolnetwork,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-29 18:59:00,801.02302164,1221.307805817937,2022.330827457937,zeropoolnetwork
261,Week in Ethereum News,weekinethnews,weekinethnews,0x288c53a1ba857ead34ad0e79f644087f8174185a,,0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,Web3 Community and Education,424,0xe13da583181b19dace7c021f57774659edc1f901,2023-11-29 18:59:00,3786.4465010000004,2051.49947864392,5837.9459796439205,weekinethnews
307,Chaineye,defieye,defieye,0xe6d7b9fb31b93e542f57c7b6bfa0a5a48efc9d0f,defieye,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,Web3 Open Source Software Round,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,1481.1356586,5605.260407573401,7086.396066173401,defieye
308,Chaineye,defieye,defieye,0xe6d7b9fb31b93e542f57c7b6bfa0a5a48efc9d0f,defieye,0x859faeaa266ba13bd1e72eb6dd7a223902d1adfe,Global Chinese Community beta round,1,0x540b4209d349e1a95f36ebd30dc264d7fce1c583,2023-04-24 20:00:00,253.90535619,,,defieye
310,Treejer Protocol,treejer,treejer,0x81c776d0d7f7d9d3699851993ecaa88a46187f11,treejer,0x421510312c40486965767be5ea603aa8a5707983,Climate Solutions,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,1348.89655771,3333.642491038129,4682.539048748129,treejer
311,Treejer Protocol,treejer,treejer,0x81c776d0d7f7d9d3699851993ecaa88a46187f11,treejer,0xb6be0ecafdb66dd848b0480db40056ff94a9465d,Climate Round,10,0x11c2e0adc8eadcccae335b8c311271f18bada524,2023-08-17 08:00:00,598.30677485,1866.354526874282,2464.661301724282,treejer
328,Zk- Block | Tools for Zk & Web3 Dapps,elefria-labs,"zk-block-elefria-labs, elefria-labs",0xeed99e93e073c092131c245c3fda23781563d67d,zk-block-elefria-labs,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,Web3 Open Source Software Round,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,2155.93982315,13986.44771066475,16142.38753381475,zk-block-elefria-labs
329,Zk- Block | Tools for Zk & Web3 Dapps,elefria-labs,"zk-block-elefria-labs, elefria-labs",0xeed99e93e073c092131c245c3fda23781563d67d,zk-block-elefria-labs,0x8de918f0163b2021839a8d84954dd7e8e151326d,Web3 Open Source Software,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,1907.60164707,2392.251758215547,4299.853405285547,zk-block-elefria-labs
330,Zk- Block | Tools for Zk & Web3 Dapps,elefria-labs,"zk-block-elefria-labs, elefria-labs",0xeed99e93e073c092131c245c3fda23781563d67d,zk-block-elefria-labs,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-29 18:59:00,1191.53171459,1818.023488680797,3009.5552032707974,zk-block-elefria-labs
336,EthStaker,eth-educators,ethstaker,0xd165df4296c85e780509fa1eace0150d945d49fd,ethstaker,0x222ea76664ed77d18d4416d2b2e77937b76f0a35,Ethereum Infrastructure,424,0x413d934a627fbd26fcb7ae52c2c4f40022470289,2023-08-17 08:00:00,8747.89411103,16857.68782037099,25605.58193140099,ethstaker
337,EthStaker,eth-educators,ethstaker,0xd165df4296c85e780509fa1eace0150d945d49fd,ethstaker,0x2871742b184633f8dc8546c6301cbc209945033e,Web3 Community and Education ,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,1.27259609,,,ethstaker
338,EthStaker,eth-educators,ethstaker,0xd165df4296c85e780509fa1eace0150d945d49fd,ethstaker,0x8de918f0163b2021839a8d84954dd7e8e151326d,Web3 Open Source Software,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,2.1969524,,,ethstaker
339,EthStaker,eth-educators,ethstaker,0xd165df4296c85e780509fa1eace0150d945d49fd,ethstaker,0xa1d52f9b5339792651861329a046dd912761e9a9,"Ethereum Core Infrastructure, Research, and Development",137,0xd04d5b0257a9f2068a4f4ebd88748b2bb47da4ca,2023-11-29 18:59:00,6144.45371425,20010.78,26155.23371425,ethstaker
340,EthStaker,eth-educators,ethstaker,0xd165df4296c85e780509fa1eace0150d945d49fd,ethstaker,0xdf22a2c8f6ba9376ff17ee13e6154b784ee92094,Ethereum Infrastructure,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,1983.28392596,16251.80553341652,18235.08945937652,ethstaker
347,Geo Web,geo-web-project,geo-web,0xde798cd9c53f4806b9cc7dd27adf7c641540167c,geo-web,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,Web3 Open Source Software Round,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,239.99807045,184.6771591149049,424.6752295649049,geo-web
357,ethers.js,ethers-io,ethers-io,0x8ba1f109551bd432803012645ac136ddd64dba72,ethers-io,0x222ea76664ed77d18d4416d2b2e77937b76f0a35,Ethereum Infrastructure,424,0x413d934a627fbd26fcb7ae52c2c4f40022470289,2023-08-17 08:00:00,4035.45321732,5787.438194645606,9822.891411965606,ethers-io
358,ethers.js,ethers-io,ethers-io,0x8ba1f109551bd432803012645ac136ddd64dba72,ethers-io,0xa1d52f9b5339792651861329a046dd912761e9a9,"Ethereum Core Infrastructure, Research, and Development",137,0xd04d5b0257a9f2068a4f4ebd88748b2bb47da4ca,2023-11-29 18:59:00,3627.27934145,13544.0963352,17171.37567665,ethers-io
359,ethers.js,ethers-io,ethers-io,0x8ba1f109551bd432803012645ac136ddd64dba72,ethers-io,0xdf22a2c8f6ba9376ff17ee13e6154b784ee92094,Ethereum Infrastructure,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,1671.16107804,11270.11870011765,12941.27977815765,ethers-io
369,POAPin,glorylab,"poapin-glory-lab, glorylab",0x5afc7720b161788f9d833555b7ebc3274fd98da1,poapin-glory-lab,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,Web3 Open Source Software Round,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,4755.65020762,13986.44771066475,18742.09791828475,poapin-glory-lab
370,POAPin,glorylab,"poapin-glory-lab, glorylab",0x5afc7720b161788f9d833555b7ebc3274fd98da1,poapin-glory-lab,0x2871742b184633f8dc8546c6301cbc209945033e,Web3 Community and Education ,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,2.51715526,,,poapin-glory-lab
371,POAPin,glorylab,"poapin-glory-lab, glorylab",0x5afc7720b161788f9d833555b7ebc3274fd98da1,poapin-glory-lab,0x30c381033aa2830ceb0aa372c2e4d28f004b3db9,Global Chinese Community for Public Goods - GR18,10,0x3ad90c107d207a0866d20ef1696b6ee0c8bb0afe,2023-08-29 19:59:00,47.07099113,47.5625622892301,94.63355341923011,poapin-glory-lab
372,POAPin,glorylab,"poapin-glory-lab, glorylab",0x5afc7720b161788f9d833555b7ebc3274fd98da1,poapin-glory-lab,0x6726fe9c89fb04eaef388c11cf55be6aa0a62fb9,Global Chinese Community Round at GG19,10,0x052091ea05d8d5c2d68ff866eaf8340b56deb0f1,2023-11-22 18:59:00,252.15726288,566.2586340199815,818.4158968999815,poapin-glory-lab
373,POAPin,glorylab,"poapin-glory-lab, glorylab",0x5afc7720b161788f9d833555b7ebc3274fd98da1,poapin-glory-lab,0x859faeaa266ba13bd1e72eb6dd7a223902d1adfe,Global Chinese Community beta round,1,0x540b4209d349e1a95f36ebd30dc264d7fce1c583,2023-04-24 20:00:00,55.82677782,,,poapin-glory-lab
374,POAPin,glorylab,"poapin-glory-lab, glorylab",0x5afc7720b161788f9d833555b7ebc3274fd98da1,poapin-glory-lab,0x8de918f0163b2021839a8d84954dd7e8e151326d,Web3 Open Source Software,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,3495.43618627,7895.948585067708,11391.384771337707,poapin-glory-lab
375,POAPin,glorylab,"poapin-glory-lab, glorylab",0x5afc7720b161788f9d833555b7ebc3274fd98da1,poapin-glory-lab,0x9331fde4db7b9d9d1498c09d30149929f24cf9d5,Web3 Social,10,0xf3b99793874b9f36bd6977f45300686224b72750,2023-08-29 08:00:00,182.24665557,999.8326422805436,1182.0792978505435,poapin-glory-lab
376,POAPin,glorylab,"poapin-glory-lab, glorylab",0x5afc7720b161788f9d833555b7ebc3274fd98da1,poapin-glory-lab,0x9c3b81967eafba0a451e324417dd4f3f353b997b,Web3 Social,1,0xd0610d3a5aecf8043e32272036927d2a1cde464c,2023-04-21 19:59:00,712.45987868,1998.749961139269,2711.2098398192693,poapin-glory-lab
377,POAPin,glorylab,"poapin-glory-lab, glorylab",0x5afc7720b161788f9d833555b7ebc3274fd98da1,poapin-glory-lab,0xc34745b3852df32d5958be88df2bee0a83474001,Web3 Social,10,0xf3b99793874b9f36bd6977f45300686224b72750,2023-11-29 18:59:00,911.20379546,899.5502798051601,1810.7540752651603,poapin-glory-lab
378,POAPin,glorylab,"poapin-glory-lab, glorylab",0x5afc7720b161788f9d833555b7ebc3274fd98da1,poapin-glory-lab,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-29 18:59:00,2183.6146654,2842.547607181095,5026.162272581095,poapin-glory-lab
379,TrueBlocks and the Unchained Index,trueblocks,trueblocks,0xf503017d7baf7fbc0fff7492b751025c6a78179b,trueblocks,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,Web3 Open Source Software Round,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,1173.03010764,3211.262633633095,4384.292741273095,trueblocks
380,TrueBlocks and the Unchained Index,trueblocks,trueblocks,0x89d107a9f019b4dc5dca227d991c89e4e7251ff5,trueblocks,0x222ea76664ed77d18d4416d2b2e77937b76f0a35,Ethereum Infrastructure,424,0x413d934a627fbd26fcb7ae52c2c4f40022470289,2023-08-17 08:00:00,2413.69421285,2286.590022407664,4700.2842352576645,trueblocks
381,TrueBlocks and the Unchained Index,trueblocks,trueblocks,0xf503017d7baf7fbc0fff7492b751025c6a78179b,trueblocks,0x905efbabe2d52cd648fadfafcec8d6c8c60f7423,The Phantom Menace,1,0x8b7b701ed543c5581270176a6513fbd6165d157e,2023-04-24 19:59:00,171.66368579,3940.713885049516,4112.377570839516,trueblocks
382,TrueBlocks and the Unchained Index,trueblocks,trueblocks,0x89d107a9f019b4dc5dca227d991c89e4e7251ff5,trueblocks,0xa1d52f9b5339792651861329a046dd912761e9a9,"Ethereum Core Infrastructure, Research, and Development",137,0xd04d5b0257a9f2068a4f4ebd88748b2bb47da4ca,2023-11-29 18:59:00,743.04496982,3381.3215505,4124.36652032,trueblocks
410,Punk Domains | Web3 Social Names Protocol,punk-domains-2,punk-domains,0x12e838f846ffdade34b2e006f84117a370d71687,punk-domains,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,Web3 Open Source Software Round,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,2358.51671495,13986.44771066475,16344.96442561475,punk-domains
411,Punk Domains | Web3 Social Names Protocol,punk-domains-2,punk-domains,0x12e838f846ffdade34b2e006f84117a370d71687,punk-domains,0x1d16f0eedf8ced25f288056ddcbb653d0f0451ad,The Developer tooling on Nova Round,42161,0xce06ebb79f95943ca9125b85ca0294c302e846b5,2023-09-29 20:00:00,1.34262302,,,punk-domains
412,Punk Domains | Web3 Social Names Protocol,punk-domains-2,punk-domains,0x12e838f846ffdade34b2e006f84117a370d71687,punk-domains,0x8b70206844630d8c0a2a545e92d3c8d46a3ceaad,The New protocol ideas Round,42161,0xce06ebb79f95943ca9125b85ca0294c302e846b5,2023-09-29 20:00:00,487.13496255,5065.3084412892,5552.4434038392,punk-domains
413,Punk Domains | Web3 Social Names Protocol,punk-domains-2,punk-domains,0x12e838f846ffdade34b2e006f84117a370d71687,punk-domains,0x8de918f0163b2021839a8d84954dd7e8e151326d,Web3 Open Source Software,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,3179.3281888,2723.15642027724,5902.484609077241,punk-domains
414,Punk Domains | Web3 Social Names Protocol,punk-domains-2,punk-domains,0x12e838f846ffdade34b2e006f84117a370d71687,punk-domains,0xd0a086c37fbd20c44f3ba2cff69208d1b62f54e3,The Gaming Round,42161,0xce06ebb79f95943ca9125b85ca0294c302e846b5,2023-09-30 19:59:00,1.68104666,,,punk-domains
415,Punk Domains | Web3 Social Names Protocol,punk-domains-2,punk-domains,0x12e838f846ffdade34b2e006f84117a370d71687,punk-domains,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-29 18:59:00,391.85432125,674.6298333428269,1066.484154592827,punk-domains
443,eth.limo,ethlimo,eth-limo,0xb352bb4e2a4f27683435f153a259f1b207218b1b,eth-limo,0x64e5b2228ef31437909900b38fc42dd5e4b83147,ENS Ecosystem,1,0xdb723e5fe784c160a89564d22d67a11eb08cf76d,2023-04-21 19:59:00,661.76700864,2503.364103554675,3165.1311121946746,eth-limo
444,eth.limo,ethlimo,eth-limo,0xb352bb4e2a4f27683435f153a259f1b207218b1b,eth-limo,0x9c3b81967eafba0a451e324417dd4f3f353b997b,Web3 Social,1,0xd0610d3a5aecf8043e32272036927d2a1cde464c,2023-04-21 19:59:00,799.91107583,1998.749961139269,2798.661036969269,eth-limo
445,eth.limo,ethlimo,eth-limo,0xb352bb4e2a4f27683435f153a259f1b207218b1b,eth-limo,0xdf22a2c8f6ba9376ff17ee13e6154b784ee92094,Ethereum Infrastructure,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,1974.43471113,19980.63958666393,21955.07429779393,eth-limo
448,Revoke.cash - Helping you stay safe in web3,revokecash,"revokecash, revoke-cash",0xe126b3e5d052f1f575828f61feba4f4f2603652a,revoke-cash,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,Web3 Open Source Software Round,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,15428.91914806,13986.44771066475,29415.366858724752,revoke-cash
452,NiceNode,nicenode,nicenode,0x9cce47e9cf12c6147c9844adbb81fe85880c4df4,nicenode,0x222ea76664ed77d18d4416d2b2e77937b76f0a35,Ethereum Infrastructure,424,0x413d934a627fbd26fcb7ae52c2c4f40022470289,2023-08-17 08:00:00,3055.83002978,3437.769826792213,6493.599856572213,nicenode
453,NiceNode,nicenode,nicenode,0x9cce47e9cf12c6147c9844adbb81fe85880c4df4,nicenode,0x2871742b184633f8dc8546c6301cbc209945033e,Web3 Community and Education ,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,1.10322635,,,nicenode
454,NiceNode,nicenode,nicenode,0x9cce47e9cf12c6147c9844adbb81fe85880c4df4,nicenode,0xa1d52f9b5339792651861329a046dd912761e9a9,"Ethereum Core Infrastructure, Research, and Development",137,0xd04d5b0257a9f2068a4f4ebd88748b2bb47da4ca,2023-11-29 18:59:00,1518.57155847,6443.90139177,7962.4729502400005,nicenode
455,NiceNode,nicenode,nicenode,0x9cce47e9cf12c6147c9844adbb81fe85880c4df4,nicenode,0xdf22a2c8f6ba9376ff17ee13e6154b784ee92094,Ethereum Infrastructure,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,931.91904722,6577.186751282915,7509.105798502915,nicenode
458,DefiLlama,defillama,"defi-llama, chainlist-defillama",0x08a3c2a819e3de7aca384c798269b3ce1cd0e437,defi-llama,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,Web3 Open Source Software Round,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,32360.59114329,13986.44771066475,46347.03885395475,defi-llama
459,DefiLlama,defillama,"defi-llama, chainlist-defillama",0x08a3c2a819e3de7aca384c798269b3ce1cd0e437,defi-llama,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-29 18:59:00,15201.59982667,12285.34697975177,27486.946806421773,defi-llama
467,Dapp-Learning,https://github.com/dapp-learning-dao,,0x35c6d9117f66943c881e8354138434b8a0727988,dapp-learning-dao,0x2871742b184633f8dc8546c6301cbc209945033e,Web3 Community and Education ,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,42.74334408,129.4561947540928,172.19953883409278,dapp-learning-dao
468,Dapp-Learning,https://github.com/dapp-learning-dao,,0x35c6d9117f66943c881e8354138434b8a0727988,dapp-learning-dao,0x30c381033aa2830ceb0aa372c2e4d28f004b3db9,Global Chinese Community for Public Goods - GR18,10,0x3ad90c107d207a0866d20ef1696b6ee0c8bb0afe,2023-08-29 19:59:00,353.55148629,224.0889693230082,577.6404556130083,dapp-learning-dao
469,Dapp-Learning,https://github.com/dapp-learning-dao,,0x35c6d9117f66943c881e8354138434b8a0727988,dapp-learning-dao,0x859faeaa266ba13bd1e72eb6dd7a223902d1adfe,Global Chinese Community beta round,1,0x540b4209d349e1a95f36ebd30dc264d7fce1c583,2023-04-24 20:00:00,30.67399289,,,dapp-learning-dao
472,Fileverse – sovereign collaboration replacing Gsuite and Notion,fileverse,fileverse,0x4af147188bfe1c02d18d752ed5e473d8394f2300,fileverse,0x64e5b2228ef31437909900b38fc42dd5e4b83147,ENS Ecosystem,1,0xdb723e5fe784c160a89564d22d67a11eb08cf76d,2023-04-21 19:59:00,202.50296283,1099.883984842479,1302.386947672479,fileverse
473,Fileverse – sovereign collaboration replacing Gsuite and Notion,fileverse,fileverse,0x4af147188bfe1c02d18d752ed5e473d8394f2300,fileverse,0x6e8dc2e623204d61b0e59e668702654ae336c9f7,DeSci (Decentralized Science),1,0x3d778a4c4280b96b3004ef611036ce6865efcf56,2023-04-24 19:59:00,691.24687754,3965.992241274053,4657.239118814053,fileverse
474,Fileverse – sovereign collaboration replacing Gsuite and Notion,fileverse,fileverse,0x4af147188bfe1c02d18d752ed5e473d8394f2300,fileverse,0x9c3b81967eafba0a451e324417dd4f3f353b997b,Web3 Social,1,0xd0610d3a5aecf8043e32272036927d2a1cde464c,2023-04-21 19:59:00,527.55983617,1998.749961139269,2526.309797309269,fileverse
475,Fileverse – sovereign collaboration replacing Gsuite and Notion,fileverse,fileverse,0x4af147188bfe1c02d18d752ed5e473d8394f2300,fileverse,0xf1c021df6dc6b2dc2e5a837cdfddc2f42503233b,Mantle Grants 1,1,0x35d416ebf22d24e83443f7128f99db300c478d1e,2023-04-24 19:59:00,240.85924416,4826.253157606837,5067.112401766837,fileverse
488,rotki,rotki,rotki,0x9531c059098e3d194ff87febb587ab07b30b1306,rotki,0x64e5b2228ef31437909900b38fc42dd5e4b83147,ENS Ecosystem,1,0xdb723e5fe784c160a89564d22d67a11eb08cf76d,2023-04-21 19:59:00,177.36227935,2503.364103554675,2680.7263829046747,rotki
489,rotki,rotki,rotki,0x9531c059098e3d194ff87febb587ab07b30b1306,rotki,0xdf22a2c8f6ba9376ff17ee13e6154b784ee92094,Ethereum Infrastructure,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,2195.84132609,19980.63958666393,22176.48091275393,rotki
491,Bloom Network,bloomnetwork,bloomnetwork,0xf64bbc221f89cc882fba507908bbe4ae3ad2f470,bloomnetwork,0x421510312c40486965767be5ea603aa8a5707983,Climate Solutions,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,105.01292618000001,3214.994325698248,3320.0072518782476,bloomnetwork
492,Bloom Network,bloomnetwork,bloomnetwork,0xf64bbc221f89cc882fba507908bbe4ae3ad2f470,bloomnetwork,0x8aa06b3b8cac2970857f4e0fd78f21dc01aade94,Metacrisis,1,0xc3214a5e103025359dd866bcdd3f665be5a6afca,2023-04-21 19:59:00,49.74841027,162.3509714728037,212.0993817428037,bloomnetwork
493,Bloom Network,bloomnetwork,bloomnetwork,0x5219ffb88175588510e9752a1ecaa3cd217ca783,bloomnetwork,0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,Web3 Community and Education,424,0xe13da583181b19dace7c021f57774659edc1f901,2023-11-29 18:59:00,124.22571924,573.4214688738564,697.6471881138564,bloomnetwork
494,Bloom Network,bloomnetwork,bloomnetwork,0xf64bbc221f89cc882fba507908bbe4ae3ad2f470,bloomnetwork,0x9c3b81967eafba0a451e324417dd4f3f353b997b,Web3 Social,1,0xd0610d3a5aecf8043e32272036927d2a1cde464c,2023-04-21 19:59:00,237.1848976,1998.749961139269,2235.934858739269,bloomnetwork
